id,fullquestion
StartDate,Start Date
EndDate,End Date
Status,Response Type
IPAddress,IP Address
Progress,Progress
Duration..in.seconds.,Duration (in seconds)
Finished,Finished
RecordedDate,Recorded Date
ResponseId,Response ID
RecipientLastName,Recipient Last Name
RecipientFirstName,Recipient First Name
RecipientEmail,Recipient Email
ExternalReference,External Data Reference
LocationLatitude,Location Latitude
LocationLongitude,Location Longitude
DistributionChannel,Distribution Channel
UserLanguage,User Language
Q27,Q1: Enter Initials (Uppercase)
Q1,Q2: Title of the paper
Q2,Q3: This paper only measures biodiversity/abundance but NOT as an explicit proxy for EF/ES
Q29,Q3b: This paper ONLY focuses on social dimensions of services (no measurement of services or processes)
Q30,"This paper is a Review, Synthesis, Meta-analysis or a Methods only paper."
Q4,Q4: Type of Ecosystem - Selected Choice
Q4_7_TEXT,Q4: Type of Ecosystem - Other - Text
Q5,Q5: What continent/ocean is the study in?
Q6,Q6: What methods were used? - Selected Choice
Q6_5_TEXT,Q6: What methods were used? - Other - Text
Q3,General Information about the study and its methods (Optional)
Q7,Q7: Does the study quantify trends over time?
Q8,Q7b: How many years of data were used for the study?
Q11,Q8: Does the paper consider or compare multiple spatial scales?
Q9.1_1,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 1m² - 25m²
Q9.1_2,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 26m² - 50m²
Q9.1_3,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 51m² - 100m²
Q9.1_4,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 101m² - 500m²
Q9.1_5,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 501m² - 1km²
Q9.1_6,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 1-10 km²
Q9.1_7,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 10-100 km²
Q9.1_8,"Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 101-1,000 km²"
Q9.1_9,"Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 1,001-100,000 km²"
Q9.1_10,"Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 100,001-1,000,000 km²"
Q9.1_11,"Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - >1,000,000 km²"
Q9.1_12,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - Unclear or not specified
Q9.2_1,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 1m² - 25m²
Q9.2_2,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 26m² - 50m²
Q9.2_3,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 51m² - 100m²
Q9.2_4,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 101m² - 500m²
Q9.2_5,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 501m² - 1km²
Q9.2_6,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 1-10 km²
Q9.2_7,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 10-100 km²
Q9.2_8,"Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 101-1,000 km²"
Q9.2_9,"Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 1,001-100,000 km²"
Q9.2_10,"Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 100,001-1,000,000 km²"
Q9.2_11,"Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - >1,000,000 km²"
Q9.2_12,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - Unclear or not specified
Q28,Notes for Q9
Q14,"Q10: Does the paper consider connectivity between spatial replicates (sites, plots)?"
Q13,Q11: What is the distance between replicates?
Q25.1_1_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Habitat creation and maintenance - Response 1: Separate by commas"
Q25.1_1_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Habitat creation and maintenance - DO NOT USE Response 2"
Q25.1_2_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Pollination and dispersal of seeds or other propagules - Response 1: Separate by commas"
Q25.1_2_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Pollination and dispersal of seeds or other propagules - DO NOT USE Response 2"
Q25.1_3_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (N... - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants] - Response 1: Separate by commas"
Q25.1_3_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (N... - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants] - DO NOT USE Response 2"
Q25.1_4_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of climate [e.g. biological carbon storage and sequestration; me... - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands] - Response 1: Separate by commas"
Q25.1_4_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of climate [e.g. biological carbon storage and sequestration; me... - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands] - DO NOT USE Response 2"
Q25.1_5_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of ocean acidification [e.g. Regulation, by photosynthetic organ... - Regulation of ocean acidification [e.g. Regulation, by photosynthetic organisms (on land or in water), of atmospheric CO2 concentrations and seawater pH] - Response 1: Separate by commas"
Q25.1_5_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of ocean acidification [e.g. Regulation, by photosynthetic organ... - Regulation of ocean acidification [e.g. Regulation, by photosynthetic organisms (on land or in water), of atmospheric CO2 concentrations and seawater pH] - DO NOT USE Response 2"
Q25.1_6_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of freshwater quantity, location and timing [e.g. flow of surfac... - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation] - Response 1: Separate by commas"
Q25.1_6_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of freshwater quantity, location and timing [e.g. flow of surfac... - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation] - DO NOT USE Response 2"
Q25.1_7_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of freshwater and coastal water quality [e.g. filtration of part... - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals] - Response 1: Separate by commas"
Q25.1_7_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of freshwater and coastal water quality [e.g. filtration of part... - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals] - DO NOT USE Response 2"
Q25.1_8_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Formation, protection, and decontamination of soils and sediments [e.g deco... - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control] - Response 1: Separate by commas"
Q25.1_8_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Formation, protection, and decontamination of soils and sediments [e.g deco... - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control] - DO NOT USE Response 2"
Q25.1_9_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of hazards and extreme events [e.g. amelioration of floods, wind... - Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion] - Response 1: Separate by commas"
Q25.1_9_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of hazards and extreme events [e.g. amelioration of floods, wind... - Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion] - DO NOT USE Response 2"
Q25.1_10_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of detrimental organisms and biological processes [e.g. pests, p... - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals] - Response 1: Separate by commas"
Q25.1_10_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of detrimental organisms and biological processes [e.g. pests, p... - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals] - DO NOT USE Response 2"
