id,fullquestion,abbr,order,ES,Group,ESnum
StartDate,Start Date,Start,,,,
EndDate,End Date,End,,,,
Status,Response Type,Response,,,,
IPAddress,IP Address,IP,,,,
Progress,Progress,Progress,,,,
Duration..in.seconds.,Duration (in seconds),Seconds,,,,
Finished,Finished,Finish,,,,
RecordedDate,Recorded Date,Submit,,,,
ResponseId,Response ID,ID,,,,
RecipientLastName,Recipient Last Name,LastName,,,,
RecipientFirstName,Recipient First Name,FirstName,,,,
RecipientEmail,Recipient Email,Email,,,,
ExternalReference,External Data Reference,ExtDataRef,,,,
LocationLatitude,Location Latitude,Lat,,,,
LocationLongitude,Location Longitude,Long,,,,
DistributionChannel,Distribution Channel,DistChannel,,,,
UserLanguage,User Language,Lang,,,,
Q27,Q1: Enter Initials (Uppercase),Init,,,,
Q1,Q2: Title of the paper,Title,,,,
Q2,Q3: This paper only measures biodiversity/abundance but NOT as an explicit proxy for EF/ES,BiodivOnly,,,,
Q29,Q3b: This paper ONLY focuses on social dimensions of services (no measurement of services or processes),SocialOnly,,,,
Q30,"This paper is a Review, Synthesis, Meta-analysis or a Methods only paper.",ReviewOnly,,,,
Q4,Q4: Type of Ecosystem - Selected Choice,Ecosytem,,,,
Q4_7_TEXT,Q4: Type of Ecosystem - Other - Text,EcosytemNotes,,,,
Q5,Q5: What continent/ocean is the study in?,Place,,,,
Q6,Q6: What methods were used? - Selected Choice,Methods,,,,
Q6_5_TEXT,Q6: What methods were used? - Other - Text,MethodsNotes,,,,
Q3,General Information about the study and its methods (Optional),GenInfo,,,,
Q7,Q7: Does the study quantify trends over time?,TimeTrends,,,,
Q8,Q7b: How many years of data were used for the study?,YrsData,,,,
Q11,Q8: Does the paper consider or compare multiple spatial scales?,MultiScale,,,,
Q9.1_1,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 1m² - 25m²,Plots_25m,1,,,
Q9.1_2,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 26m² - 50m²,Plots_50m,2,,,
Q9.1_3,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 51m² - 100m²,Plots_100m,3,,,
Q9.1_4,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 101m² - 500m²,Plots_500m,4,,,
Q9.1_5,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 501m² - 1km²,Plots_1km,5,,,
Q9.1_6,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 1-10 km²,Plots_10km,6,,,
Q9.1_7,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 10-100 km²,Plots_100km,7,,,
Q9.1_8,"Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 101-1,000 km²",Plots_1000km,8,,,
Q9.1_9,"Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 1,001-100,000 km²",Plots_100Mgm,9,,,
Q9.1_10,"Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - 100,001-1,000,000 km²",Plots_100Gm,10,,,
Q9.1_11,"Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - >1,000,000 km²",Plots_101Gm,11,,,
Q9.1_12,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # plots in whole study - Unclear or not specified,Plots_unk,12,,,
Q9.2_1,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 1m² - 25m²,Sites_25m,1,,,
Q9.2_2,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 26m² - 50m²,Sites_50m,2,,,
Q9.2_3,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 51m² - 100m²,Sites_100m,3,,,
Q9.2_4,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 101m² - 500m²,Sites_500m,4,,,
Q9.2_5,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 501m² - 1km²,Sites_1km,5,,,
Q9.2_6,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 1-10 km²,Sites_10km,6,,,
Q9.2_7,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 10-100 km²,Sites_100km,7,,,
Q9.2_8,"Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 101-1,000 km²",Sites_1000km,8,,,
Q9.2_9,"Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 1,001-100,000 km²",Sites_100Mgm,9,,,
Q9.2_10,"Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - 100,001-1,000,000 km²",Sites_100Gm,10,,,
Q9.2_11,"Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - >1,000,000 km²",Sites_101Gm,11,,,
Q9.2_12,Q9: What is the size of the unit of replication? Select multiple if inferences are made at multip... - Total # sites in whole study - Unclear or not specified,Sites_unk,12,,,
Q28,Notes for Q9,ScaleNotes,,,,
Q14,"Q10: Does the paper consider connectivity between spatial replicates (sites, plots)?",Connect,,,,
Q13,Q11: What is the distance between replicates?,ConnectDist,,,,
Q25.1_1_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Habitat creation and maintenance - Response 1: Separate by commas",Response,,HabCreate,ES,1
Q25.1_1_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Habitat creation and maintenance - DO NOT USE Response 2",Response,,HabCreate,,1
Q25.1_2_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Pollination and dispersal of seeds or other propagules - Response 1: Separate by commas",Response,,Pollination,,2
Q25.1_2_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Pollination and dispersal of seeds or other propagules - DO NOT USE Response 2",Response,,Pollination,,2
Q25.1_3_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (N... - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants] - Response 1: Separate by commas",Response,,AQReg,,3
Q25.1_3_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (N... - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants] - DO NOT USE Response 2",Response,,AQReg,,3
Q25.1_4_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of climate [e.g. biological carbon storage and sequestration; me... - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands] - Response 1: Separate by commas",Response,,ClimReg,,4
Q25.1_4_2,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of climate [e.g. biological carbon storage and sequestration; me... - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands] - DO NOT USE Response 2",Response,,ClimReg,,4
Q25.1_5_1,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of ocean acidification [e.g. Regulation, by photosynthetic organ... - Regulation of ocean acidification [e.g. Regulation, by photosynthetic organisms (on land or in water), of atmospheric CO2 concentrations and seawater pH] - Response 1: Separate by commas",Response,,OceanReg,,5
