ES,yclass,yresponse,count
Pollination,ES,,1
SoilProtect,Proxy for ES,,1
ClimReg,NA,,1
MaintainOpts,ES,"""total diversity"" (not ecological diversity)",1
SoilProtect,EF,% litter mass remaining,1
SoilProtect,Proxy for ES,% litter mass remaining,1
ClimReg,ES,above and below ground primary prouction,1
ClimReg,Proxy for ES,above and below ground primary prouction,1
SoilProtect,ES,above ground biomass,1
Energy,Proxy for ES,aboveground annual net primary productivity,1
ClimReg,EF,aboveground biomass,1
ClimReg,ES,aboveground biomass,2
Food,Proxy for ES,aboveground biomass,1
ClimReg,ES,aboveground carbon pool,1
ClimReg,Proxy for ES,aboveground carbon pool,1
ClimReg,EF,aboveground live biomass,1
Pollination,ES,abundance,1
SoilProtect,Proxy for ES,abundance and body size of carabids,1
SoilProtect,Proxy for ES,abundance and body size of collembollans,1
SoilProtect,Proxy for ES,abundance and body size of dipterans,1
SoilProtect,Proxy for ES,abundance and body size of staphylinids,1
Pollination,ES,abundance and diversity of native bees,1
PestPath,EF,abundance of beneficial fungi,1
SoilProtect,EF,abundance of detritivorous soil arthropods,1
PestPath,EF,abundance of fungal pathogen,1
MaintainOpts,Proxy for ES,abundance of native and non-native taxa,1
CulturePsych,Proxy for ES,abundance of rdb or nationally scarce invertebrates,1
CulturePsych,ES,aesthetic heritage,1
CulturePsych,ES,aesthetic value,1
CulturePsych,ES,aesthetics,1
Food,ES,agricultural production,2
Food,ES,agricultural revenue,1
Food,Proxy for ES,agricultural revenue,1
coastWQReg,ES,ammonia and nitrate loss,1
MaintainOpts,Proxy for ES,amount of disturbance,1
Pollination,ES,and diversity of wild bees visiting flowers,1
Energy,EF,annual mortality,1
SoilProtect,Proxy for ES,ant assemblage composition,1
PestPath,Proxy for ES,aphid days,1
PestPath,Proxy for ES,aphid growth,1
PestPath,ES,aphids per plant,1
CulturePsych,NA,aquaculture,1
Food,NA,aquaculture,1
Food,ES,aquaculture and salt production,1
HabCreate,Proxy for ES,aquatic habitat potential,1
freshWQReg,ES,aquatic production,1
PestPath,Proxy for ES,area of riparian habitat,1
AQReg,ES,atmospheric regulation,1
SoilProtect,Proxy for ES,available p,1
Pollination,Proxy for ES,average percent volume of plant in feces,1
SoilProtect,Proxy for ES,bacterial substrate uptake,1
Energy,ES,barrels of oil equivalent,1
ClimReg,EF,basal area,1
ClimReg,ES,basal area,1
ClimReg,NA,basal area,1
Materials,NA,basal area,1
freshWQReg,ES,base flow,1
MaintainOpts,ES,biodiversity,1
HabCreate,Proxy for ES,biodiversity,2
PestPath,Proxy for ES,biodiversity,1
Food,Proxy for ES,biodiversity,1
CulturePsych,ES,biodiversity appreciation,1
CulturePsych,ES,biodiversity condition,1
HabCreate,Proxy for ES,biodiversity loss,1
HabCreate,EF,biodiversity protection,1
HabCreate,ES,biodiversity protection,1
HabCreate,Proxy for ES,biodiversity value of grasslands,1
PestPath,Proxy for ES,biological control by natural predators,1
