"Round2_reviewer","Number","MeetsCriteria_matches","Round1_reviewer","Comments","FirstAuthor","Title","AuthorsFull","SourcePublication","Abstract","PublicationDate","PublicationYear"
"Aislyn",882,1,"Julie","This one is iffy, but I included on the rationale that it looks at damming effects on variables potentially related to riparian function (e.g., veg fragmentation, structural heterogeneity), though linkages of these metrics to ES outcomes in text were pretty much missing, so I feel I am partially assuming.","Aguiar","Riverscapes downstream of hydropower dams: Effects of altered flows and historical land-use change","Aguiar, Francisca Constanca; Martins, Maria Joao; Silva, Pedro Cristiano; Fernandes, Maria Rosario","LANDSCAPE AND URBAN PLANNING","Dams strongly impair the fluvial environment by altering downstream flows. We analysed riverscapes downstream of three dams and hypothesized that different dam types in rivers with diverse history of land-use and land cover (LULC) change have significant riparian cover differences at diverse biogeomorphic units (banks, riverbanks, islands). We performed a temporal comparison using pre-dam (1965) and post-dam (2013) high-resolution airborne imagery. A new approach was devised to correct the spatial offset between historical and contemporary imagery. Riparian vegetation and LULC(200 m-buffer) were mapped in three rivers of Portugal regulated by the dams Touvedo (run-of-river), Vilarinho das Furnas and Fronhas (storage reservoirs). Five landscape metrics, measures of shape complexity, area and edge effect of riparian patches were computed, including the Weighted Class Area, a metric developed to better interpret the landscape variation. Our findings provide support for the hypothesis of highly altered riverscapes in the post-dam period. For all case studies riparian patches are presently larger, but with less complex shapes and smaller edges. In the present study riparian patches encroach into the river channel, occupy more area and are larger at the two reservoir rivers than at the run-of-river setting. Riparian growth trajectory at the latter is mainly outwards from the active channel and non-vegetated areas in riverbanks and banks are significantly larger; likely due to the washing flows. Redundancy analyses indicated that riparian change was driven by both LULC (agricultural land abandonment and unmanaged forests) and hydrological alterations that jointly determine the structure and spatial trajectories of riparian expansion. (C) 2016 Elsevier B.V. All rights reserved.","SEP",2016
"Aislyn",1847,0,"Nick",NA,"Aslan","Practical Challenges in Private Stewardship of Rangeland Ecosystems: Yellow Starthistle Control in Sierra Nevadan Foothills","Aslan, Clare E.; Hufford, Matthew B.; Epanchin-Niell, Rebecca S.; Port, Jeffrey D.; Sexton, Jason P.; Waring, Timothy M.","RANGELAND ECOLOGY & MANAGEMENT","Private landowners are often de facto stewards of biodiversity and ecosystem services. In California's Sierra Nevada foothills, ranchers frequently present the only defense against biological invasions in private rangelands. Although ranchers' land management goals (e.g., the desire to control invasive species) can be consistent with ecosystem protection, practical constraints often limit their success. Considerable research on the invasive weed, yellow starthistle (Centaurea solstitialis L.), has produced numerous control strategies. Nevertheless, the range of this noxious weed continues to increase. We used surveys and interviews to document the weed control efforts of 202 ranchers and to identify practical limitations to their efficacy. Overall, 86% of ranchers who had experienced yellow starthistle infestation had attempted control, using one or more of 19 methods. Early response reduced negative effects from yellow starthistle. Control methods learned from agricultural advisors were reported more effective than those learned elsewhere. Limitations to yellow starthistle control in our study population resulted from incomplete information regarding control methods, complexity of weed control in heterogeneous landscapes, inconsistent application of methods, and lack of long-term planning for weed control. Such hindrances make it difficult for landowners to implement control methods promoted by researchers. This gap between science and practice contributes to the continued increase of yellow starthistle within the study region. To shrink this gap, researchers and agricultural advisors can incorporate environmental heterogeneity into applied agricultural research, use land stewards' knowledge and experience, and increase public education.","JAN",2009
"Aislyn",1349,0,"Laurel",NA,"Belote","Land protection and timber harvesting along productivity and diversity gradients in the Northern Rocky Mountains","Belote, R. Travis; Aplet, Gregory H.","ECOSPHERE","Understanding the complex and reciprocal ways in which ecosystem functions (such as productivity) and biodiversity interact may provide important insights into sustaining ecosystem services and protecting species diversity. Despite years of research, observed relationships between productivity and biodiversity have been varied and hypotheses explaining patterns are diverse and equivocal. The ways in which patterns of productivity-biodiversity relationships can inform conservation may depend on understanding how gradients in human land use map onto gradients of productivity and biodiversity. Here, we used diverse publicly available spatial datasets on ecosystem productivity, tree diversity, climate, and land cover to explore two broad questions in ecoregions of Montana: (1) what is the relationship between productivity and tree diversity and (2) are land use gradients (from timber harvesting to wilderness protection) related to gradients of productivity and diversity? We also investigated the possible climatic and topographic drivers of these ecological and anthropogenic patterns. We found the most productive ecoregions support greater numbers of tree species, which appears to be influenced by precipitation but not temperature gradients. The most productive and diverse ecoregions included greater amounts of timber harvesting disturbance and associated road densities. The amount of protected area within ecoregions was highest at intermediate levels of productivity and diversity and was strongly related to mean elevation of ecoregions. Our results suggest that climate-influenced productivity gradients may influence patterns of biodiversity and are related to patterns in human land use. Further, given the existing conditions and current distribution of protected areas, we recommend that the most altered productive and diverse ecoregions may offer opportunities both for additional protection and for holistic restoration programs.","FEB",2014
"Aislyn",1038,0,"Kathryn",NA,"Bergstrom","Modeling and predicting the growth of the mussel, Mytilus edulis: implications for planning of aquaculture and eutrophication mitigation","Bergstrom, Per; Lindegarth, Susanne; Lindegarth, Mats","ECOLOGY AND EVOLUTION","The increased pressure on the marine ecosystems highlights the need for policies and integrated approaches for sustainable management of coastal areas. Spatial planning based on geographic information of human activities, ecological structures and functions, and their associated goods and services is a fundamental component in this context. Here, we evaluate the potential of predictive modeling to provide spatial data on one ecosystem function, mussel growth for use in such processes. We developed a methodology based on statistical modeling, spatial prediction, and mapping for the relative growth of the blue mussel, Mytilus edulis. We evaluated the performance of different modeling techniques and classification schemes using empirical measurements of growth from 144 sampling sites and data on biological, chemical, and physical predictors. Following comparisons of the different techniques and schemes, we developed random forest models to predict growth along the Swedish west coast. Implemented into GIS the best model produced in this study predicts that low, intermediate, and high growth rates can be expected in 53%, 32%, and 15% of modeled area, respectively. The results of this study also suggest that the nature and quality of predictor data hold the key to improving the predictive power of models. On a more general note, this study exemplifies a feasible approach based on measuring, modeling, and mapping for obtaining scientifically based spatial information on ecosystem functions and services affected by a complex set of factors. Such information is fundamental for maritime spatial planning and ecosystem-based management and its importance is likely to increase in the future. Because of its close link to nutrient assimilation and production yield, site-specific information of soft tissue growth such as the map of predicted growth rate developed in this study can be used as a tool for optimizing actions aimed at mitigating eutrophication and aquaculture operations and in maritime spatial planning processes of coastal areas.","DEC",2015
"Aislyn",1097,0,"Travis",NA,"Bianchi","Early-season crop colonization by parasitoids is associated with native vegetation, but is spatially and temporally erratic","Bianchi, F. J. J. A.; Walters, B. J.; ten Hove, A. L. T.; Cunningham, S. A.; van der Werf, W.; Douma, J. C.; Schellhorn, N. A.","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","Semi-natural habitats in agricultural landscapes may support parasitoid populations that provide biocontrol services by suppressing populations of crop pests, but little is known about the spatial pattern and variability of these services at different levels of scale. Here we investigate the rarely studied phenomenon of early-season crop colonization by parasitoids and the relationship with the surrounding landscape. We assessed parasitism of whiteflies by placing whitefly infested cotton seedlings in remnant vegetation, arable land 25-125 m from remnant vegetation, and arable land further than 400 m from remnant vegetation. Twelve to twenty sentinel plants were exposed in a 25 x 25 m grid pattern in plots in each habitat. The experiment was conducted at 18 locations across two landscapes and repeated three times in a 2-week period in 2007 and 2008. Parasitism was observed during the first three days after the introduction of the whitefly infested seedlings and was in all cases caused by Encarsia spp. The mean number of parasitized whitefly per plant was 0.106 +/- 0.025 and was highest on cotton plants placed in remnant vegetation, declining with increasing distance from remnant vegetation. A regression model with land use and meteorological variables received more statistical support from the data than models with only landscape and time period as factors. Parasitism levels were influenced by the proportion of remnant vegetation, grassland, as well as wind, temperature, dew point temperature and year. Early-season colonization of whitefly infested seedlings by parasitoids was erratic and characterized by large spatial (inter-plant and inter-plot) and temporal variation. Our study confirms that remnant vegetation function as reservoirs for parasitoids and that parasitoids can penetrate arable fields beyond 125 m within 3 days. However, variation in the occurrence of parasitism makes it difficult to predict parasitoid colonization at a specific place and time. Therefore, field-based scouting for pests and parasitoids is necessary, even in landscapes with a high biocontrol potential. (C) 2015 Elsevier B.V. All rights reserved.","43709",2015
"Aislyn",942,0,"Kathryn",NA,"Blitzer","Pollination services for apple are dependent on diverse wild bee communities","Blitzer, Eleanor J.; Gibbs, Jason; Park, Mia G.; Danforth, Bryan N.","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","Understanding the importance of biodiversity in applied settings is a central theme for ecologists. Pollination is an essential ecosystem service, which may rely on biodiversity for effectiveness and stability. Empirical examples which link functional outcomes of increased biodiversity to pollination services are rare. To investigate the importance of wild and managed pollinator communities to apple production, we assessed the effect of wild and managed bee abundance and diversity on pollen limitation and seed set on commercial farms in New York State. Seed set increased and pollen limitation decreased with increasing wild bee species richness, functional group diversity (based on nesting, sociality, and size traits), and abundance, but not with honey bee abundance. Functional group diversity explained more variation in apple seed set than species richness. Our findings demonstrate the important role of functional complementarity of wild bees, defined here as functional group diversity, to crop pollination even in the presence of large populations of managed honey bees. Therefore, our results suggest that management of diverse pollinator communities may decrease reliance on managed honey bees for pollination services and enhance crop yields. (C) 2016 Elsevier B.V. All rights reserved.","43556",2016
"Aislyn",1628,0,"Grant","mostly focuses on bumblebee abundance/diversity, but loosely ties it to crop yields","Bommarco","Drastic historic shifts in bumble-bee community composition in Sweden","Bommarco, Riccardo; Lundin, Ola; Smith, Henrik G.; Rundlof, Maj","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","The species richness of flower-visiting insects has declined in past decades, raising concerns that the ecosystem service they provide by pollinating crops and wild plants is threatened. The relative commonness of different species with shared ecological traits can play a pervasive role in determining ecosystem functioning, but information on changes in abundances of pollinators over time is lacking. We gathered data on relative abundances of bumble-bee species in Swedish red clover fields during three periods in the last 70 years (1940s, 1960s and present), and on clover seed yields since 1921. We found drastic decreases in bumble-bee community evenness, with potential consequences for level and stability of red clover seed yield. The relative abundances of two short-tongued bumble-bees have increased from 40 per cent in the 1940s to entirely dominate present communities with 89 per cent. Average seed yield declined in recent years and variation in yield doubled, suggesting that the current dependence on few species for pollination has been especially detrimental to stability in seed yield. Our results suggest a need to develop management schemes that promote not only species-rich but also more evenly composed communities of service-providing organisms.","43487",2012
"Aislyn",1793,1,"Nick",NA,"Breitbach","Bird diversity and seed dispersal along a human land-use gradient: high seed removal in structurally simple farmland","Breitbach, Nils; Laube, Irina; Steffan-Dewenter, Ingolf; Boehning-Gaese, Katrin","OECOLOGIA","Only few studies have analysed the relationship between biodiversity and ecosystem function at the landscape scale although relationships and mechanisms known from experimental studies might be different in natural systems. We quantified bird diversity and seed removal from 38 wild cherry trees (Prunus avium) along a human land-use gradient from forest to structurally diverse to simple agricultural systems. High human land-use intensity led to low species richness and total abundance of the local bird community around wild cherry trees, as expected from previous studies. Nevertheless, trees in structurally simple agroecosystems were visited as frequently as trees in structurally complex landscapes and in forests. Furthermore, the number of seeds removed per tree did not decline with increasing human land-use intensity. Thus, ecosystem function was robust in spite of locally reduced bird diversity. The reason might be that movement behaviour and movement distances of birds changed along the human land-use gradient. It appears that birds moved longer distances to forage in fruiting cherry trees in structurally simple agroecosystems. This suggests that for systems where ecosystem function is mediated by highly mobile organisms, movement behaviour and distances are of considerable importance. Increases in movement distances with increasing human land-use intensity might also be common in other systems in which ecosystem function depends on mobile links.","APR",2010
"Aislyn",1714,0,"Tim",NA,"Bru","Determinants of the distribution of nitrogen-cycling microbial communities at the landscape scale","Bru, D.; Ramette, A.; Saby, N. P. A.; Dequiedt, S.; Ranjard, L.; Jolivet, C.; Arrouays, D.; Philippot, L.","ISME JOURNAL","Little information is available regarding the landscape-scale distribution of microbial communities and its environmental determinants. However, a landscape perspective is needed to understand the relative importance of local and regional factors and land management for the microbial communities and the ecosystem services they provide. In the most comprehensive analysis of spatial patterns of microbial communities to date, we investigated the distribution of functional microbial communities involved in N-cycling and of the total bacterial and crenarchaeal communities over 107 sites in Burgundy, a 31 500km(2) region of France, using a 16 x 16 km(2) sampling grid. At each sampling site, the abundance of total bacteria, crenarchaea, nitrate reducers, denitrifiers- and ammonia oxidizers were estimated by quantitative PCR and 42 soil physico-chemical properties were measured. The relative contributions of land use, spatial distance, climatic conditions, time, and soil physico-chemical properties to the spatial distribution of the different communities were analyzed by canonical variation partitioning. Our results indicate that 43-85% of the spatial variation in community abundances could be explained by the measured environmental parameters, with soil chemical properties (mostly pH) being the main driver. We found spatial autocorrelation up to 739km and used geostatistical modelling to generate predictive maps of the distribution of microbial communities at the landscape scale. The present study highlights the potential of a spatially explicit approach for microbial ecology to identify the overarching factors driving the spatial heterogeneity of microbial communities even at the landscape scale. The ISME Journal (2011) 5, 532-542; doi: 10.1038/ismej.2010.130; published online 12 August 2010","MAR",2011
"Aislyn",449,0,"Isabel",NA,"Chaudhary","Reprint of: Environmental justice and ecosystem services: A disaggregated analysis of community access to forest benefits in Nepal","Chaudhary, Sunita; McGregor, Andrew; Houston, Donna; Chettri, Nakul","ECOSYSTEM SERVICES","The concept of ecosystem services is influencing how environmental stakeholders pursue dual conservation and community development goals. While rapidly growing in popularity, the ecosystem services approach has been criticized for adopting a homogenous approach to communities and failing to consider social diversity and associated power structures influencing access to benefits. In this paper, we adopt an environmental justice lens to analyse access to ecosystem services in a case study of community forestry in Nepal. Using mixed methods, our disaggregated analysis shows that access to ecosystem services is differentiated by social characteristics such as caste, income and gender with uneven distributive outcomes and participation. High-income groups were able to disproportionately access the benefits despite the social equity provisions built into policy and institutional structures. Our study shows that some of the protections oriented at assisting disadvantaged groups were experienced as onerous and should be amended if they are to have beneficial outcomes. In highlighting entrenched inequities, we argue that the ecosystem services approach needs to make environmental justice more central to avoid further marginalising the marginalized, and have far and just outcomes. The current emphasis on aggregated analysis may contribute little to practically implementing programs that will contribute to sustainable socio-ecological wellbeing.","FEB",2018
