"Round2_reviewer1","Round2_reviewer2","Number","MeetsCriteria_matches","Round1_reviewer","Comments","FirstAuthor","Title","AuthorsFull","SourcePublication","Abstract","PublicationDate","PublicationYear"
"Aislyn","Grant",542,1,"Isabel","just modeled habitat connectivity as EF but didn't really scale up to ES","Albert","Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change","Albert, Cecile H.; Rayfield, Bronwyn; Dumitru, Maria; Gonzalez, Andrew","CONSERVATION BIOLOGY","Designing connected landscapes is among the most widespread strategies for achieving biodiversity conservation targets. The challenge lies in simultaneously satisfying the connectivity needs of multiple species at multiple spatial scales under uncertain climate and land-use change. To evaluate the contribution of remnant habitat fragments to the connectivity of regional habitat networks, we developed a method to integrate uncertainty in climate and land-use change projections with the latest developments in network-connectivity research and spatial, multipurpose conservation prioritization. We used land-use change simulations to explore robustness of species' habitat networks to alternative development scenarios. We applied our method to 14 vertebrate focal species of periurban Montreal, Canada. Accounting for connectivity in spatial prioritization strongly modified conservation priorities and the modified priorities were robust to uncertain climate change. Setting conservation priorities based on habitat quality and connectivity maintained a large proportion of the region's connectivity, despite anticipated habitat loss due to climate and land-use change. The application of connectivity criteria alongside habitat-quality criteria for protected-area design was efficient with respect to the amount of area that needs protection and did not necessarily amplify trade-offs among conservation criteria. Our approach and results are being applied in and around Montreal and are well suited to the design of ecological networks and green infrastructure for the conservation of biodiversity and ecosystem services in other regions, in particular regions around large cities, where connectivity is critically low.","DEC",2017
"Aislyn","Grant",1740,1,"Tim",NA,"Bianchi","Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression","Bianchi, F. J. J. A.; Schellhorn, N. A.; Buckley, Y. M.; Possingham, H. P.","ECOLOGICAL APPLICATIONS","Agricultural pest control often relies on the ecosystem services provided by the predators of pests. Appropriate landscape and habitat management for pest control services requires an understanding of insect dispersal abilities and the spatial arrangement of source habitats for pests and their predators. Here we explore how dispersal and habitat configuration determine the locations where management actions are likely to have the biggest impact on natural pest control. The study focuses on the early colonization phase before predator reproduction takes place and when pest populations in crops are still relatively low. We developed a spatially explicit simulation model in which pest populations grow exponentially in pest patches and predators disperse across the landscape from predator patches. We generated 1000 computer-simulated landscapes in which the performance of four typical but different predator groups as biological control agents was evaluated. Predator groups represented trait combinations of poor and good dispersal ability and density-independent and density-dependent aggregation responses toward pests. Case studies from the literature were used to inform the parameterization of predator groups. Landscapes with a small nearest-neighbor distance between pest and predator patches had the lowest mean pest density at the landscape scale for all predator groups, but there can be high variation in pest density between the patches within these landscapes. Mobile and strongly aggregating predators provide the best pest suppression in the majority of landscape types. Ironically, this result is true except in landscapes with small nearest-neighbor distances between pest and predator patches. The pest control potential of mobile predators can best be explained by the mean distance between a pest patch and all predator patches in the landscape, whereas for poorly dispersing predators the distance between a pest patch and the nearest predator patch is the best explanatory variable. In conclusion, the spatial arrangement of source habitats for natural enemies of agricultural pest species can have profound effects on their potential to colonize crops and suppress pest populations.","DEC",2010
"Aislyn","Anna",1152,0,"Travis",NA,"Buchel","Citizens' voice: A case study about perceived ecosystem services by urban park users in Rotterdam, the Netherlands","Buchel, Sophie; Frantzeskaki, Niki","ECOSYSTEM SERVICES","To create a city in which green space is designed to address not only ecological priorities but also user perception, it is essential for planners and policy makers to explore the experiences of urban green space users. This study developed a method to a guide the translation of the concept of ecosystem services to citizens. Through a three-step process urban ecosystem services were re-categorized into a subset of directly perceivable services, fine-grained and formed into understandable statements. These statements were presented to urban park users in Rotterdam using Q methodology. Three main user profiles emerged around 'love of nature', 'recreation and connection' and 'social setting and relaxation'. Overall the most valued ecosystem subservice was aesthetic appreciation. Other ecosystem subservices that scored highly were recreation, air qualify control and social setting. Awareness of types of users in terms of park perception could aid urban planners in designing user-focused urban green spaces. (C) 2014 Elsevier B.V. All rights reserved.","APR",2015
"Aislyn","Grant",911,0,"Kathryn",NA,"Burdon","Environmental context and magnitude of disturbance influence trait-mediated community responses to wastewater in streams","Burdon, Francis J.; Reyes, Marta; Alder, Alfredo C.; Joss, Adriano; Ort, Christoph; Raesaenen, Katja; Jokela, Jukka; Eggen, Rik I. L.; Stamm, Christian","ECOLOGY AND EVOLUTION","Human land uses and population growth represent major global threats to biodiversity and ecosystem services. Understanding how biological communities respond to multiple drivers of human-induced environmental change is fundamental for conserving ecosystems and remediating degraded habitats. Here, we used a replicated 'real-world experiment' to study the responses of invertebrate communities to wastewater perturbations across a land-use intensity gradient in 12 Swiss streams. We used different taxonomy and trait-based community descriptors to establish the most sensitive indicators detecting impacts and to help elucidate potential causal mechanisms of change. First, we predicted that streams in catchments adversely impacted by human land-uses would be less impaired by wastewater inputs because their invertebrate communities should be dominated by pollution-tolerant taxa ('environmental context'). Second, we predicted that the negative effects of wastewater on stream invertebrate communities should be larger in streams that receive proportionally more wastewater ('magnitude of disturbance'). In support of the 'environmental context' hypothesis, we found that change in the Saprobic Index (a trait-based indicator of tolerance to organic pollution) was associated with upstream community composition; communities in catchments with intensive agricultural land uses (e.g., arable cropping and pasture) were generally more resistant to eutrophication associated with wastewater inputs. We also found support for the 'magnitude of disturbance' hypothesis. The SPEAR Index (a trait-based indicator of sensitivity to pesticides) was more sensitive to the relative input of effluent, suggesting that toxic influences of wastewater scale with dilution. Whilst freshwater pollution continues to be a major environmental problem, our findings highlight that the same anthropogenic pressure (i.e., inputs of wastewater) may induce different ecological responses depending on the environmental context and community metrics used. Thus, remediation strategies aiming to improve stream ecological status (e.g., rehabilitating degraded reaches) need to consider upstream anthropogenic influences and the most appropriate indicators of restoration success.","JUN",2016
"Aislyn","Grant",1412,1,"Laurel",NA,"Butler","An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia","Butler, James R. A.; Wong, Grace Y.; Metcalfe, Daniel J.; Honzak, Miroslav; Pert, Petina L.; Rao, Nalini; van Grieken, Martijn E.; Lawson, Tina; Bruce, Caroline; Kroon, Frederieke J.; Brodie, Jon E.","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","The Great Barrier Reef (GBR), Australia, is threatened by declining water quality largely derived from agricultural run-off. Water quality planning aims to mitigate pollutant run-off through land management, including riparian and wetland restoration, but no tools exist to assess trade-offs in land use change across the catchment-to-reef continuum. We adapted the Millennium Ecosystem Assessment framework in the GBR's Tully-Murray catchment to identify trade-offs between linked ecosystem services and stakeholders. Applying four land use scenarios we assessed outcomes for the ecosystem service of water quality regulation, and trade-offs with six floodplain services and four GBR services. Based on statistical correlations between ecosystem services' status under the scenarios, we identified trade-offs and thresholds between services and associated stakeholders. The most direct trade-off in floodplain services (and primary stakeholders) was food and fibre production (farmers) versus water quality regulation (community, GBR tourists, tour operators and fishermen). There were synergies between water quality regulation (community, GBR tourists, tour operators and fishermen) and floodplain recreational and commercial fisheries (fishermen). Scale mis-matches between water quality management structures and ecosystem service flows were also evident. We discuss the strengths and weaknesses of this ecosystem services approach, and its potential application in the GBR and other catchment-to-reef social-ecological systems. (C) 2011 Elsevier B.V. All rights reserved.","43770",2013
"Aislyn","Anna",561,1,"Isabel",NA,"Cantarello","Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape","Cantarello, Elena; Newton, Adrian C.; Martin, Philip A.; Evans, Paul M.; Gosal, Arjan; Lucash, Melissa S.","ECOLOGY AND EVOLUTION","Resilience is increasingly being considered as a new paradigm of forest management among scientists, practitioners, and policymakers. However, metrics of resilience to environmental change are lacking. Faced with novel disturbances, forests may be able to sustain existing ecosystem services and biodiversity by exhibiting resilience, or alternatively these attributes may undergo either a linear or nonlinear decline. Here we provide a novel quantitative approach for assessing forest resilience that focuses on three components of resilience, namely resistance, recovery, and net change, using a spatially explicit model of forest dynamics. Under the pulse set scenarios, we explored the resilience of nine ecosystem services and four biodiversity measures following a one-off disturbance applied to an increasing percentage of forest area. Under the pulse+press set scenarios, the six disturbance intensities explored during the pulse set were followed by a continuous disturbance. We detected thresholds in net change under pulse+press scenarios for the majority of the ecosystem services and biodiversity measures, which started to decline sharply when disturbance affected >40% of the landscape. Thresholds in net change were not observed under the pulse scenarios, with the exception of timber volume and ground flora species richness. Thresholds were most pronounced for aboveground biomass, timber volume with respect to the ecosystem services, and ectomycorrhizal fungi and ground flora species richness with respect to the biodiversity measures. Synthesis and applications. The approach presented here illustrates how the multidimensionality of stability research in ecology can be addressed and how forest resilience can be estimated in practice. Managers should adopt specific management actions to support each of the three components of resilience separately, as these may respond differently to disturbance. In addition, management interventions aiming to deliver resilience should incorporate an assessment of both pulse and press disturbances to ensure detection of threshold responses to disturbance, so that appropriate management interventions can be identified.","NOV",2017
"Aislyn","Grant",1344,1,"Laurel",NA,"Chiang","Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons","Chiang, Li-Chi; Lin, Yu-Pin; Huang, Tao; Schmeller, Dirk S.; Verburg, Peter H.; Liu, Yen-Lan; Ding, Tzung-Su","LANDSCAPE AND URBAN PLANNING","Ongoing environmental disturbances (e.g., climate variation and anthropogenic activities) alter an ecosystem gradually over time. Sudden large disturbances (e.g., typhoons and earthquakes) can have a significant and immediate impact on landscapes and ecosystem services. This study explored how precipitation variation (PV) and land use/land cover (LULC) changes caused by multiple disturbances can cumulatively impact ecosystem functioning in the Chenyulan watershed in central Taiwan. We simulated four ecosystem services (water yield production, water purification, soil conservation, carbon storage) and biodiversity using the InVEST (Integrated Valuation of Ecosystem Services and Tradeoffs) model to analyze the spatiotemporal changes and obtain information regarding changes in the ecosystem. Our results indicate that the Chi-Chi earthquake had the greatest impact on the ecosystem. Specifically, the ecosystem was altered by the earthquake and could no longer absorb disturbances of a similar magnitude as before the earthquake. By differentiating the impacts of the PV and LULC changes on ecosystem services and biodiversity, we observe that the PV had a stronger impact on water yield and soil conservation, whereas the LULC change had a stronger impact on water purification. Our results also suggest that a comprehensive ecosystem management plan should consider the cumulative and hierarchical context of disturbance regimes to prevent reductions in ecological variability and ecosystem resilience, particularly in areas that are more sensitive to large disturbances. In this way, ecosystem resilience may be maintained at a level sufficient to preserve ecosystem functioning and ecosystem services in the event of unexpected large-scale environmental disturbances. (C) 2013 Elsevier B.V. All rights reserved.","FEB",2014
"Aislyn","Grant",643,1,"Laura/Caitlin","CTW re-evaluated article for Q8; LD: seems meta-analysis-esque, but was a synthesis of expert opinion. this would be a case that it would be good to discuss","Clark","Nitrogen-induced terrestrial eutrophication: cascading effects and impacts on ecosystem services","Clark, Christopher M.; Bell, Michael D.; Boyd, James W.; Compton, Jana E.; Davidson, Eric A.; Davis, Christine; Fenn, Mark E.; Geiser, Linda; Jones, Laurence; Blett, Tamara F.","ECOSPHERE","Human activity has significantly increased the deposition of nitrogen (N) on terrestrial ecosystems over pre-industrial levels leading to a multitude of effects including losses of biodiversity, changes in ecosystem functioning, and impacts on human well-being. It is challenging to explicitly link the level of deposition on an ecosystem to the cascade of ecological effects triggered and ecosystem services affected, because of the multitude of possible pathways in the N cascade. To address this challenge, we report on the activities of an expert workshop to synthesize information on N-induced terrestrial eutrophication from the published literature and to link critical load exceedances with human beneficiaries by using the STressor- Ecological Production function final ecosystem Services Framework and the Final Ecosystem Goods and Services Classification System (FEGS-CS). We found 21 N critical loads were triggered by N deposition (ranging from 2 to 39 kg N.ha(-1),yr(-1)), which cascaded to distinct beneficiary types through 582 individual pathways in the five ecoregions examined (Eastern Temperate Forests, Marine West Coast Forests, Northwestern Forested Mountains, North American Deserts, Mediterranean California). These exceedances ultimately affected 66 FEGS across a range of final ecosystem service categories (21 categories, e.g., changes in timber production, fire regimes, and native plant and animal communities) and 198 regional human beneficiaries of different types. Several different biological indicators were triggered in different ecosystems, including grasses and/or forbs (33% of all pathways), mycorrhizal communities (22%), tree species (21%), and lichen biodiversity (11%). Ecoregions with higher deposition rates for longer periods tended to have more numerous and varied ecological impacts (e.g., Eastern Temperate Forests, eight biological indicators) as opposed to other ecoregions (e.g., North American Deserts and Marine West Coast Forests each with one biological indicator). Nonetheless, although ecoregions differed by ecological effects from terrestrial eutrophication, the number of FEGS and beneficiaries impacted was similar across ecoregions. We found that terrestrial eutrophication affected all ecosystems examined, demonstrating the widespread nature of terrestrial eutrophication nationally. These results highlight which people and ecosystems are most affected according to present knowledge, and identify key uncertainties and knowledge gaps to be filled by future research.","JUL",2017
"Aislyn","Grant",407,2,"Sierra",NA,"Galic","When things don't add up: quantifying impacts of multiple stressors from individual metabolism to ecosystem processing","Galic, Nika; Sullivan, Lauren L.; Grimm, Volker; Forbes, Valery E.","ECOLOGY LETTERS","Ecosystems are exposed to multiple stressors which can compromise functioning and service delivery. These stressors often co-occur and interact in different ways which are not yet fully understood. Here, we applied a population model representing a freshwater amphipod feeding on leaf litter in forested streams. We simulated impacts of hypothetical stressors, individually and in pairwise combinations that target the individuals' feeding, maintenance, growth and reproduction. Impacts were quantified by examining responses at three levels of biological organisation: individual-level body sizes and cumulative reproduction, population-level abundance and biomass and ecosystem-level leaf litter decomposition. Interactive effects of multiple stressors at the individual level were mostly antagonistic, that is, less negative than expected. Most population- and ecosystem-level responses to multiple stressors were stronger than expected from an additive model, that is, synergistic. Our results suggest that across levels of biological organisation responses to multiple stressors are rarely only additive. We suggest methods for efficiently quantifying impacts of multiple stressors at different levels of biological organisation.","APR",2018
"Aislyn","Anna",464,1,"Isabel",NA,"Gotsch","Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow","Gotsch, Sybil G.; Draguljic, Danel; Williams, Christopher J.","URBAN ECOSYSTEMS","Many cities in the Eastern United States are working to increase urban tree cover due to the hydrological services that trees provide, including the interception, storage and transpiration of water that would otherwise enter sewer systems. Despite the understanding that trees benefit urban ecosystems, there have been few studies that address the underlying physiology of different urban trees with regard to their capacity to take up water, particularly following rain events. We monitored the sap flow of nine species of trees in urban parks and linked sap flow to local microclimate. In addition, we measured throughfall, stemflow and crown architecture. Interspecific variation in sap flow was significant as were differences in time lags (i.e. difference in time between the increase of solar radiation versus sap flow) across species of large but not small trees. Interestingly the most important microclimatic drivers of sap flow were different in large versus small trees. Lastly, we found that trees with a large branch angle routed more rainwater to stemflow. In this study we found strong evidence that variation in urban tree physiology can impact important hydrological services that will influence the effectiveness of different trees as tools to manage stormwater runoff.","FEB",2018
