Round2_reviewer1,Round2_reviewer2,FirstAuthor,Title,SourcePublication,PublicationYear,CKreviewed,JLreviewed
Claire,Julie,Anderson-Teixeira,"Biofuels on the landscape: Is ""land sharing"" preferable to ""land sparing""?",ECOLOGICAL APPLICATIONS,2012,TRUE,TRUE
Claire,Julie,Bilkovic,Effects of coastal development on nearshore estuarine nekton communities,MARINE ECOLOGY PROGRESS SERIES,2008,TRUE,TRUE
Claire,Julie,Cole,Riparian buffer strips: Their role in the conservation of insect pollinators in intensive grassland systems,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2015,FALSE,TRUE
Claire,Julie,Dubs,Positive effects of wheat variety mixtures on aboveground arthropods are weak and variable,BASIC AND APPLIED ECOLOGY,2018,FALSE,FALSE
Claire,Julie,Firbank,Evidence of sustainable intensification among British farms,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013,FALSE,FALSE
Claire,Julie,Garrido,Experimental rewilding enhances grassland functional composition and pollinator habitat use,JOURNAL OF APPLIED ECOLOGY,2019,FALSE,FALSE
Claire,Julie,Irizarry,Avian response to shade-layer restoration in coffee plantations in Puerto Rico,RESTORATION ECOLOGY,2018,FALSE,FALSE
Claire,Julie,Kleisner,Evaluating changes in marine communities that provide ecosystem services through comparative assessments of community indicators,ECOSYSTEM SERVICES,2015,FALSE,FALSE
Claire,Julie,Laura,Ecosystem service delivery of agri-environment measures: A synthesis for hedgerows and grass strips on arable land,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,FALSE,FALSE
Claire,Julie,Muneret,Organic farming at local and landscape scales fosters biological pest control in vineyards,ECOLOGICAL APPLICATIONS,2019,FALSE,FALSE
Claire,Julie,Sole-Senan,"Plant species, functional assemblages and partitioning of diversity in a Mediterranean agricultural mosaic landscape",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2018,FALSE,FALSE
Claire,Julie,Tschumi,Predation-mediated ecosystem services and disservices in agricultural landscapes,ECOLOGICAL APPLICATIONS,2018,FALSE,FALSE
Claire,Julie,Unnikrishnan,Privatizing the commons: impact on ecosystem services in Bangalore's lakes,URBAN ECOSYSTEMS,2015,FALSE,FALSE
Claire,Julie,Villeger,Intra- and interspecific differences in nutrient recycling by European freshwater fish,FRESHWATER BIOLOGY,2012,FALSE,FALSE
Julie,Claire,Andersson,Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities,BASIC AND APPLIED ECOLOGY,2013,FALSE,TRUE
Julie,Claire,Carson,Harvesting invasive plants to reduce nutrient loads and produce bioenergy: an assessment of Great Lakes coastal wetlands,ECOSPHERE,2018,FALSE,TRUE
Julie,Claire,Chen,Preference of an insular flying fox for seed figs enhances seed dispersal of a dioecious species,BIOTROPICA,2017,FALSE,TRUE
Julie,Claire,DeJong,Converting Lawn to Restored Forest on a Midwest College Campus: A Seven Year Assessment of Herbaceous Plant Establishment,ECOLOGICAL RESTORATION,2017,FALSE,TRUE
Julie,Claire,Gagic,Combined effects of agrochemicals and ecosystem services on crop yield across Europe,ECOLOGY LETTERS,2017,FALSE,TRUE
Julie,Claire,Hao,Relationship between paired ecosystem services in the grassland and agro-pastoral transitional zone of China using the constraint line method,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,FALSE,FALSE
Julie,Claire,Mateo-Tomas,Both rare and common species support ecosystem services in scavenger communities,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2017,FALSE,FALSE
Julie,Claire,Mukherjee,Butterfly-plant network in urban landscape: Implication for conservation and urban greening,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,2018,FALSE,FALSE
Julie,Claire,Mwangi,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",JOURNAL OF SOIL AND WATER CONSERVATION,2015,FALSE,FALSE
Julie,Claire,Oldfield,Growing the urban forest: tree performance in response to biotic and abiotic land management,RESTORATION ECOLOGY,2015,FALSE,FALSE
Julie,Claire,Peng,"Mapping spatial non-stationarity of human-natural factors associated with agricultural landscape multifunctionality in Beijing-Tianjin-Hebei region, China",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,FALSE,FALSE
Julie,Claire,Rusch,Organic farming and host density affect parasitism rates of tortricid moths in vineyards,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2015,FALSE,FALSE
Julie,Claire,Teague,The role of ruminants in reducing agriculture's carbon footprint in North America,JOURNAL OF SOIL AND WATER CONSERVATION,2016,FALSE,FALSE
Julie,Claire,Woldegerima,"Ecosystem services assessment of the urban forests of Addis Ababa, Ethiopia",URBAN ECOSYSTEMS,2017,FALSE,FALSE
