Round2_reviewer1,Round2_reviewer2,FirstAuthor,Title,SourcePublication,PublicationYear,JLreviewed,TKreviewed
Julie,Tim,Chandregowda,Woody shrubs increase soil microbial functions and multifunctionality in a tropical semi-arid grazing ecosystem,JOURNAL OF ARID ENVIRONMENTS,2018,TRUE,FALSE
Julie,Tim,Chaudhary,Reprint of: Environmental justice and ecosystem services: A disaggregated analysis of community access to forest benefits in Nepal,ECOSYSTEM SERVICES,2018,FALSE,FALSE
Julie,Tim,Cumming,Reconciling community ecology and ecosystem services: Cultural services and benefits from birds in South African National Parks,ECOSYSTEM SERVICES,2017,TRUE,FALSE
Julie,Tim,de Sosa,Delineating and mapping riparian areas for ecosystem service assessment,ECOHYDROLOGY,2018,FALSE,FALSE
Julie,Tim,Docherty,Soil microbial restoration strategies for promoting climate-ready prairie ecosystems,ECOLOGICAL APPLICATIONS,2019,FALSE,FALSE
Julie,Tim,Elisa Diaz,Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),ECOSYSTEM SERVICES,2018,FALSE,FALSE
Julie,Tim,Ferraz,How good are tropical forest patches for ecosystem services provisioning?,LANDSCAPE ECOLOGY,2014,FALSE,FALSE
Julie,Tim,Griffiths,Performance of salmon fishery portfolios across western North America,JOURNAL OF APPLIED ECOLOGY,2014,FALSE,FALSE
Julie,Tim,Hernandez,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,JOURNAL OF SOIL AND WATER CONSERVATION,2013,FALSE,FALSE
Julie,Tim,Jennings,Fishing impacts on the marine inorganic carbon cycle,JOURNAL OF APPLIED ECOLOGY,2009,FALSE,FALSE
Julie,Tim,Keeler,Recreational demand for clean water: evidence from geotagged photographs by visitors to lakes,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2015,FALSE,FALSE
Julie,Tim,O'Dea,Impacts to ecosystem services from aquatic acidification: using FEGS-CS to understand the impacts of air pollution,ECOSPHERE,2017,FALSE,FALSE
Julie,Tim,Sigwela,Defining core areas of ecological infrastructure to secure rural livelihoods in South Africa,ECOSYSTEM SERVICES,2017,FALSE,FALSE
Julie,Tim,Tarszisz,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,CONSERVATION PHYSIOLOGY,2018,FALSE,FALSE
Tim,Julie,Byrne,Ecosystem Properties of Urban Land Covers at the Aboveground-Belowground Interface,ECOSYSTEMS,2008,TRUE,FALSE
Tim,Julie,Calderon-Contreras,"Analysing scale, quality and diversity of green infrastructure and the provision of Urban Ecosystem Services: A case from Mexico City",ECOSYSTEM SERVICES,2017,TRUE,FALSE
Tim,Julie,Ekroos,"Optimizing agri-environment schemes for biodiversity, ecosystem services or both?",BIOLOGICAL CONSERVATION,2014,TRUE,FALSE
Tim,Julie,Espeland,Soils Determine Early Revegetation Establishment with and without Cover Crops in Northern Mixed Grass Prairie after Energy Development,ECOLOGICAL RESTORATION,2017,TRUE,FALSE
Tim,Julie,Han,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",TROPICAL ECOLOGY,2017,TRUE,FALSE
Tim,Julie,Jourdan,"Pronounced species turnover, but no functional equivalence in leaf consumption of invasive amphipods in the river Rhine",BIOLOGICAL INVASIONS,2016,TRUE,FALSE
Tim,Julie,Ngiam,"A balancing act in urban social-ecology: human appreciation, ponds and dragonflies",URBAN ECOSYSTEMS,2017,FALSE,FALSE
Tim,Julie,Osland,Climate and plant controls on soil organic matter in coastal wetlands,GLOBAL CHANGE BIOLOGY,2018,FALSE,FALSE
Tim,Julie,Redlich,Landscape-level crop diversity benefits biological pest control,JOURNAL OF APPLIED ECOLOGY,2018,FALSE,FALSE
Tim,Julie,Sobral,Mammal diversity influences the carbon cycle through trophic interactions in the Amazon,NATURE ECOLOGY & EVOLUTION,2017,FALSE,FALSE
Tim,Julie,Taki,Stable nitrogen and carbon isotope ratios in wild native honeybees: the influence of land use and climate,BIODIVERSITY AND CONSERVATION,2017,FALSE,FALSE
Tim,Julie,Tamburini,Pollination benefits are maximized at intermediate nutrient levels,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2017,FALSE,FALSE
Tim,Julie,Tekken,Things are different now: Farmer perceptions of cultural ecosystem services of traditional rice landscapes in Vietnam and the Philippines,ECOSYSTEM SERVICES,2017,FALSE,FALSE
Tim,Julie,Wetzel,Science synthesis for management as a way to advance ecosystem restoration: evaluation of restoration scenarios for the Florida Everglades,RESTORATION ECOLOGY,2017,FALSE,FALSE
