Round2_reviewer1,Round2_reviewer2,FirstAuthor,Title,SourcePublication,PublicationYear,KGreviewed,TMreviewed
Kathryn,Travis,Aguado,Exploring subjective well-being and ecosystem services perception along a rural-urban gradient in the high Andes of Ecuador,ECOSYSTEM SERVICES,2018,FALSE,FALSE
Kathryn,Travis,Cameron,"Community structure dynamics and carbon stock change of rehabilitated mangrove forests in Sulawesi, Indonesia",ECOLOGICAL APPLICATIONS,2019,FALSE,FALSE
Kathryn,Travis,de Carvalho,Production of moss-dominated biocrusts to enhance the stability and function of the margins of artificial water bodies,RESTORATION ECOLOGY,2018,FALSE,FALSE
Kathryn,Travis,Garratt,The benefits of hedgerows for pollinators and natural enemies depends on hedge quality and landscape context,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,FALSE,FALSE
Kathryn,Travis,Hastwell,Structural features of fragmented woodland communities affect leaf litter decomposition rates,BASIC AND APPLIED ECOLOGY,2013,FALSE,FALSE
Kathryn,Travis,Jacob,Non-native fruit trees facilitate colonization of native forest on abandoned farmland,RESTORATION ECOLOGY,2017,FALSE,FALSE
Kathryn,Travis,Jones,Dominance structure of assemblages is regulated over a period of rapid environmental change,BIOLOGY LETTERS,2018,FALSE,FALSE
Kathryn,Travis,Luz Caleno-Ruiz,Understanding the nursery habitat and provision service of a NTFP in a Colombian oak forest: A case of a nomadic vine,GLOBAL ECOLOGY AND CONSERVATION,2018,FALSE,FALSE
Kathryn,Travis,Masselink,"Evaluation of salt marsh restoration by means of self-regulating tidal gate - Avon estuary, South Devon, UK",ECOLOGICAL ENGINEERING,2017,FALSE,FALSE
Kathryn,Travis,Ndou,Soil and vegetation recovery following alien tree clearing in the Eastern Cape Province of South Africa,AFRICAN JOURNAL OF ECOLOGY,2016,FALSE,FALSE
Kathryn,Travis,Rusch,Grape moth density in Bordeaux vineyards depends on local habitat management despite effects of landscape heterogeneity on their biological control,JOURNAL OF APPLIED ECOLOGY,2017,FALSE,FALSE
Kathryn,Travis,Venkatachalam,Modelling ecological and other risk factors influencing the outcome of the 2004 tsunami in Sri Lanka,ECOSPHERE,2012,FALSE,FALSE
Kathryn,Travis,Walker,Designed habitat heterogeneity on green roofs increases seedling survival but not plant species diversity,JOURNAL OF APPLIED ECOLOGY,2018,FALSE,FALSE
Kathryn,Travis,Yates,Enhancing bioassessment approaches: development of a river services assessment framework,FRESHWATER SCIENCE,2019,FALSE,FALSE
Travis,Kathryn,Anton,Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,ECOLOGICAL APPLICATIONS,2011,FALSE,FALSE
Travis,Kathryn,Barros,Divergent flows of avian-mediated ecosystem services across forest-matrix interfaces in human-modified landscapes,LANDSCAPE ECOLOGY,2019,FALSE,FALSE
Travis,Kathryn,Deguines,Large- scale trade- off between agricultural intensification and crop pollination services,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2014,FALSE,TRUE
Travis,Kathryn,Glover,Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2010,FALSE,TRUE
Travis,Kathryn,Hogg,Diversity and invasion within a predator community: impacts on herbivore suppression,JOURNAL OF APPLIED ECOLOGY,2011,FALSE,TRUE
Travis,Kathryn,Iida,Large herbivores affect forest ecosystem functions by altering the structure of dung beetle communities,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,2018,FALSE,TRUE
Travis,Kathryn,Jiang,Re-orienting ecological restoration in degraded drylands for a more sustainable soil-water relationship: Non-linear boundary of limited water resources in combating soil loss,JOURNAL OF ARID ENVIRONMENTS,2019,FALSE,TRUE
Travis,Kathryn,Karp,Agricultural practices for food safety threaten pest control services for fresh produce,JOURNAL OF APPLIED ECOLOGY,2016,FALSE,TRUE
Travis,Kathryn,McLaughlin,Realizing ecosystem services: wetland hydrologic function along a gradient of ecosystem condition,ECOLOGICAL APPLICATIONS,2013,FALSE,TRUE
Travis,Kathryn,Mitchell,"The Monteregie Connection: linking landscapes, biodiversity, and ecosystem services to improve decision making",ECOLOGY AND SOCIETY,2015,FALSE,TRUE
Travis,Kathryn,Peringer,Past and future landscape dynamics in pasture-woodlands of the Swiss Jura Mountains under climate change,ECOLOGY AND SOCIETY,2013,FALSE,TRUE
Travis,Kathryn,Ray,"Functional importance of sacred forest patches in the altered landscape of Palakkad region, Kerala, India",JOURNAL OF TROPICAL ECOLOGY,2017,FALSE,TRUE
Travis,Kathryn,Toivonen,Late flowering time enhances insect pollination of turnip rape,JOURNAL OF APPLIED ECOLOGY,2019,FALSE,TRUE
Travis,Kathryn,Wardrop,Wetland ecosystem services and coupled socioeconomic benefits through conservation practices in the Appalachian Region,ECOLOGICAL APPLICATIONS,2011,FALSE,TRUE
