EBIOReviewer,Number,AuthorsFull,Title,SourcePublication,Abstract,PublicationDate,PublicationYear,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
Claire,1,"Millar, Melissa A.; Anthony, Janet M.; Coates, David J.; Byrne, Margaret; Krauss, Siegfried L.; Williams, Matthew R.; Hopper, Stephen D.","Genetic Diversity, Mating System, and Reproductive Output of Restored Melaleuca acuminata Populations are Comparable to Natural Remnant Populations",ECOLOGICAL RESTORATION,"Empirical tests of comparability between restored and natural plant populations can be powerful tools for measuring progress towards restoration objectives, though they are rarely applied to critical metrics like genetic diversity, mating systems, and reproductive output via seed production. Here we compared these ecological and genetic measures for restored populations and nearby remnant reference populations of Melaleuca acuminata, a common understory shrub species of the Southwest Australian Floristic Region. Levels of diversity in 12 nuclear microsatellite markers developed for the species were moderate to high. Estimates of genetic diversity, mating system parameters and reproductive output (capsule width, capsule height, capsule volume [capsule width by capsule height], number of seeds per capsule or seed viability) were similar between restored and remnant populations. There was no evidence of genetic bottleneck effects in restored populations and allelic differentiation between restored and remnant populations at each site was low (D-ST <= 0.055). Results indicate that restored populations are comprised of genetically diverse local provenance material, and that pollinators are effectively delivering pollination-related ecosystem services equivalent to those at the reference populations.",DEC,2019,37,4,,,,,222,232,,10.3368/er.37.4.222,,,,,,,WOS:000493178200005,,,,,
Claire,2,"Khanaposhtani, Maryam Ghadiri; Gasc, Amandine; Francomano, Dante; Villanueva-Rivera, Luis J.; Jung, Jinha; Mossman, Michael J.; Pijanowski, Bryan C.","Effects of highways on bird distribution and soundscape diversity around Aldo Leopold's shack in Baraboo, Wisconsin, USA",LANDSCAPE AND URBAN PLANNING,"In the 1940s, Aldo Leopold took extensive notes on birds and their sounds near his iconic shack in Baraboo, Wisconsin, USA. His observations, along with his land management techniques, helped frame his seminal book, A Sand County Almanac. After his death, two interstate highways were built near his property and subjected this historically significant area to traffic noise. While highways currently represent vital transportation corridors, their observed and potential impacts on biodiversity and ecosystem services are cause for concern. As the area including Leopolds shack is now an Important Bird Area, we sought to evaluate the impact of these highways on the bird community and its related acoustic diversity. In 2011, 150 avian point counts were conducted in the three main habitats composing the landscape-upland deciduous forest, floodplain forest, and herbaceous wetland. In 2012, soundscape recordings were collected in seven floodplain forest sites using automated passive acoustic recorders. We described the local bird communities and measured their acoustic diversity. Linear models accounting for additional factors including land cover and vegetation structure characteristics showed that as the distance from highways increased, bird community descriptors (overall abundance and species richness) and acoustic diversity increased (when relationships were significant). On the species level, forest interior specialists were negatively affected by the presence of the highways, contrary to edge specialists. In addition to the direct effects of the edges produced by the highway structure, this difference might be due to the masking effect of traffic noise on interior specialists low-frequency vocalizations and their reliance on acoustic, as opposed to visual, communication. We conclude that while habitat structure is a principle driver of bird diversity on a broader scale, highway-induced changes in both habitat structure and soundscapes may affect bird communities.",DEC,2019,192,,,,,,,,UNSP 103666,10.1016/j.landurbplan.2019.103666,,,,,,,WOS:000491627700016,,,,,
Claire,3,"McClure, Max; Machalaba, Catherine; Zambrana-Torrelio, Carlos; Feferholtz, Yasha; Lee, Katherine D.; Daszak, Peter; Karesh, William B.",Incorporating Health Outcomes into Land-Use Planning,ECOHEALTH,"The global trend toward increased agricultural production puts pressure on undeveloped areas, raising the question of how to optimally allocate land. Land-use change has recently been linked to a number of human health outcomes, but these are not routinely considered in land-use decision making. We review examples of planners' currently used strategies to evaluate land use and present a conceptual model of optimal land use that incorporates health outcomes. We then present a framework for evaluating the health outcomes of land-use scenarios that can be used by decision makers in an integrated approach to land-use planning.",,,,,,,,,,,,10.1007/s10393-019-01439-x,,nov-19,,,,,WOS:000495217000001,31705335,,,,
Claire,4,"Tiberti, Rocco; Buscaglia, Francesco; Callieri, Cristiana; Rogora, Michela; Tartari, Gabriele; Sommaruga, Ruben",Food Web Complexity of High Mountain Lakes is Largely Affected by Glacial Retreat,ECOSYSTEMS,"High mountain lakes provide essential ecosystem services and have a high conservation value. Therefore, understanding how glacier retreat will affect their ecological functioning and water quality is crucial. Here, we tested how shallow high mountain lakes having different glacial influences differ in their abiotic main features and food web structure using a multiple ecological indicator approach. We identified 13 functional groups within the planktonic and littoral communities, each one representing a biotic indicator and a node in a simplified food web network. The abiotic environment and most functional groups differed significantly as a consequence of the glacial influence. In general, runoff from glacial meltwaters resulted in highly simplified food webs. Considering that many turbid glacially fed lakes are losing their hydrological connection with disappearing/retreating glaciers and shifting to a clear state, our results suggest that this shift could enhance food web complexity, but at the cost of losing specific habitats. Further, retreat of large glaciers will form new glacially fed lakes, but it remains unclear whether this will buffer the expected habitat and biodiversity loss.",,,,,,,,,,,,10.1007/s10021-019-00457-8,,nov-19,,,,,WOS:000495230600001,,,,,
Claire,5,"Parsa, Vahid Amini; Salehi, Esmail; Yavari, Ahmadreza",Improving the provision of ecosystem services from urban forest by integrating the species' potential environmental functions in tree selecting process,LANDSCAPE AND ECOLOGICAL ENGINEERING,"Due to the fact that urban environments and population demands are evolving rapidly and species selection is inevitable, it is possible to gain substantial environmental benefit by implementing more effective urban tree planting programs, especially with the aim of increasing the upcoming provision of multiple ecosystem services (ES) through proper species selection. In this paper, we used a new approach to improve the potential of urban trees in optimizing more desirable environmental benefits. This was done by selecting the most appropriate tree species among a vast range of species based on their potential environmental function (both services and disservices) in Tabriz city, Iran. Also, three main planting scenarios (divided to six sub-scenarios) were developed so as to understand the long-term effectiveness of introducing the selected tree species in improving the environmental benefits (both urban forest structure and ES) in comparison with planting the existing tree species. The results indicate that regardless of the quantity of planting, the benefits of introducing the selected trees will be more than planting the existing species. Moreover, as the amount of the annual planting of the recommended species increases, so does the improvement in the projected tree characteristics and ES. This approach creates more opportunities which enable urban forest managers and policymakers to understand the importance of selecting the proper urban tree species when looking for a nature-based solution to promote the wellbeing of the urban population, to create more livable and ecologically sustainable cities and to mitigate urban environmental problems.",,,,,,,,,,,,10.1007/s11355-019-00401-x,,nov-19,,,,,WOS:000494764800001,,,,,
Claire,6,"Giraldo-Silva, Ana; Nelson, Corey; Penfold, Cory; Barger, Nichole N.; Garcia-Pichel, Ferran",Effect of preconditioning to the soil environment on the performance of 20 cyanobacterial strains used as inoculum for biocrust restoration,RESTORATION ECOLOGY,"Biological soil crusts are complex communities of organisms that develop on the top layer of dryland soils where they enhance important ecosystem services, including soil fertility and protection from erosion. Regrettably, a range of human activities such as cattle grazing, off-road driving, hiking, and global warming result in significant deterioration of biocrust cover and their associated services. This scenario has prompted efforts to develop effective biocrust restoration strategies, which often involve the production of biocrust inoculum, both in greenhouse and in laboratory settings. Sometimes this inoculum is preconditioned in a process of ""hardening"" at considerable expense and effort in order to improve its fitness under harsh field conditions. But the positive effects of such hardening procedures have yet to be rigorously demonstrated. Here, we compared the growth performance of 20 cultured strains of biocrust cyanobacteria in outdoor tests on native soils as a function of preconditioning regimes consisting of increasingly high exposure to solar radiation, temperature and illumination daily variability, and recurrent wet-dry cycles. Preconditioning improved performance in 13 out of 20 strains, particularly among pioneer crust-forming Microcoleus spp. (eight out of eight). Improvements were variable among heterocystous strains (three out of four Scytonema spp., two out of four Tolypothrix spp., and none out of four Nostoc spp.). Based on these results, we recommend the inclusion of preconditioning treatments to increase inoculum survival rate and speed of cyanobacterial biocrust recovery in restoration of dryland soils.",,,,,,,,,,,,10.1111/rec.13048,,nov-19,,,,,WOS:000494615900001,,,,,
Claire,7,"Welti, Nora; Scherier, Patrick; Grueebler, Martin U.",Carcass predictability but not domestic pet introduction affects functional response of scavenger assemblage in urbanized habitats,FUNCTIONAL ECOLOGY,"Urbanization alters species richness and composition, but studies of urbanization effects on ecological functions have often quantified variation in functional traits and changes in functional diversity rather than measuring directly how ecological functions vary between rural and urban assemblages. Consuming dead animal matter and recycling its nutrients stabilizes and structures food webs and therefore represents a key component of ecosystem functioning. Introduction of free-ranging domestic pet animals adds additional scavenger species to urban habitats, and increased predictability of carcass resources produced by human activities characterizes urban habitats. Here, we investigate the effect of urbanization on the composition of diurnal and nocturnal scavenger assemblages and on the ecological function of carcass removal by using a carcass placement experiment in Swiss urban and adjacent rural habitats. While diurnal and nocturnal scavenger assemblages changed considerably from rural to urban areas by comprising particularly more domestic cats in the latter, carrion consumption rate did not differ between the two habitats. Predictability of carcass occurrence increased carrion consumption rate in both urban and rural habitats but mainly native scavengers and not introduced domestic pets responded to the repeated placements. These results suggest that urbanization shapes scavenger assemblage compositions without affecting their ecological function. The mechanism is likely due to a behavioural change of native scavengers in response to the occurrence of domestic pets resulting in functional plasticity of urban scavenger assemblages. The functional plasticity might be facilitated by the increased carcass predictability and additional anthropogenic food resources in urban habitats exploited by nutritionally flexible native scavenger species. A free Plain Language Summary can be found within the Supporting Information of this article.",,,,,,,,,,,,10.1111/1365-2435.13469,,nov-19,,,,,WOS:000493831300001,,,,,
Claire,8,"Speckman, Heather; Ewers, Brent E.; Beverly, Daniel P.","AquaFlux: Rapid, transparent and replicable analyses of plant transpiration",METHODS IN ECOLOGY AND EVOLUTION,"Plant transpiration is the largest evaporative flux from most vegetated ecosystems, playing a dominant role in energy balance, water and element cycling, ecosystem services and water security. Quantification of plant-level transpiration, for example sap flux, is essential to land managers and scientists. Thermal dissipation probes (TDP) are reliable and affordable tools for measuring sap flux, but difficulties in replicable data processing often serve as a barrier to their use and interpretation of data. AquaFlux is an r package designed to efficiently process and analyse TDP data. This program maximizes data collection by continually importing raw TDP values and alerting the user of any malfunctioning sensors. Data processing is expedited through a user-friendly graphical interface, predictive algorithms and data recovery options. AquaFlux's post-processing options address gapfilling, radial trends in sap flux across sapwood and rescaling from points to whole stems. To ensure reproducibility and transparency, all data processing steps are automatically documented, highlighting the impact of user decisions. AquaFlux confirms to emerging best practices in data science and TDP data processing and analyses. Understanding spatiotemporal patterns of sap flux and how they relate to plant traits is essential for enhancing agricultural productivity, optimizing land management planning, ecological studies and improving climate modelling. AquaFlux provides a robust tool to facilitate predictive understanding of plant transpiration.",,,,,,,,,,,,10.1111/2041-210X.13309,,nov-19,,,,,WOS:000493785300001,,,,,
Claire,9,"Keller, Danielle A.; Gittman, Rachel K.; Brodeur, Michelle C.; Kenworthy, Matthew D.; Ridge, Justin T.; Yeager, Lauren A.; Rodriguez, Antonio B.; Fodrie, F. Joel",Salt marsh shoreline geomorphology influences the success of restored oyster reefs and use by associated fauna,RESTORATION ECOLOGY,"Restoration is increasingly implemented as a strategy to mitigate global declines in biogenic habitats, such as salt marshes and oyster reefs. Restoration efforts could be improved if we knew how site characteristics at landscape scales affect the ecological success of these foundation species. In this study, we determined how salt marsh shoreline geomorphologies (e.g. with variable hydrodynamic energy, fetch, erosion rates, and slopes) affect the success of restored intertidal oyster reefs, as well as how fauna utilize restored reefs and forage along marsh habitats. We constructed oyster reefs along three marsh shoreline geomorphologies in May 2012: 1) ""creek"" (small-fetch, gradual-sloped shoreline), ""ramp"" (large-fetch, gradual-sloped shoreline), and ""scarp"" (large-fetch, steep-sloped shoreline). Following recruitment, oyster spat density was greatest on ramp reefs; however, 2 years later, the highest adult oyster densities were found on creek reefs. Total nekton and blue crab catch rates in trawl nets were highest in the creek, while piscivore catch rates in gill nets were highest along the scarp shoreline. We found no difference in predation on snails in the salt marsh behind constructed reef and nonconstructed reference sites, but there were more snails consumed in the creek shoreline, which corresponded with the distribution of their major predator-blue crabs. We conclude that oyster reef construction was most successful for oysters in small-fetch, gradual-sloped, creek environments. However, nekton abundance did not always follow the same trends as oyster density, which could suggest constructed reefs may offer similar habitat-related functions (prey availability and refuge) already present along existing salt marsh borders.",NOV,2019,27,6,,,,,1429,1441,,10.1111/rec.12992,,,,,,,WOS:000495415900028,,,,,
Claire,10,"Trevathan-Tackett, Stacey M.; Sherman, Craig D. H.; Huggett, Megan J.; Campbell, Alexandra H.; Laverock, Bonnie; Hurtado-McCormick, Valentina; Seymour, Justin R.; Firl, Alana; Messer, Lauren F.; Ainsworth, Tracy D.; Negandhi, Karita L.; Daffonchio, Daniele; Egan, Suhelen; Engelen, Aschwin H.; Fusi, Marco; Thomas, Torsten; Vann, Laura; Hernandez-Agreda, Alejandra; Gan, Han Ming; Marzinelli, Ezequiel M.; Steinberg, Peter D.; Hardtke, Leo; Macreadie, Peter, I",A horizon scan of priorities for coastal marine microbiome research,NATURE ECOLOGY & EVOLUTION,"Research into the microbiomes of natural environments is changing the way ecologists and evolutionary biologists view the importance of microorganisms in ecosystem function. This is particularly relevant in ocean environments, where microorganisms constitute the majority of biomass and control most of the major biogeochemical cycles, including those that regulate Earth's climate. Coastal marine environments provide goods and services that are imperative to human survival and well-being (for example, fisheries and water purification), and emerging evidence indicates that these ecosystem services often depend on complex relationships between communities of microorganisms (the 'microbiome') and the environment or their hosts - termed the 'holobiont'. Understanding of coastal ecosystem function must therefore be framed under the holobiont concept, whereby macroorganisms and their associated microbiomes are considered as a synergistic ecological unit. Here, we evaluate the current state of knowledge on coastal marine microbiome research and identify key questions within this growing research area. Although the list of questions is broad and ambitious, progress in the field is increasing exponentially, and the emergence of large, international collaborative networks and well-executed manipulative experiments are rapidly advancing the field of coastal marine microbiome research.",NOV,2019,3,11,,,,,1509,1520,,10.1038/s41559-019-0999-7,,,,,,,WOS:000494970800009,31636428,,,,
