filename,owner,createdTime,modifiedTime,records,rank,EBIOReviewer,Number,Timestamp,email,final_name,Title,meta,review,no_efes,valrisk,tool,biodiv,comments,Yes,No,empty,tally,AuthorsFull,FirstAuthor,in_meetscriteria,exclude,flag_NO,flag_NA,flag_Q8,flag_paper
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Aislyn,297,2019-12-22T15:04:57Z,,'Mind the Gap' between ecosystem services classification and strategic decision making,Mind the Gap' between ecosystem services classification and strategic decision making,No,No,Yes,No,No,No,,1,5,0,6,"van Oudenhoven, Alexander P. E.; Aukes, Ewert; Bontje, Lotte E.; Vikolainen, Vera; van Bodegom, Peter M.; Slinger, Jill H.",van Oudenhoven,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Aislyn,258,2019-12-22T14:08:49Z,,'Rage against the machine'? The opportunities and risks concerning the automation of urban green infrastructure,Rage against the machine'? The opportunities and risks concerning the automation of urban green infrastructure,No,Yes,Yes,No,No,No,,2,4,0,6,"Gulsrud, Natalie Marie; Raymond, Christopher M.; Rutt, Rebecca L.; Olafsson, Anton Stahl; Plieninger, Tobias; Sandberg, Mattias; Beery, Thomas H.; Jonsson, K. Ingemar",Gulsrud,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Julie,761,2019-11-30T13:01:51Z,,'Stream Daylighting' as an approach for the renaturalization of riverine systems in urban areas: Istanbul-Ayamama Stream case,Stream Daylighting' as an approach for the renaturalization of riverine systems in urban areas: Istanbul-Ayamama Stream case,No,Yes,No,Yes,Yes,,Review which also develops a tool and assesses current state of stream health but doesn't use tool to quantify drivers or advance ecological understanding of ES/EF,3,2,0,5,"Delibas, Meltem; Tezer, Azime",Delibas,0,TRUE,FALSE,FALSE,TRUE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Isabel,527,2020-01-17T16:33:33Z,,"A Case Study Examining the Efficacy of Drainage Setbacks for Limiting Effects to Wetlands in the Prairie Pothole Region, USA","A Case Study Examining the Efficacy of Drainage Setbacks for Limiting Effects to Wetlands in the Prairie Pothole Region, USA",No,No,Yes,No,No,No,,1,5,0,6,"Tangen, Brian A.; Finocchiaro, Raymond G.",Tangen,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Grant,1618,2019-12-24T08:07:42Z,,A comparison of land-sharing and land-sparing strategies for plant richness conservation in agricultural landscapes,A comparison of land-sharing and land-sparing strategies for plant richness conservation in agricultural landscapes,No,No,No,No,No,Yes,,1,5,0,6,"Egan, J. Franklin; Mortensen, David A.",Egan,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Laura,605,2019-11-25T11:11:10Z,,A comparison of two sensitivity analysis techniques based on four bayesian models representing ecosystem services provision in the Argentine Pampas,A comparison of two sensitivity analysis techniques based on four bayesian models representing ecosystem services provision in the Argentine Pampas,No,No,No,No,Yes,No,Methods paper testing methods,1,5,0,6,"Rositano, Florencia; Pineiro, Gervasio; Bert, Federico E.; Ferraro, Diego O.",Rositano,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Kathryn,912,2020-01-21T15:04:40Z,,A complex systems approach for multiobjective water quality regulation on managed wetland landscapes,A complex systems approach for multiobjective water quality regulation on managed wetland landscapes,No,Yes,No,No,No,No,,1,5,0,6,"Parrott, Lael; Quinn, Nigel",Parrott,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Anna,1231,2019-12-30T14:52:00Z,,A conceptual framework for understanding forest socio-ecological systems,A conceptual framework for understanding forest socio-ecological systems,No,No,Yes,No,No,No,,1,5,0,6,"Kalaba, Felix Kanungwe",Kalaba,0,TRUE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Tim,1758,2020-01-18T15:58:36Z,,A conceptual framework to assess the effects of environmental change on ecosystem services,A conceptual framework to assess the effects of environmental change on ecosystem services,No,No,Yes,No,Yes,No,,2,4,0,6,"Rounsevell, M. D. A.; Dawson, T. P.; Harrison, P. A.",Rounsevell,0,TRUE,FALSE,FALSE,FALSE,FALSE
Exclusion Criteria for Kremen Review Framework (Responses),kagr3234@colorado.edu,2019-12-11T00:01:35Z,2019-12-11T00:01:37Z,179,4,Travis,1086,2019-12-09T09:50:28Z,trmc6753@colorado.edu,A constructed treatment wetland as an opportunity to enhance biodiversity and ecosystem services,A constructed treatment wetland as an opportunity to enhance biodiversity and ecosystem services,No,Yes,Yes,No,Yes,,,3,2,0,5,"Semeraro, Teodoro; Giannuzzi, Cosimo; Beccarisi, Leonardo; Aretano, Roberta; De Marco, Antonella; Pasimeni, M. Rita; Zurlini, Giovanni; Petrosillo, Irene",Semeraro,0,TRUE,FALSE,FALSE,TRUE,FALSE
