filename,owner,createdTime,modifiedTime,records,rank,EBIOReviewer,Number,Timestamp,email,final_name,Title,meta,review,no_efes,valrisk,tool,biodiv,comments,Yes,No,empty,tally,AuthorsFull,FirstAuthor,in_meetscriteria,exclude,flag_NO,flag_NA,flag_Q8,flag_paper
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Isabel,451,2019-12-03T09:29:47Z,,'Wild' in the city context: Do relative wild areas offer opportunities for urban biodiversity?,Wild' in the city context: Do relative wild areas offer opportunities for urban biodiversity?,No,No,No,No,No,No,,0,6,0,6,"Mueller, Anke; Bocher, Peder K.; Fischer, Christina; Svenning, Jens-Christian",Mueller,2,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Sierra,447,2020-01-06T21:04:19Z,,A Bioeconomic Model of Ecosystem Services Provision: Coffee Berry Borer and Shade-grown Coffee in Colombia,A Bioeconomic Model of Ecosystem Services Provision: Coffee Berry Borer and Shade-grown Coffee in Colombia,No,No,No,No,No,No,,0,6,0,6,"Atallah, Shady S.; Gomez, Miguel I.; Jaramillo, Juliana",Atallah,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Isabel,552,2020-01-19T13:30:47Z,,A bottom-up approach to map land covers as potential green infrastructure hubs for human well-being in rural settings: A case study from Sweden,A bottom-up approach to map land covers as potential green infrastructure hubs for human well-being in rural settings: A case study from Sweden,No,No,No,No,No,No,,0,6,0,6,"Elbakidze, Marine; Angelstam, Per; Yamelynets, Taras; Dawson, Lucas; Gebrehiwot, Mersha; Stryamets, Nataliya; Johansson, Karl-Erik; Garrido, Pablo; Naumov, Vladimir; Manton, Michael",Elbakidze,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Laura,723,2019-11-28T09:14:30Z,,A community trait-based approach to ecosystem functioning in soil,A community trait-based approach to ecosystem functioning in soil,No,No,No,No,No,No,,0,6,0,6,"Sechi, Valentina; De Goede, Ron G. M.; Rutgers, Michiel; Brussaard, Lijbert; Mulder, Christian",Sechi,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Kathryn,906,2020-01-21T14:56:39Z,,A comparison between data requirements and availability for calibrating predictive ecological models for lowland UK woodlands: learning new tricks from old trees,A comparison between data requirements and availability for calibrating predictive ecological models for lowland UK woodlands: learning new tricks from old trees,No,No,No,No,No,No,,0,6,0,6,"Evans, Matthew R.; Moustakas, Aristides",Evans,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Tim,1707,2020-01-18T13:02:58Z,,A framework for developing urban forest ecosystem services and goods indicators,A framework for developing urban forest ecosystem services and goods indicators,No,No,No,No,No,No,,0,6,0,6,"Dobbs, Cynnamon; Escobedo, Francisco J.; Zipperer, Wayne C.",Dobbs,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Laura/Caitlin,675,2019-12-07T20:39:01Z,,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,No,No,No,No,No,No,Presents a framework for converting stressors to biological indicators to consequences for ES's. Latter half of paper includes case study that quantifies some relationships between bio indicators and ES's.,0,6,0,6,"Bell, Michael D.; Phelan, Jennifer; Blett, Tamara F.; Landers, Dixon; Nahlik, Amanda M.; Van Houtven, George; Davis, Christine; Clark, Christopher M.; Hewitt, Julie",Bell,2,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Sierra,350,2020-01-02T14:32:17Z,,A habitat suitability analysis at multi-spatial scale of two sympatric flying fox species reveals the urgent need for conservation action,A habitat suitability analysis at multi-spatial scale of two sympatric flying fox species reveals the urgent need for conservation action,No,No,No,No,No,No,paper compares two flying squirrel species in their distribution and abundance. abstract mentions seed dispersal and pollination but these do not seem to be measured in the study (just assumed perhaps),0,6,0,6,"Ibouroi, Mohamed Thani cnfm; Cheha, Ali; Astruc, Guillelme; Dhurham, Said Ali Ousseni; Besnard, Aurelien",Ibouroi,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Nick,1834,2019-12-10T09:16:18Z,,"A hierarchical, multi-scale, management-responsive model of Mediterranean vegetation dynamics","A hierarchical, multi-scale, management-responsive model of Mediterranean vegetation dynamics",No,No,No,No,No,No,"THe paper describes a model, but they apply the model to a specific site to measure vegetation cover with regard to grazing, fire, other ecosystem servies",0,6,0,6,"Koniak, Gili; Noy-Meir, Imanuel",Koniak,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Kathryn,934,2020-01-21T15:30:12Z,,A landscape-based predictive approach for running water quality assessment: A Mediterranean case study,A landscape-based predictive approach for running water quality assessment: A Mediterranean case study,No,No,No,No,No,No,,0,6,0,6,"Manfrin, Alessandro; Bombi, Pierluigi; Traversetti, Lorenzo; Larsen, Stefano; Scalici, Massimiliano",Manfrin,0,FALSE,FALSE,FALSE,FALSE,TRUE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Anna,1246,2019-12-30T21:07:07Z,,"A method to identify the variable ecosystem services relationship across time: a case study on Yanhe Basin, China","A method to identify the variable ecosystem services relationship across time: a case study on Yanhe Basin, China",No,No,No,No,No,No,modeling of ES,0,6,0,6,"Zheng, Zhenmin; Fu, Bojie; Hu, Haitang; Sun, Ge",Zheng,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Travis,1156,2020-01-20T15:24:44Z,,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya","A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",No,No,No,No,No,No,,0,6,0,6,"Mwangi, J. K.; Shisanya, C. A.; Gathenya, J. M.; Namirembe, S.; Moriasi, D. N.",Mwangi,0,FALSE,FALSE,FALSE,FALSE,TRUE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Sierra,391,2020-01-04T19:08:57Z,,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,No,No,No,No,No,No,applied a framework to a virtual scenario (simulation),0,6,0,6,"Carturan, Bruno S.; Parrott, Lael; Pither, Jason",Carturan,1,FALSE,FALSE,FALSE,FALSE,FALSE
Exclusion Criteria for Kremen Review Framework (Responses),kagr3234@colorado.edu,2019-12-11T00:01:35Z,2019-12-11T00:01:37Z,179,4,Travis,1080,2019-12-02T11:55:42Z,trmc6753@colorado.edu,"A multiple habitat restoration strategy in a semi-enclosed Florida embayment, combining hydrologic restoration, mangrove propagule plantings and oyster substrate additions","A multiple habitat restoration strategy in a semi-enclosed Florida embayment, combining hydrologic restoration, mangrove propagule plantings and oyster substrate additions",No,No,No,No,No,No,,0,6,0,6,"Milbrandt, E. C.; Thompson, M.; Coen, L. D.; Grizzle, R. E.; Ward, K.",Milbrandt,0,FALSE,FALSE,FALSE,FALSE,TRUE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Aislyn,172,2019-11-26T13:36:18Z,,A practical tool for assessing ecosystem services enhancement and degradation associated with invasive alien species,A practical tool for assessing ecosystem services enhancement and degradation associated with invasive alien species,No,No,No,No,No,No,describe INSEAT tool and provide four case studies using it..I would say it should be included.,0,6,0,6,"Martinez-Cillero, Rocio; Willcock, Simon; Perez-Diaz, Alvaro; Joslin, Emma; Vergeer, Philippine; Peh, Kelvin S. -H.",Martinez-Cillero,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Sierra,444,2020-01-06T21:01:23Z,,A regional assessment of white-tailed deer effects on plant invasion,A regional assessment of white-tailed deer effects on plant invasion,No,No,No,No,No,No,,0,6,0,6,"Averill, Kristine M.; Mortensen, David A.; Smithwick, Erica A. H.; Kalisz, Susan; McShea, William J.; Bourg, Norman A.; Parker, John D.; Royo, Alejandro A.; Abrams, Marc D.; Apsley, David K.; Blossey, Bernd; Boucher, Douglas H.; Caraher, Kai L.; DiTommaso, Antonio; Johnson, Sarah E.; Masson, Robert; Nuzzo, Victoria A.",Averill,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Nick,1869,2019-12-13T12:18:47Z,,A retrospective analysis of pollen host plant use by stable and declining bumble bee species,A retrospective analysis of pollen host plant use by stable and declining bumble bee species,No,No,No,No,No,No,pollination,0,6,0,6,"Kleijn, David; Raemakers, Ivo",Kleijn,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Nick,1859,2019-12-13T12:12:00Z,,"A trait-based approach to species' roles in stream ecosystems: climate change, community structure, and material cycling","A trait-based approach to species' roles in stream ecosystems: climate change, community structure, and material cycling",No,No,No,No,No,No,,0,6,0,6,"Spooner, Daniel E.; Vaughn, Caryn C.",Spooner,2,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Laurel,1474,2019-12-29T13:45:18Z,,A trait-based ecology of the Los Angeles urban forest,A trait-based ecology of the Los Angeles urban forest,No,No,No,No,No,No,,0,6,0,6,"Pataki, D. E.; McCarthy, H. R.; Gillespie, T.; Jenerette, G. D.; Pincetl, S.",Pataki,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Grant,1623,2019-12-26T07:45:51Z,,A welcome can of worms? Hypoxia mitigation by an invasive species,A welcome can of worms? Hypoxia mitigation by an invasive species,No,No,No,No,No,No,,0,6,0,6,"Norkko, Joanna; Reed, Daniel C.; Timmermann, Karen; Norkko, Alf; Gustafsson, Bo G.; Bonsdorff, Erik; Slomp, Caroline P.; Carstensen, Jacob; Conley, Daniel J.",Norkko,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Sierra,436,2020-01-06T20:51:07Z,,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,No,No,No,No,No,No,,0,6,0,6,"Wong, Gwendolyn K. L.; Jim, C. Y.",Wong,2,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Claire,53,2020-01-22T21:23:10Z,,Abundance of weeds and seeds but not of arthropods differs between arable habitats in an extensive Mediterranean farming system,Abundance of weeds and seeds but not of arthropods differs between arable habitats in an extensive Mediterranean farming system,No,No,No,No,No,No,,0,6,0,6,"Tarjuelo, Rocio; Morales, Manuel B.; Arribas, Leticia; Traba, Juan",Tarjuelo,0,FALSE,FALSE,FALSE,FALSE,TRUE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Aislyn,201,2019-12-18T12:37:48Z,,Accelerated recovery of calcium carbonate production in coral reefs using low-tech ecological restoration,Accelerated recovery of calcium carbonate production in coral reefs using low-tech ecological restoration,No,No,No,No,No,No,,0,6,0,6,"Adolfo Tortolero-Langarica, J. J.; Rodriguez-Troncoso, Alma P.; Cupul-Magana, Amilcar L.; Alarcon-Ortega, Lucy C.; Santiago-Valentin, Jeimy D.",Adolfo Tortolero-Langarica,0,FALSE,FALSE,FALSE,FALSE,TRUE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Sierra,367,2020-01-03T09:01:17Z,,Accessibility drives species exposure to recreation in a fragmented urban reserve network,Accessibility drives species exposure to recreation in a fragmented urban reserve network,No,No,No,No,No,No,,0,6,0,6,"Larson, Courtney L.; Reed, Sarah E.; Merenlender, Adina M.; Crooks, Kevin R.",Larson,2,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Anna,1295,2019-12-31T10:17:06Z,,Accounting for Multiple Foundation Species in Oyster Reef Restoration Benefits,Accounting for Multiple Foundation Species in Oyster Reef Restoration Benefits,No,No,No,No,No,No,,0,6,0,6,"Gedan, Keryn B.; Kellogg, Lisa; Breitburg, Denise L.",Gedan,1,FALSE,FALSE,FALSE,FALSE,FALSE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Kathryn,952,2020-01-21T17:53:04Z,,Accounting for residential propagule pressure improves prediction of urban plant invasion,Accounting for residential propagule pressure improves prediction of urban plant invasion,No,No,No,No,No,No,,0,6,0,6,"Davis, Amy J. S.; Singh, Kunwar K.; Thill, Jean-Claude; Meentemeyer, Ross K.",Davis,0,FALSE,FALSE,FALSE,FALSE,TRUE
Abstract Review_Exclusion Criteria for Kremen Review Framework (Responses),ledee@umn.edu,2019-12-03T01:00:33Z,2020-01-24T05:37:38Z,1913,1,Tim,1679,2020-01-17T23:46:04Z,,Adapting the adaptive cycle: Hypotheses on the development of ecosystem properties and services,Adapting the adaptive cycle: Hypotheses on the development of ecosystem properties and services,No,No,No,No,No,No,,0,6,0,6,"Burkhard, Benjamin; Fath, Brian D.; Mueller, Felix",Burkhard,2,FALSE,FALSE,FALSE,FALSE,FALSE
