Title,FirstAuthor,SourcePublication,PublicationYear,Init,doublerev,version,Q14_ESP_type,ESPcount,Q14_KremenNotes,biotic_driver_present,biotic_drivers,Q18_SurveyNotes,Round1_Comments,Q14_qa_note
Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,Albert,CONSERVATION BIOLOGY,2017,AK/GV,TRUE,final,,0,"GV: They looked at habitat quality and connectivity for conservation of 14 target vertebrate species. Service provider was nonexistent, but the connectivity of the landscape was a function for habitat creation/maintenance.",FALSE,,,just modeled habitat connectivity as EF but didn't really scale up to ES,
The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland,Albrecht,JOURNAL OF APPLIED ECOLOGY,2007,CW,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,,TRUE,Service Provider (Q17),"Response vars for plant reproductive success are seed set per plant, fruit set per plant, and seed mass (only 2 slots available for responses). Choose food/fuel as relevant ES in Q12 because looking at plant repo success with respect to ag and conservation benefits. Overall study looks at mgmt type relationship with pollinator richness and diversity (broken down into pollinator guilds), mgmt type relationship with plant reproductive success, and correlation between plant reproduction and pollinator diversity; also looks at influence of distance from improved mgmt type on all of the response variables.",,
Diverse pollinator communities enhance plant reproductive success,Albrecht,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2012,CW,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,,TRUE,Service Provider (Q17),"It's not clear to me how they're intending fruit set and seed set (as EF or as proxy for ES), but I think here it's used more akin to EF whereas visitation rate is clearer proxy for pollination services ES. The x-var for visitation rate is time of day, but separated by ESP functional group (does flower visitation rate vary by time of day and functional group?). Checked community structure for Kremen framework question because does discuss functional complementarity of ESPs (different groups pollinate at different times of day). ""Scale"" addressed is activity over time of day (temporal scale), and flower height in plant (""spatial"" scale, in authors' words). Relationships are non-linear in some cases (e.g. mean seeds, and visitation rates).",,
Ecological correlates of risk and incidence of West Nile virus in the United States,Allan,OECOLOGIA,2009,IS,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,TRUE,Service Provider (Q17); bird diversity,,"At first glance this does not seem like an ecosystem service paper, but it talks about maintaining biodiversity as a way of minimizing disease to humans, and spread of pathogens which I think makes it pass",
Coral identity underpins architectural complexity on Caribbean reefs,Alvarez-Filip,ECOLOGICAL APPLICATIONS,2011,GV,FALSE,final,"Single species  [e.g. ESPs, single species],Multiple ESP species [e.g., multiple focal ESP species]",2,"Examined coral community composition, found that there were a couple coral 'service providers' of the architecture (rugosity).",TRUE,Service Provider (Q17),Rugosity is a measure of (variability in) coral architecture,May be excluded after. Difficult to determine from the abstract if they were measuring EFs and ES or just mentioning their relationship with architectural complexity of reefs.,
"Biofuels on the landscape: Is ""land sharing"" preferable to ""land sparing""?",Anderson-Teixeira,ECOLOGICAL APPLICATIONS,2012,CK/JL,TRUE,final,"Single species  [e.g. ESPs, single species]",1,"JL: I decided to included ESPs as a driver because the study considers how different biofuel crops are related to the decision to land share or land spare, and thus, GHGV",TRUE,Service Provider (Q17),,,"CTW reviewed and corrected based on corrected Q12 answers, keep JL answer"
Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities,Andersson,BASIC AND APPLIED ECOLOGY,2013,JL,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,,FALSE,,"Negative direction indicates that increasing land use change (more ag homogenization) had a negative effect on pollinator communities and ESPs. Conventional farming had a negative effect relative to organic farming.; Comment on Human driver: Land use change=Landscape homogeneity, Management practices=organic vs conventional farming",,
Managing ecosystems without prior knowledge: pathological outcomes of lake liming,Angeler,ECOLOGY AND SOCIETY,2017,SDJ/GV,TRUE,final,,0,"SDJ: The paper mentions particular fish that are important to humans (fisheries) but does not delve into how the community structure affects those ESPs. So Q14 not relevant; GV: Talked about services that are vital in freshwater lakes, but focused on community structure of groups. Fisheries would depend fairly clearly on fish community structure, so it is still included. No services truly measured.",FALSE,,"SDJ: Q12. The study included lakes that were naturally acidified and lakes that were acidified due to human activity. It also included lakes that were limed by humans and ones that were not. So water quality was determined by natural and human causes. They were particularly interested in the human-caused liming. The human driver relationship was mixed because adding lime to lakes that were naturally acidified seemed to cause negative changes in community structure. Adding lime to lakes that were acidified due to human use probably had neutral to beneficial impacts from a management standpoint (water quality). For food and feed, the fisheries potential is responding to the community structure/water quality/human liming. They estimate fisheries potential from occurrence of valuable fish species. Q13  Kremen topic 3 is relevant because the paper does include - how community structure is different in naturally acidified lakes compared to unnaturally acidified lakes, but they do not delve into those details or discuss them at all.; GV: No measurement of services/function except community structure of certain groups including fish, so fisheries was the closest link that they mentioned.","On the fence, but it seems like water quality metrics and indicator species for angling could be considered as measured ES/EF metrics affected by lake management decisions",
Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,Anton,ECOLOGICAL APPLICATIONS,2011,TM,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,FALSE,,,,
Landscape structure regulates pest control provided by ants in sun coffee farms,Aristizabal,JOURNAL OF APPLIED ECOLOGY,2019,CK,FALSE,final,"Single species  [e.g. ESPs, single species]",1,"The ESP is ""ants"" but the paper doesn't specify the species. Forest structure (% cover and distance to intact patch) influence function.",TRUE,Service Provider (Q17); Ant activity (number observed per timed interval),,,
