Title,FirstAuthor,SourcePublication,PublicationYear,Init,doublerev,version,qnum,id,clean_answer,varnum,clean_answer_binned,abbr,Group,clean_group,ES,fullES,Q18_SurveyNotes,Round1_Comments,Q12drivers_qa_note
Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,Albert,CONSERVATION BIOLOGY,2017,AK/GV,TRUE,final,Q12,Q25.2_1,Climate,1,Climate,Driver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,,just modeled habitat connectivity as EF but didn't really scale up to ES,
Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,Albert,CONSERVATION BIOLOGY,2017,AK/GV,TRUE,final,Q12,Q25.3_1,Land use change,2,Land use and land cover change,Driver,Human,Human,HabCreate,Habitat creation and maintenance,,just modeled habitat connectivity as EF but didn't really scale up to ES,
The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland,Albrecht,JOURNAL OF APPLIED ECOLOGY,2007,CW,FALSE,final,Q12,Q25.3_12,Management Practices,1,Management/restoration,Driver,Human,Human,Food,Food and feed,"Response vars for plant reproductive success are seed set per plant, fruit set per plant, and seed mass (only 2 slots available for responses). Choose food/fuel as relevant ES in Q12 because looking at plant repo success with respect to ag and conservation benefits. Overall study looks at mgmt type relationship with pollinator richness and diversity (broken down into pollinator guilds), mgmt type relationship with plant reproductive success, and correlation between plant reproduction and pollinator diversity; also looks at influence of distance from improved mgmt type on all of the response variables.",,
The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland,Albrecht,JOURNAL OF APPLIED ECOLOGY,2007,CW,FALSE,final,Q12,Q25.4_12,Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,Food,Food and feed,"Response vars for plant reproductive success are seed set per plant, fruit set per plant, and seed mass (only 2 slots available for responses). Choose food/fuel as relevant ES in Q12 because looking at plant repo success with respect to ag and conservation benefits. Overall study looks at mgmt type relationship with pollinator richness and diversity (broken down into pollinator guilds), mgmt type relationship with plant reproductive success, and correlation between plant reproduction and pollinator diversity; also looks at influence of distance from improved mgmt type on all of the response variables.",,
The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland,Albrecht,JOURNAL OF APPLIED ECOLOGY,2007,CW,FALSE,final,Q12,Q25.3_2,Management Practices,1,Management/restoration,Driver,Human,Human,Pollination,Pollination and dispersal of seeds or other propagules,"Response vars for plant reproductive success are seed set per plant, fruit set per plant, and seed mass (only 2 slots available for responses). Choose food/fuel as relevant ES in Q12 because looking at plant repo success with respect to ag and conservation benefits. Overall study looks at mgmt type relationship with pollinator richness and diversity (broken down into pollinator guilds), mgmt type relationship with plant reproductive success, and correlation between plant reproduction and pollinator diversity; also looks at influence of distance from improved mgmt type on all of the response variables.",,
The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland,Albrecht,JOURNAL OF APPLIED ECOLOGY,2007,CW,FALSE,final,Q12,Q25.4_2,Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,"Response vars for plant reproductive success are seed set per plant, fruit set per plant, and seed mass (only 2 slots available for responses). Choose food/fuel as relevant ES in Q12 because looking at plant repo success with respect to ag and conservation benefits. Overall study looks at mgmt type relationship with pollinator richness and diversity (broken down into pollinator guilds), mgmt type relationship with plant reproductive success, and correlation between plant reproduction and pollinator diversity; also looks at influence of distance from improved mgmt type on all of the response variables.",,
Diverse pollinator communities enhance plant reproductive success,Albrecht,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2012,CW,FALSE,final,Q12,Q25.4_12,Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,Food,Food and feed,"It's not clear to me how they're intending fruit set and seed set (as EF or as proxy for ES), but I think here it's used more akin to EF whereas visitation rate is clearer proxy for pollination services ES. The x-var for visitation rate is time of day, but separated by ESP functional group (does flower visitation rate vary by time of day and functional group?). Checked community structure for Kremen framework question because does discuss functional complementarity of ESPs (different groups pollinate at different times of day). ""Scale"" addressed is activity over time of day (temporal scale), and flower height in plant (""spatial"" scale, in authors' words). Relationships are non-linear in some cases (e.g. mean seeds, and visitation rates).",,
Diverse pollinator communities enhance plant reproductive success,Albrecht,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2012,CW,FALSE,final,Q12,Q25.4_2,Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,"It's not clear to me how they're intending fruit set and seed set (as EF or as proxy for ES), but I think here it's used more akin to EF whereas visitation rate is clearer proxy for pollination services ES. The x-var for visitation rate is time of day, but separated by ESP functional group (does flower visitation rate vary by time of day and functional group?). Checked community structure for Kremen framework question because does discuss functional complementarity of ESPs (different groups pollinate at different times of day). ""Scale"" addressed is activity over time of day (temporal scale), and flower height in plant (""spatial"" scale, in authors' words). Relationships are non-linear in some cases (e.g. mean seeds, and visitation rates).",,
Ecological correlates of risk and incidence of West Nile virus in the United States,Allan,OECOLOGIA,2009,IS,FALSE,final,Q12,Q25.4_10,Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,"At first glance this does not seem like an ecosystem service paper, but it talks about maintaining biodiversity as a way of minimizing disease to humans, and spread of pathogens which I think makes it pass",
Ecological correlates of risk and incidence of West Nile virus in the United States,Allan,OECOLOGIA,2009,IS,FALSE,final,Q12,Q25,human population density,2,Population growth and density,OtherDriver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,"At first glance this does not seem like an ecosystem service paper, but it talks about maintaining biodiversity as a way of minimizing disease to humans, and spread of pathogens which I think makes it pass",Infilled ES from Driver where 'Other' specified
