Title,FirstAuthor,SourcePublication,PublicationYear,Init,doublerev,version,Q12_Response,varnum,Q12_Yclass,ES,fullES,Q18_SurveyNotes,Round1_Comments,Q12responses_qa_note
Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,Albert,CONSERVATION BIOLOGY,2017,AK/GV,TRUE,final,habitat connectivity,1,EF,HabCreate,Habitat creation and maintenance,,just modeled habitat connectivity as EF but didn't really scale up to ES,"ctw needs to finalize answer, placeholder"
Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,Albert,CONSERVATION BIOLOGY,2017,AK/GV,TRUE,final,habitat quality,2,EF,HabCreate,Habitat creation and maintenance,,just modeled habitat connectivity as EF but didn't really scale up to ES,"ctw needs to finalize answer, placeholder"
The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland,Albrecht,JOURNAL OF APPLIED ECOLOGY,2007,CW,FALSE,final,Seed set per plant,1,Proxy for ES,Food,Food and feed,"Response vars for plant reproductive success are seed set per plant, fruit set per plant, and seed mass (only 2 slots available for responses). Choose food/fuel as relevant ES in Q12 because looking at plant repo success with respect to ag and conservation benefits. Overall study looks at mgmt type relationship with pollinator richness and diversity (broken down into pollinator guilds), mgmt type relationship with plant reproductive success, and correlation between plant reproduction and pollinator diversity; also looks at influence of distance from improved mgmt type on all of the response variables.",,
The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland,Albrecht,JOURNAL OF APPLIED ECOLOGY,2007,CW,FALSE,final,Seed mass,2,Proxy for ES,Food,Food and feed,"Response vars for plant reproductive success are seed set per plant, fruit set per plant, and seed mass (only 2 slots available for responses). Choose food/fuel as relevant ES in Q12 because looking at plant repo success with respect to ag and conservation benefits. Overall study looks at mgmt type relationship with pollinator richness and diversity (broken down into pollinator guilds), mgmt type relationship with plant reproductive success, and correlation between plant reproduction and pollinator diversity; also looks at influence of distance from improved mgmt type on all of the response variables.",,
The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland,Albrecht,JOURNAL OF APPLIED ECOLOGY,2007,CW,FALSE,final,Pollinator richness,1,Proxy for ES,Pollination,Pollination and dispersal of seeds or other propagules,"Response vars for plant reproductive success are seed set per plant, fruit set per plant, and seed mass (only 2 slots available for responses). Choose food/fuel as relevant ES in Q12 because looking at plant repo success with respect to ag and conservation benefits. Overall study looks at mgmt type relationship with pollinator richness and diversity (broken down into pollinator guilds), mgmt type relationship with plant reproductive success, and correlation between plant reproduction and pollinator diversity; also looks at influence of distance from improved mgmt type on all of the response variables.",,
The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland,Albrecht,JOURNAL OF APPLIED ECOLOGY,2007,CW,FALSE,final,Pollinator abundance,2,Proxy for ES,Pollination,Pollination and dispersal of seeds or other propagules,"Response vars for plant reproductive success are seed set per plant, fruit set per plant, and seed mass (only 2 slots available for responses). Choose food/fuel as relevant ES in Q12 because looking at plant repo success with respect to ag and conservation benefits. Overall study looks at mgmt type relationship with pollinator richness and diversity (broken down into pollinator guilds), mgmt type relationship with plant reproductive success, and correlation between plant reproduction and pollinator diversity; also looks at influence of distance from improved mgmt type on all of the response variables.",,
Diverse pollinator communities enhance plant reproductive success,Albrecht,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2012,CW,FALSE,final,Seed set,1,EF,Food,Food and feed,"It's not clear to me how they're intending fruit set and seed set (as EF or as proxy for ES), but I think here it's used more akin to EF whereas visitation rate is clearer proxy for pollination services ES. The x-var for visitation rate is time of day, but separated by ESP functional group (does flower visitation rate vary by time of day and functional group?). Checked community structure for Kremen framework question because does discuss functional complementarity of ESPs (different groups pollinate at different times of day). ""Scale"" addressed is activity over time of day (temporal scale), and flower height in plant (""spatial"" scale, in authors' words). Relationships are non-linear in some cases (e.g. mean seeds, and visitation rates).",,
Diverse pollinator communities enhance plant reproductive success,Albrecht,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2012,CW,FALSE,final,Fruit set,2,EF,Food,Food and feed,"It's not clear to me how they're intending fruit set and seed set (as EF or as proxy for ES), but I think here it's used more akin to EF whereas visitation rate is clearer proxy for pollination services ES. The x-var for visitation rate is time of day, but separated by ESP functional group (does flower visitation rate vary by time of day and functional group?). Checked community structure for Kremen framework question because does discuss functional complementarity of ESPs (different groups pollinate at different times of day). ""Scale"" addressed is activity over time of day (temporal scale), and flower height in plant (""spatial"" scale, in authors' words). Relationships are non-linear in some cases (e.g. mean seeds, and visitation rates).",,
Diverse pollinator communities enhance plant reproductive success,Albrecht,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2012,CW,FALSE,final,Visitation rate,1,Proxy for ES,Pollination,Pollination and dispersal of seeds or other propagules,"It's not clear to me how they're intending fruit set and seed set (as EF or as proxy for ES), but I think here it's used more akin to EF whereas visitation rate is clearer proxy for pollination services ES. The x-var for visitation rate is time of day, but separated by ESP functional group (does flower visitation rate vary by time of day and functional group?). Checked community structure for Kremen framework question because does discuss functional complementarity of ESPs (different groups pollinate at different times of day). ""Scale"" addressed is activity over time of day (temporal scale), and flower height in plant (""spatial"" scale, in authors' words). Relationships are non-linear in some cases (e.g. mean seeds, and visitation rates).",,
Ecological correlates of risk and incidence of West Nile virus in the United States,Allan,OECOLOGIA,2009,IS,FALSE,final,west nile virus incidence in humans,1,ES,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,"At first glance this does not seem like an ecosystem service paper, but it talks about maintaining biodiversity as a way of minimizing disease to humans, and spread of pathogens which I think makes it pass",
