Title,FirstAuthor,SourcePublication,PublicationYear,Init,ES_assessed,EScount,Q15_Feedbacks,Q16_Thresholds,Q18_SurveyNotes,Round1_Comments,qa_note
Landscape structure regulates pest control provided by ants in sun coffee farms,Aristizabal,JOURNAL OF APPLIED ECOLOGY,2019,CK,PestPath,1,No feedbacks measured directly,Yes,,,
The Relevance of Conditional Dispersal for Bacterial Colony Growth and Biodegradation,Banitz,MICROBIAL ECOLOGY,2012,NBD,SoilProtect,1,Ecosystem function -> service providers,No,,,
Avian pest control in vineyards is driven by interactions between bird functional diversity and landscape heterogeneity,Barbaro,JOURNAL OF APPLIED ECOLOGY,2017,AIS,PestPath,1,Ecosystem function -> service providers,No,,,
Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities,Bauer,JOURNAL OF APPLIED ECOLOGY,2017,AK,ClimReg; HabCreate; SoilProtect,3,Ecosystem function -> service providers,No,"can discuss the feedbacks with partner later on, wasn't sure how to qualify plant-soil feedbacks","CTW re-evaluated article for Q8; LD: only measures above ground biomass, but could present a nice opportunity and case to link from management to function to ES (also soil ES) as a case study",
Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019,NBD,PestPath; Pollination,2,Ecosystem function -> service providers,No,,,
Measuring ecosystem capacity to provide regulating services: forest removal and recovery at Hubbard Brook (USA),Beier,ECOLOGICAL APPLICATIONS,2015,IS,ClimReg; freshWQReg,2,No feedbacks measured directly,Yes,,Good paper looking at how experimental deforestation impacts multiple ecosystem services ( mostly water based services ),
Effects of coastal development on nearshore estuarine nekton communities,Bilkovic,MARINE ECOLOGY PROGRESS SERIES,2008,CK/JL,HabCreate; MaintainOpts,2,No feedbacks measured directly,Yes,"JL: Comment on Human driver: Land use change=% Developed land, Management practice=Shoreline condition (bulkhead;riprap;natural)",,
Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017,AK/AIS,ClimReg; CulturePsych; Food; MaintainOpts; Materials; SoilProtect,6,Ecosystem services -> service providers,Mentioned or discussed but not measured,,,AK reviewed inconsistent answers
A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Carturan,ECOSPHERE,2018,NBD,CulturePsych; HabCreate; Hazards,3,Ecosystem function -> service providers,No,,applied a framework to a virtual scenario (simulation),
Practices of conservation agriculture prevail over cropping systems and landscape heterogeneity in understanding the ecosystem service of aphid biocontrol,Chabert,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,TM,PestPath,1,Ecosystem function -> service providers,No,,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,ClimReg; coastWQReg; CulturePsych; Energy; Food; Hazards; MaintainOpts; Materials; PestPath; Pollination; SoilProtect,11,No feedbacks measured directly,Yes,,,
Reconciling community ecology and ecosystem services: Cultural services and benefits from birds in South African National Parks,Cumming,ECOSYSTEM SERVICES,2017,JL/TK,CulturePsych,1,No feedbacks measured directly,Yes,,,
Floral abundance and richness drive beneficial arthropod conservation and biological control on golf courses,Dale,URBAN ECOSYSTEMS,,NBD,PestPath,1,Ecosystem function -> service providers,Mentioned or discussed but not measured,,measures biological control,
"Seeds in farmland food-webs: Resource importance, distribution and the impacts of farm management",Evans,BIOLOGICAL CONSERVATION,2011,NBD,PestPath; Pollination,2,Ecosystem function -> service providers,No,,Can't quite tell from the abstract if EFs or ESs are directly measured.,
