Title,FirstAuthor,SourcePublication,PublicationYear,Init,Q6_Methods,methodcount,Q18_SurveyNotes,Round1_Comments,qa_note
The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland,Albrecht,JOURNAL OF APPLIED ECOLOGY,2007,CW,Experimental; Observational (Includes data observed in situ OR via remote sensing if used directly),2,"Response vars for plant reproductive success are seed set per plant, fruit set per plant, and seed mass (only 2 slots available for responses). Choose food/fuel as relevant ES in Q12 because looking at plant repo success with respect to ag and conservation benefits. Overall study looks at mgmt type relationship with pollinator richness and diversity (broken down into pollinator guilds), mgmt type relationship with plant reproductive success, and correlation between plant reproduction and pollinator diversity; also looks at influence of distance from improved mgmt type on all of the response variables.",,
Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,Anton,ECOLOGICAL APPLICATIONS,2011,TM,Experimental; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,
Constructing more informative plant-pollinator networks: visitation and pollen deposition networks in a heathland plant community,Ballantyne,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2015,NBD,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,"Experiment, observation, and/or modeling methods confirmed by ND+AK review"
The Relevance of Conditional Dispersal for Bacterial Colony Growth and Biodegradation,Banitz,MICROBIAL ECOLOGY,2012,NBD,Experimental; Model/Data Simulation,2,,,"Experiment, observation, and/or modeling methods confirmed by ND+AK review"
Avian pest control in vineyards is driven by interactions between bird functional diversity and landscape heterogeneity,Barbaro,JOURNAL OF APPLIED ECOLOGY,2017,AIS,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,"Experiment, observation, and/or modeling methods confirmed by ND+AK review"
Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Baro,ECOSYSTEM SERVICES,2017,AIS,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,"Experiment, observation, and/or modeling methods confirmed by ND+AK review"
Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Baulechner,BIOLOGICAL CONSERVATION,2019,NBD,Experimental; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,
"LOCAL AND SCIENTIFIC ECOLOGICAL KNOWLEDGE POTENTIAL AS A SOURCE OF INFORMATION IN A PERIURBAN RIVER, MEXICO CITY, MEXICO",Caro-Borrero,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2017,TM,Observational (Includes data observed in situ OR via remote sensing if used directly); Social survey/Interview,2,,Will probably exclude.. not sure it rigorously links drivers to changes in water quality (focal ES/EF),
"Urban biodiversity and social inequalities in built-up cities: New evidences, next questions. The example of Paris, France",Cohen,LANDSCAPE AND URBAN PLANNING,2012,CW,Observational (Includes data observed in situ OR via remote sensing if used directly); Social survey/Interview,2,"Study is on the spatial pattern and clustering of socioeconomic factors and semi-natural spaces. Paper mentions three types of ecosystem functions measured as proxies for ESs (biological traits for ecosystem maintenance -- ""traits"" ends up being richness and diversity; presence of ecosystem engineers and sealing soil for hydro-climate regulation; and use and perception of seminary's-natural public spaces by city dwellers for cultural function). Makes composite ES index ordinal gradient of low to excellent from these three and maps that onto CBG units across Paris. Little numeric quantification of anything, other that vegetation type richness and diversity relationship to household income, which is nonlinear.","service provision by urban greenspace, distribution and variation in space",
Can landscape-scale approaches to conservation management resolve biodiversity-ecosystem service trade-offs?,Cordingley,JOURNAL OF APPLIED ECOLOGY,2016,LB,Experimental; Social survey/Interview,2,,,
Rewiring of experimentally disturbed seed dispersal networks might lead to unexpected network configurations,Costa,BASIC AND APPLIED ECOLOGY,2018,IS,Experimental; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,Reclass 'other' method
Reconciling community ecology and ecosystem services: Cultural services and benefits from birds in South African National Parks,Cumming,ECOSYSTEM SERVICES,2017,JL/TK,Observational (Includes data observed in situ OR via remote sensing if used directly); Social survey/Interview,2,,,
Floral abundance and richness drive beneficial arthropod conservation and biological control on golf courses,Dale,URBAN ECOSYSTEMS,,NBD,Experimental; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,measures biological control,
Response of Ants and Their Seed Removal in Rehabilitation Areas and Forests at El Cerrejon Coal Mine in Colombia,Dominguez-Haydar,RESTORATION ECOLOGY,2011,LB,Experimental; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,
Balancing water supply and old-growth forest conservation in the lowlands of south-central Chile through adaptive co-management,Donoso,LANDSCAPE ECOLOGY,2014,NBD,Observational (Includes data observed in situ OR via remote sensing if used directly); Social survey/Interview,2,,,
"Uncovering the spatial dynamics of wild rice lakes, harvesters and management across Great Lakes landscapes for shared regional conservation",Drewes,ECOLOGICAL MODELLING,2012,LD,Observational (Includes data observed in situ OR via remote sensing if used directly); Social survey/Interview,2,"focused on characteristics of wild rice distribution, harvest and management across multiple jurisdictions. wild rice declined through time",wild rice spatial dynamics,
Recovery Debts Can Be Revealed by Ecosystem Network-Based Approaches,Dubois,ECOSYSTEMS,2019,CW,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,"This is a cool paper, very relevant to the Kremen framework (and they didn't cite Kremen!). Study revolves around network analysis so don't quantify effect sizes of much (what Q12 gets at)... this may be a limitation of our survey instrument (i.e. this survey form) for scoring papers like these (that do model complexity, whole ecosystem networks). Authors didn't state which ecosystem service they were modeling (as reflected in Q12), but I think this could apply to either energy or maintenance of options. Indicator values and biomass modeled by site (fore reef or lagoon) and by species, functional or trophic group, recovery debt estimated for entire ecosystem based on difference indicator metrics.",uses ecosystem network approach to asses recovery in coral reef ecosystem - includes % loss in cycling efficiency and transfer efficiency,"Experiment, observation, and/or modeling methods confirmed by ND+AK review"
Combined effects of agrochemicals and ecosystem services on crop yield across Europe,Gagic,ECOLOGY LETTERS,2017,JL,Experimental; Observational (Includes data observed in situ OR via remote sensing if used directly),2,"Although I declared no measured feedbacks, this is a complicated structured analysis, and there are certainly relationships between multiple services (or disservices), like pest control (aphids) and crop yield; aphids could thus be considered an ESP and an ES (or disservice); Comment on Human driver: Management practice=fertilizer, Management practice=insecticide (indirectly via effects on aphids), Land use change=landscape simplification; Comment on Biotic driver: Service provider(yield)=aphid growth, Service provider(aphid)=rove beetles;wolf spiders;vegetation-dwelling predators",,
Assessing mismatches in ecosystem services proficiency across the urban fabric of Porto (Portugal): The influence of structural and socioeconomic variables,Graca,ECOSYSTEM SERVICES,2017,AK,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,"Experiment, observation, and/or modeling methods confirmed by ND+AK review"
Anthropogenic remediation of heavy metals selects against natural microbial remediation,Hesse,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2019,LB,Experimental; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,ES is microbial community - directly connected to soil remediation,
Low tolerance of New Caledonian secondary forest species to savanna fires,Ibanez,JOURNAL OF VEGETATION SCIENCE,2013,AIS,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,UPDATED,"Experiment, observation, and/or modeling methods confirmed by ND+AK review"
"Quantifying changes in multiple ecosystem services during 2000-2012 on the Loess Plateau, China, as a result of climate variability and ecological restoration",Jiang,ECOLOGICAL ENGINEERING,2016,LD,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,"DYNAMICS OVER TIME AND TRADEOFFS AND SYNERGIES BETWEEN MULTIPLE ES : ""The spatial correlation coefficients between soil retention, car- bon sequestration, and hydrological regulation amounts in 2000, 2005, and 2012; and changes during 2000–2012, suggest that synergies exist between three regulating ecosystem services on the LP""",Links abiotic drivers to ES's over time,
Invasive Species Impacts on Human Well-being Using the Life Satisfaction Index,Jones,ECOLOGICAL ECONOMICS,2017,SDJ,Experimental; Observational (Includes data observed in situ OR via remote sensing if used directly),2,Difficult to fill in the table because the Emerald Ash Borer is not an ESP (it is an invasive species). the relationship was negative though and strongest after a 5 year lag,,Reclass 'other' method
Organic farming promotes biotic resistance to foodborne human pathogens,Jones,JOURNAL OF APPLIED ECOLOGY,2019,CW,Experimental; Observational (Includes data observed in situ OR via remote sensing if used directly),2,"Everything measured in this study, even soil community biodiversity, is in relation to potential to mitigate pathogen spread to food through feces in crop fields (i.e. it's all about food safety risk). So only counting y-vars towards soil protection ES (e.g. not counting diversity response towards maintenance of options ES). The general result is organic farming improves below ground beetle diversity, greater beetle diversity associated with more feces removal, reduced E. coli levels. Farm management levels are conventional, organic, and integrated. They have an SEM for above and below ground farm mgmt-beetle-soil content-feces relationships.",,
Using citizen scientists to measure an ecosystem service nationwide,Kaartinen,ECOLOGY,2013,LD/TK,Experimental; Observational (Includes data observed in situ OR via remote sensing if used directly),2,"LD: For the time question, they sampled multiple points (days) over the course of the experiment - 6 sample points in 60 days. They were trying to tease apart taxon-specific effects. Interesting: The current observations of the impact of dor beetles offer large-scale proof for previous findings obtained at smaller spatial scales: that dung beetle species of high body mass may be disproportionately important for sustaining an overall ecosystem service in both temper- ate (Rosenlew and Roslin 2008) and tropical regions (Larsen et al. 2005, Slade et al. 2007, 2011). The fate of a major ecosystem service may then hinge disproportion- ately on the fate of individual, large-sized species—a finding with profound consequences for conservation priorities. Overall, we note that our general approach of estimating functional contributions of decomposer taxa as differences in mass among dung pats to which they had vs. lacked access relies on the explicit assumption that relevant taxa were present across sites. For pat- dwelling dung beetles in the genus Aphodius, this assumption was verified through direct sampling of five bait pats (see above and Appendix B). For earthworms and dor beetles, the sampling techniques employed will suffice to establish neither their presence nor their abundance. ****FLAG AS AN INNOVATIVE APPROACH TO SCALE UP ES RESEARCH - citizen science experiments *****",,For LD review only: Reclass 'other' method; For TK review only: Dissolved TK clean answer into LD clean answer
Predicting coral community recovery using multi-species population dynamics models,Kayal,ECOLOGY LETTERS,2019,TK,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,"Experiment, observation, and/or modeling methods confirmed by ND+AK review"
Impact of disturbance on above-ground water storage capacity of bryophytes in New Zealand indigenous tussock grassland ecosystems,Michel,NEW ZEALAND JOURNAL OF ECOLOGY,2013,NBD,Experimental; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,
"The Monteregie Connection: linking landscapes, biodiversity, and ecosystem services to improve decision making",Mitchell,ECOLOGY AND SOCIETY,2015,TM,Experimental; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,
Ecological interactions shape the distribution of a cultural ecosystem service: Argali sheep (Ovis ammon) in the Gobi-Steppe of Mongolia,Murdoch,BIOLOGICAL CONSERVATION,2017,GV,Model/Data Simulation; Observational (Includes data observed in situ OR via remote sensing if used directly),2,,,"Experiment, observation, and/or modeling methods confirmed by ND+AK review"
A trait-based ecology of the Los Angeles urban forest,Pataki,ECOSPHERE,2013,IS,Observational (Includes data observed in situ OR via remote sensing if used directly); Social survey/Interview,2,,,
Seascape architecture - incorporating ecological considerations in design of coastal and marine infrastructure,Perkol-Finkel,ECOLOGICAL ENGINEERING,2018,IS,Experimental; Observational (Includes data observed in situ OR via remote sensing if used directly),2,"the authors didn't really use ES/EF language, especially to frame their response variables, but they do talk about how species richness and biodiversity contributes to sea wall stability",scale and much more!,
