"Title","clean_answer_binned","clean_group"
"Constructing more informative plant-pollinator networks: visitation and pollen deposition networks in a heathland plant community","Service provider identity","Biotic"
"Uncovering the spatial dynamics of wild rice lakes, harvesters and management across Great Lakes landscapes for shared regional conservation","Exploitation/harvest","Human"
"Uncovering the spatial dynamics of wild rice lakes, harvesters and management across Great Lakes landscapes for shared regional conservation","Service provider identity","Biotic"
"Uncovering the spatial dynamics of wild rice lakes, harvesters and management across Great Lakes landscapes for shared regional conservation","Characteristics of human population","Human"
"The Relevance of Conditional Dispersal for Bacterial Colony Growth and Biodegradation","Service provider identity","Biotic"
"Sustainable viticulture: The carbon-sink function of the vineyard agro-ecosystem","Climate","Environmental"
"Sustainable viticulture: The carbon-sink function of the vineyard agro-ecosystem","Land use and land cover change","LU_LC"
"Sustainable viticulture: The carbon-sink function of the vineyard agro-ecosystem","Management/restoration","Human"
"Additive and interactive effects of pollination and biological pest control on crop yield","Soil physiochemical characteristics","Environmental"
"Additive and interactive effects of pollination and biological pest control on crop yield","Insecticides/fungicides/pesticides/herbicides","Human"
"Additive and interactive effects of pollination and biological pest control on crop yield","Fertilization","Human"
"Additive and interactive effects of pollination and biological pest control on crop yield","Service provider abundance","Biotic"
"Restricting new forests to conservation lands severely constrains carbon and biodiversity gains in New Zealand","Climate","Environmental"
"Restricting new forests to conservation lands severely constrains carbon and biodiversity gains in New Zealand","Land use and land cover change","LU_LC"
"Floral abundance and richness drive beneficial arthropod conservation and biological control on golf courses","Land use and land cover change","LU_LC"
"Potential tree and soil carbon storage in a major historical floodplain forest with disrupted ecological function","Land use and land cover change","LU_LC"
"Ecological correlates of risk and incidence of West Nile virus in the United States","Service provider identity","Biotic"
"Ecological correlates of risk and incidence of West Nile virus in the United States","Population growth and density","Human"
"Ecological correlates of risk and incidence of West Nile virus in the United States","Service provider diversity/richness","Biotic"
"Can landscape-scale approaches to conservation management resolve biodiversity-ecosystem service trade-offs?","Management/restoration","Human"
