"Title","driv_type","ES"
"Constructing more informative plant-pollinator networks: visitation and pollen deposition networks in a heathland plant community","Biotic","Pollination"
"Uncovering the spatial dynamics of wild rice lakes, harvesters and management across Great Lakes landscapes for shared regional conservation","Human","Food"
"Uncovering the spatial dynamics of wild rice lakes, harvesters and management across Great Lakes landscapes for shared regional conservation","Human","CulturePsych"
"Uncovering the spatial dynamics of wild rice lakes, harvesters and management across Great Lakes landscapes for shared regional conservation","Biotic","Food"
"Uncovering the spatial dynamics of wild rice lakes, harvesters and management across Great Lakes landscapes for shared regional conservation","Biotic","CulturePsych"
"The Relevance of Conditional Dispersal for Bacterial Colony Growth and Biodegradation","Biotic","SoilProtect"
"Sustainable viticulture: The carbon-sink function of the vineyard agro-ecosystem","Environmental","ClimReg"
"Sustainable viticulture: The carbon-sink function of the vineyard agro-ecosystem","LU_LC","ClimReg"
"Sustainable viticulture: The carbon-sink function of the vineyard agro-ecosystem","Human","ClimReg"
"Additive and interactive effects of pollination and biological pest control on crop yield","Environmental","PestPath"
"Additive and interactive effects of pollination and biological pest control on crop yield","Environmental","Food"
"Additive and interactive effects of pollination and biological pest control on crop yield","Human","PestPath"
"Additive and interactive effects of pollination and biological pest control on crop yield","Human","Food"
"Additive and interactive effects of pollination and biological pest control on crop yield","Biotic","PestPath"
"Additive and interactive effects of pollination and biological pest control on crop yield","Biotic","Food"
"Restricting new forests to conservation lands severely constrains carbon and biodiversity gains in New Zealand","Environmental","HabCreate"
"Restricting new forests to conservation lands severely constrains carbon and biodiversity gains in New Zealand","Environmental","ClimReg"
"Restricting new forests to conservation lands severely constrains carbon and biodiversity gains in New Zealand","LU_LC","HabCreate"
"Restricting new forests to conservation lands severely constrains carbon and biodiversity gains in New Zealand","LU_LC","ClimReg"
"Floral abundance and richness drive beneficial arthropod conservation and biological control on golf courses","LU_LC","PestPath"
"Potential tree and soil carbon storage in a major historical floodplain forest with disrupted ecological function","LU_LC","ClimReg"
"Ecological correlates of risk and incidence of West Nile virus in the United States","Biotic","PestPath"
"Ecological correlates of risk and incidence of West Nile virus in the United States","Human","PestPath"
"Can landscape-scale approaches to conservation management resolve biodiversity-ecosystem service trade-offs?","Human","ClimReg"
"Can landscape-scale approaches to conservation management resolve biodiversity-ecosystem service trade-offs?","Human","Materials"
"Can landscape-scale approaches to conservation management resolve biodiversity-ecosystem service trade-offs?","Human","CulturePsych"
"Can landscape-scale approaches to conservation management resolve biodiversity-ecosystem service trade-offs?","LU_LC","ClimReg"
"Can landscape-scale approaches to conservation management resolve biodiversity-ecosystem service trade-offs?","LU_LC","Materials"
"Can landscape-scale approaches to conservation management resolve biodiversity-ecosystem service trade-offs?","LU_LC","CulturePsych"
"Evaluating the relative influence on population health of domestic gardens and green space along a rural-urban gradient","LU_LC","CulturePsych"
"Response of Ants and Their Seed Removal in Rehabilitation Areas and Forests at El Cerrejon Coal Mine in Colombia","Biotic","Pollination"
"Response of Ants and Their Seed Removal in Rehabilitation Areas and Forests at El Cerrejon Coal Mine in Colombia","Human","Pollination"
"The impact of projected increases in urbanization on ecosystem services","LU_LC","ClimReg"
