assess_date,doublerev,exclude,ResponseId,Init,Title,Group,abbr,Other_checked,ES,answer,OtherEntry
2020-05-17,FALSE,Keep,R_01WFDyowIJIdWZb,GV,A bottom-up approach to map land covers as potential green infrastructure hubs for human well-being in rural settings: A case study from Sweden,Anthro,Driver,TRUE,CulturePsych,Other,TRUE
2020-05-17,FALSE,Keep,R_01WFDyowIJIdWZb,GV,A bottom-up approach to map land covers as potential green infrastructure hubs for human well-being in rural settings: A case study from Sweden,Anthro,OtherDriver,TRUE,CulturePsych,Urban to rural gradient of land use.,
2020-05-17,FALSE,Keep,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",Anthro,Driver,FALSE,coastWQReg,Management Practices,
2020-05-17,FALSE,Keep,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",Env,Driver,TRUE,coastWQReg,Other,TRUE
2020-05-17,FALSE,Keep,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",Env,OtherDriver,TRUE,coastWQReg,slope,
2020-05-17,FALSE,Keep,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",Anthro,Driver,FALSE,freshWQReg,Management Practices,
2020-05-17,FALSE,Keep,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",Anthro,Driver,FALSE,SoilProtect,Management Practices,
2020-05-17,FALSE,Keep,R_2VF0XDe9qGZ1I8b,NBD,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Env,Driver,FALSE,CulturePsych,Climate,
2020-05-17,FALSE,Keep,R_2VF0XDe9qGZ1I8b,NBD,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Bio,Driver,FALSE,HabCreate,Service Provider (Q17),
2020-05-17,FALSE,Keep,R_2VF0XDe9qGZ1I8b,NBD,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Env,Driver,FALSE,HabCreate,Climate,
2020-05-17,FALSE,Keep,R_2VF0XDe9qGZ1I8b,NBD,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Bio,Driver,FALSE,Hazards,Service Provider (Q17),
2020-05-17,FALSE,Keep,R_2VF0XDe9qGZ1I8b,NBD,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Env,Driver,FALSE,Hazards,Climate,
2020-05-17,FALSE,Keep,R_2VF0XDe9qGZ1I8b,NBD,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Env,Driver,FALSE,Hazards,Extreme Events,
2020-05-17,FALSE,Keep,R_2dXPiR3XXdUjKSS,IS,A trait-based ecology of the Los Angeles urban forest,Anthro,Driver,FALSE,CulturePsych,Management Practices,
2020-05-17,FALSE,Keep,R_UYeQJqYgpQFhAgV,KCG,A welcome can of worms? Hypoxia mitigation by an invasive species,Bio,Driver,FALSE,coastWQReg,Service Provider (Q17),
2020-05-17,TRUE,Keep,R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Anthro,Driver,TRUE,PestPath,Other,TRUE
2020-05-17,TRUE,Keep,R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Anthro,OtherDriver,TRUE,PestPath,green roofs,
2020-05-17,TRUE,Keep,R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Bio,Driver,TRUE,PestPath,Other,FALSE
2020-05-17,TRUE,Keep,R_cUwFHwTqSb5aRDb,TK,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Anthro,Driver,FALSE,PestPath,Management Practices,
2020-05-17,FALSE,Maybe,R_3nkJM8cj2M1w727,SDJ,Accounting for residential propagule pressure improves prediction of urban plant invasion,Anthro,Driver,FALSE,PestPath,Population growth,
2020-05-17,FALSE,Keep,R_3GlgVK62HgWbe1E,LD,Additive and interactive effects of pollination and biological pest control on crop yield,Anthro,Driver,TRUE,Food,Other,TRUE
2020-05-17,FALSE,Keep,R_3GlgVK62HgWbe1E,LD,Additive and interactive effects of pollination and biological pest control on crop yield,Anthro,OtherDriver,TRUE,Food,insecticide,
2020-05-17,FALSE,Keep,R_3GlgVK62HgWbe1E,LD,Additive and interactive effects of pollination and biological pest control on crop yield,Anthro,OtherDriver,TRUE,Food,fertilizer,
2020-05-17,FALSE,Keep,R_3GlgVK62HgWbe1E,LD,Additive and interactive effects of pollination and biological pest control on crop yield,Bio,Driver,TRUE,Food,Other,TRUE
2020-05-17,FALSE,Keep,R_3GlgVK62HgWbe1E,LD,Additive and interactive effects of pollination and biological pest control on crop yield,Bio,OtherDriver,TRUE,Food,aphid abundance,
2020-05-17,FALSE,Keep,R_3GlgVK62HgWbe1E,LD,Additive and interactive effects of pollination and biological pest control on crop yield,Env,Driver,TRUE,Food,Other,TRUE
2020-05-17,FALSE,Keep,R_3GlgVK62HgWbe1E,LD,Additive and interactive effects of pollination and biological pest control on crop yield,Env,OtherDriver,TRUE,Food,soil organic carbon,
2020-05-17,FALSE,Keep,R_3GlgVK62HgWbe1E,LD,Additive and interactive effects of pollination and biological pest control on crop yield,Anthro,Driver,TRUE,PestPath,Other,TRUE
2020-05-17,FALSE,Keep,R_3GlgVK62HgWbe1E,LD,Additive and interactive effects of pollination and biological pest control on crop yield,Anthro,OtherDriver,TRUE,PestPath,insecticide,
2020-05-17,FALSE,Keep,R_3GlgVK62HgWbe1E,LD,Additive and interactive effects of pollination and biological pest control on crop yield,Anthro,OtherDriver,TRUE,PestPath,fertilizer,
2020-05-17,FALSE,Keep,R_3GlgVK62HgWbe1E,LD,Additive and interactive effects of pollination and biological pest control on crop yield,Bio,Driver,TRUE,PestPath,Other,TRUE
2020-05-17,FALSE,Keep,R_3GlgVK62HgWbe1E,LD,Additive and interactive effects of pollination and biological pest control on crop yield,Bio,OtherDriver,TRUE,PestPath,aphid abundance,
2020-05-17,FALSE,Keep,R_3GlgVK62HgWbe1E,LD,Additive and interactive effects of pollination and biological pest control on crop yield,Env,Driver,TRUE,PestPath,Other,TRUE
2020-05-17,FALSE,Keep,R_3GlgVK62HgWbe1E,LD,Additive and interactive effects of pollination and biological pest control on crop yield,Env,OtherDriver,TRUE,PestPath,soil organic carbon,
2020-05-17,FALSE,Keep,R_VWR9Gj6C949cnO9,TM,Agricultural practices for food safety threaten pest control services for fresh produce,Anthro,Driver,FALSE,Food,Management Practices,
2020-05-17,FALSE,Keep,R_VWR9Gj6C949cnO9,TM,Agricultural practices for food safety threaten pest control services for fresh produce,Anthro,OtherDriver,FALSE,Food,fertilization practices,
2020-05-17,FALSE,Keep,R_VWR9Gj6C949cnO9,TM,Agricultural practices for food safety threaten pest control services for fresh produce,Bio,Driver,TRUE,Food,Other,TRUE
2020-05-17,FALSE,Keep,R_VWR9Gj6C949cnO9,TM,Agricultural practices for food safety threaten pest control services for fresh produce,Bio,OtherDriver,TRUE,Food,Natural enemy presences,
2020-05-17,FALSE,Keep,R_VWR9Gj6C949cnO9,TM,Agricultural practices for food safety threaten pest control services for fresh produce,Env,Driver,TRUE,Food,Other,TRUE
2020-05-17,FALSE,Keep,R_VWR9Gj6C949cnO9,TM,Agricultural practices for food safety threaten pest control services for fresh produce,Env,OtherDriver,TRUE,Food,Amount of 'semi natural vegetation',
2020-05-17,FALSE,Keep,R_VWR9Gj6C949cnO9,TM,Agricultural practices for food safety threaten pest control services for fresh produce,Env,Driver,TRUE,PestPath,Other,TRUE
2020-05-17,FALSE,Keep,R_VWR9Gj6C949cnO9,TM,Agricultural practices for food safety threaten pest control services for fresh produce,Env,OtherDriver,TRUE,PestPath,Amount of 'semi natural vegetation',
2020-05-17,FALSE,Keep,R_2QgKnZOgVMTFZY0,AIS,"An agent-based approach to modeling impacts of agricultural policy on land use, biodiversity and ecosystem services",Anthro,Driver,FALSE,Food,Land use change,
2020-05-17,TRUE,Keep,R_1ladgh3xH5R1Vb7,AK,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Anthro,Driver,FALSE,coastWQReg,Land use change,
2020-05-17,TRUE,Keep,R_1ladgh3xH5R1Vb7,AK,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Anthro,Driver,FALSE,coastWQReg,Management Practices,
2020-05-17,TRUE,Keep,R_bBnxY9Kv0gtT7vX,GV,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Anthro,Driver,FALSE,coastWQReg,Land use change,
2020-05-17,TRUE,Keep,R_bBnxY9Kv0gtT7vX,GV,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Anthro,Driver,FALSE,coastWQReg,Management Practices,
2020-05-17,TRUE,Keep,R_1ladgh3xH5R1Vb7,AK,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Anthro,Driver,FALSE,CulturePsych,Land use change,
2020-05-17,TRUE,Keep,R_1ladgh3xH5R1Vb7,AK,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Anthro,Driver,FALSE,CulturePsych,Management Practices,
2020-05-17,TRUE,Keep,R_1ladgh3xH5R1Vb7,AK,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Anthro,Driver,FALSE,Food,Land use change,
2020-05-17,TRUE,Keep,R_1ladgh3xH5R1Vb7,AK,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Anthro,Driver,FALSE,Food,Management Practices,
2020-05-17,TRUE,Keep,R_bBnxY9Kv0gtT7vX,GV,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Anthro,Driver,FALSE,Food,Land use change,
2020-05-17,TRUE,Keep,R_bBnxY9Kv0gtT7vX,GV,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Anthro,Driver,FALSE,Food,Management Practices,
2020-05-17,TRUE,Keep,R_1ladgh3xH5R1Vb7,AK,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Anthro,Driver,FALSE,PestPath,Land use change,
2020-05-17,TRUE,Keep,R_1ladgh3xH5R1Vb7,AK,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Anthro,Driver,FALSE,PestPath,Management Practices,
2020-05-17,TRUE,Keep,R_bBnxY9Kv0gtT7vX,GV,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Anthro,Driver,FALSE,PestPath,Land use change,
2020-05-17,TRUE,Keep,R_bBnxY9Kv0gtT7vX,GV,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Anthro,Driver,FALSE,PestPath,Management Practices,
2020-05-17,TRUE,Keep,R_1ladgh3xH5R1Vb7,AK,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Anthro,Driver,FALSE,Pollination,Land use change,
2020-05-17,TRUE,Keep,R_1ladgh3xH5R1Vb7,AK,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Anthro,Driver,FALSE,Pollination,Management Practices,
2020-05-17,TRUE,Keep,R_bBnxY9Kv0gtT7vX,GV,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Anthro,Driver,FALSE,Pollination,Land use change,
2020-05-17,TRUE,Keep,R_bBnxY9Kv0gtT7vX,GV,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Anthro,Driver,FALSE,Pollination,Management Practices,
