ES,Group,answer,count
PestPath,Env,% of semi-natural habitats in a 265 m radius,1
Food,Bio,1 crop pest,1
ClimReg,Anthro,"4 ""other"" drivers: Distance(m) to cities with more than 20000 inhabitants",1
HabCreate,Anthro,"4 ""other"" drivers: Distance(m) to cities with more than 20000 inhabitants",1
SoilProtect,Anthro,"4 ""other"" drivers: Distance(m) to cities with more than 20000 inhabitants",1
PestPath,Bio,abundance of carabid beetles,1
PestPath,Bio,abundance of cursorial spiders,1
PestPath,Bio,abundance of vegetation-dwelling predators,1
ClimReg,Anthro,address density,1
freshWQReg,Anthro,address density,1
HabCreate,Anthro,address density,1
ClimReg,Bio,Adjacent forest fragment size and isolation,1
coastWQReg,Bio,Adjacent forest fragment size and isolation,1
Food,Bio,Adjacent forest fragment size and isolation,1
PestPath,Bio,Adjacent forest fragment size and isolation,1
SoilProtect,Bio,Adjacent forest fragment size and isolation,1
CulturePsych,Anthro,age,1
Food,Anthro,age,1
CulturePsych,Anthro,age began harvesting,1
Food,Anthro,age began harvesting,1
ClimReg,Anthro,Aggregate 'driver' index incorporating population/investment in water treatment infrastructure/other demographics (separate index from 'pressure'),1
coastWQReg,Anthro,Aggregate 'driver' index incorporating population/investment in water treatment infrastructure/other demographics (separate index from 'pressure'),1
CulturePsych,Anthro,Aggregate 'driver' index incorporating population/investment in water treatment infrastructure/other demographics (separate index from 'pressure'),1
Energy,Anthro,Aggregate 'driver' index incorporating population/investment in water treatment infrastructure/other demographics (separate index from 'pressure'),1
Food,Anthro,Aggregate 'driver' index incorporating population/investment in water treatment infrastructure/other demographics (separate index from 'pressure'),1
freshWQReg,Anthro,Aggregate 'driver' index incorporating population/investment in water treatment infrastructure/other demographics (separate index from 'pressure'),1
Hazards,Anthro,Aggregate 'driver' index incorporating population/investment in water treatment infrastructure/other demographics (separate index from 'pressure'),1
MaintainOpts,Anthro,Aggregate 'driver' index incorporating population/investment in water treatment infrastructure/other demographics (separate index from 'pressure'),1
Materials,Anthro,Aggregate 'driver' index incorporating population/investment in water treatment infrastructure/other demographics (separate index from 'pressure'),1
ClimReg,Env,Aggregate 'pressure' index incorporating precipitation/temp/floods AND human drivers that are marked alongside this 'other' environmental driver (see Q12),1
