EcoServ,Response,V1,EF,ES,no selection,Proxy for ES
MaintainOpts,"""Total Diversity"" (not ecological diversity)",1,0,1,0,0
SoilProtect,% litter mass remaining,0,1,0,0,1
ClimReg,above and below ground primary prouction,0,0,1,0,1
SoilProtect,above ground biomass,1,0,1,0,0
Energy,Aboveground annual net primary productivity,1,0,0,0,1
Food,aboveground biomass,1,0,0,0,1
ClimReg,Aboveground biomass,1,1,2,0,0
ClimReg,aboveground carbon pool,0,0,1,0,1
ClimReg,aboveground carbon storage,1,0,1,0,0
ClimReg,aboveground live biomass,1,1,0,0,0
HabCreate,aboveground production,1,0,0,0,1
Pollination,abundance,1,0,1,0,0
SoilProtect,abundance and body size of carabids,1,0,0,0,1
SoilProtect,abundance and body size of collembollans,1,0,0,0,1
SoilProtect,abundance and body size of dipterans,1,0,0,0,1
SoilProtect,abundance and body size of staphylinids,1,0,0,0,1
Pollination,Abundance and diversity of native bees,1,0,1,0,0
PestPath,abundance of beneficial fungi,1,1,0,0,0
SoilProtect,Abundance of detritivorous soil arthropods,1,1,0,0,0
PestPath,Abundance of fungal pathogen,1,1,0,0,0
MaintainOpts,abundance of native and non-native taxa,1,0,0,0,1
CulturePsych,Abundance of RDB or nationally scarce invertebrates,1,0,0,0,1
coastWQReg,abundance of zooplankton,1,0,0,0,1
CulturePsych,actual use),1,0,1,0,0
CulturePsych,Aesthetic heritage,1,0,1,0,0
CulturePsych,aesthetic value,4,0,4,0,0
CulturePsych,Aesthetics,1,0,1,0,0
ClimReg,AGB,1,0,1,0,0
Food,agricultural production,2,0,2,0,0
Food,Agricultural production,2,0,2,0,0
Food,Agricultural revenue,0,0,1,0,1
AQReg,air quality improvement,1,0,1,0,0
coastWQReg,Ammonia and nitrate loss,1,0,1,0,0
MaintainOpts,amount of disturbance,1,0,0,0,1
Pollination,and diversity of wild bees visiting flowers,1,0,1,0,0
Energy,annual mortality,1,1,0,0,0
SoilProtect,ant assemblage composition,1,0,0,0,1
SoilProtect,ant species richness,1,1,0,0,0
PestPath,aphid (pest) density,0,0,1,0,1
PestPath,aphid days,1,0,0,0,1
PestPath,aphid growth,1,0,0,0,1
PestPath,Aphids per plant,1,0,1,0,0
CulturePsych,aquaculture,1,0,0,1,0
Food,aquaculture,1,0,0,1,0
Food,aquaculture and salt production,1,0,1,0,0
HabCreate,aquatic habitat potential,1,0,0,0,1
freshWQReg,Aquatic production,1,0,1,0,0
ClimReg,area burned by fire,1,0,0,0,1
PestPath,area of riparian habitat,2,0,0,0,2
PestPath,arthropod diversity and abundance,1,1,0,0,0
SoilProtect,arthropod diversity and abundance,1,1,0,0,0
Pollination,arthropod predators and birds during winter,1,0,1,0,0
PestPath,arthropod removal by birds,1,0,1,0,0
AQReg,atmospheric regulation,1,0,1,0,0
HabCreate,"author created ""ecosystem services potential'general ecosystem services",1,0,0,0,1
SoilProtect,available P,1,0,0,0,1
Pollination,Average percent volume of plant in feces,1,0,0,0,1
Hazards,average rate of falling tide,1,0,0,1,0
SoilProtect,bacterial substrate uptake,1,0,0,0,1
Energy,barrels of oil equivalent,1,0,1,0,0
ClimReg,basal area,1,1,1,1,0
Materials,basal area,1,0,0,1,0
CulturePsych,basal area increment,1,0,1,0,0
freshWQReg,base flow,1,0,1,0,0
HabCreate,Bat and bird habitat,1,0,1,0,0
Food,biodiversity,1,0,0,0,1
HabCreate,biodiversity,2,0,0,0,2
PestPath,biodiversity,1,0,0,0,1
MaintainOpts,Biodiversity,1,0,1,0,0
CulturePsych,biodiversity appreciation,1,0,1,0,0
Pollination,biodiversity composite score,1,0,0,0,1
CulturePsych,biodiversity condition,1,0,1,0,0
MaintainOpts,Biodiversity index,1,0,0,0,1
HabCreate,biodiversity loss,1,0,0,0,1
MaintainOpts,Biodiversity of seedlings,1,0,0,0,1
HabCreate,biodiversity protection,0,1,1,0,0
HabCreate,biodiversity value of grasslands,1,0,0,0,1
PestPath,Biological control by natural predators,1,0,0,0,1
PestPath,biological control index,1,0,1,0,0
PestPath,Biological control of aphid pests,1,0,0,0,1
PestPath,biological control of pests,1,0,1,0,0
Energy,biomass,1,1,1,0,1
Food,biomass,1,1,0,0,0
Energy,Biomass,1,0,0,0,1
Food,Biomass,0,0,1,0,1
Energy,Biomass based energy,1,0,1,0,0
ClimReg,biomass carbon stock,1,1,0,0,0
PestPath,biomass of weeds,1,1,0,0,0
HabCreate,biotic integrity score (rangeland health assessment),1,0,0,1,0
Materials,Biotic materials,1,0,1,0,0
PestPath,bird abundance,1,0,1,0,0
PestPath,bird functional diversity,1,1,0,0,0
Pollination,bird functional diversity,1,1,0,0,0
PestPath,Bird functional traits (related to foraging),1,0,0,0,1
PestPath,bird predation rates on plasticene insects,1,0,0,0,1
PestPath,bird species density,1,0,1,0,0
PestPath,bird species richness,1,0,1,0,0
CulturePsych,birding experience (satisfaction),1,0,0,1,0
Food,black duck hunting,1,0,1,0,0
Pollination,blueberry flower visitation,1,0,1,0,0
coastWQReg,BOD,1,0,0,0,1
