assess_date,exclude,doublerev,ResponseId,Init,Title,GenInfo,SurveyNotes,KremenNotes,KT_None,Response,KT_Environmental_factors,Driver_Env,flag_otherEnv,OtherDriver_Env,flag_KTenv_uncheck,flag_KTenv_checked,FirstAuthor,SourcePublication,PublicationYear,Abstract
2020-05-17,Keep,FALSE,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",,"Regarding Q13: while the paper incorporates an environmental driver, it is not a focus of the study. I did designate scale because the paper mentions variation between smaller-scale units and larger watershed trends and is inherently spatial in its modelling.",,0,"base flow,sediment yield,surface runoff",0,Other,FALSE,slope,TRUE,FALSE,Mwangi,JOURNAL OF SOIL AND WATER CONSERVATION,2015,"Degradation of agricultural watersheds often reduces their capacity to provide ecosystem services such as sediment retention, flow regulation, and water quality improvement. Soil and water conservation practices can be used to enhance the capacity of watersheds to produce these services. The objective of this study was to evaluate the impact of agricultural conservation practices on water and sediment yield using the Soil and Water Assessment Tool (SWAT) model. The study area was Sasumua Watershed (107 km(2) [43 mi(2)]), where land degradation has affected watershed's capacity to regulate flow and maintain water quality. The model was calibrated and validated for streamflow at the watershed outlet. Data on annual average erosion rates for the area was used to constrain soil erodibility factor (KUSLE) and practice erodibility factor (PUSLE) parameters during sediment calibration while measured three month sediment concentration data was used for validation. Model performance was assessed using the coefficient of determination (r(2)), Nash-Sutcliffe efficiency coefficient (ENS) and percent bias (PBIAS). Results gave monthly streamflow r(2) values of 0.80 and 0.85, ENS values of 0.74 and 0.81, and PBIAS values of +/- 5% and +/- 6% during the calibration and validation. The model also satisfactorily simulated daily sediment concentrations with an r(2) value of 0.54. However, ENS and PBIAS values were low, which was attributed to the short duration of measurement. The validated model was used to simulate sediment yield for the period 1970 to 2010. Mean annual watershed sediment yield was 40,934 t y(-1) (9 0,243,096 lb yr(-1)). The impacts of filter strips, contour farming, parallel terraces, grassed waterways, and their combinations on water and sediment yield were simulated by adjusting relevant model parameters. The effectiveness of filter strips increased nonlinearly with width being optimum at 30 m (98.4 ft). A combination of 30 m (98.4 ft) wide filter strips and grassed waterways reduced sediment yield by 80%; parallel terraces, 10 m (32.8 ft) filter strips, and grassed waterways reduced sediment yield by 75%; 10 m (32.8 ft) filter strips and grassed waterways reduced yield by 73%; contour farming and grassed waterways reduced yield by 66%; and grassed waterways reduced yield by only 54%. Parallel terraces reduced surface runoff by 20% and increased base flow by 12%, while contour farming reduced surface runoff by 12% and increased base flow by 6.5%. Implementation of conservation practices can reduce sediment yield and increase water yield marginally. The results give an insight into the implications of the present land use management practices and can be used to devise ecologically sound watershed management and development plans."
2020-05-17,Keep,FALSE,R_2VF0XDe9qGZ1I8b,NBD,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,,,,0,"coral functional traits (Age and size at maturity, Colony maximum diameter,Growth form),coral functional traits (Colony maximum diameter,Capacity of fragment regeneration, Growth form),coral functional traits",0,"Climate,Climate,Extreme Events",FALSE,,TRUE,FALSE,Carturan,ECOSPHERE,2018,"Climate change and other anthropogenic disturbances are having dramatic impacts on tropical coral reefs and the ecosystem services they provide. Anticipating change in ecosystem services is a pressing challenge that requires understanding how species respond to an environmental change, and how they contribute to ecosystem services. Building on analogous efforts by plant ecologists, we propose a trait-based framework that aims to predict the resistance and recovery of coral ecosystem services against both pulse and press disturbances. The framework involves identifying effect, resistance, and recovery traits across coral species and using these to ascertain how species might (1) contribute to a service, (2) resist disturbance, and (3) recover after the disturbance. By identifying trait functional overlaps and quantifying correlations among the trait types, the framework can yield a better understanding of the potential mechanistic links between community assembly, ecosystem dynamics, and ecosystem functioning. We demonstrate the utility of the framework by applying it to a virtual scenario, implemented via simulation, in which habitat provisioning is the focal ecosystem service, and cyclones and bleaching events are the disturbances of interest. This demonstration required us to assemble an extensive dataset of relevant traits-a process that revealed key gaps in the coral trait database and in our understanding of coral functional ecology. The framework can provide predictive power for the resilience of ecosystem services and can also help identify crucial knowledge gaps, research objectives, and strategies for applying a trait-based approach to advancing coral reef science and conservation."
2020-05-17,Keep,TRUE,R_2dfNb7wNwTVi3Kg,AIS,An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins,,,,0,"game fish habitat suitability index,streamflow,total fish biomass",1,Climate,FALSE,,FALSE,FALSE,Johnston,ECOLOGICAL MODELLING,2017,"We demonstrate a novel, spatially explicit assessment of the current condition of aquatic ecosystem services, with limited sensitivity analysis for the atmospheric contaminant mercury. The Integrated Ecological Modeling System (IEMS) forecasts water quality and quantity, habitat suitability for aquatic biota, fish biomasses, population densities, productivities, and contamination by methylmercury across head-water watersheds. We applied this IEMS to the Coal River Basin (CRB), West Virginia (USA), an 8-digit hydrologic unit watershed, by simulating a network of 97 stream segments using the SWAT watershed model, a watershed mercury loading model, the WASP water quality model, the PiSCES fish community estimation model, a fish habitat suitability model, the BASS fish community and bioaccumulation model, and an ecoservices post-processer. Model application was facilitated by automated data retrieval and model setup and updated model wrappers and interfaces for data transfers between these models from a prior study. This companion study evaluates baseline predictions of ecoservices provided for 1990-2010 for the population of streams in the CRB and serves as a foundation for future model development. Published by Elsevier B.V."
2020-05-17,Maybe,TRUE,R_SMB94nDu1Rxnw89,AK,An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins,,"Honestly, this was a bit confusing. The paper mainly focused on the benefits of the model and the details of it. ",,0,"mercury residues in fish,fish productivity,habitat suitability",0,Climate,FALSE,,TRUE,FALSE,Johnston,ECOLOGICAL MODELLING,2017,"We demonstrate a novel, spatially explicit assessment of the current condition of aquatic ecosystem services, with limited sensitivity analysis for the atmospheric contaminant mercury. The Integrated Ecological Modeling System (IEMS) forecasts water quality and quantity, habitat suitability for aquatic biota, fish biomasses, population densities, productivities, and contamination by methylmercury across head-water watersheds. We applied this IEMS to the Coal River Basin (CRB), West Virginia (USA), an 8-digit hydrologic unit watershed, by simulating a network of 97 stream segments using the SWAT watershed model, a watershed mercury loading model, the WASP water quality model, the PiSCES fish community estimation model, a fish habitat suitability model, the BASS fish community and bioaccumulation model, and an ecoservices post-processer. Model application was facilitated by automated data retrieval and model setup and updated model wrappers and interfaces for data transfers between these models from a prior study. This companion study evaluates baseline predictions of ecoservices provided for 1990-2010 for the population of streams in the CRB and serves as a foundation for future model development. Published by Elsevier B.V."
2020-05-17,Keep,FALSE,R_2YSxgZguzQF3xzT,NBD,Balancing water supply and old-growth forest conservation in the lowlands of south-central Chile through adaptive co-management,,,,1,"Tree composition,runoff coefficient (runoff/rainfall),opnion",0,Climate,FALSE,,TRUE,FALSE,Donoso,LANDSCAPE ECOLOGY,2014,"Ecosystem management is a conservation strategy, but there is not a standard protocol for implementation. In theory, ecosystem management will utilize the best available science to sustain social-ecological systems in the landscape by maximizing multiple ecosystem services expected from the stake-holders' of those systems. Llancahue is a watershed (1,270 ha) that provides fresh water to the city of Valdivia (130,000 inhabitants) and protects[ 700 ha of old-growth forest within a severely disturbed landscape in the lowlands of south-central Chile. The native vegetation of this landscape is the threatened Valdivian Temperate Rainforests. Management of the watershed by the Universidad Austral de Chile needs to both provide timber and work to the neighboring campesinos (small poor rural land owners) who were illegally logging the forest and improve the conservation of the old-growth forests and the quantity and quality of water provided by the watershed. This paper demonstrates how adaptive management has utilized a multi-step process to improve management of the watershed. This process has included (1) understanding stakeholders' views towards the project, (2) developing an ecosystem management plan for the watershed that balanced multiple societal demands and ecosystem functions from the watershed, and (3) monitoring the Llancahue forest and streams to ensure activities provided desired results. This paper reports results after 4 years of implementation and provides perspectives on the ecosystem management approach."
2020-05-17,Keep,FALSE,R_2RRrEwHEFBCmmju,KCG,Carbon stocks and dynamics at different successional stages in an Afromontane tropical forest,Transect of plots ranging in disturbance values,,,1,"carbon stock, stem relative growth rate, NPP,",0,Climate,FALSE,,TRUE,FALSE,Nyirambangutse,BIOGEOSCIENCES,2017,"As a result of different types of disturbance, forests are a mixture of stands at different stages of ecological succession. Successional stage is likely to influence forest productivity and carbon storage, linking the degree of forest disturbance to the global carbon cycle and climate. Although tropical montane forests are an important part of tropical forest ecosystems (ca. 8 %, elevation > 1000m a.s.l.), there are still significant knowledge gaps regarding the carbon dynamics and stocks of these forests, and how these differ between early (ES) and late successional (LS) stages. This study examines the carbon (C) stock, relative growth rate (RGR) and net primary production (NPP) of ES and LS forest stands in an Afromontane tropical rainforest using data from inventories of quantitatively important ecosystem compartments in fifteen 0.5 ha plots in Nyungwe National Park in Rwanda. The total C stock was 35% larger in LS compared to ES plots due to significantly larger above-ground biomass (AGB; 185 and 76MgC ha(-1) in LS and ES plots), while the soil and root C stock (down to 45 cm depth in the mineral soil) did not significantly differ between the two successional stages (178 and 204MgC ha(-1) in LS and ES plots). The main reasons for the difference in AGB were that ES trees had significantly lower stature and wood density compared to LS trees. However, ES and LS stands had similar total NPP (canopy, wood and roots of all plots similar to 9.4MgC ha(-1)) due to counterbalancing effects of differences in AGB (higher in LS stands) and RGR (higher in ES stands). The AGB in the LS plots was considerably higher than the average value reported for old-growth tropical montane forest of south-east Asia and Central and South America at similar elevations and temperatures, and of the same magnitude as in tropical lowland forest of these regions. The results of this study highlight the importance of accounting for disturbance regimes and differences in wood density and allometry of tree species dominating at different successional stages in an attempt to quantify the C stock and sink strength of tropical montane forests and how they may differ among continents."
2020-05-17,Maybe,FALSE,R_7P3SpB4PEitCRrP,IS,China's progress towards sustainable land degradation control: Insights from the northwest arid regions,The paper only really modeled wind erosion and vegetation cover and didn't explicitly call these ecosystem functions or services,this paper didn't explicitly talk about ecosystem functions or ecosystem services in general nor in terms of their measured variables so that is why I left the q12 'paper reported response variables as...' blank; it did stay in since it didn't quite fall into the initial exclusion questions in this qualtrics survey,,1,"wind erosion, vegetation cover, NDVI,",0,Climate,FALSE,,TRUE,FALSE,Jiang,ECOLOGICAL ENGINEERING,2019,"Soil erosion is a widespread environmental problem, which threatens the environmental sustainability. The northwest arid region (NAR) in China is known as one of the most severe soil loss in the world that suffering from wind erosion. Based on the Revised Wind Erosion Equation (RWEQ), the spatio-temporal change of wind erosion was identified, and the underlying drivers and influencing factors of soil erosion process were investigated. In addition, the implications of constraint effects in soil erosion control were discussed. The results showed that the wind erosion from 1990 to 2013 was substantially lessened, and the government-aided desertification prevention and control programs, as well as increasing precipitation and decreasing wind speed might have contributed to these trends. The constraint line analyses indicated that the vegetation cover had nonlinear and threshold effects on soil erosion through constraining the water condition (precipitation). Specifically, when the precipitation is below the threshold (approximately 50-100 mm yr(-1) in the NAR), the precipitation (water condition) is not sufficient to maintain a good vegetation cover (about 20-40%), therefore the vegetation cannot efficiently prevent wind erosion. However, once the precipitation exceeds this threshold, the vegetation's sand retention function will enhance and thereby reducing soil loss substantially. Vegetation cover has a lower and an upper threshold for controlling wind erosion. A plant cover lower than 10% does little to reduce wind velocity at the soil surface. The effect of vegetation on reducing wind erosion basically reaches the maximum when plant cover is 40% or above. The constraint effects of precipitation on vegetation cover in the arid region should be considered to improve the efficiency of afforestation and reforestation efforts aiming at mitigating and preventing soil loss."
2020-05-17,Keep,FALSE,R_zT1MccZwcFDjW3n,KCG,"Community structure dynamics and carbon stock change of rehabilitated mangrove forests in Sulawesi, Indonesia","Compared carbon stock in two mangrove sites, one which had been rehabilitated for 10 yrs, and one not rehabilitated ",,,0,"Carbon stocks, nitrogen,soil carbon,biomass",0,Climate,FALSE,,TRUE,FALSE,Cameron,ECOLOGICAL APPLICATIONS,2019,"To date, discourse associated with the potential application of ""blue carbon"" within real-world carbon markets has focused on blue carbon as a mitigation strategy in the context of avoided deforestation (e.g., REDD+). Here, we report structural dynamics and carbon storage gains from mangrove sites that have undergone rehabilitation to ascertain whether reforestation can complement conservation activities and warrant project investment. Replicated sites at two locations with contrasting geomorphic conditions were selected, Tiwoho and Tanakeke on the island of Sulawesi, Indonesia. These locations are representative of high (Tiwoho, deep muds and silty substrates) and low (Tanakeke, shallow, coralline sands) productivity mangrove ecosystems. They share a similar management history of clearing and conversion for aquaculture before restorative activities were undertaken using the practice of Ecological Mangrove Rehabilitation (EMR). Species diversity and mean biomass carbon storage gains after 10 yr of regrowth from the high productivity sites of Tiwoho (49.2 +/- 9.1 Mg C center dot ha(-1)center dot yr(-1)) are already almost of one-third of mean biomass stocks exhibited by mature forests (167.8 +/- 30.3 Mg C center dot ha(-1)center dot yr(-1)). Tiwoho's EMR sites, on average, will have offset all biomass C that was initially lost through conversion within the next 11 yr, a finding in marked contrast to the minimal carbon gains observed on the low productivity, low diversity, coral atoll EMR sites of Tanakeke (1.1 +/- 0.4 Mg C center dot ha(-1)center dot yr(-1)). These findings highlight the importance of geomorphic and biophysical site selection if the primary purpose of EMR is intended to maximize carbon sequestration gains."
2020-05-17,Keep,FALSE,R_2s7TTJlvh3tAHc2,LB,Conservation tillage mitigates the negative effect of landscape simplification on biological control,,,,0,"predation index , parasitism rate",0,Other,FALSE,% of semi-natural habitats in a 265 m radius,TRUE,FALSE,Tamburini,JOURNAL OF APPLIED ECOLOGY,2016,"Biological pest control is a key ecosystem service, and it depends on multiple factors acting from the local to the landscape scale. However, the effects of soil management on biological control and its potential interaction with landscape are still poorly understood. In a field exclusion experiment, we explored the relative effect of tillage system (conservation vs. conventional tillage) on aphid biological control in 15 pairs of winter cereal fields (barley and wheat) selected along a gradient of landscape complexity. We sampled the abundance of the main natural enemy guilds, and we evaluated their relative contribution to aphid predation and parasitism. Conservation tillage was found to support more abundant predator communities and higher aphid predation (16% higher than in the fields managed under conventional tillage). In particular, both the abundance and the aphid predation of vegetation- and ground-dwelling arthropods were increased under conservation tillage conditions. Conservation tillage also increased the parasitism rate of aphids. A high proportion of semi-natural habitats in the landscape enhanced both aphid parasitism and predation by vegetation-dwelling organisms but only in the fields managed under conventional tillage. The better local habitat quality provided by conservation tillage may compensate for a low-quality landscape. Synthesis and applications. Our study stresses the importance of considering both soil management and landscape composition when planning strategies to maximize biological control services in agro-ecosystems, highlighting the role played by conservation tillage in supporting natural enemy communities. In simple landscapes, the adoption of conservation tillage will locally improve biological control provided by both predators and parasitoids mitigating the negative effects of landscape simplification. Moreover, considering the small scale at which both predation and parasitism responded to landscape composition, a successful strategy to improve biological control would be to establish a fine mosaic of crop and non-crop areas such as hedgerows, tree lines and small semi-natural habitat patches."
2020-05-17,Keep,FALSE,R_3UcyoDB7VaosvbH,SDJ,Does rotational heather burning increase red grouse abundance and breeding success on moors in northern England?,effect of burning on vegetation height and grouse breeding success,"time was partly included because they measured grouse breeding twice (1995-1999 and 2008-2012). but did not compare these time ranges. also mentioned parasitic worms and control of generalist predators, but these not mentioned outside the abstract description (i.e. not measured)",red grouse (but also bog and heather vegetation as habitat providers for the red grouse),0,"vegetation height,red grouse breeding success",0,,TRUE,this one was creating habitat for grouse and the management practice was burning,TRUE,FALSE,Robertson,WILDLIFE BIOLOGY,2017,"Rotational burning of moorland vegetation is considered by grouse moor managers to create structurally diverse habitat that helps maximise red grouse Lagopus lagopus scotica (Lath.) abundance for shooting by increasing breeding success and adult survival. However, there is growing concern that increasing levels of burning, particularly on deep peat, are impacting upon upland ecosystems. We used linear mixed models to examine the influence of burning on heather Calluna vulgaris (L.) height and structure, and on grouse density and breeding success, at 36 moors in northern England which practiced driven grouse shooting and employed full-time gamekeepers to burn heather, but also to control generalist predators of grouse and their parasitic nematode worms. Variation in heather height was positively associated with burning extent on moors and the relationship between heather height and burning was similar on moors of deep (blanket bog) and shallow peat (heath). Grouse pre-breeding density was not related to burning extent, but breeding success and post-breeding density were positively associated with extent of burning on moors. Relationships between grouse and burning were similar on heath and blanket bog. Higher grouse breeding success and post-breeding density were likely to be associated with a more varied vegetation structure following burning. Rotational burning is associated with higher grouse breeding success and post-breeding densities beneficial for driven grouse shooting. Thus a conflict may exist between rotational burning to benefit grouse and potential impacts of burning on ecosystem services such as carbon storage and flood protection. Potential benefits of burning for increasing grouse breeding success and post-breeding density need to be considered carefully against any likely impacts on ecosystem services, particularly in areas of blanket peat."
