assess_date,exclude,doublerev,ResponseId,Init,Title,GenInfo,SurveyNotes,KremenNotes,KT_None,Response,KT_ESPs,Driver_Bio,flag_otherBio,OtherDriver_Bio,ESP_type,KT_Community_structure,flag_ktESP_noSerPro,flag_BioDrive_ESPtypehasESP,flag_ktESP_unchecked,SourcePublication,PublicationYear,Abstract
2020-05-17,Keep,FALSE,R_2dXPiR3XXdUjKSS,IS,A trait-based ecology of the Los Angeles urban forest,,,,0,"human attitudes and preferences (i.e. ecosystem services-based traits):water use, size at maturity, presence of showy flowers, basal area increment, relative basal area increment",1,,FALSE,,"Multiple ESP species [e.g., multiple focal ESP species]",0,TRUE,TRUE,FALSE,ECOSPHERE,2013,"Plant functional trait classifications have provided a useful framework for understanding the biodiversity of natural ecosystems. Here we propose that trait-based ecology may be expanded for understanding urban biodiversity in human planted and human dominated land cover by including plant attributes that influence human choices about cultivated species in novel ecosystems. We measured leaf functional traits in 24 tree species grown in the Los Angeles region of southern California in order to assess whether leaf functional traits were (1) predictable based on biogeographic region of origin, and (2) related to urban plant performance and ecosystem-services based traits. This entailed the development of a proposed new, ecosystem services-based classification of tree species traits is based on; 1000 household surveys of the preferences of urban residents for specific tree attributes in southern California. We evaluated the relationship between leaf functional traits, ecosystem services-based traits, and urban tree performance as measured by stem growth and predawn leaf water potential (as a metric of rooting distributions). Leaf functional traits were strongly predictable based on species' biogeographic region of origin including native habitat type and continent of origin, and hence appeared to be conserved in the urban environment. Ecosystem services-based traits such as tree water use, provision of showy flowers, size at maturity, and growth rates were also predictable based on geographic region of origin, and several ecosystem services-based traits were related to leaf functional traits. We suggest that ecosystem services-based traits may be useful variables to quantify in studies of urban forest community assembly, where species composition is strongly influenced by decision-making based on the preferences of urban residents and stakeholders. Our initial ecosystem services-based trait classification is defined from the results of household surveys and measurements in the Los Angeles area; these results are likely to vary by location, and can be improved with additional data on the performance, physiology, and morphology of urban trees as well as a better understanding of human preferences by region."
2020-05-17,Keep,TRUE,R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,"With an aim to examine urban adult vector mosquitoes and green roofs, the study design incorporates three distinctively different types of urban environments as treatment and control sites—green roofs (GR), bare roofs as negative control sites (NC), and low-elevation green space as positive control (PC)","*** FOR Q9 -- **** delete the unclear or not specified and 1-10 km2***     vector mosquito species considered: Aedes aegyptib Yellow fever mosquito Chikungunya, dengue fever, West Nile virus, yellow fever, Zika Aedes albopictusa,b,c Asian tiger mosquito Chikungunya, dengue fever, Japanese encephalitis, West Nile virus, yellow fever, etc. Aedes japonicusb Asian bush mosquito Chikungunya, dengue fever, Japanese encephalitis, St Louis encephalitis, West Nile virus Anopheles jeyporiensisc – Filariasis, malaria Anopheles maculatus – Malaria Anopheles minimusc – Malaria Anopheles sinensis – Filariasis, malaria Culex fuscocephala – Japanese encephalitis Culex gelidus – Japanese encephalitis, West Nile virus Culex quinquefasciatusc Southern house mosquito Filariasis, Japanese encephalitis, St Louis encephalitis, West Nile virus Culex tritaeniorhynchus",,1,"vector mosquitoe abundance, vector mosquito sex ratio",0,Other,FALSE,,Only land cover or habitat type as proxy,0,FALSE,FALSE,FALSE,LANDSCAPE ECOLOGY,2018,"Urban green space (UGS) is widely espoused in sustainable urban design. Notwithstanding its ecosystem services, UGS is commonly perceived as inadvertent habitats for urban mosquitoes. Moreover, the lack of ecological understanding of mosquitoes and their urban habitats renders vector control in green spaces without reliance on chemical and bio-pesticides especially challenging. This study envisages the application of a comparative analytical method for the evaluation and optimization of vector management in different urban spaces. The research examines the extent of male habitat preference as measured by population characteristics of urban adult mosquitoes on green roof and control sites. Adult mosquito traps were deployed on green roofs (GR), bare roofs (negative control, NC), and low-elevation gardens (positive control, PC). Distribution of male and female members of vector species were analyzed Urban adult male mosquitoes exhibited highly-selective habitat use of the studied urban spaces, in that they were clustered chiefly in PC. Their spatial distributions are consistently explained by site group even under the stringent measure of presence/absence. The sex ratios of GR and NC were highly skewed toward females, which lends further to the interpretation of strong male habitat preference for the studied PC gardens. Urban mosquitoes do not display similar degrees of affinity for different types of green infrastructure. The methodology used can help prioritize urban sites and optimize control strategies. The uses of amenable environmental features salient to mosquito survival in landscape design should be explored as a sustainable and environmentally-friendly vector management approach."
2020-05-17,Keep,TRUE,R_cUwFHwTqSb5aRDb,TK,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,,,,0,presence of male mosquitoes,1,,FALSE,,"Multiple ESP species [e.g., multiple focal ESP species]",0,TRUE,TRUE,FALSE,LANDSCAPE ECOLOGY,2018,"Urban green space (UGS) is widely espoused in sustainable urban design. Notwithstanding its ecosystem services, UGS is commonly perceived as inadvertent habitats for urban mosquitoes. Moreover, the lack of ecological understanding of mosquitoes and their urban habitats renders vector control in green spaces without reliance on chemical and bio-pesticides especially challenging. This study envisages the application of a comparative analytical method for the evaluation and optimization of vector management in different urban spaces. The research examines the extent of male habitat preference as measured by population characteristics of urban adult mosquitoes on green roof and control sites. Adult mosquito traps were deployed on green roofs (GR), bare roofs (negative control, NC), and low-elevation gardens (positive control, PC). Distribution of male and female members of vector species were analyzed Urban adult male mosquitoes exhibited highly-selective habitat use of the studied urban spaces, in that they were clustered chiefly in PC. Their spatial distributions are consistently explained by site group even under the stringent measure of presence/absence. The sex ratios of GR and NC were highly skewed toward females, which lends further to the interpretation of strong male habitat preference for the studied PC gardens. Urban mosquitoes do not display similar degrees of affinity for different types of green infrastructure. The methodology used can help prioritize urban sites and optimize control strategies. The uses of amenable environmental features salient to mosquito survival in landscape design should be explored as a sustainable and environmentally-friendly vector management approach."
2020-05-17,Keep,FALSE,R_3g0H34NVGzvaNkx,SDJ,Anolis lizards as biocontrol agents in mainland and island agroecosystems,"field observation of lizard density in coffee farms, observed rate of lizards eating coffee pest beetle in cages over 12 hours",,,0,"density of anole, efficacy of beetle removal by Anole",1,,FALSE,,"Single species  [e.g. ESPs, single species]",0,TRUE,TRUE,FALSE,ECOLOGY AND EVOLUTION,2017,"Our knowledge of ecological interactions that bolster ecosystem function and productivity has broad applications to the management of agricultural systems. Studies suggest that the presence of generalist predators in agricultural landscapes leads to a decrease in the abundance of herbivorous pests, but our understanding of how these interactions vary across taxa and along gradients of management intensity and eco-geographic space remains incomplete. In this study, we assessed the functional response and biocontrol potential of a highly ubiquitous insectivore (lizards in the genus Anolis) on the world's most important coffee pest, the coffee berry borer (Hypothalemus hampei). We conducted field surveys and laboratory experiments to examine the impact of land-use intensification on species richness and abundance of anoles and the capacity of anoles to reduce berry borer infestations in mainland and island coffee systems. Our results show that anoles significantly reduce coffee infestation rates in laboratory settings (Mexico, p = .03, F = 5.13 df = 1, 35; Puerto Rico, p = .014, F = 8.82, df = 1, 10) and are capable of consuming coffee berry borers in high abundance. Additionally, diversified agroecosystems bolster anole abundance, while high-intensity practices, including the reduction of vegetation complexity and the application of agrochemicals were associated with reduced anole abundance. The results of this study provide supporting evidence of the positive impact of generalist predators on the control of crop pests in agricultural landscapes, and the role of diversified agroecosystems in sustaining both functionally diverse communities and crop production in tropical agroecosystems."
2020-05-17,Keep,FALSE,R_3QVN7sk2L6ezbxj,TK,Bat diversity in Carajas National Forest (Eastern Amazon) and potential impacts on ecosystem services under climate change,,,,0,"persistence of nectar of frugivorous bat species, persistence of nectarivorous bat species  ,persistence of insectivore bat species",1,,FALSE,,"Multiple ESP species [e.g., multiple focal ESP species]",0,TRUE,TRUE,FALSE,BIOLOGICAL CONSERVATION,2018,"Anthropogenic climate change is one of the main current threats to biodiversity, and it has been linked to species decline. Bats deserve attention because they occupy different trophic niches and perform different functions in nature, acting as flower pollinators (nectarivores), seed dispersers (frugivores), and pest controllers (insectivores). The effects of climate change on the distribution of bat species occurring in the Carajas National Forest (Eastern Amazon, southeastern Path state, Brazil) was examined by modeling species distributions. A total of 83 species of bats providing the above mentioned services were analyzed for the years 2050 and 2070 to answer the following two questions: (i) Which species are potentially more sensitive to climate changes and will not be able to find suitable areas in Carajas in the future, and (ii) Which are the priority areas that protect the greatest number of species from climate change. Of the total species analyzed, 47 (57%) will potentially not find suitable areas in Carajas under the scenarios employed. Pollinators, seed dispersers, and more-generalist (omnivorous) bats will potentially be the most affected, suffering a 28-36% decrease in suitable area under the 2070 scenario, which may have implications for the plants with which those species interact. According to the scenarios employed, the Carajas National Forest, as well as other conservation units in Path, will not protect most species in the future. The most suitable areas are located mainly to the north and west of the state and under varying degrees of conservation: from well-preserved protected areas to areas degraded due to different anthropogenic impacts. This study emphasizes that the possible effect of climate change and the location of species protection areas need to be analyzed together to ensure that the areas that will act as potential climate refuges for species in the future are indeed protected."
2020-05-17,Keep,FALSE,R_21BMgTOWkP6cBkH,TK,Belowground response of prairie restoration and resiliency to drought,,,,0,"soil enzyme levels,resilience",1,,FALSE,,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",1,TRUE,TRUE,FALSE,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2018,"Agricultural land use is a major threat to biodiversity and ecosystem functions in tallgrass prairies. However, there are proposed bioenergy systems that can use biomass harvested from restored tallgrass prairie, creating a potential free market incentive for landowners to restore prairies. These alternative management practices may alter associated soil microbial communities and their ecosystem services. We examined changes in soil microbial community structure, function, and resiliency to drought following two prairie restorations from row-crop agriculture and through subsequent succession in a fertilized and unfertilized tallgrass prairie. The soil microbial community structure was assessed through amplicon (16S and ITS) sequencing, function through potential extracellular enzyme activity, and resiliency indices were calculated for both microbial diversity measures and extracellular enzyme activity. We hypothesized that 1) distinct soil microbial communities in each management system will continue to develop over time reflecting the extent of divergence between the plant communities, due to the strong selective forces plant communities have on the soil microbiome. 2) Microbial extracellular enzymatic function will continue to diverge between the management systems across sampling years. 3) We will see increased resiliency to drought in the prairies potentially due to the greater diversity in this management system for the microbial and plant community, creating a possible enhancement in functional redundancy. Our experiment demonstrates that soil microbial communities continue to diverge from row-crop agriculture as prairie restoration progresses. Planted prairie bioenergy systems with higher plant diversity supported greater microbial diversity than corn systems. Corn monocultures were less resistant to drought stress, as evidenced by decreased microbial activity and richness. Prairies with increased microbial diversity exhibited increased functional resiliency than corn systems, as measured by cellulose-degrading enzyme activity. Prairies that received nitrogen fertilization maintained high microbial diversity and activity, even under drought. Our study demonstrates that diverse cropping systems may benefit from nitrogen fertilization to confer resiliency to disturbance events. Increasing resiliency, while maintaining productivity, is key to managing alternative crops that are sustainable systems for biofuel uses. Our multi-year study reveals the benefits of long-term experiments for capturing the dynamic range of microbial mediation of soil carbon and nutrients and the importance of resiliency in both developing sustainable management systems and modeling predictive biogeochemical models."
2020-05-17,Keep,FALSE,R_3M0en6hxEdSAAnL,SDJ,Biodiversity-multifunctionality relationships depend on identity and number of measured functions,81 plots of different combinations of plants. measured EF variables,point was to model multifunctionality and specifically focus on biodiversity. tradeoffs discussed,,0,,1,,TRUE,measured 82 different ecosystem function variables ,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",1,TRUE,TRUE,FALSE,NATURE ECOLOGY & EVOLUTION,2018,"Biodiversity ensures ecosystem functioning and provisioning of ecosystem services, but it remains unclear how biodiversity-ecosystem multifunctionality relationships depend on the identity and number of functions considered. Here, we demonstrate that ecosystem multifunctionality, based on 82 indicator variables of ecosystem functions in a grassland biodiversity experiment, increases strongly with increasing biodiversity. Analysing subsets of functions showed that the effects of biodiversity on multifunctionality were stronger when more functions were included and that the strength of the biodiversity effects depended on the identity of the functions included. Limits to multifunctionality arose from negative correlations among functions and functions that were not correlated with biodiversity. Our findings underline that the management of ecosystems for the protection of biodiversity cannot be replaced by managing for particular ecosystem functions or services and emphasize the need for specific management to protect biodiversity. More plant species from the experimental pool of 60 species contributed to functioning when more functions were considered. An individual contribution to multifunctionality could be demonstrated for only a fraction of the species."
2020-05-17,Maybe,FALSE,R_2VPcco1o8T95nSu,AIS,"Demographic drivers of biomass carbon recovery in degraded perennial tussock grassland, with and without domestic grazing",,"main focus of paper is on demographic processes, so considered excluding at first",Tussock species,0,biomass carbon stock,1,,FALSE,,"Multiple ESP species [e.g., multiple focal ESP species]",1,TRUE,TRUE,FALSE,NEW ZEALAND JOURNAL OF ECOLOGY,2014,"Many of New Zealand's natural and induced tussock grasslands are in a degraded low-biomass state due to a combination of fire, overgrazing and weed invasion. The capacity of degraded grasslands to recover biomass is uncertain because legacies of degradation can strongly influence the demographic processes controlling ecosystem recovery. We develop a conceptual framework for understanding biomass carbon (C) flux in degraded perennial grassland based on demographic processes of growth, mortality and recruitment. We apply this framework to 22 years of data from Chionochloa- and Festuca-dominated perennial tussock grassland in the South Island high country, sampling two grazed sites and two sites retired from domestic grazing. Total biomass C stocks were assessed at site level using 174 temporary plots measured in 1989 and 2011. Long-term demographics were monitored using 24 permanent plots in which 7213 individual tussocks were tagged and monitored every 1-5 years from 1989 to 2011. Although biomass C stocks were generally low (2159 +/- 494 kg C ha(-1)), there was a significant increase in total biomass C over the 22-year period at the north-facing retired site of 92 +/- 47 kg C ha(-1) year(-1). Increases in total biomass C were generally due to recruitment and growth of tall tussock (Chionochloa spp.) and/or woody shrubs. Biomass C stock in grazed sites, and the retired south-facing site, declined by up to 65 kg C ha(-1) year(-1) or remained constant. Declines were due to dieback of the dominant short tussock (Festucanovae-zelandiae) across all treatments, and a lack of recruitment of tall tussock and shrub species. Our results suggest that retirement from grazing was not sufficient to ensure total biomass C gains after 22 years, and highlight the roles of recruitment limitation, shrub establishment and management history in controlling ecosystem recovery."
2020-05-17,Keep,TRUE,R_Rr7vEkLFgKenWeZ,LD,Detecting pest control services across spatial and temporal scales,"the study was conducted on 24 organic broccoli farms in Santa Cruz, Monterey, and San Benito Counties during the summer grow- ing seasons of 2006–2008","Scale dependent relationships with drivers (habitat surrounding farms) - interesting example. Relationship between landscape complexity at different scales and (a) different indices of syrphid diversity or relative abundances of the most common syrphids (A. obliqua, S. sulphuripes, and E. fummipennis), and (b) annual average densities of syrphids and aphids over the whole growing season (individuals per plant, Ay and Sy ). RE thresholds they note something interesting ""Of course, natural enemy suppression of pest populations does not necessarily imply adequate pest control, which is determined by economic thresholds rather than ecological criteria.""","Average syrphid density over the whole growing season (Sy) was highly and significantly correlated with natural habitat at all scales (p ≪ 0.001), and this relationship was likewise strongest at 2.5 km (Fig. 1b). The most common species in this study system was Allograpta obliqua (accounting for 67% of all syrphids reared), but other species included Sphaerophoria sulphuripes (18%), Eupeodes fumipennis (6%), Syrphus opinator (4%), Platycheirus stegnus (2%), Toxomerus occi- dentalis (1%), Eupeodes volucris (1%), and Allograpta exotica (<1%). relationship between landscape complexity at different scales and (a) different indices of syrphid diversity or relative abundances of the most common syrphids (A. obliqua, S. sulphuripes, and E. fummipennis), and (b) annual average densities of syrphids and aphids over the whole growing season (individuals per plant, Ay and Sy ). S",0,,1,Other,FALSE,"proportion of natural habitat surrounding farms, Syrphid diversity ","Multiple ESP species [e.g., multiple focal ESP species]",0,TRUE,TRUE,FALSE,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013,"Natural habitat may deliver ecosystem services to agriculture through the provision of natural enemies of agricultural pests. Natural or non-crop habitat has strongly positive effects on natural enemies in cropland, but the resulting impact on pests is not as well established. This study measured weekly natural enemy (syrphid fly larvae) and pest (cabbage aphid) abundances in Central California broccoli fields for three years. Abundance of syrphid fly larvae increased strongly with the proportion of natural habitat surrounding the farm. As the density of syrphid fly larvae increased, weekly aphid population growth rates slowed, such that aphid densities just prior to harvest were lowest in farms with natural habitat. These landscape-mediated impacts of syrphids on aphids were not evident when data were aggregated into annual averages, a common metric in research on pest control services. We suggest that higher temporal resolution of data for natural enemy and pest abundance can reveal top-down control that is otherwise masked by seasonal and interannual variation in environmental factors. (C) 2013 Elsevier B.V. All rights reserved."
2020-05-17,Keep,TRUE,R_2zeg9KfUwU5gLrg,TK,Detecting pest control services across spatial and temporal scales,,,Mostly just the number of aphid predators. Mention diversity measures but they don't make it into the figures.,0,"aphid (pest) density, syrphid fly (natural enemy) density, ",1,Service Provider (Q17),FALSE,,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",0,FALSE,FALSE,FALSE,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013,"Natural habitat may deliver ecosystem services to agriculture through the provision of natural enemies of agricultural pests. Natural or non-crop habitat has strongly positive effects on natural enemies in cropland, but the resulting impact on pests is not as well established. This study measured weekly natural enemy (syrphid fly larvae) and pest (cabbage aphid) abundances in Central California broccoli fields for three years. Abundance of syrphid fly larvae increased strongly with the proportion of natural habitat surrounding the farm. As the density of syrphid fly larvae increased, weekly aphid population growth rates slowed, such that aphid densities just prior to harvest were lowest in farms with natural habitat. These landscape-mediated impacts of syrphids on aphids were not evident when data were aggregated into annual averages, a common metric in research on pest control services. We suggest that higher temporal resolution of data for natural enemy and pest abundance can reveal top-down control that is otherwise masked by seasonal and interannual variation in environmental factors. (C) 2013 Elsevier B.V. All rights reserved."
