assess_date,exclude,doublerev,ResponseId,Init,Title,GenInfo,SurveyNotes,KremenNotes,KT_None,Response,KT_ESPs,Driver_Bio,flag_otherBio,OtherDriver_Bio,ESP_type,KT_Community_structure,KT_Environmental_factors,Driver_Env,flag_otherEnv,OtherDriver_Env,KT_Scale,MultiScale,TimeTrends,Driver_Anthro,flag_otherAnthro,OtherDriver_Anthro,flag_KTesp,flag_KTstructure,flag_KTenv,flag_KTscale,SourcePublication,PublicationYear,Abstract
2020-04-22,Maybe,FALSE,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,,"This was a challenging paper for me to read. Its main message is proposing a framework, but the authors also apply this framework to a case study, which I based my answers in this survey off of. Between use of terminology I don't know and vague description of the data, I struggled to do this paper justice, I fear.",,1,"flor, fauna, fungi, timber, fiber, water, open space, soil,presence of the environment, viewscapes, sounds and scents, natural materials, flora and fauna, fish",0,,FALSE,,,0,0,,FALSE,,0,No,No,,FALSE,,FALSE,FALSE,FALSE,TRUE,ECOSPHERE,2017,"Anthropogenic stressors such as climate change, increased fire frequency, and pollution drive shifts in ecosystem function and resilience. Scientists generally rely on biological indicators of these stressors to signal that ecosystem conditions have been altered. However, these biological indicators are not always capable of being directly related to ecosystem components that provide benefits to humans and/or can be used to evaluate the cost-benefit of a change in health of the component (ecosystem services). Therefore, we developed the STEPS (Stressor-Ecological Production function-final ecosystem Services) Framework to link changes in a biological indicator of a stressor to final ecosystem services. The STEPS Framework produces ""chains"" of ecological components that explore the breadth of impacts resulting from the change in a stressor. Chains are comprised of the biological indicator, the ecological production function (EPF, which uses ecological components to link the biological indicator to a final ecosystem service), and the user group who directly uses, appreciates, or values the component. The framework uses a qualitative score (high, medium, low) to describe the strength of science (SOS) for the relationship between each component in the EPF. We tested the STEPS Framework within a workshop setting using the exceedance of critical loads of air pollution as a model stressor and the Final Ecosystem Goods and Services Classification System (FEGS-CS) to describe final ecosystem services. We identified chains for four modes of ecological response to deposition: aquatic acidification, aquatic eutrophication, terrestrial acidification, and terrestrial eutrophication. The workshop participants identified 183 unique EPFs linking a change in a biological indicator to a FEGS; when accounting for the multiple beneficiaries, we ended with 1104 chains. The SOS scores were effective in identifying chains with the highest confidence ranking as well as those where more research is needed. The STEPS Framework could be adapted to any system in which a stressor is modifying a biological component. The results of the analysis can be used by the social science community to apply valuation measures to multiple or selected chains, providing a comprehensive analysis of the effects of anthropogenic stressors on measures of human well-being."
2020-04-22,Keep,FALSE,R_UYeQJqYgpQFhAgV,KCG,A welcome can of worms? Hypoxia mitigation by an invasive species,,,,1,"oxygen concentration, phosphate concentration",0,Service Provider (Q17),FALSE,,,0,0,,FALSE,,0,No,Yes,,FALSE,,TRUE,FALSE,FALSE,TRUE,GLOBAL CHANGE BIOLOGY,2012,"Invasive species and bottom-water hypoxia both constitute major global threats to the diversity and integrity of marine ecosystems. These stressors may interact with unexpected consequences, as invasive species that require an initial environmental disturbance to become established can subsequently become important drivers of ecological change. There is recent evidence that improved bottom-water oxygen conditions in coastal areas of the northern Baltic Sea coincide with increased abundances of the invasive polychaetes Marenzelleria spp. Using a reactive-transport model, we demonstrate that the long-term bioirrigation activities of dense Marenzelleria populations have a major impact on sedimentary phosphorus dynamics. This may facilitate the switch from a seasonally hypoxic system back to a normoxic system by reducing the potential for sediment-induced eutrophication in the upper water column. In contrast to short-term laboratory experiments, our simulations, which cover a 10-year period, show that Marenzelleria has the potential to enhance long-term phosphorus retention in muddy sediments. Over time bioirrigation leads to a substantial increase in the iron-bound phosphorus content of sediments while reducing the concentration of labile organic carbon. As surface sediments are maintained oxic, iron oxyhydroxides are able to persist and age into more refractory forms. The model illustrates mechanisms through which Marenzelleria can act as a driver of ecological change, although hypoxic disturbance or natural population declines in native species may be needed for them to initially become established. Invasive species are generally considered to have a negative impact; however, we show here that one of the main recent invaders in the Baltic Sea may provide important ecosystem services. This may be of particular importance in low-diversity systems, where disturbances may dramatically alter ecosystem services due to low functional redundancy. Thus, an environmental problem in one region may be either exacerbated or alleviated by a single species from another region, with potentially ecosystem-wide consequences."
2020-04-22,Keep,TRUE,R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,"With an aim to examine urban adult vector mosquitoes and green roofs, the study design incorporates three distinctively different types of urban environments as treatment and control sites—green roofs (GR), bare roofs as negative control sites (NC), and low-elevation green space as positive control (PC)","*** FOR Q9 -- **** delete the unclear or not specified and 1-10 km2***     vector mosquito species considered: Aedes aegyptib Yellow fever mosquito Chikungunya, dengue fever, West Nile virus, yellow fever, Zika Aedes albopictusa,b,c Asian tiger mosquito Chikungunya, dengue fever, Japanese encephalitis, West Nile virus, yellow fever, etc. Aedes japonicusb Asian bush mosquito Chikungunya, dengue fever, Japanese encephalitis, St Louis encephalitis, West Nile virus Anopheles jeyporiensisc – Filariasis, malaria Anopheles maculatus – Malaria Anopheles minimusc – Malaria Anopheles sinensis – Filariasis, malaria Culex fuscocephala – Japanese encephalitis Culex gelidus – Japanese encephalitis, West Nile virus Culex quinquefasciatusc Southern house mosquito Filariasis, Japanese encephalitis, St Louis encephalitis, West Nile virus Culex tritaeniorhynchus",,1,"vector mosquitoe abundance, vector mosquito sex ratio",0,Other,FALSE,,Only land cover or habitat type as proxy,0,0,,FALSE,,0,No,Yes,Other,FALSE,green roofs,FALSE,FALSE,FALSE,TRUE,LANDSCAPE ECOLOGY,2018,"Urban green space (UGS) is widely espoused in sustainable urban design. Notwithstanding its ecosystem services, UGS is commonly perceived as inadvertent habitats for urban mosquitoes. Moreover, the lack of ecological understanding of mosquitoes and their urban habitats renders vector control in green spaces without reliance on chemical and bio-pesticides especially challenging. This study envisages the application of a comparative analytical method for the evaluation and optimization of vector management in different urban spaces. The research examines the extent of male habitat preference as measured by population characteristics of urban adult mosquitoes on green roof and control sites. Adult mosquito traps were deployed on green roofs (GR), bare roofs (negative control, NC), and low-elevation gardens (positive control, PC). Distribution of male and female members of vector species were analyzed Urban adult male mosquitoes exhibited highly-selective habitat use of the studied urban spaces, in that they were clustered chiefly in PC. Their spatial distributions are consistently explained by site group even under the stringent measure of presence/absence. The sex ratios of GR and NC were highly skewed toward females, which lends further to the interpretation of strong male habitat preference for the studied PC gardens. Urban mosquitoes do not display similar degrees of affinity for different types of green infrastructure. The methodology used can help prioritize urban sites and optimize control strategies. The uses of amenable environmental features salient to mosquito survival in landscape design should be explored as a sustainable and environmentally-friendly vector management approach."
2020-04-22,Keep,TRUE,R_cUwFHwTqSb5aRDb,TK,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,,,,0,presence of male mosquitoes,1,,FALSE,,"Multiple ESP species [e.g., multiple focal ESP species]",0,0,,FALSE,,0,No,Yes,Management Practices,FALSE,,FALSE,FALSE,FALSE,FALSE,LANDSCAPE ECOLOGY,2018,"Urban green space (UGS) is widely espoused in sustainable urban design. Notwithstanding its ecosystem services, UGS is commonly perceived as inadvertent habitats for urban mosquitoes. Moreover, the lack of ecological understanding of mosquitoes and their urban habitats renders vector control in green spaces without reliance on chemical and bio-pesticides especially challenging. This study envisages the application of a comparative analytical method for the evaluation and optimization of vector management in different urban spaces. The research examines the extent of male habitat preference as measured by population characteristics of urban adult mosquitoes on green roof and control sites. Adult mosquito traps were deployed on green roofs (GR), bare roofs (negative control, NC), and low-elevation gardens (positive control, PC). Distribution of male and female members of vector species were analyzed Urban adult male mosquitoes exhibited highly-selective habitat use of the studied urban spaces, in that they were clustered chiefly in PC. Their spatial distributions are consistently explained by site group even under the stringent measure of presence/absence. The sex ratios of GR and NC were highly skewed toward females, which lends further to the interpretation of strong male habitat preference for the studied PC gardens. Urban mosquitoes do not display similar degrees of affinity for different types of green infrastructure. The methodology used can help prioritize urban sites and optimize control strategies. The uses of amenable environmental features salient to mosquito survival in landscape design should be explored as a sustainable and environmentally-friendly vector management approach."
2020-04-22,Maybe,FALSE,R_3nkJM8cj2M1w727,SDJ,Accounting for residential propagule pressure improves prediction of urban plant invasion,county-wide parcel data used to determine housing density. observed p/a of Chinese pivet (invasive) at each location. the rest was calculation and mapping,"They are kind of getting at connectivity with their study question which is about how neighboring residences increase invasive species propagules, which influences their p/a in forests. But they did not measure that connection directly. The ""function"" was a human-mediated invasion pressure"". So kind of the opposite of a function",,1,residential propagule pressure,0,,FALSE,,,0,0,,FALSE,,0,No,No,Population growth,FALSE,,FALSE,FALSE,FALSE,TRUE,ECOSPHERE,2016,"Plant invasions substantially impact the ecosystem services provided by forests in urbanizing regions. Knowing where invasion risk is greatest helps target early detection and eradication efforts, but developing an accurate predictive model of invasive species presence and spread on the basis of habitat suitability remains a challenge due to spatial variation in propagule pressure (the number of individuals released) which is likely conflated with suitability. In addition to neighborhood propagule pressure that originates with propagules dispersing from naturalized populations within invaded habitats, we expect residential propagule pressure arising from the widespread use of exotic plants in the yards of single-family residences to be an important driver of invasions, and to notably improve the predictive accuracy of species distribution models (SDMs). To this end, we collected presence/absence data for a widespread forest invader, Ligustrum sinense (Chinese privet), from 400 stratified random plots located along an urban gradient across the Charlotte, North Carolina metropolitan area. We assessed the relative contribution of residential propagule pressure and neighborhood propagule pressure to improving the predictive performance of a probit SDM for Chinese privet that only contains environmental predictors. Our results indicate that, although the environment-only model predicted the highest geographic area to be at risk of invasion by privet, it also had the highest rate of failure to accurately predict observed privet occurrences as indicated by the omission (incorrectly predicted absence) and commission (incorrectly predicted presence) error rates. Accounting for residential propagule pressure substantially improved model performance by reducing the omission error by nearly 50%, thereby improving upon the ability of the model to predict privet invasion in suboptimal habitat. Given that this increase in detection was accompanied by a decrease in the geographic area predicted at risk, we conclude that SDMs for invasive exotic shrubs and potentially for other synanthropic generalist plants may be highly inefficient when residential propagule pressure is not accounted for. Accounting for residential propagule pressure in models of invasive plants results in a more focused and accurate prediction of the area at risk, thus enabling decision makers to feasibly prioritize regional scale monitoring and control efforts."
2020-04-22,Keep,TRUE,R_1ladgh3xH5R1Vb7,AK,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",,,,1,"terrestrial biodiversity,Total nitrogen,area of riparian habitat,Agricultural revenue,Wetland area,biodiversity condition",0,,FALSE,,,0,0,,FALSE,,0,No,No,"Land use change,Management Practices",FALSE,,FALSE,FALSE,FALSE,TRUE,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013,"The Great Barrier Reef (GBR), Australia, is threatened by declining water quality largely derived from agricultural run-off. Water quality planning aims to mitigate pollutant run-off through land management, including riparian and wetland restoration, but no tools exist to assess trade-offs in land use change across the catchment-to-reef continuum. We adapted the Millennium Ecosystem Assessment framework in the GBR's Tully-Murray catchment to identify trade-offs between linked ecosystem services and stakeholders. Applying four land use scenarios we assessed outcomes for the ecosystem service of water quality regulation, and trade-offs with six floodplain services and four GBR services. Based on statistical correlations between ecosystem services' status under the scenarios, we identified trade-offs and thresholds between services and associated stakeholders. The most direct trade-off in floodplain services (and primary stakeholders) was food and fibre production (farmers) versus water quality regulation (community, GBR tourists, tour operators and fishermen). There were synergies between water quality regulation (community, GBR tourists, tour operators and fishermen) and floodplain recreational and commercial fisheries (fishermen). Scale mis-matches between water quality management structures and ecosystem service flows were also evident. We discuss the strengths and weaknesses of this ecosystem services approach, and its potential application in the GBR and other catchment-to-reef social-ecological systems. (C) 2011 Elsevier B.V. All rights reserved."
2020-04-22,Keep,TRUE,R_bBnxY9Kv0gtT7vX,GV,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Australia. Terrestrial catchment land use and effect on Great Barrier Reef. Produced hypothetical land use scenarios and looked at outcomes/tradeoffs for services.,"They used very loose proxies for all of the services they measured, but did look at tradeoffs given different land use scenarios in a cool way.",,1,"biodiversity composite score,total N,area of riparian habitat,Total agricultural revenues, wetland area (fisheries proxy)",0,,FALSE,,,0,0,,FALSE,,0,No,No,"Land use change,Management Practices",FALSE,,FALSE,FALSE,FALSE,TRUE,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013,"The Great Barrier Reef (GBR), Australia, is threatened by declining water quality largely derived from agricultural run-off. Water quality planning aims to mitigate pollutant run-off through land management, including riparian and wetland restoration, but no tools exist to assess trade-offs in land use change across the catchment-to-reef continuum. We adapted the Millennium Ecosystem Assessment framework in the GBR's Tully-Murray catchment to identify trade-offs between linked ecosystem services and stakeholders. Applying four land use scenarios we assessed outcomes for the ecosystem service of water quality regulation, and trade-offs with six floodplain services and four GBR services. Based on statistical correlations between ecosystem services' status under the scenarios, we identified trade-offs and thresholds between services and associated stakeholders. The most direct trade-off in floodplain services (and primary stakeholders) was food and fibre production (farmers) versus water quality regulation (community, GBR tourists, tour operators and fishermen). There were synergies between water quality regulation (community, GBR tourists, tour operators and fishermen) and floodplain recreational and commercial fisheries (fishermen). Scale mis-matches between water quality management structures and ecosystem service flows were also evident. We discuss the strengths and weaknesses of this ecosystem services approach, and its potential application in the GBR and other catchment-to-reef social-ecological systems. (C) 2011 Elsevier B.V. All rights reserved."
2020-04-22,Maybe,FALSE,R_3UXMx75t97OUqs1,AK,Arable weeds as indicators of agricultural intensity - A case study from Finland,used trophic interactions to define relative importance of weed species for animal groups,I wasn't sure if this paper should've been included. It almost seems like it stops at biodiversity but it mentions implications for ES. Also - the paper quantified diversity for animal groups based on weed index. ,,1,"pollinator diversity index,pest diversity index",0,,FALSE,,,0,0,,FALSE,,0,No,Yes,Management Practices,FALSE,,FALSE,FALSE,FALSE,TRUE,BIOLOGICAL CONSERVATION,2008,"The study aimed at developing an agro-biodiversity indicator based on trophic interactions between 25 common arable weeds and individual groups of farmland birds, pollinators (wild bees), phytophagous insects and insect pests. Each weed species was weighted based on the number of reported linkages with each animal group. Four biodiversity indices based on these weights were constructed and applied to exploring the ecological consequences of long-term changes in weed populations in Finland. Data were used from weed surveys of Finnish spring cereal fields conducted in the 1960s, 1980s and 1990s. The relative importance of weed species varied according to animal groups. Annual weed species able to produce numerous seeds were important for the farmland birds and some perennial weed species were important for the pollinators. The highest number of linkages was established between weed species and phytophagous insects. The number of harmful pest species associated with broad-leaved weeds was low for all species. The general pattern of changes in values of indices over recent decades was similar: there was a marked decline in the values between the 1960s and the 1980s, and a slight increase between the 1980s and the 1990s. These changes were regarded as being a consequence of changes in the intensity of agricultural practices. The slowest recovery of the values was for pollinators. The results suggest that the ecological consequences of changes in the intensity of agriculture can be explored with the aid of a biodiversity indicator based on species interactions. Owing to the differences in the importance of weed species for different animal groups, maintaining weed species richness is necessary to ensure ecosystem services are provided for the higher trophic levels in farmland. (c) 2008 Elsevier Ltd. All rights reserved."
2020-04-22,Keep,TRUE,R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",InVEST model of services with remotely sensed data combined with model parameter values from the literature,"I did not note direction of driver effects if there were multiple different drivers considered (e.g., precip and evaporation as different environmental drivers) or if the driver was categorical (and consequently, lacked directionality)","I did not record land cover as an ESP, but rather as a human driver (land use change), because in most cases the contrasts were made between forestland and farmland or built-up land (signaling a major human role in the shift)",0,"habitat quality,carbon storage,water supply,sediment retention",0,Other,FALSE,Other(water)=estimated root depth of vegetation type,,0,1,"Climate,Other",FALSE,"Other(soils)=rainfall erosivity, Other(soils)=slope, Other(soils)=elevation",1,No,No,"Land use change,Population growth,Population growth",FALSE,,FALSE,FALSE,FALSE,FALSE,TROPICAL ECOLOGY,2017,"Spatial explicit information related to ecosystem services is key in decisionmaking for attainment of sustainable development. Ecosystems in the Karst mountainous region of the southwest China subtropical zone contribute a substantial number of products and services. Based on the Integrated Valuation of Ecosystem Services and Tradeoffs (InVEST) model, multiple ecosystem services including water supply, sediment retention, carbon storage and habitat quality in the Guizhou Province of southwest China were assessed and mapped at the watershed scale in this study. The correlation among multiple ecosystem services was investigated and effects of the ecological condition and human pressure on ecosystem services explored. Results indicated obvious spatial heterogeneity in multiple ecosystem services and ecosystem services bundling; 51.09% of the area was designated at a moderate-level for ""hotspot"" (high ecosystem services provision) area. Tradeoffs existed between water supply and sediment retention and also between carbon storage and sediment retention. The spatial pattern of water supply in Guizhou was heavily affected by precipitation, evaporation and root depth associated with each land use type, while the rainfall erosivity, topography, cover-management factor and support practice associated with land use types played important roles in spatial distribution of sediment retention. The area and proportion of forestland were considered to be dominant factors affecting carbon storage. Habitat suitability of natural land use and the weight and effect distance of human land use were key driving factors affecting the habitat quality score and its spatial pattern. A weak negative correlation was demonstrated between human pressure indicators including the urbanization rate, GDP per person and population density and ecosystem services."
2020-04-22,Keep,TRUE,R_3j225vqUy2ndtL0,TK,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",,,,1,"habitat quality,carbon storage,water supply,sediment retention",0,,FALSE,,,0,0,,FALSE,,0,No,No,,FALSE,,FALSE,FALSE,FALSE,TRUE,TROPICAL ECOLOGY,2017,"Spatial explicit information related to ecosystem services is key in decisionmaking for attainment of sustainable development. Ecosystems in the Karst mountainous region of the southwest China subtropical zone contribute a substantial number of products and services. Based on the Integrated Valuation of Ecosystem Services and Tradeoffs (InVEST) model, multiple ecosystem services including water supply, sediment retention, carbon storage and habitat quality in the Guizhou Province of southwest China were assessed and mapped at the watershed scale in this study. The correlation among multiple ecosystem services was investigated and effects of the ecological condition and human pressure on ecosystem services explored. Results indicated obvious spatial heterogeneity in multiple ecosystem services and ecosystem services bundling; 51.09% of the area was designated at a moderate-level for ""hotspot"" (high ecosystem services provision) area. Tradeoffs existed between water supply and sediment retention and also between carbon storage and sediment retention. The spatial pattern of water supply in Guizhou was heavily affected by precipitation, evaporation and root depth associated with each land use type, while the rainfall erosivity, topography, cover-management factor and support practice associated with land use types played important roles in spatial distribution of sediment retention. The area and proportion of forestland were considered to be dominant factors affecting carbon storage. Habitat suitability of natural land use and the weight and effect distance of human land use were key driving factors affecting the habitat quality score and its spatial pattern. A weak negative correlation was demonstrated between human pressure indicators including the urbanization rate, GDP per person and population density and ecosystem services."
