assess_date,exclude,doublerev,ResponseId,Init,Title,GenInfo,SurveyNotes,KremenNotes,KT_None,Response,KT_ESPs,Driver_Bio,flag_otherBio,OtherDriver_Bio,ESP_type,KT_Community_structure,flag_KTstructure,flag_structure_explanation,FirstAuthor,SourcePublication,PublicationYear,Abstract
2020-04-18,Keep,FALSE,R_01WFDyowIJIdWZb,GV,A bottom-up approach to map land covers as potential green infrastructure hubs for human well-being in rural settings: A case study from Sweden,"Interviewed residents along urban/rural gradient for their value of ecosystem services from different landscapes, then mapped those land cover types.",,,0,Presence of land cover types preferred by people via survey,0,,FALSE,,Only land cover or habitat type as proxy,1,TRUE,Structure checked; ESP type and driver keywords do NOT suggest structure,Elbakidze,LANDSCAPE AND URBAN PLANNING,2017,"Green infrastructure (GI) policy encourages the spatial planning of natural and semi-natural areas to deliver biodiversity conservation and a wide range of ecosystem services (ES) important to human well-being. Much of the current literature relies on expert-led and top-down processes to investigate connections between landscapes' different land covers and ES. Little is known regarding the preferences of residents, and how they connect land covers with the delivery of ES important for their well-being. The aim of this study is to identify and locate such land cover types as GI that provide multiple ES important for human well-being in rural settings. First, we interviewed 400 urban and rural residents to identify ES important for personal well-being and the land covers that deliver multiple ES in three counties that best represent the existing rural-urban gradient in Sweden. Second, to support the inclusion of GI in spatial planning, we identified and located spatial concentrations of individual land covers providing multiple ES (GI hubs) and significant clusters of such land covers (GI hotspots). The majority of urban and rural respondents associated their well-being with lakes, mountains above the tree line, old-growth forests, wooded-pastures, mature pine forests and rural farmsteads. The areal proportion of each type of hub was low, on average 3.5%. At least three land management strategies are needed to sustain GI hubs: maintenance of the composition, structure and function of natural ecosystems in protected areas; support for traditional agroforestry and villages as social-ecological systems; and diversification of the current intensive forest management approach."
2020-04-18,Keep,FALSE,R_2dXPiR3XXdUjKSS,IS,A trait-based ecology of the Los Angeles urban forest,,,,0,"human attitudes and preferences (i.e. ecosystem services-based traits):water use, size at maturity, presence of showy flowers, basal area increment, relative basal area increment",1,,FALSE,,"Multiple ESP species [e.g., multiple focal ESP species]",0,TRUE,Not checked; ESP type or keywords suggest structure,Pataki,ECOSPHERE,2013,"Plant functional trait classifications have provided a useful framework for understanding the biodiversity of natural ecosystems. Here we propose that trait-based ecology may be expanded for understanding urban biodiversity in human planted and human dominated land cover by including plant attributes that influence human choices about cultivated species in novel ecosystems. We measured leaf functional traits in 24 tree species grown in the Los Angeles region of southern California in order to assess whether leaf functional traits were (1) predictable based on biogeographic region of origin, and (2) related to urban plant performance and ecosystem-services based traits. This entailed the development of a proposed new, ecosystem services-based classification of tree species traits is based on; 1000 household surveys of the preferences of urban residents for specific tree attributes in southern California. We evaluated the relationship between leaf functional traits, ecosystem services-based traits, and urban tree performance as measured by stem growth and predawn leaf water potential (as a metric of rooting distributions). Leaf functional traits were strongly predictable based on species' biogeographic region of origin including native habitat type and continent of origin, and hence appeared to be conserved in the urban environment. Ecosystem services-based traits such as tree water use, provision of showy flowers, size at maturity, and growth rates were also predictable based on geographic region of origin, and several ecosystem services-based traits were related to leaf functional traits. We suggest that ecosystem services-based traits may be useful variables to quantify in studies of urban forest community assembly, where species composition is strongly influenced by decision-making based on the preferences of urban residents and stakeholders. Our initial ecosystem services-based trait classification is defined from the results of household surveys and measurements in the Los Angeles area; these results are likely to vary by location, and can be improved with additional data on the performance, physiology, and morphology of urban trees as well as a better understanding of human preferences by region."
2020-04-18,Keep,TRUE,R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,"With an aim to examine urban adult vector mosquitoes and green roofs, the study design incorporates three distinctively different types of urban environments as treatment and control sites—green roofs (GR), bare roofs as negative control sites (NC), and low-elevation green space as positive control (PC)","*** FOR Q9 -- **** delete the unclear or not specified and 1-10 km2***     vector mosquito species considered: Aedes aegyptib Yellow fever mosquito Chikungunya, dengue fever, West Nile virus, yellow fever, Zika Aedes albopictusa,b,c Asian tiger mosquito Chikungunya, dengue fever, Japanese encephalitis, West Nile virus, yellow fever, etc. Aedes japonicusb Asian bush mosquito Chikungunya, dengue fever, Japanese encephalitis, St Louis encephalitis, West Nile virus Anopheles jeyporiensisc – Filariasis, malaria Anopheles maculatus – Malaria Anopheles minimusc – Malaria Anopheles sinensis – Filariasis, malaria Culex fuscocephala – Japanese encephalitis Culex gelidus – Japanese encephalitis, West Nile virus Culex quinquefasciatusc Southern house mosquito Filariasis, Japanese encephalitis, St Louis encephalitis, West Nile virus Culex tritaeniorhynchus",,1,"vector mosquitoe abundance, vector mosquito sex ratio",0,Other,FALSE,,Only land cover or habitat type as proxy,0,FALSE,,Wong,LANDSCAPE ECOLOGY,2018,"Urban green space (UGS) is widely espoused in sustainable urban design. Notwithstanding its ecosystem services, UGS is commonly perceived as inadvertent habitats for urban mosquitoes. Moreover, the lack of ecological understanding of mosquitoes and their urban habitats renders vector control in green spaces without reliance on chemical and bio-pesticides especially challenging. This study envisages the application of a comparative analytical method for the evaluation and optimization of vector management in different urban spaces. The research examines the extent of male habitat preference as measured by population characteristics of urban adult mosquitoes on green roof and control sites. Adult mosquito traps were deployed on green roofs (GR), bare roofs (negative control, NC), and low-elevation gardens (positive control, PC). Distribution of male and female members of vector species were analyzed Urban adult male mosquitoes exhibited highly-selective habitat use of the studied urban spaces, in that they were clustered chiefly in PC. Their spatial distributions are consistently explained by site group even under the stringent measure of presence/absence. The sex ratios of GR and NC were highly skewed toward females, which lends further to the interpretation of strong male habitat preference for the studied PC gardens. Urban mosquitoes do not display similar degrees of affinity for different types of green infrastructure. The methodology used can help prioritize urban sites and optimize control strategies. The uses of amenable environmental features salient to mosquito survival in landscape design should be explored as a sustainable and environmentally-friendly vector management approach."
2020-04-18,Keep,TRUE,R_cUwFHwTqSb5aRDb,TK,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,,,,0,presence of male mosquitoes,1,,FALSE,,"Multiple ESP species [e.g., multiple focal ESP species]",0,TRUE,Not checked; ESP type or keywords suggest structure,Wong,LANDSCAPE ECOLOGY,2018,"Urban green space (UGS) is widely espoused in sustainable urban design. Notwithstanding its ecosystem services, UGS is commonly perceived as inadvertent habitats for urban mosquitoes. Moreover, the lack of ecological understanding of mosquitoes and their urban habitats renders vector control in green spaces without reliance on chemical and bio-pesticides especially challenging. This study envisages the application of a comparative analytical method for the evaluation and optimization of vector management in different urban spaces. The research examines the extent of male habitat preference as measured by population characteristics of urban adult mosquitoes on green roof and control sites. Adult mosquito traps were deployed on green roofs (GR), bare roofs (negative control, NC), and low-elevation gardens (positive control, PC). Distribution of male and female members of vector species were analyzed Urban adult male mosquitoes exhibited highly-selective habitat use of the studied urban spaces, in that they were clustered chiefly in PC. Their spatial distributions are consistently explained by site group even under the stringent measure of presence/absence. The sex ratios of GR and NC were highly skewed toward females, which lends further to the interpretation of strong male habitat preference for the studied PC gardens. Urban mosquitoes do not display similar degrees of affinity for different types of green infrastructure. The methodology used can help prioritize urban sites and optimize control strategies. The uses of amenable environmental features salient to mosquito survival in landscape design should be explored as a sustainable and environmentally-friendly vector management approach."
2020-04-18,Keep,FALSE,R_3HRDBrdNVuSztPO,AIS,Adapting the adaptive cycle: Hypotheses on the development of ecosystem properties and services,,"Really cool, mind-boggling paper",,0,"carbon sequestration,water regulation,harvestable timber,tourist visits",0,,FALSE,,,1,TRUE,Structure checked; ESP type and driver keywords do NOT suggest structure,Burkhard,ECOLOGICAL MODELLING,2011,"Ecosystems are dynamic complexes. These dynamics can be described by different ecophysiological parameters and systems theoretical concepts like succession, thermodynamics, information/network theory, resilience, adaptability and the orientor concept. In this paper, different indicators and concepts are linked to Holling's adaptive cycle metaphor in order to derive hypotheses on potential system trajectories. The hypotheses focus on an exemplary temperate forest ecosystem experiencing the adaptive cycle's four phases of exploitation, conservation, collapse and reorganization after an initializing fire event. The different properties are correlated to the number of total system connections and show varying trajectories. Additionally, the provision of selected forest ecosystem services during the different phases is hypothesized and compared to three other land use types. (C) 2011 Elsevier B.V. All rights reserved."
2020-04-18,Keep,TRUE,R_2dfNb7wNwTVi3Kg,AIS,An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins,,,,0,"game fish habitat suitability index,streamflow,total fish biomass",0,,FALSE,,,0,FALSE,,Johnston,ECOLOGICAL MODELLING,2017,"We demonstrate a novel, spatially explicit assessment of the current condition of aquatic ecosystem services, with limited sensitivity analysis for the atmospheric contaminant mercury. The Integrated Ecological Modeling System (IEMS) forecasts water quality and quantity, habitat suitability for aquatic biota, fish biomasses, population densities, productivities, and contamination by methylmercury across head-water watersheds. We applied this IEMS to the Coal River Basin (CRB), West Virginia (USA), an 8-digit hydrologic unit watershed, by simulating a network of 97 stream segments using the SWAT watershed model, a watershed mercury loading model, the WASP water quality model, the PiSCES fish community estimation model, a fish habitat suitability model, the BASS fish community and bioaccumulation model, and an ecoservices post-processer. Model application was facilitated by automated data retrieval and model setup and updated model wrappers and interfaces for data transfers between these models from a prior study. This companion study evaluates baseline predictions of ecoservices provided for 1990-2010 for the population of streams in the CRB and serves as a foundation for future model development. Published by Elsevier B.V."
2020-04-18,Maybe,TRUE,R_SMB94nDu1Rxnw89,AK,An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins,,"Honestly, this was a bit confusing. The paper mainly focused on the benefits of the model and the details of it. ",,0,"mercury residues in fish,fish productivity,habitat suitability",0,,FALSE,,,1,TRUE,Structure checked; ESP type and driver keywords do NOT suggest structure,Johnston,ECOLOGICAL MODELLING,2017,"We demonstrate a novel, spatially explicit assessment of the current condition of aquatic ecosystem services, with limited sensitivity analysis for the atmospheric contaminant mercury. The Integrated Ecological Modeling System (IEMS) forecasts water quality and quantity, habitat suitability for aquatic biota, fish biomasses, population densities, productivities, and contamination by methylmercury across head-water watersheds. We applied this IEMS to the Coal River Basin (CRB), West Virginia (USA), an 8-digit hydrologic unit watershed, by simulating a network of 97 stream segments using the SWAT watershed model, a watershed mercury loading model, the WASP water quality model, the PiSCES fish community estimation model, a fish habitat suitability model, the BASS fish community and bioaccumulation model, and an ecoservices post-processer. Model application was facilitated by automated data retrieval and model setup and updated model wrappers and interfaces for data transfers between these models from a prior study. This companion study evaluates baseline predictions of ecoservices provided for 1990-2010 for the population of streams in the CRB and serves as a foundation for future model development. Published by Elsevier B.V."
2020-04-18,Keep,FALSE,R_1gnnpKABZZRCPMI,AK,Assessing mismatches in ecosystem services proficiency across the urban fabric of Porto (Portugal): The influence of structural and socioeconomic variables,,,Looked at any tree species in the plots with DBH greater than or equal to 2.54cm,1,"Tree DBH,Tree leaf biomass, Tree leaf area,Total tree leaf area",0,,FALSE,,"Multiple ESP species [e.g., multiple focal ESP species]",0,TRUE,Not checked; ESP type or keywords suggest structure,Graca,ECOSYSTEM SERVICES,2017,"Knowledge regarding Ecosystem Services (ES) delivery and the socio-ecological factors that influence their proficiency is essential to allow cities to adopt policies that lead to resource-efficient planning and greater resilience. As one of the matrix elements of urban ecological structure, vegetation may play a major role in promoting ES proficiency through planting design. This research addresses the heterogeneity of ES delivered by the urban vegetation of Porto, a Portuguese city. A methodology is proposed to investigate associations between socioeconomic indicators and structural variables of the urban forest, and also which structural variables of the urban forest, if any, differ along a socioeconomic gradient. Our results reveal that before setting planning and management goals, it is crucial to understand local patterns of ES and their relationships with socioeconomic patterns, which can be affected by variables such as building age. This should be followed by the identification of structural variables of the urban forest that better explain the differences, in order to target these through planning and management goals. The conceptual framework adopted in this research can guide adaptation of our methodology to other cities, providing insights for planning and management suitable to site-specific conditions and directly usable by stakeholders."
2020-04-18,Keep,FALSE,R_3QVN7sk2L6ezbxj,TK,Bat diversity in Carajas National Forest (Eastern Amazon) and potential impacts on ecosystem services under climate change,,,,0,"persistence of nectar of frugivorous bat species, persistence of nectarivorous bat species  ,persistence of insectivore bat species",1,,FALSE,,"Multiple ESP species [e.g., multiple focal ESP species]",0,TRUE,Not checked; ESP type or keywords suggest structure,Costa,BIOLOGICAL CONSERVATION,2018,"Anthropogenic climate change is one of the main current threats to biodiversity, and it has been linked to species decline. Bats deserve attention because they occupy different trophic niches and perform different functions in nature, acting as flower pollinators (nectarivores), seed dispersers (frugivores), and pest controllers (insectivores). The effects of climate change on the distribution of bat species occurring in the Carajas National Forest (Eastern Amazon, southeastern Path state, Brazil) was examined by modeling species distributions. A total of 83 species of bats providing the above mentioned services were analyzed for the years 2050 and 2070 to answer the following two questions: (i) Which species are potentially more sensitive to climate changes and will not be able to find suitable areas in Carajas in the future, and (ii) Which are the priority areas that protect the greatest number of species from climate change. Of the total species analyzed, 47 (57%) will potentially not find suitable areas in Carajas under the scenarios employed. Pollinators, seed dispersers, and more-generalist (omnivorous) bats will potentially be the most affected, suffering a 28-36% decrease in suitable area under the 2070 scenario, which may have implications for the plants with which those species interact. According to the scenarios employed, the Carajas National Forest, as well as other conservation units in Path, will not protect most species in the future. The most suitable areas are located mainly to the north and west of the state and under varying degrees of conservation: from well-preserved protected areas to areas degraded due to different anthropogenic impacts. This study emphasizes that the possible effect of climate change and the location of species protection areas need to be analyzed together to ensure that the areas that will act as potential climate refuges for species in the future are indeed protected."
2020-04-18,Keep,FALSE,R_d6fQShhgN9RzJPb,IS,Biophysical and anthropogenous determinants of landscape patterns and degradation of plant communities in Mo hilly basin (Togo),,lots of the drivers were only shown in CCA plot so hard to determine driver-service/function directionality ,,0,"total soil nitrogen, soil organic carbon",0,Other,FALSE,"canopy cover, vegetation type",,1,TRUE,Structure checked; ESP type and driver keywords do NOT suggest structure,Diwediga,ECOLOGICAL ENGINEERING,2015,"In mountainous areas, biophysical settings and human disturbances strongly influence landscape patterns and dynamics requiring a permanent understanding of their combined influence. In this study, we investigated the diversity and patterns of wild landscapes in relation to ecological factors, human disturbances and land protection regime in the Mo river basin (Central Togo). First, we used geographical information systems (GIS) and remote sensing techniques to quantify and spatially explicit the major land cover types occurring in the area. We performed a supervised classification of Landsat 8 image from 2014. Next, we used vegetation ordination and classification methods to detect vegetation group types and their similarity level from forest inventory data collected at 75 sites. Data from soil samples at the 75 sites and DEM-based topographical indices were used as biophysical variables to analyze factors of current landscape structure. Both satellite image classification and the outputs from ordination methods indicated that three major vegetation types (forestlands, woodlands and savannahs/shrubs) occurred in protected (PA) and unprotected (UPA) areas. Image classification showed that savannahs/shrubs are the most widespread vegetation types (54.4%) while forestlands and woodlands cover 10.4% and 26.4% of the total area, respectively. UPA showed high rates of human disturbances that shaped the occurrence of a fourth vegetation type made up mainly by degraded savannahs and woodlands. Along the land protection gradient, the landscapes are driven by soil nutrients and moisture, in combination with the influence of topography and human disturbances. In both PA and UPA, and along protection gradient, majority of features exhibited significant differences among plant communities. The spatial analyses combined with the field data providing information on vegetation cover, species richness, and human footprint indices suggested that some areas outside protection still exhibit high potentials for land conservation. In multifunctional landscapes of Mo basin, conservation strategies could also be encouraged in the wild landscapes of community common lands to promote both biodiversity conservation and sustainable provision of ecosystem services. (C) 2015 Elsevier B.V. All rights reserved."
