ResponseId,Init,Title,id,sameanswer,answer,clean_answer,final_answer,review_notes,fullquestion,abbr,Group,clean_group,qnum,ES,survey_order,qa_note,rev1init,rev2init,revorder
R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q6,FALSE,Experimental,Experimental,,,Q6: What methods were used? - Selected Choice,Methods,,,Q6,,26,,LD,TK,1
R_cUwFHwTqSb5aRDb,TK,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q6,FALSE,"Observational (Includes data observed in situ OR via remote sensing, if used directly)","Observational (Includes data observed in situ OR via remote sensing, if used directly)",,,Q6: What methods were used? - Selected Choice,Methods,,,Q6,,26,,LD,TK,2
R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q25.1_10_1,FALSE,"vector mosquitoe abundance, vector mosquito sex ratio",vector mosquito sex ratio,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of detrimental organisms and biological processes [e.g. pests, p... - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals] - Response 1: Separate by commas",Response,,,Q12,PestPath,77,,LD,TK,1
R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q25.1_10_1,FALSE,"vector mosquitoe abundance, vector mosquito sex ratio",vector mosquitoe abundance,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of detrimental organisms and biological processes [e.g. pests, p... - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals] - Response 1: Separate by commas",Response,,,Q12,PestPath,77,,LD,TK,1
R_cUwFHwTqSb5aRDb,TK,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q25.1_10_1,FALSE,presence of male mosquitoes,presence of male mosquitoes,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of detrimental organisms and biological processes [e.g. pests, p... - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals] - Response 1: Separate by commas",Response,,,Q12,PestPath,77,,LD,TK,2
R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q25.3_10,FALSE,Other,Other,,,"Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,Anthro,Anthro,Q12,PestPath,116,,LD,TK,1
R_cUwFHwTqSb5aRDb,TK,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q25.3_10,FALSE,Management Practices,Management Practices,,,"Q12: Which Ecosystem Services were considered?  - Human Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,Anthro,Anthro,Q12,PestPath,116,,LD,TK,2
R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q25.4_10,FALSE,Other,Other,,,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,Bio,Bio,Q12,PestPath,132,,LD,TK,1
R_cUwFHwTqSb5aRDb,TK,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q25.4_10,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Driver,Bio,,Q12,PestPath,132,,LD,TK,2
R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q25.5_10,FALSE,Proxy for ES,Proxy for ES,,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Yclass,,,Q12,PestPath,148,,LD,TK,1
R_cUwFHwTqSb5aRDb,TK,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q25.5_10,FALSE,ES,ES,,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Yclass,,,Q12,PestPath,148,,LD,TK,2
R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q25.7_10,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Direction of Human Driver Relationship - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",EffectDirect,Anthro,,Q12,PestPath,180,,LD,TK,1
R_cUwFHwTqSb5aRDb,TK,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q25.7_10,FALSE,Mixed,Mixed,,,"Q12: Which Ecosystem Services were considered?  - Direction of Human Driver Relationship - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",EffectDirect,Anthro,,Q12,PestPath,180,,LD,TK,2
R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q25,FALSE,green roofs,green roofs,,,List Other Human Driver from Q12 (sep. with commas),OtherDriver,Anthro,Anthro,Q12,PestPath,204,Infilled ES from Driver where 'Other' specified,LD,TK,1
R_cUwFHwTqSb5aRDb,TK,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q25,FALSE,,,,,List Other Human Driver from Q12 (sep. with commas),OtherDriver,Anthro,,Q12,,204,,LD,TK,2
R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q18,FALSE,None,Kremen Topic 4 : Scale,,,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,Q13,,206,Appended KT 4:Scale (has multi time or spatial scale but KT 4 not checked),LD,TK,1
R_cUwFHwTqSb5aRDb,TK,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q18,FALSE,Kremen Topic 1 : ESPs,"Kremen Topic 1 : ESPs,Kremen Topic 4 : Scale",,,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,Q13,,206,Appended KT 4:Scale (has multi time or spatial scale but KT 4 not checked),LD,TK,2
R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q19,FALSE,Only land cover or habitat type as proxy,Only land cover or habitat type as proxy,,,"Q14: If the study incorporates a 'Service Provider', which service provider(s) does it utilize?",ESP_type,,,Q14,,207,,LD,TK,1
R_cUwFHwTqSb5aRDb,TK,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Q19,FALSE,"Multiple ESP species [e.g., multiple focal ESP species]","Multiple ESP species [e.g., multiple focal ESP species]",,,"Q14: If the study incorporates a 'Service Provider', which service provider(s) does it utilize?",ESP_type,,,Q14,,207,,LD,TK,2
R_Rr7vEkLFgKenWeZ,LD,Detecting pest control services across spatial and temporal scales,Q25.1_10_1,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of detrimental organisms and biological processes [e.g. pests, p... - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals] - Response 1: Separate by commas",Response,,,Q12,PestPath,77,,LD,TK,1
R_2zeg9KfUwU5gLrg,TK,Detecting pest control services across spatial and temporal scales,Q25.1_10_1,FALSE,"aphid (pest) density, syrphid fly (natural enemy) density, ",aphid (pest) density,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of detrimental organisms and biological processes [e.g. pests, p... - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals] - Response 1: Separate by commas",Response,,,Q12,PestPath,77,,LD,TK,2
R_2zeg9KfUwU5gLrg,TK,Detecting pest control services across spatial and temporal scales,Q25.1_10_1,FALSE,"aphid (pest) density, syrphid fly (natural enemy) density, ",syrphid fly (natural enemy) density,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of detrimental organisms and biological processes [e.g. pests, p... - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals] - Response 1: Separate by commas",Response,,,Q12,PestPath,77,,LD,TK,2
