assess_date,newcase,doublerev,ResponseId,Init,Title,EcosystemNotes,num,Ecosystem,FirstAuthor,PublicationYear,SourcePublication
2020-04-22,FALSE,FALSE,R_9EqCanRz5Ek5Msh,IS,Non-linear effects of pesticide application on biodiversity-driven ecosystem services and disservices in a cacao agroecosystem: A modeling study,Agroecosystem,1,Agricultural/Rural,Sabatier,2013,BASIC AND APPLIED ECOLOGY
2020-04-22,FALSE,FALSE,R_9EqCanRz5Ek5Msh,IS,Non-linear effects of pesticide application on biodiversity-driven ecosystem services and disservices in a cacao agroecosystem: A modeling study,Agroecosystem,2,Other,Sabatier,2013,BASIC AND APPLIED ECOLOGY
2020-04-22,FALSE,FALSE,R_1LbwxNKQjyXIP36,SDJ,Microhabitat heterogeneity promotes soil fertility and ground-dwelling arthropod diversity in Mediterranean wood-pastures,Agroforestry,1,Terrestrial,Garcia-Tejero,2016,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-22,FALSE,FALSE,R_1LbwxNKQjyXIP36,SDJ,Microhabitat heterogeneity promotes soil fertility and ground-dwelling arthropod diversity in Mediterranean wood-pastures,Agroforestry,2,Agricultural/Rural,Garcia-Tejero,2016,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-22,FALSE,FALSE,R_1LbwxNKQjyXIP36,SDJ,Microhabitat heterogeneity promotes soil fertility and ground-dwelling arthropod diversity in Mediterranean wood-pastures,Agroforestry,3,Other,Garcia-Tejero,2016,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-22,FALSE,FALSE,R_3HUOPNUqbNDRseR,IS,Fruit Supplementation Affects Birds but not Arthropod Predation by Birds in Costa Rican Agroforestry Systems,Agroforests,1,Terrestrial,Peters,2013,BIOTROPICA
2020-04-22,FALSE,FALSE,R_3HUOPNUqbNDRseR,IS,Fruit Supplementation Affects Birds but not Arthropod Predation by Birds in Costa Rican Agroforestry Systems,Agroforests,2,Other,Peters,2013,BIOTROPICA
2020-04-22,TRUE,FALSE,R_3oLPw6lzZBozJLt,KCG,Production of moss-dominated biocrusts to enhance the stability and function of the margins of artificial water bodies,Artificial reservoir (dam),1,Terrestrial,de Carvalho,2018,RESTORATION ECOLOGY
2020-04-22,TRUE,FALSE,R_3oLPw6lzZBozJLt,KCG,Production of moss-dominated biocrusts to enhance the stability and function of the margins of artificial water bodies,Artificial reservoir (dam),2,Other,de Carvalho,2018,RESTORATION ECOLOGY
2020-04-22,FALSE,FALSE,R_2YDntOTriSbrehb,AIS,The ecological adaptability of Phragmites australis to interactive effects of water level and salt stress in the Yellow River Delta,brackish wetlands at river delta,1,Coastal,Guan,2017,AQUATIC ECOLOGY
2020-04-22,FALSE,FALSE,R_2YDntOTriSbrehb,AIS,The ecological adaptability of Phragmites australis to interactive effects of water level and salt stress in the Yellow River Delta,brackish wetlands at river delta,2,Freshwater,Guan,2017,AQUATIC ECOLOGY
2020-04-22,FALSE,FALSE,R_2YDntOTriSbrehb,AIS,The ecological adaptability of Phragmites australis to interactive effects of water level and salt stress in the Yellow River Delta,brackish wetlands at river delta,3,Other,Guan,2017,AQUATIC ECOLOGY
2020-04-22,TRUE,FALSE,R_3g0H34NVGzvaNkx,SDJ,Anolis lizards as biocontrol agents in mainland and island agroecosystems,coffee,1,Agricultural/Rural,Monagan,2017,ECOLOGY AND EVOLUTION
2020-04-22,TRUE,FALSE,R_3g0H34NVGzvaNkx,SDJ,Anolis lizards as biocontrol agents in mainland and island agroecosystems,coffee,2,Other,Monagan,2017,ECOLOGY AND EVOLUTION
2020-04-22,FALSE,FALSE,R_3PEPvorJEjbpsyI,SDJ,Mapping Soil Erosion Prevention Using an Ecosystem Service Modeling Framework for Integrated Land Management and Policy,described as silvo-pastoral,1,Terrestrial,Guerra,2014,ECOSYSTEMS
2020-04-22,FALSE,FALSE,R_3PEPvorJEjbpsyI,SDJ,Mapping Soil Erosion Prevention Using an Ecosystem Service Modeling Framework for Integrated Land Management and Policy,described as silvo-pastoral,2,Agricultural/Rural,Guerra,2014,ECOSYSTEMS
2020-04-22,FALSE,FALSE,R_3PEPvorJEjbpsyI,SDJ,Mapping Soil Erosion Prevention Using an Ecosystem Service Modeling Framework for Integrated Land Management and Policy,described as silvo-pastoral,3,Other,Guerra,2014,ECOSYSTEMS
