assess_date,ResponseId,Init,Title,exclude,exclude_notes,flag_inconsistent,SurveyNotes
2020-04-15,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,Maybe,uncertainy in survey notes,FALSE,"This was a challenging paper for me to read. Its main message is proposing a framework, but the authors also apply this framework to a case study, which I based my answers in this survey off of. Between use of terminology I don't know and vague description of the data, I struggled to do this paper justice, I fear."
2020-04-15,R_2dfNb7wNwTVi3Kg,AIS,An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins,Keep,NA,TRUE,NA
2020-04-15,R_SMB94nDu1Rxnw89,AK,An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins,Maybe,uncertainy in survey notes,TRUE,"Honestly, this was a bit confusing. The paper mainly focused on the benefits of the model and the details of it. "
2020-04-15,R_3UXMx75t97OUqs1,AK,Arable weeds as indicators of agricultural intensity - A case study from Finland,Maybe,uncertainy in survey notes,FALSE,I wasn't sure if this paper should've been included. It almost seems like it stops at biodiversity but it mentions implications for ES. Also - the paper quantified diversity for animal groups based on weed index. 
2020-04-15,R_12LTy7jbBE8ZpVJ,CW,"BIMBY's first steps: a pilot study on the contribution of residential front-yards in Phoenix and Maastricht to biodiversity, ecosystem services and urban sustainability",Maybe,uncertainy in survey notes,FALSE,"I'm not totally sure this paper should count towards our tallies for figure. X variables explaining ES provisioning are basically garden-design type and location (not an actual ESP or process). Table also report summary stats (e.g. % observed), not effect of type or location on the y-var. Study does quantify a variety of ES's though based on these two x variables and intro is clear in its intention about wanting to study factors that contribute to ES provisioning sensu Costanza and the MEA. It's also difficult to assess what ""Total Diversity"" encapsulates (is not ecological diversity) because it's a composite index from a Biodiversity in my backyard (BIMBY) framework, and methods doesn't state which metrics go into that index."
2020-04-15,R_T8b3xew0rVQL489,AIS,"Changes in landuse alter ant diversity, assemblage composition and dominant functional groups in African savannas",Maybe,uncertainy in survey notes,TRUE,"almost marked ""yes"" on Q3"
2020-04-15,R_3HTv5CGg1jUKNEG,AK,"Changes in landuse alter ant diversity, assemblage composition and dominant functional groups in African savannas",Keep,NA,TRUE,NA
2020-04-15,R_7P3SpB4PEitCRrP,IS,China's progress towards sustainable land degradation control: Insights from the northwest arid regions,Maybe,uncertainy in survey notes,FALSE,this paper didn't explicitly talk about ecosystem functions or ecosystem services in general nor in terms of their measured variables so that is why I left the q12 'paper reported response variables as...' blank; it did stay in since it didn't quite fall into the initial exclusion questions in this qualtrics survey
2020-04-15,R_1q9Uf3ZTvvvgngD,AIS,"Citizens' voice: A case study about perceived ecosystem services by urban park users in Rotterdam, the Netherlands",Exclude,by survey notes,TRUE,"I think this paper should have been excluded in round 1 since it does not directly measure an EF/ES or a proxy, only human perception of ES"
2020-04-15,R_22WbXqkXbhN02fD,AK,"Citizens' voice: A case study about perceived ecosystem services by urban park users in Rotterdam, the Netherlands",Keep,NA,TRUE,"This paper didn't really have ""response variables"". Instead they looked at people's perceptions of services in urban parks, so everything was qualitative/descriptive. Wasn't sure how to express this in the big table!"
