assess_date,newcase,exclude,doublerev,ResponseId,Init,Title,GenInfo,SurveyNotes,KremenNotes,KT_None,Response,KT_ESPs,Driver_Bio,flag_otherBio,OtherDriver_Bio,ESP_type,KT_Community_structure,KT_Environmental_factors,Driver_Env,flag_otherEnv,OtherDriver_Env,KT_Scale,MultiScale,TimeTrends,Driver_Anthro,flag_otherAnthro,OtherDriver_Anthro
2020-04-18,FALSE,Keep,FALSE,R_01WFDyowIJIdWZb,GV,A bottom-up approach to map land covers as potential green infrastructure hubs for human well-being in rural settings: A case study from Sweden,"Interviewed residents along urban/rural gradient for their value of ecosystem services from different landscapes, then mapped those land cover types.",,,0,Presence of land cover types preferred by people via survey,0,,FALSE,,Only land cover or habitat type as proxy,1,0,,FALSE,,0,No,No,Other,FALSE,Urban to rural gradient of land use.
2020-04-18,FALSE,Maybe,FALSE,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,,"This was a challenging paper for me to read. Its main message is proposing a framework, but the authors also apply this framework to a case study, which I based my answers in this survey off of. Between use of terminology I don't know and vague description of the data, I struggled to do this paper justice, I fear.",,1,"flor, fauna, fungi, timber, fiber, water, open space, soil,presence of the environment, viewscapes, sounds and scents, natural materials, flora and fauna, fish",0,,FALSE,,,0,0,,FALSE,,0,No,No,,FALSE,
2020-04-18,FALSE,Keep,FALSE,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",,"Regarding Q13: while the paper incorporates an environmental driver, it is not a focus of the study. I did designate scale because the paper mentions variation between smaller-scale units and larger watershed trends and is inherently spatial in its modelling.",,0,"base flow,sediment yield,surface runoff",0,,FALSE,,,0,0,Other,FALSE,slope,1,Yes,Yes,Management Practices,FALSE,
2020-04-18,FALSE,Keep,FALSE,R_2VF0XDe9qGZ1I8b,NBD,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,,,,0,"coral functional traits (Age and size at maturity, Colony maximum diameter,Growth form),coral functional traits (Colony maximum diameter,Capacity of fragment regeneration, Growth form),coral functional traits",0,Service Provider (Q17),FALSE,,"Across species  [e.g. community structure, diversity]",1,0,"Climate,Climate,Extreme Events",FALSE,,0,No,Yes,,FALSE,
2020-04-18,FALSE,Keep,FALSE,R_2dXPiR3XXdUjKSS,IS,A trait-based ecology of the Los Angeles urban forest,,,,0,"human attitudes and preferences (i.e. ecosystem services-based traits):water use, size at maturity, presence of showy flowers, basal area increment, relative basal area increment",1,,FALSE,,"Multiple ESP species [e.g., multiple focal ESP species]",0,0,,FALSE,,0,No,No,Management Practices,FALSE,
2020-04-18,TRUE,Keep,FALSE,R_UYeQJqYgpQFhAgV,KCG,A welcome can of worms? Hypoxia mitigation by an invasive species,,,,1,"oxygen concentration, phosphate concentration",0,Service Provider (Q17),FALSE,,,0,0,,FALSE,,0,No,Yes,,FALSE,
2020-04-18,FALSE,Keep,TRUE,R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,"With an aim to examine urban adult vector mosquitoes and green roofs, the study design incorporates three distinctively different types of urban environments as treatment and control sites—green roofs (GR), bare roofs as negative control sites (NC), and low-elevation green space as positive control (PC)","*** FOR Q9 -- **** delete the unclear or not specified and 1-10 km2***     vector mosquito species considered: Aedes aegyptib Yellow fever mosquito Chikungunya, dengue fever, West Nile virus, yellow fever, Zika Aedes albopictusa,b,c Asian tiger mosquito Chikungunya, dengue fever, Japanese encephalitis, West Nile virus, yellow fever, etc. Aedes japonicusb Asian bush mosquito Chikungunya, dengue fever, Japanese encephalitis, St Louis encephalitis, West Nile virus Anopheles jeyporiensisc – Filariasis, malaria Anopheles maculatus – Malaria Anopheles minimusc – Malaria Anopheles sinensis – Filariasis, malaria Culex fuscocephala – Japanese encephalitis Culex gelidus – Japanese encephalitis, West Nile virus Culex quinquefasciatusc Southern house mosquito Filariasis, Japanese encephalitis, St Louis encephalitis, West Nile virus Culex tritaeniorhynchus",,1,"vector mosquitoe abundance, vector mosquito sex ratio",0,Other,FALSE,,Only land cover or habitat type as proxy,0,0,,FALSE,,0,No,Yes,Other,FALSE,green roofs
2020-04-18,FALSE,Keep,TRUE,R_cUwFHwTqSb5aRDb,TK,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,,,,0,presence of male mosquitoes,1,,FALSE,,"Multiple ESP species [e.g., multiple focal ESP species]",0,0,,FALSE,,0,No,Yes,Management Practices,FALSE,
2020-04-18,FALSE,Keep,FALSE,R_3nkJM8cj2M1w727,SDJ,Accounting for residential propagule pressure improves prediction of urban plant invasion,county-wide parcel data used to determine housing density. observed p/a of Chinese pivet (invasive) at each location. the rest was calculation and mapping,"They are kind of getting at connectivity with their study question which is about how neighboring residences increase invasive species propagules, which influences their p/a in forests. But they did not measure that connection directly. The ""function"" was a human-mediated invasion pressure"". So kind of the opposite of a function",,1,residential propagule pressure,0,,FALSE,,,0,0,,FALSE,,0,No,No,Population growth,FALSE,
2020-04-18,FALSE,Keep,FALSE,R_3HRDBrdNVuSztPO,AIS,Adapting the adaptive cycle: Hypotheses on the development of ecosystem properties and services,,"Really cool, mind-boggling paper",,0,"carbon sequestration,water regulation,harvestable timber,tourist visits",0,,FALSE,,,1,0,,FALSE,,1,Yes,Yes,,FALSE,
