assess_date,newcase,doublerev,ResponseId,Init,Title,GenInfo,MethodsNotes,Observational,Experimental,Model_Data_Simulation,Social_survey_Interview,Other,Ecosystem,MultiScale,TimeTrends,FirstAuthor,SourcePublication,PublicationYear,Abstract
2020-04-29,FALSE,FALSE,R_01WFDyowIJIdWZb,GV,A bottom-up approach to map land covers as potential green infrastructure hubs for human well-being in rural settings: A case study from Sweden,"Interviewed residents along urban/rural gradient for their value of ecosystem services from different landscapes, then mapped those land cover types.",,1,,,1,,"Terrestrial,Urban,Agricultural/Rural",No,No,Elbakidze,LANDSCAPE AND URBAN PLANNING,2017,"Green infrastructure (GI) policy encourages the spatial planning of natural and semi-natural areas to deliver biodiversity conservation and a wide range of ecosystem services (ES) important to human well-being. Much of the current literature relies on expert-led and top-down processes to investigate connections between landscapes' different land covers and ES. Little is known regarding the preferences of residents, and how they connect land covers with the delivery of ES important for their well-being. The aim of this study is to identify and locate such land cover types as GI that provide multiple ES important for human well-being in rural settings. First, we interviewed 400 urban and rural residents to identify ES important for personal well-being and the land covers that deliver multiple ES in three counties that best represent the existing rural-urban gradient in Sweden. Second, to support the inclusion of GI in spatial planning, we identified and located spatial concentrations of individual land covers providing multiple ES (GI hubs) and significant clusters of such land covers (GI hotspots). The majority of urban and rural respondents associated their well-being with lakes, mountains above the tree line, old-growth forests, wooded-pastures, mature pine forests and rural farmsteads. The areal proportion of each type of hub was low, on average 3.5%. At least three land management strategies are needed to sustain GI hubs: maintenance of the composition, structure and function of natural ecosystems in protected areas; support for traditional agroforestry and villages as social-ecological systems; and diversification of the current intensive forest management approach."
2020-04-29,FALSE,FALSE,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,,created a framework to analyze data from a national database,,,1,,1,"Terrestrial,Freshwater",No,No,Bell,ECOSPHERE,2017,"Anthropogenic stressors such as climate change, increased fire frequency, and pollution drive shifts in ecosystem function and resilience. Scientists generally rely on biological indicators of these stressors to signal that ecosystem conditions have been altered. However, these biological indicators are not always capable of being directly related to ecosystem components that provide benefits to humans and/or can be used to evaluate the cost-benefit of a change in health of the component (ecosystem services). Therefore, we developed the STEPS (Stressor-Ecological Production function-final ecosystem Services) Framework to link changes in a biological indicator of a stressor to final ecosystem services. The STEPS Framework produces ""chains"" of ecological components that explore the breadth of impacts resulting from the change in a stressor. Chains are comprised of the biological indicator, the ecological production function (EPF, which uses ecological components to link the biological indicator to a final ecosystem service), and the user group who directly uses, appreciates, or values the component. The framework uses a qualitative score (high, medium, low) to describe the strength of science (SOS) for the relationship between each component in the EPF. We tested the STEPS Framework within a workshop setting using the exceedance of critical loads of air pollution as a model stressor and the Final Ecosystem Goods and Services Classification System (FEGS-CS) to describe final ecosystem services. We identified chains for four modes of ecological response to deposition: aquatic acidification, aquatic eutrophication, terrestrial acidification, and terrestrial eutrophication. The workshop participants identified 183 unique EPFs linking a change in a biological indicator to a FEGS; when accounting for the multiple beneficiaries, we ended with 1104 chains. The SOS scores were effective in identifying chains with the highest confidence ranking as well as those where more research is needed. The STEPS Framework could be adapted to any system in which a stressor is modifying a biological component. The results of the analysis can be used by the social science community to apply valuation measures to multiple or selected chains, providing a comprehensive analysis of the effects of anthropogenic stressors on measures of human well-being."
2020-04-29,TRUE,FALSE,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",,,1,,1,,,"Terrestrial,Freshwater,Other",Yes,Yes,Mwangi,JOURNAL OF SOIL AND WATER CONSERVATION,2015,"Degradation of agricultural watersheds often reduces their capacity to provide ecosystem services such as sediment retention, flow regulation, and water quality improvement. Soil and water conservation practices can be used to enhance the capacity of watersheds to produce these services. The objective of this study was to evaluate the impact of agricultural conservation practices on water and sediment yield using the Soil and Water Assessment Tool (SWAT) model. The study area was Sasumua Watershed (107 km(2) [43 mi(2)]), where land degradation has affected watershed's capacity to regulate flow and maintain water quality. The model was calibrated and validated for streamflow at the watershed outlet. Data on annual average erosion rates for the area was used to constrain soil erodibility factor (KUSLE) and practice erodibility factor (PUSLE) parameters during sediment calibration while measured three month sediment concentration data was used for validation. Model performance was assessed using the coefficient of determination (r(2)), Nash-Sutcliffe efficiency coefficient (ENS) and percent bias (PBIAS). Results gave monthly streamflow r(2) values of 0.80 and 0.85, ENS values of 0.74 and 0.81, and PBIAS values of +/- 5% and +/- 6% during the calibration and validation. The model also satisfactorily simulated daily sediment concentrations with an r(2) value of 0.54. However, ENS and PBIAS values were low, which was attributed to the short duration of measurement. The validated model was used to simulate sediment yield for the period 1970 to 2010. Mean annual watershed sediment yield was 40,934 t y(-1) (9 0,243,096 lb yr(-1)). The impacts of filter strips, contour farming, parallel terraces, grassed waterways, and their combinations on water and sediment yield were simulated by adjusting relevant model parameters. The effectiveness of filter strips increased nonlinearly with width being optimum at 30 m (98.4 ft). A combination of 30 m (98.4 ft) wide filter strips and grassed waterways reduced sediment yield by 80%; parallel terraces, 10 m (32.8 ft) filter strips, and grassed waterways reduced sediment yield by 75%; 10 m (32.8 ft) filter strips and grassed waterways reduced yield by 73%; contour farming and grassed waterways reduced yield by 66%; and grassed waterways reduced yield by only 54%. Parallel terraces reduced surface runoff by 20% and increased base flow by 12%, while contour farming reduced surface runoff by 12% and increased base flow by 6.5%. Implementation of conservation practices can reduce sediment yield and increase water yield marginally. The results give an insight into the implications of the present land use management practices and can be used to devise ecologically sound watershed management and development plans."
2020-04-29,TRUE,FALSE,R_2VF0XDe9qGZ1I8b,NBD,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,,,,,1,,,Coastal,No,Yes,Carturan,ECOSPHERE,2018,"Climate change and other anthropogenic disturbances are having dramatic impacts on tropical coral reefs and the ecosystem services they provide. Anticipating change in ecosystem services is a pressing challenge that requires understanding how species respond to an environmental change, and how they contribute to ecosystem services. Building on analogous efforts by plant ecologists, we propose a trait-based framework that aims to predict the resistance and recovery of coral ecosystem services against both pulse and press disturbances. The framework involves identifying effect, resistance, and recovery traits across coral species and using these to ascertain how species might (1) contribute to a service, (2) resist disturbance, and (3) recover after the disturbance. By identifying trait functional overlaps and quantifying correlations among the trait types, the framework can yield a better understanding of the potential mechanistic links between community assembly, ecosystem dynamics, and ecosystem functioning. We demonstrate the utility of the framework by applying it to a virtual scenario, implemented via simulation, in which habitat provisioning is the focal ecosystem service, and cyclones and bleaching events are the disturbances of interest. This demonstration required us to assemble an extensive dataset of relevant traits-a process that revealed key gaps in the coral trait database and in our understanding of coral functional ecology. The framework can provide predictive power for the resilience of ecosystem services and can also help identify crucial knowledge gaps, research objectives, and strategies for applying a trait-based approach to advancing coral reef science and conservation."
2020-04-29,TRUE,FALSE,R_UYeQJqYgpQFhAgV,KCG,A welcome can of worms? Hypoxia mitigation by an invasive species,,,1,,1,,,Marine/Off-shore,No,Yes,Norkko,GLOBAL CHANGE BIOLOGY,2012,"Invasive species and bottom-water hypoxia both constitute major global threats to the diversity and integrity of marine ecosystems. These stressors may interact with unexpected consequences, as invasive species that require an initial environmental disturbance to become established can subsequently become important drivers of ecological change. There is recent evidence that improved bottom-water oxygen conditions in coastal areas of the northern Baltic Sea coincide with increased abundances of the invasive polychaetes Marenzelleria spp. Using a reactive-transport model, we demonstrate that the long-term bioirrigation activities of dense Marenzelleria populations have a major impact on sedimentary phosphorus dynamics. This may facilitate the switch from a seasonally hypoxic system back to a normoxic system by reducing the potential for sediment-induced eutrophication in the upper water column. In contrast to short-term laboratory experiments, our simulations, which cover a 10-year period, show that Marenzelleria has the potential to enhance long-term phosphorus retention in muddy sediments. Over time bioirrigation leads to a substantial increase in the iron-bound phosphorus content of sediments while reducing the concentration of labile organic carbon. As surface sediments are maintained oxic, iron oxyhydroxides are able to persist and age into more refractory forms. The model illustrates mechanisms through which Marenzelleria can act as a driver of ecological change, although hypoxic disturbance or natural population declines in native species may be needed for them to initially become established. Invasive species are generally considered to have a negative impact; however, we show here that one of the main recent invaders in the Baltic Sea may provide important ecosystem services. This may be of particular importance in low-diversity systems, where disturbances may dramatically alter ecosystem services due to low functional redundancy. Thus, an environmental problem in one region may be either exacerbated or alleviated by a single species from another region, with potentially ecosystem-wide consequences."
2020-04-29,FALSE,FALSE,R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,"With an aim to examine urban adult vector mosquitoes and green roofs, the study design incorporates three distinctively different types of urban environments as treatment and control sites—green roofs (GR), bare roofs as negative control sites (NC), and low-elevation green space as positive control (PC)",,,1,,,,Urban,No,Yes,Wong,LANDSCAPE ECOLOGY,2018,"Urban green space (UGS) is widely espoused in sustainable urban design. Notwithstanding its ecosystem services, UGS is commonly perceived as inadvertent habitats for urban mosquitoes. Moreover, the lack of ecological understanding of mosquitoes and their urban habitats renders vector control in green spaces without reliance on chemical and bio-pesticides especially challenging. This study envisages the application of a comparative analytical method for the evaluation and optimization of vector management in different urban spaces. The research examines the extent of male habitat preference as measured by population characteristics of urban adult mosquitoes on green roof and control sites. Adult mosquito traps were deployed on green roofs (GR), bare roofs (negative control, NC), and low-elevation gardens (positive control, PC). Distribution of male and female members of vector species were analyzed Urban adult male mosquitoes exhibited highly-selective habitat use of the studied urban spaces, in that they were clustered chiefly in PC. Their spatial distributions are consistently explained by site group even under the stringent measure of presence/absence. The sex ratios of GR and NC were highly skewed toward females, which lends further to the interpretation of strong male habitat preference for the studied PC gardens. Urban mosquitoes do not display similar degrees of affinity for different types of green infrastructure. The methodology used can help prioritize urban sites and optimize control strategies. The uses of amenable environmental features salient to mosquito survival in landscape design should be explored as a sustainable and environmentally-friendly vector management approach."
2020-04-29,FALSE,FALSE,R_3nkJM8cj2M1w727,SDJ,Accounting for residential propagule pressure improves prediction of urban plant invasion,county-wide parcel data used to determine housing density. observed p/a of Chinese pivet (invasive) at each location. the rest was calculation and mapping,,1,,,,,"Terrestrial,Urban",No,No,Davis,ECOSPHERE,2016,"Plant invasions substantially impact the ecosystem services provided by forests in urbanizing regions. Knowing where invasion risk is greatest helps target early detection and eradication efforts, but developing an accurate predictive model of invasive species presence and spread on the basis of habitat suitability remains a challenge due to spatial variation in propagule pressure (the number of individuals released) which is likely conflated with suitability. In addition to neighborhood propagule pressure that originates with propagules dispersing from naturalized populations within invaded habitats, we expect residential propagule pressure arising from the widespread use of exotic plants in the yards of single-family residences to be an important driver of invasions, and to notably improve the predictive accuracy of species distribution models (SDMs). To this end, we collected presence/absence data for a widespread forest invader, Ligustrum sinense (Chinese privet), from 400 stratified random plots located along an urban gradient across the Charlotte, North Carolina metropolitan area. We assessed the relative contribution of residential propagule pressure and neighborhood propagule pressure to improving the predictive performance of a probit SDM for Chinese privet that only contains environmental predictors. Our results indicate that, although the environment-only model predicted the highest geographic area to be at risk of invasion by privet, it also had the highest rate of failure to accurately predict observed privet occurrences as indicated by the omission (incorrectly predicted absence) and commission (incorrectly predicted presence) error rates. Accounting for residential propagule pressure substantially improved model performance by reducing the omission error by nearly 50%, thereby improving upon the ability of the model to predict privet invasion in suboptimal habitat. Given that this increase in detection was accompanied by a decrease in the geographic area predicted at risk, we conclude that SDMs for invasive exotic shrubs and potentially for other synanthropic generalist plants may be highly inefficient when residential propagule pressure is not accounted for. Accounting for residential propagule pressure in models of invasive plants results in a more focused and accurate prediction of the area at risk, thus enabling decision makers to feasibly prioritize regional scale monitoring and control efforts."
2020-04-29,TRUE,FALSE,R_3HRDBrdNVuSztPO,AIS,Adapting the adaptive cycle: Hypotheses on the development of ecosystem properties and services,,,,,1,,,Terrestrial,Yes,Yes,Burkhard,ECOLOGICAL MODELLING,2011,"Ecosystems are dynamic complexes. These dynamics can be described by different ecophysiological parameters and systems theoretical concepts like succession, thermodynamics, information/network theory, resilience, adaptability and the orientor concept. In this paper, different indicators and concepts are linked to Holling's adaptive cycle metaphor in order to derive hypotheses on potential system trajectories. The hypotheses focus on an exemplary temperate forest ecosystem experiencing the adaptive cycle's four phases of exploitation, conservation, collapse and reorganization after an initializing fire event. The different properties are correlated to the number of total system connections and show varying trajectories. Additionally, the provision of selected forest ecosystem services during the different phases is hypothesized and compared to three other land use types. (C) 2011 Elsevier B.V. All rights reserved."
2020-04-29,FALSE,FALSE,R_2QgKnZOgVMTFZY0,AIS,"An agent-based approach to modeling impacts of agricultural policy on land use, biodiversity and ecosystem services",Agent-based model calibrated by observed data,,,,1,,,"Terrestrial,Agricultural/Rural",No,Yes,Brady,LANDSCAPE ECOLOGY,2012,"We present extensions to the agent-based agricultural policy simulator (AgriPoliS) model that make it possible to simulate the consequences of agricultural policy reform on farmers' land use decisions and concomitant impacts on landscape mosaic, biodiversity and ecosystem services in a real agricultural region. An observed population of farms is modelled as a multi-agent system where individual farm-agent behaviour and their interactions-principally competition for land-are defined through an optimization framework with land use and landscape impacts resulting as emergent properties of the system. The model is calibrated to real data on the farms and the landscape to be studied. We illustrate the utility of the model by evaluating the potential impacts of three alternative frameworks for the European Union Common Agricultural Policy (CAP) on landscape values in two marginal agricultural regions. Mosaic value was found to be sensitive to the choice of policy scheme in one of the landscapes, whereas significant trade-offs were shown to occur in terms of species richness by habitat and species composition at the landscape scale in both regions. The relationship between food production and other ecosystem services was found to be multifaceted. Thus illustrating the difficulty of achieving landscape goals in a particular region with simple or general land management rules (such as the current rules attached to CAPs direct payments). Given the scarcity of funding for conservation, the level and conditions for allocating direct payments are, potentially, of great importance for preserving landscape values in marginal agricultural regions (subject to levels of other support)."
2020-04-29,TRUE,TRUE,R_1ladgh3xH5R1Vb7,AK,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",,,,,1,,,Coastal,No,No,Butler,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013,"The Great Barrier Reef (GBR), Australia, is threatened by declining water quality largely derived from agricultural run-off. Water quality planning aims to mitigate pollutant run-off through land management, including riparian and wetland restoration, but no tools exist to assess trade-offs in land use change across the catchment-to-reef continuum. We adapted the Millennium Ecosystem Assessment framework in the GBR's Tully-Murray catchment to identify trade-offs between linked ecosystem services and stakeholders. Applying four land use scenarios we assessed outcomes for the ecosystem service of water quality regulation, and trade-offs with six floodplain services and four GBR services. Based on statistical correlations between ecosystem services' status under the scenarios, we identified trade-offs and thresholds between services and associated stakeholders. The most direct trade-off in floodplain services (and primary stakeholders) was food and fibre production (farmers) versus water quality regulation (community, GBR tourists, tour operators and fishermen). There were synergies between water quality regulation (community, GBR tourists, tour operators and fishermen) and floodplain recreational and commercial fisheries (fishermen). Scale mis-matches between water quality management structures and ecosystem service flows were also evident. We discuss the strengths and weaknesses of this ecosystem services approach, and its potential application in the GBR and other catchment-to-reef social-ecological systems. (C) 2011 Elsevier B.V. All rights reserved."
