StartDate,EndDate,RecordedDate,ResponseId,Init,Title,id,answer,clean_answer,fullquestion,abbr,Group,ESnum,qnum,ES,survey_order,flag_noResponse,flag_noDriver,flag_noDirection,FirstAuthor,PublicationYear,SourcePublication
2020-03-27T11:01:41Z,2020-03-27T11:13:26Z,2020-03-27T11:13:26Z,R_3hoTvsroaDFHpoq,GV,Habitat connectivity for pollinator beetles using surface metrics,Q25.1_2_1,Community structure of flower longicorn beetles,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Pollination and dispersal of seeds or other propagules - Response 1: Separate by commas",Response,,2,Q12,Pollination,61,FALSE,TRUE,TRUE,Moniem,2013,LANDSCAPE ECOLOGY
2020-03-27T11:01:41Z,2020-03-27T11:13:26Z,2020-03-27T11:13:26Z,R_3hoTvsroaDFHpoq,GV,Habitat connectivity for pollinator beetles using surface metrics,Q25.2_2,,,Q12: Which Ecosystem Services were considered?  - Environmental Driver - Pollination and dispersal of seeds or other propagules,Driver,Env,2,Q12,Pollination,92,FALSE,TRUE,TRUE,Moniem,2013,LANDSCAPE ECOLOGY
2020-03-27T11:01:41Z,2020-03-27T11:13:26Z,2020-03-27T11:13:26Z,R_3hoTvsroaDFHpoq,GV,Habitat connectivity for pollinator beetles using surface metrics,Q25.3_2,,,Q12: Which Ecosystem Services were considered?  - Human Driver - Pollination and dispersal of seeds or other propagules,Driver,Anthro,2,Q12,Pollination,108,FALSE,TRUE,TRUE,Moniem,2013,LANDSCAPE ECOLOGY
2020-03-27T11:01:41Z,2020-03-27T11:13:26Z,2020-03-27T11:13:26Z,R_3hoTvsroaDFHpoq,GV,Habitat connectivity for pollinator beetles using surface metrics,Q25.4_2,,,Q12: Which Ecosystem Services were considered?  - Biotic Driver - Pollination and dispersal of seeds or other propagules,Driver,Bio,2,Q12,Pollination,124,FALSE,TRUE,TRUE,Moniem,2013,LANDSCAPE ECOLOGY
2020-03-27T11:01:41Z,2020-03-27T11:13:26Z,2020-03-27T11:13:26Z,R_3hoTvsroaDFHpoq,GV,Habitat connectivity for pollinator beetles using surface metrics,Q25.5_2,Proxy for ES,,Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Pollination and dispersal of seeds or other propagules,Yclass,,2,Q12,Pollination,140,FALSE,TRUE,TRUE,Moniem,2013,LANDSCAPE ECOLOGY
2020-03-27T11:01:41Z,2020-03-27T11:13:26Z,2020-03-27T11:13:26Z,R_3hoTvsroaDFHpoq,GV,Habitat connectivity for pollinator beetles using surface metrics,Q25.6_2,,,Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Pollination and dispersal of seeds or other propagules,EffectDirect,Env,2,Q12,Pollination,156,FALSE,TRUE,TRUE,Moniem,2013,LANDSCAPE ECOLOGY
2020-03-27T11:01:41Z,2020-03-27T11:13:26Z,2020-03-27T11:13:26Z,R_3hoTvsroaDFHpoq,GV,Habitat connectivity for pollinator beetles using surface metrics,Q25.7_2,,,Q12: Which Ecosystem Services were considered?  - Direction of Human Driver Relationship - Pollination and dispersal of seeds or other propagules,EffectDirect,Anthro,2,Q12,Pollination,172,FALSE,TRUE,TRUE,Moniem,2013,LANDSCAPE ECOLOGY
2020-03-27T11:01:41Z,2020-03-27T11:13:26Z,2020-03-27T11:13:26Z,R_3hoTvsroaDFHpoq,GV,Habitat connectivity for pollinator beetles using surface metrics,Q25.8_2,,,Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Pollination and dispersal of seeds or other propagules,EffectDirect,Bio,2,Q12,Pollination,188,FALSE,TRUE,TRUE,Moniem,2013,LANDSCAPE ECOLOGY
2020-03-27T11:01:41Z,2020-03-27T11:13:26Z,2020-03-27T11:13:26Z,R_3hoTvsroaDFHpoq,GV,Habitat connectivity for pollinator beetles using surface metrics,Q17,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,,Q12,,203,FALSE,TRUE,TRUE,Moniem,2013,LANDSCAPE ECOLOGY
2020-03-27T11:01:41Z,2020-03-27T11:13:26Z,2020-03-27T11:13:26Z,R_3hoTvsroaDFHpoq,GV,Habitat connectivity for pollinator beetles using surface metrics,Q25,,,List Other Human Driver from Q12 (sep. with commas),OtherDriver,Anthro,,Q12,,204,FALSE,TRUE,TRUE,Moniem,2013,LANDSCAPE ECOLOGY
2020-03-27T11:01:41Z,2020-03-27T11:13:26Z,2020-03-27T11:13:26Z,R_3hoTvsroaDFHpoq,GV,Habitat connectivity for pollinator beetles using surface metrics,Q26,,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,,Q12,,205,FALSE,TRUE,TRUE,Moniem,2013,LANDSCAPE ECOLOGY
