EcoServ,Response,EF,ES,no selection,Proxy for ES,Key.word,Notes,response_finer,rf2
MaintainOpts,"""Total Diversity"" (not ecological diversity)",0,1,0,0,,no idea,,index
SoilProtect,% litter mass remaining,1,0,0,1,Plant soil feedbacks,,plant soil feedbacks,plant soil feedbacks
ClimReg,above and below ground primary prouction,0,1,0,1,Productivity,,productivity,productivity
SoilProtect,above ground biomass,0,1,0,0,Productivity,,productivity,productivity
Energy,Aboveground annual net primary productivity,0,0,0,1,Productivity,,productivity,productivity
Food,aboveground biomass,0,0,0,1,Productivity,,productivity,productivity
ClimReg,Aboveground biomass,1,2,0,0,Productivity,,productivity,productivity
ClimReg,aboveground carbon pool,0,1,0,1,Productivity,,productivity,carbon
ClimReg,aboveground carbon storage,0,1,0,0,Productivity,check this one,productivity,carbon
ClimReg,aboveground live biomass,1,0,0,0,Productivity,,productivity,productivity
HabCreate,aboveground production,0,0,0,1,Productivity,,productivity,productivity
Pollination,abundance,0,1,0,0,service provider abundance,check this one,service provider abundance,service provider abundance
SoilProtect,abundance and body size of carabids,0,0,0,1,service provider abundance,,service provider abundance,service provider abundance
SoilProtect,abundance and body size of collembollans,0,0,0,1,service provider abundance,,service provider abundance,service provider abundance
SoilProtect,abundance and body size of dipterans,0,0,0,1,service provider abundance,,service provider abundance,service provider abundance
SoilProtect,abundance and body size of staphylinids,0,0,0,1,service provider abundance,,service provider abundance,service provider abundance
Pollination,Abundance and diversity of native bees,0,1,0,0,service provider abundance; service provider diversity/richness/composition,,service provider abundance; service provider species biodiversity,service provider species biodiversity
PestPath,abundance of beneficial fungi,1,0,0,0,service provider abundance,,service provider abundance,service provider abundance
SoilProtect,Abundance of detritivorous soil arthropods,1,0,0,0,service provider abundance,,service provider abundance,service provider abundance
PestPath,Abundance of fungal pathogen,1,0,0,0,pathogens/natural enemies,,pathogens/natural enemies,service provider abundance
MaintainOpts,abundance of native and non-native taxa,0,0,0,1,service provider abundance,,service provider abundance,service provider abundance
CulturePsych,Abundance of RDB or nationally scarce invertebrates,0,0,0,1,service provider abundance,,service provider abundance,service provider abundance
coastWQReg,abundance of zooplankton,0,0,0,1,service provider abundance,,service provider abundance,service provider abundance
CulturePsych,actual use),0,1,0,0,,no idea,,TEST_VALUE
CulturePsych,Aesthetic heritage,0,1,0,0,,new category,,characteristics of human population
CulturePsych,aesthetic value,0,4,0,0,,new category,,characteristics of human population
CulturePsych,Aesthetics,0,1,0,0,,new category,,characteristics of human population
ClimReg,AGB,0,1,0,0,,no idea,,productivity
Food,agricultural production,0,2,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
Food,Agricultural production,0,2,0,0,Exploitation/harvest,,exploitation/harvest,exploitation/harvest
