assess_date,newcase,doublerev,ResponseId,Init,Title,GenInfo,MultiScale,ScaleNotes,group,group_levels,interval_abbr,interval,count,nothing_entered,Connect,ConnectDist,KT4_scale,TimeTrends
2020-04-22,FALSE,FALSE,R_01WFDyowIJIdWZb,GV,A bottom-up approach to map land covers as potential green infrastructure hubs for human well-being in rural settings: A case study from Sweden,"Interviewed residents along urban/rural gradient for their value of ecosystem services from different landscapes, then mapped those land cover types.",No,"1 extent ~54000km2, 1km2 resolution for unknown number of cells",Plots,1,10km,1-10 km²,.50+,,No,,0,No
2020-04-22,FALSE,FALSE,R_01WFDyowIJIdWZb,GV,A bottom-up approach to map land covers as potential green infrastructure hubs for human well-being in rural settings: A case study from Sweden,"Interviewed residents along urban/rural gradient for their value of ecosystem services from different landscapes, then mapped those land cover types.",No,"1 extent ~54000km2, 1km2 resolution for unknown number of cells",Sites,1,100Mgm,"1,001-100,000 km²",.1-10,,No,,0,No
2020-04-22,FALSE,FALSE,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",,Yes,one large watershed (over 100km2) separated into 41 subwatersheds that on average were 2.4% of the area,Plots,1,10km,1-10 km²,.11-50,,No,,1,Yes
2020-04-22,FALSE,FALSE,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",,Yes,one large watershed (over 100km2) separated into 41 subwatersheds that on average were 2.4% of the area,Sites,1,1000km,"101-1,000 km²",.1-10,,No,,1,Yes
2020-04-22,FALSE,FALSE,R_2VF0XDe9qGZ1I8b,NBD,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,,No,"took records from 316 sites of 374 taxa, but no more specific than that",Sites,1,unk,Unclear or not specified,.26+,Plots,No,,0,Yes
2020-04-22,FALSE,FALSE,R_2dXPiR3XXdUjKSS,IS,A trait-based ecology of the Los Angeles urban forest,,No,600 ha = 6km2 of UCI campus; mostly did 5 trees per 24 species so if consider trees as plots perhaps 120 small plots,Plots,1,25m,1m² - 25m²,.50+,,No,,0,No
2020-04-22,FALSE,FALSE,R_2dXPiR3XXdUjKSS,IS,A trait-based ecology of the Los Angeles urban forest,,No,600 ha = 6km2 of UCI campus; mostly did 5 trees per 24 species so if consider trees as plots perhaps 120 small plots,Sites,1,10km,1-10 km²,.1-10,,No,,0,No
2020-04-22,FALSE,FALSE,R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,"With an aim to examine urban adult vector mosquitoes and green roofs, the study design incorporates three distinctively different types of urban environments as treatment and control sites—green roofs (GR), bare roofs as negative control sites (NC), and low-elevation green space as positive control (PC)",No,from table 1 in paper - **** delete the unclear or not specified and 1-10 km2***,Sites,1,100m,51m² - 100m²,.1-10,Plots,No,,0,Yes
2020-04-22,FALSE,FALSE,R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,"With an aim to examine urban adult vector mosquitoes and green roofs, the study design incorporates three distinctively different types of urban environments as treatment and control sites—green roofs (GR), bare roofs as negative control sites (NC), and low-elevation green space as positive control (PC)",No,from table 1 in paper - **** delete the unclear or not specified and 1-10 km2***,Sites,2,1km,501m² - 1km²,.1-10,Plots,No,,0,Yes
2020-04-22,FALSE,FALSE,R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,"With an aim to examine urban adult vector mosquitoes and green roofs, the study design incorporates three distinctively different types of urban environments as treatment and control sites—green roofs (GR), bare roofs as negative control sites (NC), and low-elevation green space as positive control (PC)",No,from table 1 in paper - **** delete the unclear or not specified and 1-10 km2***,Sites,3,10km,1-10 km²,.1-10,Plots,No,,0,Yes
2020-04-22,FALSE,FALSE,R_1f1PRfkfWgVyS6o,LD,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,"With an aim to examine urban adult vector mosquitoes and green roofs, the study design incorporates three distinctively different types of urban environments as treatment and control sites—green roofs (GR), bare roofs as negative control sites (NC), and low-elevation green space as positive control (PC)",No,from table 1 in paper - **** delete the unclear or not specified and 1-10 km2***,Sites,4,unk,Unclear or not specified,.1-10,Plots,No,,0,Yes
2020-04-22,FALSE,FALSE,R_3nkJM8cj2M1w727,SDJ,Accounting for residential propagule pressure improves prediction of urban plant invasion,county-wide parcel data used to determine housing density. observed p/a of Chinese pivet (invasive) at each location. the rest was calculation and mapping,No,"There were 58 triangles on the map (which I count as a site). At each site there was an ave of 5-6 plots (total of 400 plots) where observations were made. The minimum ""site"" size had to be 2 hectares to be included",Plots,1,100m,51m² - 100m²,.50+,,No,,0,No
2020-04-22,FALSE,FALSE,R_3nkJM8cj2M1w727,SDJ,Accounting for residential propagule pressure improves prediction of urban plant invasion,county-wide parcel data used to determine housing density. observed p/a of Chinese pivet (invasive) at each location. the rest was calculation and mapping,No,"There were 58 triangles on the map (which I count as a site). At each site there was an ave of 5-6 plots (total of 400 plots) where observations were made. The minimum ""site"" size had to be 2 hectares to be included",Sites,1,10km,1-10 km²,.26+,,No,,0,No
2020-04-22,FALSE,FALSE,R_3GlgVK62HgWbe1E,LD,Additive and interactive effects of pollination and biological pest control on crop yield,,No,"114 fields in 7 countries; The treatments consisted of fully crossed presence and absence of insecticides and mineral (inorganic) fertilisers, ran- domly assigned to four treatment plots of at least 12 9 14 m in size along one of the field edges and 10 m from the nearest field corner.",Plots,1,unk,Unclear or not specified,.50+,,No,,0,No
2020-04-22,FALSE,FALSE,R_3GlgVK62HgWbe1E,LD,Additive and interactive effects of pollination and biological pest control on crop yield,,No,"114 fields in 7 countries; The treatments consisted of fully crossed presence and absence of insecticides and mineral (inorganic) fertilisers, ran- domly assigned to four treatment plots of at least 12 9 14 m in size along one of the field edges and 10 m from the nearest field corner.",Sites,1,25m,1m² - 25m²,.26+,,No,,0,No
2020-04-22,FALSE,FALSE,R_2QgKnZOgVMTFZY0,AIS,"An agent-based approach to modeling impacts of agricultural policy on land use, biodiversity and ecosystem services",Agent-based model calibrated by observed data,No,"Hundreds to thousands of farms within a county (plots), 2 counties (sites)",Plots,1,unk,Unclear or not specified,.50+,,Yes,Unclear or not specified,1,Yes
2020-04-22,FALSE,FALSE,R_2QgKnZOgVMTFZY0,AIS,"An agent-based approach to modeling impacts of agricultural policy on land use, biodiversity and ecosystem services",Agent-based model calibrated by observed data,No,"Hundreds to thousands of farms within a county (plots), 2 counties (sites)",Sites,1,unk,Unclear or not specified,.1-10,,Yes,Unclear or not specified,1,Yes
2020-04-22,FALSE,TRUE,R_1ladgh3xH5R1Vb7,AK,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",,No,Wasn't sure how to answer this one. They modeled changes in a system based on four scenarios,Sites,1,unk,Unclear or not specified,.1-10,Plots,No,,0,No
2020-04-22,FALSE,TRUE,R_bBnxY9Kv0gtT7vX,GV,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Australia. Terrestrial catchment land use and effect on Great Barrier Reef. Produced hypothetical land use scenarios and looked at outcomes/tradeoffs for services.,No,"1 spatial extent, unclear pixel size within.",Sites,1,1000km,"101-1,000 km²",.1-10,Plots,No,,0,No
2020-04-22,FALSE,FALSE,R_1QKHR4HpJC1dcaR,JL,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,,No,Orangutans were followed within a single 500km2 site (no discrete sampling plots),Sites,1,1000km,"101-1,000 km²",.1-10,Plots,No,,0,Yes
