assess_date,doublerev,ResponseId,Init,Title,id,answer,abbr,exclude,FirstAuthor,PublicationYear,SourcePublication,Abstract
2020-05-27,FALSE,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",Q4,"Terrestrial,Freshwater,Other",Ecosystem,Keep,Mwangi,2015,JOURNAL OF SOIL AND WATER CONSERVATION,"Degradation of agricultural watersheds often reduces their capacity to provide ecosystem services such as sediment retention, flow regulation, and water quality improvement. Soil and water conservation practices can be used to enhance the capacity of watersheds to produce these services. The objective of this study was to evaluate the impact of agricultural conservation practices on water and sediment yield using the Soil and Water Assessment Tool (SWAT) model. The study area was Sasumua Watershed (107 km(2) [43 mi(2)]), where land degradation has affected watershed's capacity to regulate flow and maintain water quality. The model was calibrated and validated for streamflow at the watershed outlet. Data on annual average erosion rates for the area was used to constrain soil erodibility factor (KUSLE) and practice erodibility factor (PUSLE) parameters during sediment calibration while measured three month sediment concentration data was used for validation. Model performance was assessed using the coefficient of determination (r(2)), Nash-Sutcliffe efficiency coefficient (ENS) and percent bias (PBIAS). Results gave monthly streamflow r(2) values of 0.80 and 0.85, ENS values of 0.74 and 0.81, and PBIAS values of +/- 5% and +/- 6% during the calibration and validation. The model also satisfactorily simulated daily sediment concentrations with an r(2) value of 0.54. However, ENS and PBIAS values were low, which was attributed to the short duration of measurement. The validated model was used to simulate sediment yield for the period 1970 to 2010. Mean annual watershed sediment yield was 40,934 t y(-1) (9 0,243,096 lb yr(-1)). The impacts of filter strips, contour farming, parallel terraces, grassed waterways, and their combinations on water and sediment yield were simulated by adjusting relevant model parameters. The effectiveness of filter strips increased nonlinearly with width being optimum at 30 m (98.4 ft). A combination of 30 m (98.4 ft) wide filter strips and grassed waterways reduced sediment yield by 80%; parallel terraces, 10 m (32.8 ft) filter strips, and grassed waterways reduced sediment yield by 75%; 10 m (32.8 ft) filter strips and grassed waterways reduced yield by 73%; contour farming and grassed waterways reduced yield by 66%; and grassed waterways reduced yield by only 54%. Parallel terraces reduced surface runoff by 20% and increased base flow by 12%, while contour farming reduced surface runoff by 12% and increased base flow by 6.5%. Implementation of conservation practices can reduce sediment yield and increase water yield marginally. The results give an insight into the implications of the present land use management practices and can be used to devise ecologically sound watershed management and development plans."
2020-05-27,FALSE,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",Q4_7_TEXT,"specifically, streamflow within a watershed",EcosystemNotes,Keep,Mwangi,2015,JOURNAL OF SOIL AND WATER CONSERVATION,"Degradation of agricultural watersheds often reduces their capacity to provide ecosystem services such as sediment retention, flow regulation, and water quality improvement. Soil and water conservation practices can be used to enhance the capacity of watersheds to produce these services. The objective of this study was to evaluate the impact of agricultural conservation practices on water and sediment yield using the Soil and Water Assessment Tool (SWAT) model. The study area was Sasumua Watershed (107 km(2) [43 mi(2)]), where land degradation has affected watershed's capacity to regulate flow and maintain water quality. The model was calibrated and validated for streamflow at the watershed outlet. Data on annual average erosion rates for the area was used to constrain soil erodibility factor (KUSLE) and practice erodibility factor (PUSLE) parameters during sediment calibration while measured three month sediment concentration data was used for validation. Model performance was assessed using the coefficient of determination (r(2)), Nash-Sutcliffe efficiency coefficient (ENS) and percent bias (PBIAS). Results gave monthly streamflow r(2) values of 0.80 and 0.85, ENS values of 0.74 and 0.81, and PBIAS values of +/- 5% and +/- 6% during the calibration and validation. The model also satisfactorily simulated daily sediment concentrations with an r(2) value of 0.54. However, ENS and PBIAS values were low, which was attributed to the short duration of measurement. The validated model was used to simulate sediment yield for the period 1970 to 2010. Mean annual watershed sediment yield was 40,934 t y(-1) (9 0,243,096 lb yr(-1)). The impacts of filter strips, contour farming, parallel terraces, grassed waterways, and their combinations on water and sediment yield were simulated by adjusting relevant model parameters. The effectiveness of filter strips increased nonlinearly with width being optimum at 30 m (98.4 ft). A combination of 30 m (98.4 ft) wide filter strips and grassed waterways reduced sediment yield by 80%; parallel terraces, 10 m (32.8 ft) filter strips, and grassed waterways reduced sediment yield by 75%; 10 m (32.8 ft) filter strips and grassed waterways reduced yield by 73%; contour farming and grassed waterways reduced yield by 66%; and grassed waterways reduced yield by only 54%. Parallel terraces reduced surface runoff by 20% and increased base flow by 12%, while contour farming reduced surface runoff by 12% and increased base flow by 6.5%. Implementation of conservation practices can reduce sediment yield and increase water yield marginally. The results give an insight into the implications of the present land use management practices and can be used to devise ecologically sound watershed management and development plans."
2020-05-27,FALSE,R_2VF0XDe9qGZ1I8b,NBD,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Q4,Coastal,Ecosystem,Keep,Carturan,2018,ECOSPHERE,"Climate change and other anthropogenic disturbances are having dramatic impacts on tropical coral reefs and the ecosystem services they provide. Anticipating change in ecosystem services is a pressing challenge that requires understanding how species respond to an environmental change, and how they contribute to ecosystem services. Building on analogous efforts by plant ecologists, we propose a trait-based framework that aims to predict the resistance and recovery of coral ecosystem services against both pulse and press disturbances. The framework involves identifying effect, resistance, and recovery traits across coral species and using these to ascertain how species might (1) contribute to a service, (2) resist disturbance, and (3) recover after the disturbance. By identifying trait functional overlaps and quantifying correlations among the trait types, the framework can yield a better understanding of the potential mechanistic links between community assembly, ecosystem dynamics, and ecosystem functioning. We demonstrate the utility of the framework by applying it to a virtual scenario, implemented via simulation, in which habitat provisioning is the focal ecosystem service, and cyclones and bleaching events are the disturbances of interest. This demonstration required us to assemble an extensive dataset of relevant traits-a process that revealed key gaps in the coral trait database and in our understanding of coral functional ecology. The framework can provide predictive power for the resilience of ecosystem services and can also help identify crucial knowledge gaps, research objectives, and strategies for applying a trait-based approach to advancing coral reef science and conservation."
2020-05-27,TRUE,R_1ladgh3xH5R1Vb7,AK,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Q4,Coastal,Ecosystem,Keep,Butler,2013,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,"The Great Barrier Reef (GBR), Australia, is threatened by declining water quality largely derived from agricultural run-off. Water quality planning aims to mitigate pollutant run-off through land management, including riparian and wetland restoration, but no tools exist to assess trade-offs in land use change across the catchment-to-reef continuum. We adapted the Millennium Ecosystem Assessment framework in the GBR's Tully-Murray catchment to identify trade-offs between linked ecosystem services and stakeholders. Applying four land use scenarios we assessed outcomes for the ecosystem service of water quality regulation, and trade-offs with six floodplain services and four GBR services. Based on statistical correlations between ecosystem services' status under the scenarios, we identified trade-offs and thresholds between services and associated stakeholders. The most direct trade-off in floodplain services (and primary stakeholders) was food and fibre production (farmers) versus water quality regulation (community, GBR tourists, tour operators and fishermen). There were synergies between water quality regulation (community, GBR tourists, tour operators and fishermen) and floodplain recreational and commercial fisheries (fishermen). Scale mis-matches between water quality management structures and ecosystem service flows were also evident. We discuss the strengths and weaknesses of this ecosystem services approach, and its potential application in the GBR and other catchment-to-reef social-ecological systems. (C) 2011 Elsevier B.V. All rights reserved."
2020-05-27,TRUE,R_bBnxY9Kv0gtT7vX,GV,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Q4,"Terrestrial,Coastal",Ecosystem,Keep,Butler,2013,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,"The Great Barrier Reef (GBR), Australia, is threatened by declining water quality largely derived from agricultural run-off. Water quality planning aims to mitigate pollutant run-off through land management, including riparian and wetland restoration, but no tools exist to assess trade-offs in land use change across the catchment-to-reef continuum. We adapted the Millennium Ecosystem Assessment framework in the GBR's Tully-Murray catchment to identify trade-offs between linked ecosystem services and stakeholders. Applying four land use scenarios we assessed outcomes for the ecosystem service of water quality regulation, and trade-offs with six floodplain services and four GBR services. Based on statistical correlations between ecosystem services' status under the scenarios, we identified trade-offs and thresholds between services and associated stakeholders. The most direct trade-off in floodplain services (and primary stakeholders) was food and fibre production (farmers) versus water quality regulation (community, GBR tourists, tour operators and fishermen). There were synergies between water quality regulation (community, GBR tourists, tour operators and fishermen) and floodplain recreational and commercial fisheries (fishermen). Scale mis-matches between water quality management structures and ecosystem service flows were also evident. We discuss the strengths and weaknesses of this ecosystem services approach, and its potential application in the GBR and other catchment-to-reef social-ecological systems. (C) 2011 Elsevier B.V. All rights reserved."
2020-05-27,FALSE,R_20Mf8RGMTVC488G,LB,An integrated ecosystem service assessment in an artificial desert oasis of northwestern China,Q4,Terrestrial,Ecosystem,Keep,Liang,2017,JOURNAL OF LAND USE SCIENCE,"Spatially explicit integrated assessment of ecosystem services is a new and important research field in landscape ecology. The objective of this paper was to develop an integrated process-based modeling method to simulate changes in multiple ecosystem services in 2000-2009 at pixel and regional scales in the Zhangye oasis of northwestern China. Six ecosystem service indicators were selected and quantified using process-based models, including net primary production (NPP), grain production, net oxygen production (NOP), carbon sequestration (CS), water conservation, and soil conservation. Analytical results were as follows: (1) At the oasis scale, NPP, NOP, CS, water conservation, and soil conservation decreased from 2000 to 2009, whereas grain production increased. (2) At the pixel scale, the spatial changes in NPP were similar to those in NOP and CS, but changes in grain production showed the opposite pattern. Water conservation and soil conservation showed somewhat unintuitive spatial patterns. (3) The impact of land-use forms on ecosystem services showed that grazing and township construction both had negative impacts on all services, but that nature conservation and wetland development had positive impacts on all services. This research showed that the integrated modeling can be proposed as an environmental decision-making tool in similar case studies."
2020-05-27,TRUE,R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q4,Terrestrial,Ecosystem,Keep,Hernandez,2013,JOURNAL OF SOIL AND WATER CONSERVATION,"Rangelands comprise a large portion of the western United States. They are important for providing ecosystem services such as sources of clean water and air, wildlife habitat, ecosystem biodiversity, recreation, and aesthetics. The National Resources Inventory (NRI) is a primary data source for ongoing assessment of nonfederal land in the United States, including rangelands, and the data collected during an NRI assessment is typical of rangeland monitoring conducted by managers. This study outlines a methodology for using that type of monitoring data to run a rangeland hydrology and erosion model in order to estimate the relative soil erosion rates across ecosystems located in the American Southwest. The model was run on 134 NRI rangeland field locations with data collected between 2003 and 2006 in Major Land Resource Area 41, the Southeastern Arizona Basin and Range, which is a diverse ecological area of 40,765 km(2) (15, 739 mi(2)) in the transition zone between the Sonoran and Chihuahuan deserts. Results of the study showed that the data collected was adequate to run the model and effectively assess the influence of foliar cover, ground cover, plant life forms, soils, and topography on current soil erosion rates. Results suggested that the model could be further improved with additional measured experimental data on infiltration, runoff, and soil erosion within key ecological sites in order to better quantify model parameters to reflect ecosystem changes and risk of crossing interdependent biotic and abiotic thresholds."
2020-05-27,TRUE,R_3NOqt0x8UAoNFs0,TK,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Q4,Terrestrial,Ecosystem,Keep,Hernandez,2013,JOURNAL OF SOIL AND WATER CONSERVATION,"Rangelands comprise a large portion of the western United States. They are important for providing ecosystem services such as sources of clean water and air, wildlife habitat, ecosystem biodiversity, recreation, and aesthetics. The National Resources Inventory (NRI) is a primary data source for ongoing assessment of nonfederal land in the United States, including rangelands, and the data collected during an NRI assessment is typical of rangeland monitoring conducted by managers. This study outlines a methodology for using that type of monitoring data to run a rangeland hydrology and erosion model in order to estimate the relative soil erosion rates across ecosystems located in the American Southwest. The model was run on 134 NRI rangeland field locations with data collected between 2003 and 2006 in Major Land Resource Area 41, the Southeastern Arizona Basin and Range, which is a diverse ecological area of 40,765 km(2) (15, 739 mi(2)) in the transition zone between the Sonoran and Chihuahuan deserts. Results of the study showed that the data collected was adequate to run the model and effectively assess the influence of foliar cover, ground cover, plant life forms, soils, and topography on current soil erosion rates. Results suggested that the model could be further improved with additional measured experimental data on infiltration, runoff, and soil erosion within key ecological sites in order to better quantify model parameters to reflect ecosystem changes and risk of crossing interdependent biotic and abiotic thresholds."
2020-05-27,TRUE,R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q4,Terrestrial,Ecosystem,Keep,Han,2017,TROPICAL ECOLOGY,"Spatial explicit information related to ecosystem services is key in decisionmaking for attainment of sustainable development. Ecosystems in the Karst mountainous region of the southwest China subtropical zone contribute a substantial number of products and services. Based on the Integrated Valuation of Ecosystem Services and Tradeoffs (InVEST) model, multiple ecosystem services including water supply, sediment retention, carbon storage and habitat quality in the Guizhou Province of southwest China were assessed and mapped at the watershed scale in this study. The correlation among multiple ecosystem services was investigated and effects of the ecological condition and human pressure on ecosystem services explored. Results indicated obvious spatial heterogeneity in multiple ecosystem services and ecosystem services bundling; 51.09% of the area was designated at a moderate-level for ""hotspot"" (high ecosystem services provision) area. Tradeoffs existed between water supply and sediment retention and also between carbon storage and sediment retention. The spatial pattern of water supply in Guizhou was heavily affected by precipitation, evaporation and root depth associated with each land use type, while the rainfall erosivity, topography, cover-management factor and support practice associated with land use types played important roles in spatial distribution of sediment retention. The area and proportion of forestland were considered to be dominant factors affecting carbon storage. Habitat suitability of natural land use and the weight and effect distance of human land use were key driving factors affecting the habitat quality score and its spatial pattern. A weak negative correlation was demonstrated between human pressure indicators including the urbanization rate, GDP per person and population density and ecosystem services."
2020-05-27,TRUE,R_3j225vqUy2ndtL0,TK,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Q4,Terrestrial,Ecosystem,Keep,Han,2017,TROPICAL ECOLOGY,"Spatial explicit information related to ecosystem services is key in decisionmaking for attainment of sustainable development. Ecosystems in the Karst mountainous region of the southwest China subtropical zone contribute a substantial number of products and services. Based on the Integrated Valuation of Ecosystem Services and Tradeoffs (InVEST) model, multiple ecosystem services including water supply, sediment retention, carbon storage and habitat quality in the Guizhou Province of southwest China were assessed and mapped at the watershed scale in this study. The correlation among multiple ecosystem services was investigated and effects of the ecological condition and human pressure on ecosystem services explored. Results indicated obvious spatial heterogeneity in multiple ecosystem services and ecosystem services bundling; 51.09% of the area was designated at a moderate-level for ""hotspot"" (high ecosystem services provision) area. Tradeoffs existed between water supply and sediment retention and also between carbon storage and sediment retention. The spatial pattern of water supply in Guizhou was heavily affected by precipitation, evaporation and root depth associated with each land use type, while the rainfall erosivity, topography, cover-management factor and support practice associated with land use types played important roles in spatial distribution of sediment retention. The area and proportion of forestland were considered to be dominant factors affecting carbon storage. Habitat suitability of natural land use and the weight and effect distance of human land use were key driving factors affecting the habitat quality score and its spatial pattern. A weak negative correlation was demonstrated between human pressure indicators including the urbanization rate, GDP per person and population density and ecosystem services."
2020-05-27,FALSE,R_5nnUwLi2HNd4sQp,AIS,Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Q4,"Terrestrial,Agricultural/Rural,Coastal",Ecosystem,Keep,Crouzat,2015,JOURNAL OF APPLIED ECOLOGY,"Assessments of ecosystem services (ES) and biodiversity (hereafter ecological parameters) provide a comprehensive view of the links between landscapes, ecosystem functioning and human well-being. The investigation of consistent associations between ecological parameters, called bundles, and of their links to landscape composition and structure is essential to inform management and policy, yet it is still in its infancy. We mapped over the French Alps an unprecedented array of 18 ecological parameters (16 ES and two biodiversity parameters) and explored their co-occurrence patterns underpinning the supply of multiple ecosystem services in landscapes. We followed a three-step analytical framework to i) detect the ES and biodiversity associations relevant at regional scale, ii) identify the clusters supplying consistent bundles of ES at subregional scale and iii) explore the links between landscape heterogeneity and ecological parameter associations at landscape scale. We used successive correlation coefficients, overlap values and self-organizing maps to characterize ecological bundles specific to given land cover types and geographical areas of varying biophysical characteristics and human uses at nested scales from regional to local. The joint analysis of land cover richness and ES gamma diversity demonstrated that local landscape heterogeneity alone did not imply compatibility across multiple ecosystem services, as some homogeneous landscape could supply multiple ecosystem services.Synthesis and applications. Bundles of ecosystem services and biodiversity parameters are shaped by the joint effects of biophysical characteristics and of human history. Due to spatial congruence and to underlying functional interdependencies, ecological parameters should be managed as bundles even when management targets specific objectives. Moreover, depending on the abiotic context, the supply of multiple ecosystem services can arise either from deliberate management in homogeneous landscapes or from spatial heterogeneity. Bundles of ecosystem services and biodiversity parameters are shaped by the joint effects of biophysical characteristics and of human history. Due to spatial congruence and to underlying functional interdependencies, ecological parameters should be managed as bundles even when management targets specific objectives. Moreover, depending on the abiotic context, the supply of multiple ecosystem services can arise either from deliberate management in homogeneous landscapes or from spatial heterogeneity."
2020-05-27,FALSE,R_2areXsS3KF89rBI,NBD,Assessing Resilience in Stressed Watersheds,Q4,Freshwater,Ecosystem,Keep,Nemec,2014,ECOLOGY AND SOCIETY,"Although several frameworks for assessing the resilience of social-ecological systems (SESs) have been developed, some practitioners may not have sufficient time and information to conduct extensive resilience assessments. We have presented a simplified approach to resilience assessment that reviews the scientific, historical, and social literature to rate the resilience of an SES with respect to nine resilience properties: ecological variability, diversity, modularity, acknowledgement of slow variables, tight feedbacks, social capital, innovation, overlap in governance, and ecosystem services. We evaluated the effects of two large-scale projects, the construction of a major dam and the implementation of an ecosystem recovery program, on the resilience of the central Platte River SES (Nebraska, United States). We used this case study to identify the strengths and weaknesses of applying a simplified approach to resilience assessment. Although social resilience has increased steadily since the predam period for the central Platte River SES, ecological resilience was greatly reduced in the postdam period as compared to the predam and ecosystem recovery program time periods."
