Round2_reviewer,Round1_reviewer,Round1_comments,FirstAuthor,AuthorsFull,Title,SourcePublication,PublicationYear,Abstract
Kathryn,Aislyn,,Aguado,"Aguado, Mateo; Gonzalez, Jose A.; Bellott, Kr'sna; Lopez-Santiago, Cesar; Montes, Carlos",Exploring subjective well-being and ecosystem services perception along a rural-urban gradient in the high Andes of Ecuador,ECOSYSTEM SERVICES,2018,"Understanding sociocultural perceptions about human-nature relationships is essential to promote collective responses for sustainable ecosystem management. This study explores the sociocultural factors that influence subjective well-being (measured by life satisfaction) and how ecosystem services are perceived in an area inhabited by the Kichwa people, for whom the ancient notion of Good Living (Sumak Kawsay) is active. We carried out 482 surveys in five villages along a rural-urban gradient in the province of Imbabura (Ecuador). Rural and urban people differed in their subjective valuations of well-being components and the sociocultural factors that most influence life satisfaction. We also detected changes along the rural-urban gradient regarding how these sociocultural and subjective well-being factors explain the degree of importance that local people attribute to different ecosystems services provided by high Andean ecosystems. Formal education, the perception of local ecological knowledge, and the use of the Kichwa language were identified as important sociocultural factors that explain the observed differences. Finally, we discuss the risks of the ongoing expansion of urban lifestyles for the conservation of Andean social-ecological systems, highlighting the importance of maintaining traditional practices and beliefs associated with the Kichwa culture."
Kathryn,Aislyn,,Cameron,"Cameron, Clint; Hutley, Lindsay B.; Friess, Daniel A.; Brown, Benjamin","Community structure dynamics and carbon stock change of rehabilitated mangrove forests in Sulawesi, Indonesia",ECOLOGICAL APPLICATIONS,2019,"To date, discourse associated with the potential application of ""blue carbon"" within real-world carbon markets has focused on blue carbon as a mitigation strategy in the context of avoided deforestation (e.g., REDD+). Here, we report structural dynamics and carbon storage gains from mangrove sites that have undergone rehabilitation to ascertain whether reforestation can complement conservation activities and warrant project investment. Replicated sites at two locations with contrasting geomorphic conditions were selected, Tiwoho and Tanakeke on the island of Sulawesi, Indonesia. These locations are representative of high (Tiwoho, deep muds and silty substrates) and low (Tanakeke, shallow, coralline sands) productivity mangrove ecosystems. They share a similar management history of clearing and conversion for aquaculture before restorative activities were undertaken using the practice of Ecological Mangrove Rehabilitation (EMR). Species diversity and mean biomass carbon storage gains after 10 yr of regrowth from the high productivity sites of Tiwoho (49.2 +/- 9.1 Mg C center dot ha(-1)center dot yr(-1)) are already almost of one-third of mean biomass stocks exhibited by mature forests (167.8 +/- 30.3 Mg C center dot ha(-1)center dot yr(-1)). Tiwoho's EMR sites, on average, will have offset all biomass C that was initially lost through conversion within the next 11 yr, a finding in marked contrast to the minimal carbon gains observed on the low productivity, low diversity, coral atoll EMR sites of Tanakeke (1.1 +/- 0.4 Mg C center dot ha(-1)center dot yr(-1)). These findings highlight the importance of geomorphic and biophysical site selection if the primary purpose of EMR is intended to maximize carbon sequestration gains."
Kathryn,Sierra,biocrust growth on two different substrates (kind of like abundance measurement),de Carvalho,"de Carvalho, Ricardo Cruz; dos Santos, Patricia; Branquinho, Cristina",Production of moss-dominated biocrusts to enhance the stability and function of the margins of artificial water bodies,RESTORATION ECOLOGY,2018,"Margins of water reservoirs associated with dams can have high-frequency tides, promoting soil erosion and nutrient leaching. We propose the use of biocrusts for restoration and ecological engineering purposes, due to their poikilohydric character, to stabilize reservoir margins. We promoted biocrust growth under controlled conditions, testing two types of substrate: native sand and organic substrate. After 2 months, biocrusts grew on organic substrate covering almost all the area, but not on native sand. This fast and easy nature-based solution for soil stabilization can be used as an environmental engineering tool in highly degraded sites."
Kathryn,Laura/Caitlin,,Garratt,"Garratt, Michael P. D.; Senapathi, Deepa; Coston, Duncan J.; Mortimer, Simon R.; Potts, Simon G.",The benefits of hedgerows for pollinators and natural enemies depends on hedge quality and landscape context,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,"Ecological intensification advocates the harnessing of regulating and supporting ecosystem services to promote more sustainable food production, and this relies on effective management of non-cropped habitats. Hedgerows are an important component of the landscape in many farming systems across the world, management of which provides a potential mechanism to enhance ecological intensification. Here we investigate the value of hedgerows in Southern England as a source of functionally important taxa, and how hedgerow quality and local landscape composition impact on their potential contribution to sustainable agriculture in arable landscapes. We show that hedgerows are a source habitat for many natural enemies which spill over into neighbouring fields, and that hedgerows provide a valuable forage resource and corridor for movement of pollinators. Hedgerow quality affects these benefits and continuous unbroken hedgerows, with a high diversity of woody species, are more valuable for the provision of bumblebees and Linyphiid spiders, while the presence of trees within the hedgerow supports Lycosid spiders. Floral resources, beyond the woody hedgerow species themselves, are also a key forage resource for hoverflies. The impact of these hedgerows on invertebrate abundance is moderated by local landscape, and hedgerows are a more valuable forage resource for pollinators in more intensely managed landscapes. Our study shows that in order to support abundant and a broad range of natural enemies and pollinators in agricultural landscapes, both hedgerows and local semi-natural habitats need to be protected and managed. The benefit of hedgerows, as a habitat for functionally important taxa depends on hedgerow quality and management practices such as avoiding gaps, high hedge species diversity and maintaining an abundant understory of plants, can improve their value for ecological intensification."
Kathryn,Laurel,,Hastwell,"Hastwell, Graeme T.; Morris, E. Charles",Structural features of fragmented woodland communities affect leaf litter decomposition rates,BASIC AND APPLIED ECOLOGY,2013,"Disruption to the physical structure of plant communities by habitat fragmentation can change microclimates, so leaf litter decomposition rates, being dependent on temperature and moisture, may also be affected. Similarly, smaller-scale structural features of plant communities can modify microclimates, and so may produce distinctive spatial patterns in decomposition rates. We investigated the effects of three types of structural feature having the potential to alter litter layer microclimates: fragmentation-induced modification that diminishes with distance from remnant edges (edge-core); concentric zones of locally modified conditions imposed by individual trees (Belsky-Canham); and highly localised abiotic modification collectively imposed by herbaceous plants (ground cover). We conducted a litter bag experiment in woodland remnants, testing whether the observed spatial variability in litter decomposition was attributable to one or more of these three structural features. The data provided the strongest support for the Belsky-Canham hypothesis, and the least support for the ground cover hypothesis. However, the hypotheses were not mutually exclusive, for each explained a component of the observed variability not explained by either of the other two. Proximity to remnant edge, proximity to trees, canopy light penetration, and ground cover density each explained part of the observed variability between plots. Decomposition rates did not differ with remnant area per se, for the effects of fragmentation were weak, and differed with cardinal direction. In contrast, the effects of individual trees were much stronger, and accounted for most of the between-plot variability. We found that litter decomposition rates in small remnants are only weakly affected by fragmentation, and we consider that the contributions of small remnants to landscape-scale functioning warrant closer attention."
Kathryn,Laura/Caitlin,CTW re-evaluated article for Q8; LD: measures biomass as a function but links to services are less clear.,Jacob,"Jacob, Aerin L.; Lechowicz, Martin J.; Chapman, Colin A.",Non-native fruit trees facilitate colonization of native forest on abandoned farmland,RESTORATION ECOLOGY,2017,"Ecological restoration of abandoned, formerly forested farmland can improve the delivery of ecosystem services and benefit biodiversity conservation. Restoration programs can involve removing isolated, non-native trees planted by farmers for fruit or wood. As such legacy trees can attract seed dispersers and create microclimates that help native seedlings to establish, removing them may actually slow forest recovery. Working on abandoned farmland in Kibale National Park, Uganda, we evaluated the effect of legacy trees on forest recovery by measuring the number, diversity, and biomass of native seedlings and saplings regenerating in plots centered on avocado (Persea americana), mango (Mangifera indica), and Eucalyptus legacy trees compared with adjacent plots without legacy trees. The assemblages of native, forest-dependent tree species in plots around avocado and mango trees were distinct from each other and from those around eucalyptus and all the near-legacy plots. In particular, avocado plots had higher stem density and species richness of forest-dependent species than near-avocado plots, particularly large-seeded, shade-tolerant, and animal-dispersed species-key targets of many restoration plans. Furthermore, many of the species found in high numbers were among those failing to establish in ongoing large-scale forest restoration in Kibale. Taken together, our results demonstrate that the legacy trees facilitate the dispersal and establishment of native tree species. Retaining the existing legacy trees for a number of years could usefully complement existing management strategies to restore more biodiverse native forest in degraded lands. However, careful monitoring is needed to ensure that the legacy trees do not themselves establish."
Kathryn,Sierra,,Jones,"Jones, Faith A. M.; Magurran, Anne E.",Dominance structure of assemblages is regulated over a period of rapid environmental change,BIOLOGY LETTERS,2018,"Ecological assemblages are inherently uneven, with numerically dominant species contributing disproportionately to ecosystem services. Marked biodiversity change due to growing pressures on the world's ecosystems is now well documented. However, the hypothesis that dominant species are becoming relatively more abundant has not been tested. We examined the prediction that the dominance structure of contemporary communities is shifting, using a meta-analysis of 110 assemblage timeseries. Changes in relative and absolute dominance were evaluated with mixed and cyclic-shift permutation models. Our analysis uncovered no evidence of a systematic change in either form of dominance, but established that relative dominance is preserved even when assemblage size (total N) changes. This suggests that dominance structure is regulated alongside richness and assemblage size, and highlights the importance of investigating multiple components of assemblage diversity when evaluating ecosystem responses to environmental drivers."
Kathryn,Aislyn,,Luz Caleno-Ruiz,"Luz Caleno-Ruiz, Blanca; Rodriguez-Eraso, Nelly; Lopez-Camacho, Rene",Understanding the nursery habitat and provision service of a NTFP in a Colombian oak forest: A case of a nomadic vine,GLOBAL ECOLOGY AND CONSERVATION,2018,"The conservation of ecosystems and associated services depends on an understanding of the ecological process. Research has centered on regulation services with little research in support services such as nursery habitat and provisioning of non-timber forest products (NTFP). We evaluate structural characteristics of 210 trees of ten species of ecological importance from a Colombian oak forest and their relation to Philodendron longirrhizum (Araceae) and its production of aerial roots to obtain fibers. This species was present in the majority of forest tree species, the structural characteristics of the trees were not distinguished between hosts and non-hosts and the rugosity of the bark and diameter of the trunk of the host species influenced the number of total and harvestable roots. The nursery habitat offered by the oak forest results from the mechanism that P. longirrhizum uses to climb over a wide variety of hosts, and the provisioning service is fostered by larger host trees that favor the production of roots. For the management of P. longirrhizum we suggest the establishment of individuals over the majority of trees if the aim is the enrichment and the establishment of individuals on larger trees if the aim is to increase the production of fiber. (C) 2018 The Authors. Published by Elsevier B.V."
Kathryn,Laura/Caitlin,,Masselink,"Masselink, Gerd; Hanley, Mick E.; Halwyn, Anissa C.; Blake, Will; Kingston, Ken; Newton, Thomas; Williams, Mike","Evaluation of salt marsh restoration by means of self-regulating tidal gate - Avon estuary, South Devon, UK",ECOLOGICAL ENGINEERING,2017,"Salt marshes provide important regulating ecosystem services, including natural flood defence and carbon sequestration, which adds value to restoration and biodiversity offsetting schemes. This study evaluates the success of salt marsh restoration using a Regulated Tidal Exchange (RTE) system in SW England, i.e., a self-regulating tidal gate (SRT), in controlling the partial saline inundation of a 14-ha area of former salt marsh reclaimed for agriculture in 1760. A combination of (a) direct hydrodynamic monitoring of water and sediment flux and (b) repeat surveys to evaluate morphological and ecological (plants and foraminifera) changes over a 5-year period, was implemented immediately following SRT commissioning. Morphological changes were limited to the proximity of the SRT system due to limited sediment influx yielding sedimentation rates that were an order of magnitude below a nearby natural marsh. Ecological change to an ephemeral salt marsh community was only detected after 5 years of inundation cycles, with the delayed response attributed to (a) an initial limited tidal inundation due to conservative SRT settings, followed by (b) excessive inundation due to excessive rainfall and recurring SRT failure in an open position, and (c) a lack of sediment and propagule supply caused by (a) & (b) and the relatively narrow inlet pipe used in the SRT system. While the ecological response under optimum SRT settings was encouraging, the lack of perennial plants and limited foraminifera abundance demonstrated that the marsh was far from reaching natural status. We surmise that this is primarily due to inundation being more rapid than drainage leading to excessive submergence during a tidal cycle. Our study shows that the design of tidal inundation schemes requires a synergistic understanding of core ecological and geomorphological approaches to assess viability and success. We conclude that SRT can be a useful technique for intertidal habitat creation where there are significant site constraints (especially flood risk), but we need to be realistic in our expectations of what it can achieve in terms of delivering a perennial salt marsh community. Crown Copyright (C) 2017 Published by Elsevier B.V. All rights reserved."
Kathryn,Julie,Soil ES responses to land management practices,Ndou,"Ndou, Esther; Ruwanza, Sheunesu",Soil and vegetation recovery following alien tree clearing in the Eastern Cape Province of South Africa,AFRICAN JOURNAL OF ECOLOGY,2016,"The impact of alien tree clearing on soil and vegetation recovery remains largely understudied. This study focused on changes in soil and vegetation properties following Acacia removal. The aim was to quantify the long-term consequences of alien clearing. Paired cleared (old 15 years; medium - 11 years; recent - 6 years) and uncleared sites were selected along the Palmiet catchment in Eastern Cape Province, South Africa. Various soil physico- chemical properties (soil moisture, pH, P, N, C, K, Na, Ca, Mg and soil repellency) and vegetation diversity measures were studied on 10 m 9 10 m plots. Results indicate that measured soil nutrients are significantly (P < 0.05) lower in cleared than in uncleared sites. However, comparisons among cleared sites alone indicate that soil properties are recovering with older cleared sites having higher (P < 0.05) nutrients than recent cleared sites. Soils in uncleared sites are more repellent than soil in cleared sites. Vegetation recovery in cleared sites was taking place with older cleared sites having higher native species diversity than recently cleared site. We conclude that the removal of alien plants could have caused a reduction in soil nutrients. However, as native vegetation recovers on cleared sites, soil nutrients are gradually improving."
