Round2_reviewer1,Round2_reviewer2,FirstAuthor,Title,SourcePublication,PublicationYear,CKreviewed,ISreviewed
Claire,Isabel,Aristizabal,Landscape structure regulates pest control provided by ants in sun coffee farms,JOURNAL OF APPLIED ECOLOGY,2019,TRUE,FALSE
Claire,Isabel,Chowdhury,"Ecosystem engineering by mussels supports biodiversity and water clarity in a heavily polluted lake in Dhaka, Bangladesh",FRESHWATER SCIENCE,2016,FALSE,FALSE
Claire,Isabel,Gray,Do riparian reserves support dung beetle biodiversity and ecosystem services in oil palm- dominated tropical landscapes?,ECOLOGY AND EVOLUTION,2014,FALSE,FALSE
Claire,Isabel,Hoehn,Functional group diversity of bee pollinators increases crop yield,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2008,FALSE,FALSE
Claire,Isabel,Marcilio-Silva,Land-use trade-offs between tree biodiversity and crop production in the Atlantic Forest,CONSERVATION BIOLOGY,2018,FALSE,FALSE
Claire,Isabel,Meacham,Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?,ECOLOGY AND SOCIETY,2016,FALSE,FALSE
Claire,Isabel,Powers,Ecosystem services are lost when facilitation between two ecosystem engineers is compromised by oil,MARINE ECOLOGY PROGRESS SERIES,2017,FALSE,FALSE
Claire,Isabel,Rau,Temporal Dynamics of Ecosystem Services,ECOLOGICAL ECONOMICS,2018,FALSE,FALSE
Claire,Isabel,Sherren,Lessons from visualising the landscape and habitat implications of tree decline-and its remediation through tree planting-in Australia's grazing landscapes,LANDSCAPE AND URBAN PLANNING,2011,FALSE,FALSE
Claire,Isabel,Smith,eEde predator-prey interactions,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2018,FALSE,FALSE
Claire,Isabel,Tomscha,The spatial organization of ecosystem services in river-floodplains,ECOSPHERE,2017,FALSE,FALSE
Claire,Isabel,Truax,Riparian buffer growth and soil nitrate supply are affected by tree species selection and black plastic mulching,ECOLOGICAL ENGINEERING,2017,FALSE,FALSE
Claire,Isabel,Winter,Increasing ecological multifunctionality during early plant succession,PLANT ECOLOGY,2019,FALSE,FALSE
Claire,Isabel,Zhao,"Assessment of the erosion control function of forest ecosystems based on GIS: a case study in Zhangjiajie National Forest Park, China",INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,2009,FALSE,FALSE
Isabel,Claire,Allan,Ecological correlates of risk and incidence of West Nile virus in the United States,OECOLOGIA,2009,FALSE,TRUE
Isabel,Claire,Beier,Measuring ecosystem capacity to provide regulating services: forest removal and recovery at Hubbard Brook (USA),ECOLOGICAL APPLICATIONS,2015,FALSE,TRUE
Isabel,Claire,Cardelus,Shadow conservation and the persistence of sacred church forests in northern Ethiopia,BIOTROPICA,2017,FALSE,TRUE
Isabel,Claire,Chen,"Differences in macrobenthic faunal communities in mangrove wetland habitats (Zhanjiang, China) invaded and non-invaded by exotic cordgrass Spartina alterniflora",ECOLOGICAL RESEARCH,2018,FALSE,TRUE
Isabel,Claire,Costa,Rewiring of experimentally disturbed seed dispersal networks might lead to unexpected network configurations,BASIC AND APPLIED ECOLOGY,2018,FALSE,TRUE
Isabel,Claire,Dennis,Site-specific factors in the production of local urban ecosystem services: A case study of community-managed green space,ECOSYSTEM SERVICES,2016,FALSE,FALSE
Isabel,Claire,DeWilde,"Human impacts on the fire regime of interior Alaska: Interactions among fuels, ignition sources, and fire suppression",ECOSYSTEMS,2006,FALSE,FALSE
Isabel,Claire,Diwediga,Biophysical and anthropogenous determinants of landscape patterns and degradation of plant communities in Mo hilly basin (Togo),ECOLOGICAL ENGINEERING,2015,FALSE,FALSE
Isabel,Claire,Frank,Land use affects dung beetle communities and their ecosystem service in forests and grasslands,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,FALSE,FALSE
Isabel,Claire,McPhearson,Mapping ecosystem services in New York City: Applying a social-ecological approach in urban vacant land,ECOSYSTEM SERVICES,2013,FALSE,FALSE
Isabel,Claire,Nilsson,How Do Biota Respond to Additional Physical Restoration of Restored Streams?,ECOSYSTEMS,2017,FALSE,FALSE
Isabel,Claire,Rhodes,"Diatoms to human uses: linking nitrogen deposition, aquatic eutrophication, and ecosystem services",ECOSPHERE,2017,FALSE,FALSE
Isabel,Claire,Tang,"Check dam infilling archives elucidate historical sedimentary dynamics in a semiarid landscape of the Loess Plateau, China",ECOLOGICAL ENGINEERING,2018,FALSE,FALSE
Isabel,Claire,Wang,Fine-scale environmental heterogeneities of tidal creeks affect distribution of crab burrows in a Chinese salt marsh,ECOLOGICAL ENGINEERING,2009,FALSE,FALSE
