Round2_reviewer1,Round2_reviewer2,FirstAuthor,Title,SourcePublication,PublicationYear,KGreviewed,NBDreviewed
Kathryn,Nick,Campbell,Relationships between renewable emergy storage or flow and biodiversity: A modeling investigation,ECOLOGICAL MODELLING,2016,FALSE,TRUE
Kathryn,Nick,Carturan,A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,ECOSPHERE,2018,FALSE,TRUE
Kathryn,Nick,Cicconardi,MtDNA metagenomics reveals large-scale invasion of belowground arthropod communities by introduced species,MOLECULAR ECOLOGY,2017,FALSE,TRUE
Kathryn,Nick,Dennis,Ecosystem services of collectively managed urban gardens: Exploring factors affecting synergies and trade-offs at the site level,ECOSYSTEM SERVICES,2017,FALSE,TRUE
Kathryn,Nick,Evans,"Seeds in farmland food-webs: Resource importance, distribution and the impacts of farm management",BIOLOGICAL CONSERVATION,2011,FALSE,TRUE
Kathryn,Nick,Hou,Temporal variation and spatial scale dependency of ecosystem service interactions: a case study on the central Loess Plateau of China,LANDSCAPE ECOLOGY,2017,FALSE,TRUE
Kathryn,Nick,Kuttner,Do landscape patterns reflect ecosystem service provision? - A comparison between protected and unprotected areas throughout the Lake Neusiedl region,ECO MONT-JOURNAL ON PROTECTED MOUNTAIN AREAS RESEARCH,2014,FALSE,TRUE
Kathryn,Nick,Luck,Improving the application of vertebrate trait-based frameworks to the study of ecosystem services,JOURNAL OF ANIMAL ECOLOGY,2012,FALSE,TRUE
Kathryn,Nick,Matzek,Incomplete recovery of ecosystem processes after two decades of riparian forest restoration,RESTORATION ECOLOGY,2016,FALSE,TRUE
Kathryn,Nick,Micheli,High vulnerability of ecosystem function and services to diversity loss in Caribbean coral reefs,BIOLOGICAL CONSERVATION,2014,FALSE,TRUE
Kathryn,Nick,Norkko,A welcome can of worms? Hypoxia mitigation by an invasive species,GLOBAL CHANGE BIOLOGY,2012,FALSE,FALSE
Kathryn,Nick,Pinsky,Quantifying wave attenuation to inform coastal habitat conservation,ECOSPHERE,2013,FALSE,FALSE
Kathryn,Nick,Tromeur,Balancing yield with resilience and conservation objectives in harvested predator-prey communities,OIKOS,2017,FALSE,FALSE
Kathryn,Nick,Weijerman,Evaluating management strategies to optimise coral reef ecosystem services,JOURNAL OF APPLIED ECOLOGY,2018,FALSE,FALSE
Nick,Kathryn,Ballantyne,Constructing more informative plant-pollinator networks: visitation and pollen deposition networks in a heathland plant community,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2015,FALSE,FALSE
Nick,Kathryn,Banitz,The Relevance of Conditional Dispersal for Bacterial Colony Growth and Biodegradation,MICROBIAL ECOLOGY,2012,FALSE,TRUE
Nick,Kathryn,Basset,Contrasting the distribution of butterflies and termites in plantations and tropical forests,BIODIVERSITY AND CONSERVATION,2017,FALSE,TRUE
Nick,Kathryn,Brancalion,Cultural Ecosystem Services and Popular Perceptions of the Benefits of an Ecological Restoration Project in the Brazilian Atlantic Forest,RESTORATION ECOLOGY,2014,FALSE,TRUE
Nick,Kathryn,Dale,Floral abundance and richness drive beneficial arthropod conservation and biological control on golf courses,URBAN ECOSYSTEMS,NA,FALSE,TRUE
Nick,Kathryn,Irvine,"Terrestrial acidification and ecosystem services: effects of acid rain on bunnies, baseball, and Christmas trees",ECOSPHERE,2017,FALSE,TRUE
Nick,Kathryn,Marichal,"Earthworm functional traits, landscape degradation and ecosystem services in the Brazilian Amazon deforestation arc",EUROPEAN JOURNAL OF SOIL BIOLOGY,2017,FALSE,TRUE
Nick,Kathryn,Michel,Impact of disturbance on above-ground water storage capacity of bryophytes in New Zealand indigenous tussock grassland ecosystems,NEW ZEALAND JOURNAL OF ECOLOGY,2013,FALSE,TRUE
Nick,Kathryn,Nemec,Assessing Resilience in Stressed Watersheds,ECOLOGY AND SOCIETY,2014,FALSE,TRUE
Nick,Kathryn,Nyirambangutse,Carbon stocks and dynamics at different successional stages in an Afromontane tropical forest,BIOGEOSCIENCES,2017,FALSE,FALSE
Nick,Kathryn,Orford,The forgotten flies: the importance of non-syrphid Diptera as pollinators,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2015,FALSE,FALSE
Nick,Kathryn,Penaluna,Aquatic biodiversity in forests: a weak link in ecosystem services resilience,BIODIVERSITY AND CONSERVATION,2017,FALSE,FALSE
Nick,Kathryn,Seabloom,"Invasive grasses, climate change, and exposure to storm-wave overtopping in coastal dune ecosystems",GLOBAL CHANGE BIOLOGY,2013,FALSE,FALSE
Nick,Kathryn,Steenberg,People or place? An exploration of social and ecological drivers of urban forest species composition,URBAN ECOSYSTEMS,2018,FALSE,FALSE
