"","X","Title","MultiScale","scales","KT4_scale","nothing_entered","ScaleNotes","GenInfo","Init","methods_used","if_other_notes","gen_methods_notes"
"1",1,"A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities","No","unk",0,"Plots","took records from 316 sites of 374 taxa, but no more specific than that","","NBD","Model/Data Simulation",NA,NA
"2",4,"An agent-based approach to modeling impacts of agricultural policy on land use, biodiversity and ecosystem services","No","unk",1,"","Hundreds to thousands of farms within a county (plots), 2 counties (sites)","Agent-based model calibrated by observed data","AIS","Model/Data Simulation",NA,"Agent-based model calibrated by observed data"
"3",5,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia","No","unk",0,"Plots","Wasn't sure how to answer this one. They modeled changes in a system based on four scenarios","","AK","Model/Data Simulation",NA,NA
"4",6,"An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins","No","unk",0,"","stream segments are plots, watershed is site","","AIS","Model/Data Simulation",NA,NA
"5",7,"Analysing scale, quality and diversity of green infrastructure and the provision of Urban Ecosystem Services: A case from Mexico City","Yes","unk",1,"","They consider how ES quantity and quality changes when you look at just local scales vs including regional scales; Data are remotely sensed, continuously over the landscape (meaning no 'sites' or 'plots'), but the size of the land areas included in the two scales is also unclear","As far as I can tell, this appears to be a paper focused largely on valuation of ES's in Mexico city... little ecology except for incorporating the idea of scale","JL","Observational",NA,"As far as I can tell, this appears to be a paper focused largely on valuation of ES's in Mexico city... little ecology except for incorporating the idea of scale"
"6",8,"Anthropogenic remediation of heavy metals selects against natural microbial remediation","No","unk",0,"","gradient sampling design","","LB","Experimental,Observational",NA,NA
"7",10,"Arable weeds as indicators of agricultural intensity - A case study from Finland","No","unk",0,"","<3000 fields used to collect data, size isn't specified ","used trophic interactions to define relative importance of weed species for animal groups","AK","Other","develop agro-biodiversity indicator","used trophic interactions to define relative importance of weed species for animal groups"
"8",14,"Both rare and common species support ecosystem services in scavenger communities","No","unk",0,"","No plots or explicit area sizes in study; they monitored 283 animal carcasses across 9 sites across Spain and Africa","","JL","Observational",NA,NA
"9",19,"China's progress towards sustainable land degradation control: Insights from the northwest arid regions","No","unk",0,"Sites","just worked with large GIS datasets of differing spatial resolutions but did say that the total northwest arid region in China is about 2.5million km2","The paper only really modeled wind erosion and vegetation cover and didn't explicitly call these ecosystem functions or services","IS","Model/Data Simulation",NA,"The paper only really modeled wind erosion and vegetation cover and didn't explicitly call these ecosystem functions or services"
"10",20,"Citizens' voice: A case study about perceived ecosystem services by urban park users in Rotterdam, the Netherlands","No","unk",0,"Plots","3 urban parks in Rotterdam","","AK",NA,NA,NA
"11",21,"Community-driven skyrise greenery in a dense tropical city provides biodiversity and ecosystem service benefits","No","unk",0,"Plots","They surveyed plants on one randomly chosen floor from 135 buildings","","LB","Observational",NA,NA
"12",22,"Defining functional groups using dietary data: Quantitative comparison suggests functional classification for seed-dispersing waterfowl","No","unk",0,"Plots","Plots planted with seagrass (restoration project) eventually grew together and became inseparable. Single site.","Observed seagrass acreage coverage, used it to estimate N and C storage","GV","Model/Data Simulation,Observational",NA,"Observed seagrass acreage coverage, used it to estimate N and C storage"
"13",26,"Earthworm functional traits, landscape degradation and ecosystem services in the Brazilian Amazon deforestation arc","Yes","unk",0,"","3 sites, 27 farms total, 5 plots per farm","","NBD","Observational",NA,NA
"14",29,"Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities","No","unk",0,"","25 soil samples were used as base for both experiments, samples taken from 4 sites","","AK","Experimental",NA,NA
"15",30,"Environmental Conservation and Social Benefits of Charcoal Production in Mozambique","No","unk",0,"Plots","Study in one village, plots aren't relevant ","participatory process informed Bayesian Belief Network","AK","Model/Data Simulation,Social survey/Interview",NA,"participatory process informed Bayesian Belief Network"
"16",31,"Environmental context and magnitude of disturbance influence trait-mediated community responses to wastewater in streams","No","unk",0,"","12 streams with 3 sample spots at each...size of sample site not specified. Distance between sites (Q10B) ranges from 67-824 meters, but not square meters! ","","AK","Experimental",NA,NA
"17",32,"Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow","No","unk",0,"","3 urban parks (plots) in 1 city (site)","","AIS","Observational",NA,NA
"18",33,"Evidence of sustainable intensification among British farms","No","unk",0,"Sites","20 farmers - presumably all farms are different sizes but the sizes are not reported","","CK","Social survey/Interview",NA,NA
"19",35,"Fishing impacts on the marine inorganic carbon cycle","No","unk",0,"Plots","This is a modeling paper that uses some observed fish data from two other datasets (North Sea and Fiji reef), however, there is no information at all on the spatial nature of these observed data","","JL","Model/Data Simulation,Observational",NA,NA
"20",36,"Five Decades of Wetland Soil Development of a Constructed Tidal Salt Marsh, North Carolina, USA","No","unk",0,"","Study area on a dredge spoil island on Cape Fear River, NC(site). One natural reference marsh, 7 constructed marshes, 6 natural marshes (14 plots)","comparison between constructed and natural marshes","AIS","Experimental",NA,"comparison between constructed and natural marshes"
"21",37,"Flood Water Hydrochemistry Patterns Suggest Floodplain Sink Function for Dissolved Solids from the Songkhram Monsoon River (Thailand)","No","unk",0,"","107 locations (i considered sites) but unclear how long transects were at each location for reporting 'plot' size","","IS","Observational",NA,NA
"22",39,"Forest Fire Severity Affects Host Plant Quality and Insect Herbivore Damage","No","unk",0,"","","Used natural variation in burned areas to test the effect of fire on plant quality and insect damage","TM","Observational",NA,"Used natural variation in burned areas to test the effect of fire on plant quality and insect damage"
"23",40,"Forest fragments modulate the provision of multiple ecosystem services","No","unk",0,"Sites","34 soya bean fields of unclear size, but adjacent to varying sized forest fragments","","GV","Observational",NA,NA
"24",45,"Global evidence of positive impacts of freshwater biodiversity on fishery yields","No","unk",0,"","The analysis is done at the country level. There are 100 countries in the study.","Not sure if I should have checked the model box.","TK",NA,NA,NA
"25",46,"Global warming affects the occurrence of stem borers in ecological engineering-based diversified farming ecosystems","No","unk",0,"","Borers are caught in an insecticidal lamp in the reice paddies. Number of lamps not specified, at least 1. Rice paddy size not specified","","AIS","Observational",NA,NA
"26",50,"Habitat connectivity for pollinator beetles using surface metrics","No","unk",0,"Sites","Unclear size of sample sites for beetles, used statewide Indiana raster layers for land cover","","GV","Observational",NA,NA
"27",53,"How Do Biota Respond to Additional Physical Restoration of Restored Streams?","Yes","unk",0,"","10 tributaries each with two reach types (basic and enhanced restoration) studied at each tributary; reaches 100m long each but unclear what riparian area studied at each; different plot numbers per sample type (e.g. ice or fish) so that is why I marked plot size as unclear","","IS","Observational",NA,NA
"28",54,"Hydrological controls of fisheries production in a major Amazonian tributary","No","unk",0,"Plots","Madeira river ","Dynamic factor analysis ","AK","Model/Data Simulation",NA,"Dynamic factor analysis "
"29",56,"Influence of land use on water quality in a tropical landscape: a multi-scale analysis","Yes","unk",1,"Sites","for plots, I'm referring to the number of places they collected water quality data, may not be true plots","","AK","Observational",NA,NA
"30",58,"Intra- and interspecific differences in nutrient recycling by European freshwater fish","No","unk",0,"Sites","4 rivers were sampled","","CK","Observational",NA,NA
"31",59,"Invasive Species Impacts on Human Well-being Using the Life Satisfaction Index","No","unk",0,"Plots","unit of replication was a US county. 256 counties in 15 US states. ","modeled life satisfaction over time in counties affected by Emerald Ash Borer","SDJ","Observational,Other","quasi experimental","modeled life satisfaction over time in counties affected by Emerald Ash Borer"
"32",61,"Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services","No","unk",0,"Plots","Used 18 agricultural fields but does not specify how the range in sizes","","TM","Experimental",NA,NA
"33",63,"Large frugivorous birds facilitate functional connectivity of fragmented landscapes","Yes","unk",1,"","1 study site (Oribi Gorge Nature Reserve), but doesn't say how big it is. I am considering ""patch"" as a plot, but patch size is variable (min = 0.0016 km2, max = 74.29 km2, mean = 2.16 km2) and was drawn after seeing where birds went. There were 103 total patches deliniated.","Monitored flight pathways of frugivores to track seed dispersal across different habitat types using remote sensing data (for habitat types) and male bird daytime migrations using GPS (mist netted bird, banded with GPS units to record location every 15min), downloaded GPS data via VHF receivers. Study in South Africa. Tracked 30 birds (9 in breeding season, 21 in non-breeding season) for 543 days ","CW","Observational",NA,"Monitored flight pathways of frugivores to track seed dispersal across different habitat types using remote sensing data (for habitat types) and male bird daytime migrations using GPS (mist netted bird, banded with GPS units to record location every 15min), downloaded GPS data via VHF receivers. Study in South Africa. Tracked 30 birds (9 in breeding season, 21 in non-breeding season) for 543 days "
