"","Title","MultiScale","scales","KT4_scale","nothing_entered","ScaleNotes","GenInfo","Init","methods_used","if_other_notes","gen_methods_notes"
"1","A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities","No","unk","0","Plots","took records from 316 sites of 374 taxa, but no more specific than that","","NBD","Model/Data Simulation",NA,NA
"2","Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management","No","100m;1km;10km;unk","0","Plots","from table 1 in paper - **** delete the unclear or not specified and 1-10 km2***","With an aim to examine urban adult vector mosquitoes and green roofs, the study design incorporates three distinctively different types of urban environments as treatment and control sites—green roofs (GR), bare roofs as negative control sites (NC), and low-elevation green space as positive control (PC)","LD","Experimental",NA,"With an aim to examine urban adult vector mosquitoes and green roofs, the study design incorporates three distinctively different types of urban environments as treatment and control sites—green roofs (GR), bare roofs as negative control sites (NC), and low-elevation green space as positive control (PC)"
"3","Additive and interactive effects of pollination and biological pest control on crop yield","No","unk;25m","0","","114 fields in 7 countries; The treatments consisted of fully crossed presence and absence of insecticides and mineral (inorganic) fertilisers, ran- domly assigned to four treatment plots of at least 12 9 14 m in size along one of the field edges and 10 m from the nearest field corner.","","LD","Experimental",NA,NA
"4","An agent-based approach to modeling impacts of agricultural policy on land use, biodiversity and ecosystem services","No","unk","1","","Hundreds to thousands of farms within a county (plots), 2 counties (sites)","Agent-based model calibrated by observed data","AIS","Model/Data Simulation",NA,"Agent-based model calibrated by observed data"
"5","An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia","No","unk","0","Plots","Wasn't sure how to answer this one. They modeled changes in a system based on four scenarios","","AK","Model/Data Simulation",NA,NA
"6","An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins","No","unk","0","","stream segments are plots, watershed is site","","AIS","Model/Data Simulation",NA,NA
"7","Analysing scale, quality and diversity of green infrastructure and the provision of Urban Ecosystem Services: A case from Mexico City","Yes","unk","1","","They consider how ES quantity and quality changes when you look at just local scales vs including regional scales; Data are remotely sensed, continuously over the landscape (meaning no 'sites' or 'plots'), but the size of the land areas included in the two scales is also unclear","As far as I can tell, this appears to be a paper focused largely on valuation of ES's in Mexico city... little ecology except for incorporating the idea of scale","JL","Observational",NA,"As far as I can tell, this appears to be a paper focused largely on valuation of ES's in Mexico city... little ecology except for incorporating the idea of scale"
"8","Anthropogenic remediation of heavy metals selects against natural microbial remediation","No","unk","0","","gradient sampling design","","LB","Experimental,Observational",NA,NA
"9","Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona","No","1km;unk","0","","As far as I can tell, there were 134 sampling plots that were 46m x 46m each, across 31 ecological sites (their geographic size and chararacter is not clear)","","JL","Model/Data Simulation,Observational",NA,NA
"10","Arable weeds as indicators of agricultural intensity - A case study from Finland","No","unk","0","","<3000 fields used to collect data, size isn't specified ","used trophic interactions to define relative importance of weed species for animal groups","AK","Other","develop agro-biodiversity indicator","used trophic interactions to define relative importance of weed species for animal groups"
"11","Assessing and mapping of multiple ecosystem services in Guizhou Province, China","No","unk;100Gm","1","","Remote sensing study, with inferences shown for the whole continuous area (176000km2) and for 8 watersheds within (areas not specified)","InVEST model of services with remotely sensed data combined with model parameter values from the literature","JL","Model/Data Simulation,Observational",NA,"InVEST model of services with remotely sensed data combined with model parameter values from the literature"
"12","Avian pest control in vineyards is driven by interactions between bird functional diversity and landscape heterogeneity","Yes","unk;1km","1","","20 sites spanning 750 km2","","AIS","Model/Data Simulation,Observational",NA,NA
"13","BIMBY's first steps: a pilot study on the contribution of residential front-yards in Phoenix and Maastricht to biodiversity, ecosystem services and urban sustainability","No","25m;unk","0","","""plot"" = front yard of a house (512 yards in total); ""site"" = two cities studied (visited four socio-econ different neighborhoods in each, but paper doesn't provide collective area of city visited)","Observational data collected through field notes and taking photos in front-yard visits","CW","Observational",NA,"Observational data collected through field notes and taking photos in front-yard visits"
"14","Both rare and common species support ecosystem services in scavenger communities","No","unk","0","","No plots or explicit area sizes in study; they monitored 283 animal carcasses across 9 sites across Spain and Africa","","JL","Observational",NA,NA
"15","Butterfly-plant network in urban landscape: Implication for conservation and urban greening","No","1km;unk","0","","3 sampling sites of unclear size, each of which had 5 walking transects (1000m long each, likely ~1000-2000m2 in area))","","JL","Observational",NA,NA
"16","Challenging the land degradation in China's Loess Plateau: Benefits, limitations, sustainability, and adaptive strategies of soil and water conservation","Yes","unk;100Gm","1","","Mapped wall-to-wall model values for entire China Loess Plateau (0.6 million km^2); spatial data interpolated to 1km x 1km resolution (pixel resolution); divide map into 8 regions (considering as ""plots"") but doesn't provide area of each region","Compiled data from published datasets (e.g. soil maps from other studies, derived from Landsat), weather stations, MODIS (used for NDVI), Gravity Recovery and Climate Experiment (GRACE) to aproximate groundwater levels, and used an empirical model (Revised Universal Soil Loss Equation) to model soil erosion over space. Validated model output with comparative values from related literature.","CW","Model/Data Simulation,Observational",NA,"Compiled data from published datasets (e.g. soil maps from other studies, derived from Landsat), weather stations, MODIS (used for NDVI), Gravity Recovery and Climate Experiment (GRACE) to aproximate groundwater levels, and used an empirical model (Revised Universal Soil Loss Equation) to model soil erosion over space. Validated model output with comparative values from related literature."
"17","Changes in landuse alter ant diversity, assemblage composition and dominant functional groups in African savannas","No","unk;500m","0","","14 sites each 300 m2, each site has 5 pitfall traps (plots)","","AIS","Observational",NA,NA
"18","Check dam infilling archives elucidate historical sedimentary dynamics in a semiarid landscape of the Loess Plateau, China","No","unk;25m","0","","60 soil cores for source materials, 1 long core at the center of the check dam; total catchment studied is 8km2; not clear if soil cores from each ecosystem type are spatially separate so assumed just sampled one site per ecosystem type; so total sites 6 (5 ecosystem/soil types, 1 center check dam)","","IS","Observational",NA,NA
"19","China's progress towards sustainable land degradation control: Insights from the northwest arid regions","No","unk","0","Sites","just worked with large GIS datasets of differing spatial resolutions but did say that the total northwest arid region in China is about 2.5million km2","The paper only really modeled wind erosion and vegetation cover and didn't explicitly call these ecosystem functions or services","IS","Model/Data Simulation",NA,"The paper only really modeled wind erosion and vegetation cover and didn't explicitly call these ecosystem functions or services"
"20","Citizens' voice: A case study about perceived ecosystem services by urban park users in Rotterdam, the Netherlands","No","unk","0","Plots","3 urban parks in Rotterdam","","AK",NA,NA,NA
"21","Community-driven skyrise greenery in a dense tropical city provides biodiversity and ecosystem service benefits","No","unk","0","Plots","They surveyed plants on one randomly chosen floor from 135 buildings","","LB","Observational",NA,NA
"22","Defining functional groups using dietary data: Quantitative comparison suggests functional classification for seed-dispersing waterfowl","No","unk","0","Plots","Plots planted with seagrass (restoration project) eventually grew together and became inseparable. Single site.","Observed seagrass acreage coverage, used it to estimate N and C storage","GV","Model/Data Simulation,Observational",NA,"Observed seagrass acreage coverage, used it to estimate N and C storage"
"23","Determinants of establishment survival for residential trees in Sacramento County, CA","No","25m;unk","0","","1 site = Sacramento and surrounding areas (paper doesn't state how large this is); monitored 436 trees, and each household received no more than 10 trees","Monitored trees post-planting for data on species, survivorship, and structure; also pulled ownership and socioeconomic data (covariates) from Multiple Listing Services and US Census and ","CW","Observational",NA,"Monitored trees post-planting for data on species, survivorship, and structure; also pulled ownership and socioeconomic data (covariates) from Multiple Listing Services and US Census and "
"24","Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings","No","25m;unk","0","","ignore the 0 under 501m2. there were 19 sites, 3 large treatment plots per site, and 9 1m2 plots within each treatment plot","","LB","Experimental,Observational",NA,NA
