"","Title","MultiScale","scales","KT4_scale","nothing_entered","ScaleNotes","GenInfo","Init","methods_used","if_other_notes","gen_methods_notes"
"1","A bottom-up approach to map land covers as potential green infrastructure hubs for human well-being in rural settings: A case study from Sweden","No","10km;100Mgm","0","","1 extent ~54000km2, 1km2 resolution for unknown number of cells","Interviewed residents along urban/rural gradient for their value of ecosystem services from different landscapes, then mapped those land cover types.","GV","Observational,Social survey/Interview",NA,"Interviewed residents along urban/rural gradient for their value of ecosystem services from different landscapes, then mapped those land cover types."
"2","A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya","Yes","10km;1000km","1","","one large watershed (over 100km2) separated into 41 subwatersheds that on average were 2.4% of the area","","JL","Model/Data Simulation,Observational",NA,NA
"3","A trait-based ecology of the Los Angeles urban forest","No","25m;10km","0","","600 ha = 6km2 of UCI campus; mostly did 5 trees per 24 species so if consider trees as plots perhaps 120 small plots","","IS","Observational,Social survey/Interview",NA,NA
"4","Accounting for residential propagule pressure improves prediction of urban plant invasion","No","100m;10km","0","","There were 58 triangles on the map (which I count as a site). At each site there was an ave of 5-6 plots (total of 400 plots) where observations were made. The minimum ""site"" size had to be 2 hectares to be included","county-wide parcel data used to determine housing density. observed p/a of Chinese pivet (invasive) at each location. the rest was calculation and mapping","SDJ","Observational",NA,"county-wide parcel data used to determine housing density. observed p/a of Chinese pivet (invasive) at each location. the rest was calculation and mapping"
"5","An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia","No","1000km","0","Plots","1 spatial extent, unclear pixel size within.","Australia. Terrestrial catchment land use and effect on Great Barrier Reef. Produced hypothetical land use scenarios and looked at outcomes/tradeoffs for services.","GV",NA,NA,NA
"6","An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space","No","1000km","0","Plots","Orangutans were followed within a single 500km2 site (no discrete sampling plots)","","JL","Model/Data Simulation,Observational",NA,NA
"7","An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins","No","100Mgm","0","","They used a watershed with 97 stream segments","","AK",NA,NA,NA
"8","An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna","No","25m;100m","0","","3 transects (plots) per site - 12 sites","","AIS","Experimental",NA,NA
"9","An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna","No","25m","0","","12 transects at 6 sites","","AK",NA,NA,NA
"10","Anolis lizards as biocontrol agents in mainland and island agroecosystems","No","10km","0","","surveyed a total of 23 sites each 50 x 25 m in two locations (Puerto Rico and Mexico)","field observation of lizard density in coffee farms, observed rate of lizards eating coffee pest beetle in cages over 12 hours","SDJ","Observational",NA,"field observation of lizard density in coffee farms, observed rate of lizards eating coffee pest beetle in cages over 12 hours"
"11","Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change","No","100km;1000km;100Mgm","0","","PLOT = PATCH: examined the connectivity of patches across a single landscape (site)","Distribution data from 1971-2000, simulated projections to 2025 and 2050","GV",NA,NA,NA
"12","Assessing and predicting the relative ecological impacts of disturbance on habitats with different sensitivities","Yes","10km;100Gm","0","","Projected habitat sensitivity for a 125,000km^2 area of the North Sea (1 study site), gridded into 9km^2 squares (I considered pixel the ""plot"" unit, because trawling frequency, habitat sensitivity, and production sensitivity could vary by pixel)","Study done in the North Sea (chose Atlantic); trawling frequency data came from European Community Satellite Vessel Monitoring System (counted that as observational), otherwise modeled productivity and biomass of seabeds based on a published model. Model output validated with observational data from 33 stations subject to range of trawling in North Sea.","CW","Model/Data Simulation,Observational",NA,"Study done in the North Sea (chose Atlantic); trawling frequency data came from European Community Satellite Vessel Monitoring System (counted that as observational), otherwise modeled productivity and biomass of seabeds based on a published model. Model output validated with observational data from 33 stations subject to range of trawling in North Sea."
"13","Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps","Yes","100Mgm","1","Plots","French alps area (site, 52149 km2). No explicit plots, simply looked at land cover at 1km x 1km resolution","","AIS","Model/Data Simulation,Observational,Other","used open data from published sources",NA
"14","Bat diversity in Carajas National Forest (Eastern Amazon) and potential impacts on ecosystem services under climate change","No","10km","0","","I based the pevious answer based on pixel size","","TK","Model/Data Simulation",NA,NA
"15","Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network","No","25m","0","Plots","1214 geo-referenced, permanent and semi-permanent plots in PEBANPA encompass native forests, grasslands, shrublands, and wetlands across environmental gradients in the provinces of Santa Cruz and Tierra del Fuego, Argentina. Quadrats within plots (so still small scale measurements)","In 2002, the PEBANPA (Parcelas de Ecología y Biodiversidad de Ambientes Naturales en Patagonia Austral) Network was estab- lished to monitor these ecosystems and to produce scientific research focused on ecosystem function and ES (e.g. soil carbon stocks, nutrients, forestry), as well as on trends in biodiversity and the interactions between natural environments and land-use activities throughout southern Patagonia, Argentina. Long-term monitoring assesses bio-indicators, which therefore reveal the cur- rent state of the environment, particular stresses in ecosystems and early warnings of environmental changes ahead.","LD","Observational",NA,"In 2002, the PEBANPA (Parcelas de Ecología y Biodiversidad de Ambientes Naturales en Patagonia Austral) Network was estab- lished to monitor these ecosystems and to produce scientific research focused on ecosystem function and ES (e.g. soil carbon stocks, nutrients, forestry), as well as on trends in biodiversity and the interactions between natural environments and land-use activities throughout southern Patagonia, Argentina. Long-term monitoring assesses bio-indicators, which therefore reveal the cur- rent state of the environment, particular stresses in ecosystems and early warnings of environmental changes ahead."
"16","Biodiversity-multifunctionality relationships depend on identity and number of measured functions","No","500m","0","Sites","one site in Jena, Germany. total of 81 plots","81 plots of different combinations of plants. measured EF variables","SDJ","Experimental",NA,"81 plots of different combinations of plants. measured EF variables"
"17","Biophysical and anthropogenous determinants of landscape patterns and degradation of plant communities in Mo hilly basin (Togo)","No","25m;1000km","0","","75 20mx20m soil sample areas; 5 samples per site=375 ""plots""","","IS","Observational",NA,NA
"18","Carbon stocks and dynamics at different successional stages in an Afromontane tropical forest","No","1km;1000km","0","","","Transect of plots ranging in disturbance values","KCG","Observational",NA,"Transect of plots ranging in disturbance values"
"19","Changes in ecological stability across realistic biodiversity gradients depend on spatial scale","Yes","25m;1km","1","","735 1m^2 plots, 15 3721m^2 (0.037 km^2) regional sites","","CW","Observational",NA,NA
"20","Changes in landuse alter ant diversity, assemblage composition and dominant functional groups in African savannas","No","25m;500m","0","","5 random pitfall traps at each of the 14 sites","","AK",NA,NA,NA
"21","Climate and plant controls on soil organic matter in coastal wetlands","No","25m","0","Sites","1000 plots ","","KCG",NA,NA,NA
"22","Combined effects of agrochemicals and ecosystem services on crop yield across Europe","Yes","500m;10km;100Mgm","1","","7 regions (10000km2) with 57 sets of paired field sites (within a couple km) comprising 114 individual fields, each of which had 4 plots of 168m2 ; I said 'yes' to Q10 because models included random effects for these spatial hierarchies (field, field site, and regional identity)","","JL","Experimental,Observational",NA,NA
"23","Community size, activity and C:N stoichiometry of soil microorganisms following reforestation in a Karst region","No","500m;1km","0","","5 sites in chronosequence (sites = +10,000 m^2 in area); 6 replicate plots (20x20m each) per site ","Study in forested Karst region of China; select 5 sites on a chronosequence of forest recovery (0, 2, 4, 8, and 12 years); subsample and homogenize 10 soil cores per plot to assess soil physio-chemical properties and soil microbe metabolic and chemical properties in relation to temporal length of forest recovery","CW","Observational",NA,"Study in forested Karst region of China; select 5 sites on a chronosequence of forest recovery (0, 2, 4, 8, and 12 years); subsample and homogenize 10 soil cores per plot to assess soil physio-chemical properties and soil microbe metabolic and chemical properties in relation to temporal length of forest recovery"
"24","Community structure dynamics and carbon stock change of rehabilitated mangrove forests in Sulawesi, Indonesia","No","500m;100km","0","","","Compared carbon stock in two mangrove sites, one which had been rehabilitated for 10 yrs, and one not rehabilitated ","KCG","Observational",NA,"Compared carbon stock in two mangrove sites, one which had been rehabilitated for 10 yrs, and one not rehabilitated "
"25","Constructing more informative plant-pollinator networks: visitation and pollen deposition networks in a heathland plant community","No","1km","0","Plots","The study takes place within one site that is a 1ha, but within that site the unit of replication is flower- replication is that they measured ~90-350 replicates of each flower species. Not sure how to code that","Used pollinator visitation data and pollen deposition to create visitation networks (model)","NBD","Model/Data Simulation,Observational",NA,"Used pollinator visitation data and pollen deposition to create visitation networks (model)"
"26","Context-dependent effects of freshwater mussels on stream benthic communities","No","25m;500m","0","","one 200m stream reach (site). 60 enclosures (50x50x30 cm3)","","AIS","Experimental",NA,NA
"27","Converting Lawn to Restored Forest on a Midwest College Campus: A Seven Year Assessment of Herbaceous Plant Establishment","No","25m;1km","0","","6 plots (25m2) at a single study site","","JL","Experimental",NA,NA
"28","Coral identity underpins architectural complexity on Caribbean reefs","No","50m","0","Sites","91 plots (each with single transect) along southwestern coast of Cozumel, at least 200m apart","Coral reef","GV","Observational",NA,"Coral reef"
"29","Cultural Ecosystem Services and Popular Perceptions of the Benefits of an Ecological Restoration Project in the Brazilian Atlantic Forest","No","1km","0","Plots","restoration area survey is focused on is 80 ha- but it is a social survvy about the area","","NBD","Social survey/Interview",NA,NA
"30","Decline in medicinal and forage species with warming is mediated by plant traits on the Tibetan Plateau","No","25m;100m","0","","4 sites with 16 4x4m plots each","Warming and grazing experiments - effect on medicinal and palatable plants","GV","Experimental",NA,"Warming and grazing experiments - effect on medicinal and palatable plants"
"31","Demographic drivers of biomass carbon recovery in degraded perennial tussock grassland, with and without domestic grazing","No","25m;50m;100m","0","Sites","22 stands that varied from 4 to 80 m2 (plots) across the four sites with different management histories (sites)","","AIS","Observational",NA,NA
"32","Detecting pest control services across spatial and temporal scales","Yes","50m","1","Sites","","the study was conducted on 24 organic broccoli farms in Santa Cruz, Monterey, and San Benito Counties during the summer grow- ing seasons of 2006–2008","LD","Observational",NA,"the study was conducted on 24 organic broccoli farms in Santa Cruz, Monterey, and San Benito Counties during the summer grow- ing seasons of 2006–2008"
"33","Detecting pest control services across spatial and temporal scales","Yes","50m;10km","1","","Weekly 50 m transect for 4-7 weeks at subsample of 24 farms across three years.","","TK",NA,NA,NA
"34","Diverse pollinator communities enhance plant reproductive success","Yes","25m","1","","I'm considering a plant pot as a ""plot"" and pollination cage as ""site"". There were 12 pollination cages site up, and 9 plants (1 per pot) per cage. Measurements taken on each plant, at all cages.","","CW","Experimental",NA,NA
"35","Does rotational heather burning increase red grouse abundance and breeding success on moors in northern England?","No","1km;10km","0","","plots vs. sites is confusing for this one...remove answer (11-50 sites at 1-10 km2). The map shows 36 very different locations. 4-7 transects were done at each one.","effect of burning on vegetation height and grouse breeding success","SDJ","Observational",NA,"effect of burning on vegetation height and grouse breeding success"
"36","Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat","No","25m;10km","0","","","time series analysis","AK",NA,NA,NA
"37","Ecological erosion of an Afrotropical forest and potential consequences for tree recruitment and forest biomass","No","1km;100Mgm","0","","30 sites 1ha each","","GV","Observational",NA,NA
"38","Ecological interactions shape the distribution of a cultural ecosystem service: Argali sheep (Ovis ammon) in the Gobi-Steppe of Mongolia","No","1000km","0","Plots","Single site, with radio-collar data from many sheep.","Distribution of a sheep species (which is cultural services as tourist attraction).","GV","Model/Data Simulation,Observational",NA,"Distribution of a sheep species (which is cultural services as tourist attraction)."
"39","Ecosystem change assessment in the Three-river Headwater Region, China: Patterns, causes, and implications","No","1000km","0","Plots","eyeballed based on Fig 8"," The three-rivers headwater region (TRHR) is a nature reserve located in the hinterland of the Qinghai–Tibet Plateau, an impor- tant source of fresh water resources in China and Asia","LD","Model/Data Simulation,Observational",NA," The three-rivers headwater region (TRHR) is a nature reserve located in the hinterland of the Qinghai–Tibet Plateau, an impor- tant source of fresh water resources in China and Asia"
"40","Ecosystem Properties of Urban Land Covers at the Aboveground-Belowground Interface","No","100m;1km","0","","16 plots were 100m2 (4 plots for each of 4 treatments); all located at a single study site approx 8400m2","","JL","Experimental",NA,NA
"41","Ecosystem services assessment of the urban forests of Addis Ababa, Ethiopia","No","500m;100km","0","","One 32km2 site, in which 100 plots were installed (20m x 20m); smaller subplots within were used to sample different things, but not for the purpose of addressing differences in scale","","JL","Observational",NA,NA
"42","Effects of coastal development on nearshore estuarine nekton communities","No","25m;10km","0","","One site encompassing a section of the James River; 50 ""plots"" where a ""seine haul"" was conducted at two points in time.","","CK","Observational",NA,NA
"43","Effects of coastal development on nearshore estuarine nekton communities","Yes","1km;10km","0","","729m2 plots (called 'sites' in the paper) across a stretch of the James River. Total area of the stretch was not specified, but pre-study sampling to designate sites covered a 6.7km2 area of shoreline. Multiple spatial scales of a human driver (land development) are considered, but NOT multiple spatial scales of the EF/ES response.","They sampled at two times per replicate, but these occurred within a 2 month period and were averaged (temporal dynamics not a focus)","JL",NA,NA,NA
"44","Effects of habitat composition and landscape structure on worker foraging distances of five bumble bee species","No","500m;100km","0","","couldn't unclick the 100-1000km row there so just selected 0.","","TK","Model/Data Simulation,Observational",NA,NA
"45","Effects of habitat loss on the plant-flower visitor network structure of a dune community","No","1km","0","Plots","each flower within the study area was haphazardly observed for 3-5 minutes. delete unclear answer above","observed flower visits by 8 insect groups over 4 years. disturbance of the site part way through led to declined insect visits...used a network to display community info","SDJ","Observational",NA,"observed flower visits by 8 insect groups over 4 years. disturbance of the site part way through led to declined insect visits...used a network to display community info"
"46","Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain)","No","100Mgm","0","","two ""plots""- basically included two wetland ecosystems within the single Donana site","land cover changes over ~90 year period + social perceptions","AK","Observational,Social survey/Interview",NA,"land cover changes over ~90 year period + social perceptions"
"47","Effects of Morella faya tree invasion on aboveground carbon storage in Hawaii","No","1km;100km","0","","36 circular field plots situated across LiDAR study area as ground validation for canopy structure and biomass estimates. Each plot is 20m radius (1256m^2 area), and LiDAR study area (level at which inference made) is 4120 hectares.","Uses LiDAR data to model carbon sequestration in invaded areas. Carbon stored is allometrically determined.","CW","Model/Data Simulation,Observational",NA,"Uses LiDAR data to model carbon sequestration in invaded areas. Carbon stored is allometrically determined."
"48","Enhancing Soil Organic Matter as a Route to the Ecological Intensification of European Arable Systems","No","500m","0","","They had 8 pairs of plots in UK, Netherlands, and Sweden. They had 9 pairs of plots in Germany and Poland. Each was 14x12 m","used soil organic carbon as a proxy for SOM to see if increasing it led to just as much crop yield as when you add fertilizer. Also looked at pests","SDJ","Experimental",NA,"used soil organic carbon as a proxy for SOM to see if increasing it led to just as much crop yield as when you add fertilizer. Also looked at pests"
"49","Evaluating carbon storage, timber harvest, and habitat possibilities for a Western Cascades (USA) forest landscape","No","1km;100Mgm","0","","1 study site 160,000ha (1,600 km2) modeled, pixel resolution (""plot"") within study site is 1ha (0.01 km2) (160,000 pixels)","Used LandCarb model (Harmon 2012 [Harmon is one of the co-authors in current paper) to simulate forest vegetation and growth, timber harvest, and carbon dynamic and stores from different mgmt scenarios; use habitat capability index (HCI) models for each focal bird species (and use empirical from 2 published studies to parameterize HCI models); validate models with empirical (published) data","CW","Model/Data Simulation,Observational",NA,"Used LandCarb model (Harmon 2012 [Harmon is one of the co-authors in current paper) to simulate forest vegetation and growth, timber harvest, and carbon dynamic and stores from different mgmt scenarios; use habitat capability index (HCI) models for each focal bird species (and use empirical from 2 published studies to parameterize HCI models); validate models with empirical (published) data"
"50","Evaluating management strategies to optimise coral reef ecosystem services","No","50m","0","","Modeled fish yield for one coral reef","","KCG","Model/Data Simulation",NA,NA
"51","Evaluating the eco-environment benefit of land reclamation in the dump of an opencast coal mine","No","1km","0","Plots","Single site, remote sensing data","","GV","Observational",NA,NA
"52","Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow","No","25m","0","","Plots in this case are individual trees (they collected data from 15 trees at 3 sites)","","AK",NA,NA,NA
"53","Evaluation of a new method for assessing resilience in urban aquatic social-ecological systems","No","100km","0","Plots","1 watershed assessed outside Aukland (37 km2)","mostly a methods paper. proof of concept on a watershed in New Zealand. obtained observational data for model","SDJ","Model/Data Simulation",NA,"mostly a methods paper. proof of concept on a watershed in New Zealand. obtained observational data for model"
"54","Experimental rewilding enhances grassland functional composition and pollinator habitat use","No","25m;50m;10km","0","","Vegetation surveys and pollinator surveys were done at plots of different sizes. ","","CK","Experimental",NA,NA
"55","Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile)","No","100Mgm","0","Plots","Conducted an assessment for the Biobio River basin (one site, ~24000 km2). No other explicit spatial breakdowns were specificed.","For the study, they used several dozen types of indicators, for which all data were pulled from the literature (no original data collection)","JL","Observational",NA,"For the study, they used several dozen types of indicators, for which all data were pulled from the literature (no original data collection)"
"56","Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile)","No","100Mgm","0","Plots","Considers many different ecosystem services in a single drainage over time","","TK",NA,NA,NA
"57","Farm and landscape factors interact to affect the supply of pollination services","Yes","10km","1","Sites","15 fields of around 1 ha","Abundance, diversity, and visitation to blueberry flowers to measure pollination services.","GV","Observational",NA,"Abundance, diversity, and visitation to blueberry flowers to measure pollination services."
"58","Fire, leaf harvest, and abiotic factors drive demography of an ecologically and culturally important understory plant","No","25m;1km","0","","#correct: 501-1km. accidentally clicked 1-10km2","","LB","Observational",NA,NA
"59","Flattening of Caribbean coral reefs: region-wide declines in architectural complexity","No","25m","0","","","Kind of a meta-analysis, but does some modeling on top of that","TK","Model/Data Simulation,Observational",NA,"Kind of a meta-analysis, but does some modeling on top of that"
"60","Functional diversity in cover crop polycultures increases multifunctionality of an agricultural system","No","100m","0","","1 site","mono- and poly-cultures of cover crops (1-8 species) used. 5 ecosystem services measured. Assessed richness, diversity, and traits with multifunctionality","SDJ","Experimental",NA,"mono- and poly-cultures of cover crops (1-8 species) used. 5 ecosystem services measured. Assessed richness, diversity, and traits with multifunctionality"
"61","Global patterns in lake ecosystem responses to warming based on the temperature dependence of metabolism","No","100Mgm","0","Sites","271 lakes from 0.02 to 68000 km^2 in area","Global lakes dataset","GV","Observational",NA,"Global lakes dataset"
"62","Grape moth density in Bordeaux vineyards depends on local habitat management despite effects of landscape heterogeneity on their biological control","No","25m;100km","0","","","Manipulation is vineyards with differing pest management practices","KCG","Observational",NA,"Manipulation is vineyards with differing pest management practices"
