StartDate,EndDate,RecordedDate,ResponseId,Init,doublerev,version,Title,id,answer,clean_answer,fullquestion,abbr,qnum,survey_order,reviewer_surveynotes,reviewer_exclusion_status,flagged4review,reason_flagged,outsidereviewer,outsidereviewer_notes,exclusion_reason
2020-03-05T21:38:25Z,2020-03-05T21:40:13Z,2020-03-05T21:40:13Z,R_1cV4r9hcu8RJ59C,LB,FALSE,final,'Wild' in the city context: Do relative wild areas offer opportunities for urban biodiversity?,Q2,Yes,Yes,Q3: This paper only measures biodiversity/abundance but NOT as an explicit proxy for EF/ES,BiodivOnly,Q3,20,NA,Excluded by Q3,FALSE,NA,NA,NA,BiodivOnly
2020-03-05T21:38:25Z,2020-03-05T21:40:13Z,2020-03-05T21:40:13Z,R_1cV4r9hcu8RJ59C,LB,FALSE,final,'Wild' in the city context: Do relative wild areas offer opportunities for urban biodiversity?,Q29,NA (paper already excluded),NA (paper already excluded),Q3b: This paper ONLY focuses on social dimensions of services (no measurement of services or processes),SocialOnly,Q3,21,NA,Excluded by Q3,FALSE,NA,NA,NA,BiodivOnly
2020-03-05T21:38:25Z,2020-03-05T21:40:13Z,2020-03-05T21:40:13Z,R_1cV4r9hcu8RJ59C,LB,FALSE,final,'Wild' in the city context: Do relative wild areas offer opportunities for urban biodiversity?,Q30,NA (paper already excluded),NA (paper already excluded),"This paper is a Review, Synthesis, Meta-analysis or a Methods only paper.",ReviewOnly,Q3,22,NA,Excluded by Q3,FALSE,NA,NA,NA,BiodivOnly
2020-04-15T23:49:23Z,2020-04-16T00:09:11Z,2020-04-16T00:09:11Z,R_vSKphrNa2eyZHMJ,TK,TRUE,original,"A balancing act in urban social-ecology: human appreciation, ponds and dragonflies",Q2,No,No,Q3: This paper only measures biodiversity/abundance but NOT as an explicit proxy for EF/ES,BiodivOnly,Q3,20,NA,Excluded by Q3,FALSE,NA,NA,NA,SocialOnly
2020-04-15T23:49:23Z,2020-04-16T00:09:11Z,2020-04-16T00:09:11Z,R_vSKphrNa2eyZHMJ,TK,TRUE,original,"A balancing act in urban social-ecology: human appreciation, ponds and dragonflies",Q29,Yes,Yes,Q3b: This paper ONLY focuses on social dimensions of services (no measurement of services or processes),SocialOnly,Q3,21,NA,Excluded by Q3,FALSE,NA,NA,NA,SocialOnly
2020-04-15T23:49:23Z,2020-04-16T00:09:11Z,2020-04-16T00:09:11Z,R_vSKphrNa2eyZHMJ,TK,TRUE,original,"A balancing act in urban social-ecology: human appreciation, ponds and dragonflies",Q30,NA (paper already excluded),NA (paper already excluded),"This paper is a Review, Synthesis, Meta-analysis or a Methods only paper.",ReviewOnly,Q3,22,NA,Excluded by Q3,FALSE,NA,NA,NA,SocialOnly
2020-04-17T19:52:46Z,2020-04-17T19:56:54Z,2020-04-17T19:56:55Z,R_4MFi8cK9f8WEw9z,KCG,TRUE,original,"A balancing act in urban social-ecology: human appreciation, ponds and dragonflies",Q2,No,No,Q3: This paper only measures biodiversity/abundance but NOT as an explicit proxy for EF/ES,BiodivOnly,Q3,20,NA,Excluded by Q3,FALSE,NA,NA,NA,SocialOnly
2020-04-17T19:52:46Z,2020-04-17T19:56:54Z,2020-04-17T19:56:55Z,R_4MFi8cK9f8WEw9z,KCG,TRUE,original,"A balancing act in urban social-ecology: human appreciation, ponds and dragonflies",Q29,Yes,Yes,Q3b: This paper ONLY focuses on social dimensions of services (no measurement of services or processes),SocialOnly,Q3,21,NA,Excluded by Q3,FALSE,NA,NA,NA,SocialOnly
2020-04-17T19:52:46Z,2020-04-17T19:56:54Z,2020-04-17T19:56:55Z,R_4MFi8cK9f8WEw9z,KCG,TRUE,original,"A balancing act in urban social-ecology: human appreciation, ponds and dragonflies",Q30,NA (paper already excluded),NA (paper already excluded),"This paper is a Review, Synthesis, Meta-analysis or a Methods only paper.",ReviewOnly,Q3,22,NA,Excluded by Q3,FALSE,NA,NA,NA,SocialOnly
2020-03-11T17:21:10Z,2020-03-11T17:40:37Z,2020-03-11T17:40:37Z,R_01WFDyowIJIdWZb,GV,FALSE,final,A bottom-up approach to map land covers as potential green infrastructure hubs for human well-being in rural settings: A case study from Sweden,Q2,No,No,Q3: This paper only measures biodiversity/abundance but NOT as an explicit proxy for EF/ES,BiodivOnly,Q3,20,NA,Keep paper,TRUE,Flagged by NBD during methods review,NBD,NBD: Based on NBD and AK methods review,ReviewOnly
