review_round,reviewer_init,doublerev,title,reviewer_comments,outsidereviewer,outsidereviewer_notes,exclusion_reason,fullquestion,exclusion_id,SourcePublication,PublicationYear,FirstAuthor
1,JL,FALSE,A general biodiversity-function relationship is mediated by trophic level,JL: Comprehensive meta analysis on relationship between  biodiversity and production,NA,NA,meta,Is this a meta-analysis?,1,OIKOS,2017,O'Connor
1,IS,FALSE,A global synthesis of the effects of diversified farming systems on arthropod diversity within fields and across agricultural landscapes,NA,NA,NA,meta,Is this a meta-analysis?,1,GLOBAL CHANGE BIOLOGY,2017,Lichtenberg
1,TK,FALSE,A historical meta-analysis of global terrestrial net primary productivity: are estimates converging?,TK: Meta-Analysis,NA,NA,meta,Is this a meta-analysis?,1,GLOBAL CHANGE BIOLOGY,2011,Ito
1,CK,FALSE,Are we seeing the whole picture in land-sea systems? Opportunities and challenges for operationalizing the ES concept,NA,NA,NA,meta,Is this a meta-analysis?,1,ECOSYSTEM SERVICES,2019,Alonso Roldan
1,JL,FALSE,Assessing bias and knowledge gaps on seed ecology research: implications for conservation agenda and policy,NA,NA,NA,meta,Is this a meta-analysis?,1,ECOLOGICAL APPLICATIONS,2016,Ribeiro
1,CK,FALSE,Assessing the context and ecological effects of river restoration - A meta-analysis,NA,NA,NA,meta,Is this a meta-analysis?,1,ECOLOGICAL ENGINEERING,2019,Lu
1,AK,FALSE,Can marine reserves restore lost ecosystem functioning? A global synthesis,AK: meta-analysis comparing rates o predation and herbivory,NA,NA,meta,Is this a meta-analysis?,1,ECOLOGY,2019,Cheng
1,AK,FALSE,Carbon sequestration in riparian forests: A global synthesis and meta-analysis,NA,NA,NA,meta,Is this a meta-analysis?,1,GLOBAL CHANGE BIOLOGY,2019,Dybala
1,LB,FALSE,Concepts and methods for landscape multifunctionality and a unifying framework based on ecosystem services,NA,NA,NA,meta,Is this a meta-analysis?,1,LANDSCAPE ECOLOGY,2014,Mastrangelo
1,CK,FALSE,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,NA,NA,NA,meta,Is this a meta-analysis?,1,GLOBAL CHANGE BIOLOGY,2019,Beckmann
1,NBD,FALSE,"Coral reef habitats as surrogates of species, ecological functions, and ecosystem services",NA,NA,NA,meta,Is this a meta-analysis?,1,CONSERVATION BIOLOGY,2008,Mumby
1,IS,FALSE,Cultivar mixtures: a meta-analysis of the effect of intraspecific diversity on crop yield,NA,NA,NA,meta,Is this a meta-analysis?,1,ECOLOGICAL APPLICATIONS,2018,Reiss
1,AIS,FALSE,Diverse guilds provide complementary dispersal services in a woodland expansion process after land abandonment,NA,NA,NA,meta,Is this a meta-analysis?,1,JOURNAL OF APPLIED ECOLOGY,2014,Escribano-Avila
1,IS,FALSE,Ecological intensification and arbuscular mycorrhizas: a meta-analysis of tillage and cover crop effects,NA,NA,NA,meta,Is this a meta-analysis?,1,JOURNAL OF APPLIED ECOLOGY,2017,Bowles
1,CK,FALSE,Effectiveness of agri-environmental management on pollinators is moderated more by ecological contrast than by landscape structure or land-use intensity,NA,NA,NA,meta,Is this a meta-analysis?,1,ECOLOGY LETTERS,2019,Marja
1,LB,FALSE,Effects of plant phylogenetic diversity on herbivory depend on herbivore specialization,NA,NA,NA,meta,Is this a meta-analysis?,1,JOURNAL OF APPLIED ECOLOGY,2014,Castagneyrol
1,KCG,FALSE,Effects of wetland plants on denitrification rates: a meta-analysis,NA,NA,NA,meta,Is this a meta-analysis?,1,ECOLOGICAL APPLICATIONS,2016,Alldred
1,LB,FALSE,Environmental factors driving the effectiveness of European agri-environmental measures in mitigating pollinator loss - a meta-analysis,NA,NA,NA,meta,Is this a meta-analysis?,1,ECOLOGY LETTERS,2013,Scheper
1,IS,FALSE,IDENTIFICATION OF KEY-TRENDS AND EVALUATION OF CONTEMPORARY RESEARCH REGARDING URBAN ECOSYSTEM SERVICES: A PATH TOWARDS SOCIO-ECOLOGICAL SUSTAINABILITY OF URBAN AREAS,NA,NA,NA,meta,Is this a meta-analysis?,1,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2018,Atif
1,AK,FALSE,Impacts and adaptation options for estuarine vegetation in a large city,NA,NA,NA,meta,Is this a meta-analysis?,1,LANDSCAPE AND URBAN PLANNING,2019,Rogers
1,NBD,FALSE,Indicators of biodiversity and ecosystem services: a synthesis across ecosystems and spatial scales,NA,NA,NA,meta,Is this a meta-analysis?,1,OIKOS,2009,Feld
1,NBD,FALSE,Integrating ecosystem services into conservation assessments: A review,NA,NA,NA,meta,Is this a meta-analysis?,1,ECOLOGICAL ECONOMICS,2007,Egoh
1,TM,FALSE,Integrating Human and Ecosystem Health Through Ecosystem Services Frameworks,NA,NA,NA,meta,Is this a meta-analysis?,1,ECOHEALTH,2015,Ford
1,AIS,FALSE,Participatory scenario planning in place-based social-ecological research: insights and experiences from 23 case studies,AIS: meta-analysis of participatory scenario planning,NA,NA,meta,Is this a meta-analysis?,1,ECOLOGY AND SOCIETY,2015,Oteros-Rozas
1,TM,FALSE,Quantifying the impacts of ecological restoration on biodiversity and ecosystem services in agroecosystems: A global meta-analysis,NA,NA,NA,meta,Is this a meta-analysis?,1,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2015,Paula Barral
1,AK,FALSE,Restoration Ecology's Silver Jubilee: big time questions for restoration ecology,NA,NA,NA,meta,Is this a meta-analysis?,1,RESTORATION ECOLOGY,2018,Reid
1,IS,FALSE,The ecological importance of intraspecific variation,NA,NA,NA,meta,Is this a meta-analysis?,1,NATURE ECOLOGY & EVOLUTION,2018,Des Roches
1,SDJ,FALSE,The effects of landscape patterns on ecosystem services: meta-analyses of landscape services,NA,NA,NA,meta,Is this a meta-analysis?,1,LANDSCAPE ECOLOGY,2018,Duarte
1,CK,FALSE,The interplay of landscape composition and configuration: new pathways to manage functional biodiversity and agroecosystem services across Europe,NA,NA,NA,meta,Is this a meta-analysis?,1,ECOLOGY LETTERS,2019,Martin
1,AIS,FALSE,The place of agricultural sciences in the literature on ecosystem services,AIS: similar to our paper but specific to agriculture,NA,NA,meta,Is this a meta-analysis?,1,ECOSYSTEM SERVICES,2014,Tancoigne
1,NBD,FALSE,The rise of research on futures in ecology: rebalancing scenarios and predictions,"NBD: THis paper does not fulfill our criteria, but could be interesting to use for other parts of the paper because they do something similar to what we want to do.",NA,NA,meta,Is this a meta-analysis?,1,ECOLOGY LETTERS,2009,Coreau
1,AIS,FALSE,The unfolding water drama in the Anthropocene: towards a resilience-based perspective on water for global sustainability,NA,NA,NA,meta,Is this a meta-analysis?,1,ECOHYDROLOGY,2014,Rockstrom
1,TK,FALSE,Towards an assessment of multiple ecosystem processes and services via functional traits,NA,NA,NA,meta,Is this a meta-analysis?,1,BIODIVERSITY AND CONSERVATION,2010,de Bello
1,AIS,FALSE,Understanding complex links between fluvial ecosystems and social indicators in Spain: An ecosystem services approach,NA,NA,NA,meta,Is this a meta-analysis?,1,ECOLOGICAL COMPLEXITY,2014,Vidal-Abarca
1,LD,FALSE,Wetland Ecosystem Services and the Ramsar Convention: an Assessment of Needs,"LD: useful review/meta-analysis on wetland ES. excluded because a review, but put in the useful other papers folder.",NA,NA,meta,Is this a meta-analysis?,1,WETLANDS,2017,McInnes
1,LD/CW,TRUE,Conservation relevance of bat caves for biodiversity and ecosystem services,NA,NA,NA,meta,Is this a meta-analysis?,1,BIOLOGICAL CONSERVATION,2017,Medellin
1,CK,FALSE,Opening the black box of plant nutrient uptake under warming predicts global patterns in community biomass and biological carbon storage,"CK: This paper is technically a meta-analysis, but they extract the data and use it for a new model, so maybe we should consider it?",NA,NA,meta,Is this a meta-analysis?,1,OIKOS,2019,Marx
1,AIS,FALSE,"Interacting effects of change in climate, human population, land use, and water use on biodiversity and ecosystem services","AIS: assessed as 'meets criteria"" in early December. Decided upon second read that it's a meta-analysis; Looks like a paper with similar goals to our own that dove into a case study",NA,NA,meta,Is this a meta-analysis?,1,ECOLOGY AND SOCIETY,2015,Elmhagen
1,AK,FALSE,'Rage against the machine'? The opportunities and risks concerning the automation of urban green infrastructure,NA,NA,NA,review,Is this a review?,2,LANDSCAPE AND URBAN PLANNING,2018,Gulsrud
