"source","varnames","type"
"allexcluded","review_round","integer"
"allexcluded","reviewer_init","character"
"allexcluded","doublerev","logical"
"allexcluded","title","character"
"allexcluded","reviewer_comments","character"
"allexcluded","outsidereviewer","character"
"allexcluded","outsidereviewer_notes","character"
"allexcluded","exclusion_reason","character"
"allexcluded","fullquestion","character"
"allexcluded","exclusion_id","integer"
"allexcluded","SourcePublication","character"
"allexcluded","PublicationYear","integer"
"allexcluded","FirstAuthor","character"
"r1exclude","filename","character"
"r1exclude","owner","character"
"r1exclude","createdTime","character"
"r1exclude","modifiedTime","character"
"r1exclude","records","integer"
"r1exclude","rank","integer"
"r1exclude","EBIOReviewer","character"
"r1exclude","Number","integer"
"r1exclude","Timestamp","character"
"r1exclude","email","character"
"r1exclude","final_name","character"
"r1exclude","Title","character"
"r1exclude","meta","character"
"r1exclude","review","character"
"r1exclude","no_efes","character"
"r1exclude","valrisk","character"
"r1exclude","tool","character"
"r1exclude","biodiv","character"
"r1exclude","comments","character"
"r1exclude","Yes","integer"
"r1exclude","No","integer"
"r1exclude","empty","integer"
"r1exclude","tally","integer"
"r1exclude","AuthorsFull","character"
"r1exclude","FirstAuthor","character"
"r1exclude","in_meetscriteria","integer"
"r1exclude","exclude","logical"
"r1exclude","flag_NO","logical"
"r1exclude","flag_NA","logical"
"r1exclude","flag_Q8","logical"
"r1exclude","flag_paper","logical"
"r2exclude","StartDate","character"
"r2exclude","EndDate","character"
"r2exclude","RecordedDate","character"
"r2exclude","ResponseId","character"
"r2exclude","Init","character"
"r2exclude","doublerev","logical"
"r2exclude","version","character"
"r2exclude","Title","character"
"r2exclude","id","character"
"r2exclude","answer","character"
"r2exclude","clean_answer","character"
"r2exclude","fullquestion","character"
"r2exclude","abbr","character"
"r2exclude","qnum","character"
"r2exclude","survey_order","integer"
"r2exclude","reviewer_surveynotes","character"
"r2exclude","reviewer_exclusion_status","character"
"r2exclude","flagged4review","logical"
"r2exclude","reason_flagged","character"
"r2exclude","outsidereviewer","character"
"r2exclude","outsidereviewer_notes","character"
"r2exclude","exclusion_reason","character"
"r1keep","filename","character"
"r1keep","owner","character"
"r1keep","createdTime","character"
"r1keep","modifiedTime","character"
"r1keep","records","integer"
"r1keep","rank","integer"
"r1keep","EBIOReviewer","character"
"r1keep","Number","integer"
"r1keep","Timestamp","character"
"r1keep","email","character"
"r1keep","final_name","character"
"r1keep","Title","character"
"r1keep","meta","character"
"r1keep","review","character"
"r1keep","no_efes","character"
"r1keep","valrisk","character"
"r1keep","tool","character"
"r1keep","biodiv","character"
"r1keep","comments","character"
"r1keep","Yes","integer"
"r1keep","No","integer"
"r1keep","empty","integer"
"r1keep","tally","integer"
"r1keep","AuthorsFull","character"
"r1keep","FirstAuthor","character"
"r1keep","in_meetscriteria","integer"
"r1keep","exclude","logical"
"r1keep","flag_NO","logical"
"r1keep","flag_NA","logical"
"r1keep","flag_Q8","logical"
"r1keep","flag_paper","logical"
"r2keep","StartDate","character"
"r2keep","EndDate","character"
"r2keep","RecordedDate","character"
"r2keep","ResponseId","character"
"r2keep","Init","character"
"r2keep","doublerev","logical"
"r2keep","version","character"
"r2keep","Title","character"
"r2keep","id","character"
"r2keep","answer","character"
"r2keep","clean_answer","character"
"r2keep","varnum","integer"
"r2keep","clean_answer_binned","character"
"r2keep","fullquestion","character"
"r2keep","abbr","character"
"r2keep","Group","character"
"r2keep","clean_group","character"
"r2keep","qnum","character"
"r2keep","ES","character"
"r2keep","survey_order","numeric"
"r2keep","qa_note","character"
"r2_assigned","Round2_reviewer1","character"
"r2_assigned","Round2_reviewer2","character"
"r2_assigned","Number","integer"
"r2_assigned","MeetsCriteria_matches","integer"
"r2_assigned","Round1_reviewer","character"
"r2_assigned","Comments","character"
"r2_assigned","FirstAuthor","character"
"r2_assigned","Title","character"
"r2_assigned","AuthorsFull","character"
"r2_assigned","SourcePublication","character"
"r2_assigned","Abstract","character"
"r2_assigned","PublicationDate","character"
"r2_assigned","PublicationYear","integer"
"r1_assigned","EBIOReviewer","character"
"r1_assigned","Number","integer"
"r1_assigned","AuthorsFull","character"
"r1_assigned","Title","character"
"r1_assigned","SourcePublication","character"
"r1_assigned","Abstract","character"
"r1_assigned","PublicationDate","character"
"r1_assigned","PublicationYear","integer"
"r1_assigned","VL","integer"
"r1_assigned","IS","character"
"r1_assigned","PN","character"
"r1_assigned","SU","integer"
"r1_assigned","SI","character"
"r1_assigned","MA","logical"
"r1_assigned","BP","character"
"r1_assigned","EP","character"
"r1_assigned","AR","character"
"r1_assigned","DI","character"
"r1_assigned","D2","logical"
"r1_assigned","EA","character"
"r1_assigned","PG","logical"
"r1_assigned","WC","logical"
"r1_assigned","SC","logical"
"r1_assigned","GA","logical"
"r1_assigned","UT","character"
"r1_assigned","PM","integer"
"r1_assigned","OA","logical"
"r1_assigned","HC","logical"
"r1_assigned","HP","logical"
"r1_assigned","DA","logical"
