Reviewed_by,Title,extent_answer,extent_notes,nested_answer,nested_notes,aquatic?
GV,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Macro-scale,,No,,"floodplain, watershed"
GV,Anthropogenic remediation of heavy metals selects against natural microbial remediation,Macro-scale,samples along natural metal gradient,No,,
GV,Avian pest control in vineyards is driven by interactions between bird functional diversity and landscape heterogeneity,Macro-scale,landscape heterogeneity gradient,Yes,,
GV,Both rare and common species support ecosystem services in scavenger communities,Global,Spain and South Africa,No,,
GV,Defining functional groups using dietary data: Quantitative comparison suggests functional classification for seed-dispersing waterfowl,NA,"kind of a meta-analysis of dietary studies on ducks found in Southern Africa, but no true spatial scale",No,,
GV,Different cutting regimes improve species and functional diversity of insect-pollinated plants in power-line clearings,Macro-scale,,Yes,"area included, some variables at plot scale some at site scale",
GV,Ecological consequences of invasive lake trout on river otters in Yellowstone National Park,Local,"2 lakes in Yellowstone that have some differences in characteristics, but seems like they were intended as replicates",No,,
GV,Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Local,"3 sites in Lancaster, Pennsylvania",No,tree size was considered though,
GV,Evidence of sustainable intensification among British farms,Macro-scale,"differences in the types of farming at the different farms (which equate to sites), so I think this is heterogeneity",No,,
GV,Fishing impacts on the marine inorganic carbon cycle,Local,"fishing impacts on populations and communities, modeling focus",No,,Yes
GV,Forest Fire Severity Affects Host Plant Quality and Insect Herbivore Damage,Macro-scale,"3 forest fires in PIke National Forest, heterogeneity in burn severity within each fire",No,,
GV,Global warming affects the occurrence of stem borers in ecological engineering-based diversified farming ecosystems,Local,,No,,
GV,Growing the urban forest: tree performance in response to biotic and abiotic land management,Local,all variation within plots was experimental manipulations,No,,
GV,Habitat connectivity for pollinator beetles using surface metrics,Macro-scale,,Yes,,
GV,"Homogenization of plant diversity, composition, and structure in North American urban yards",Macro-scale,7 major US cities,No,,
GV,Influence of soil and topography on aboveground biomass accumulation and carbon stocks of afforested pastures in South East Brazil,Macro-scale,"*variation in inclined vs flat plots, within what I would consider a local site",No,,
GV,Land use affects dung beetle communities and their ecosystem service in forests and grasslands,Macro-scale,,No,,
GV,Large frugivorous birds facilitate functional connectivity of fragmented landscapes,Macro-scale,,Yes,dispersal distance,
GV,Measuring ecosystem capacity to provide regulating services: forest removal and recovery at Hubbard Brook (USA),Local,single LTER site,No,"unclear exactly how data were collected, but everything seems temporal",
GV,Microhabitat heterogeneity promotes soil fertility and ground-dwelling arthropod diversity in Mediterranean wood-pastures,Local,"3 farms that are intended as replicates, though each has microhabitats within that are examined by the study",No,only one scale of inference - the microhabitat scale,
GV,Organic farming and host density affect parasitism rates of tortricid moths in vineyards,Macro-scale,lots of vineyards with heterogeneity in surrounding landscape attributes,No,"*proportion of vineyard within 1km was predictor, but only as a total summary so no scale component",
GV,Organic farming promotes biotic resistance to foodborne human pathogens,Macro-scale,,Yes,"concentric rings in which percent of grassland was calculated, though it is a little bit unclear how they used it - I didn't look at SI",
GV,"Partitioning spatial, environmental, and community drivers of ecosystem functioning",Macro-scale,streams in '3 distinct regions' of Sweden,Yes,,Streams
GV,Recovery Debts Can Be Revealed by Ecosystem Network-Based Approaches,Macro-scale,lagoon vs fore reef for heterogeneity,Yes,*flow seems to count for our definition: 'Average path length' - number of compartments through which inflow passes,Reef
GV,Seed dispersal effectiveness by a large-bodied invasive species in defaunated landscapes,Local,"*tricky, but it doesn't seem like there is heterogeneity among replicates even though there are multiple patches studied",Yes,dispersal distance,
GV,Temporal variation and spatial scale dependency of ecosystem service interactions: a case study on the central Loess Plateau of China,Macro-scale,,Yes,pixel scale and town scale,
GV,Terrestrial isopods as bioindicators for environmental monitoring in olive groves and natural ecosystems,Macro-scale,"*many farms, but all seem to be serving as replicates and no consideration of heterogeneity other than their 3 groups (organic, conventional, abandoned)",No,,
GV,"The Monteregie Connection: linking landscapes, biodiversity, and ecosystem services to improve decision making",Macro-scale,,Yes,,
GV,"Uncovering the spatial dynamics of wild rice lakes, harvesters and management across Great Lakes landscapes for shared regional conservation",Macro-scale,,Yes,"distance traveled to harvest wild rice was included, which influences services provided, but is unclear how to fit into our definition",
GV,"Urban biodiversity and social inequalities in built-up cities: New evidences, next questions. The example of Paris, France",Macro-scale,"included city of Paris, but looked at the gradients of density, etc so that is heterogeneity?",Yes,proximity to green space was included as a predictor,
GV,A welcome can of worms? Hypoxia mitigation by an invasive species,NA,simulation,No,,Yes
GV,Additive and interactive effects of pollination and biological pest control on crop yield,Local,,No,,
GV,Agricultural practices for food safety threaten pest control services for fresh produce,Macro-scale,,No,site and region as random effects but not considered further,
GV,"An agent-based approach to modeling impacts of agricultural policy on land use, biodiversity and ecosystem services",Macro-scale,"simulation, with some real data that is on macro-scale",Yes,included field size/area in one portion of analysis,
GV,An integrated ecosystem service assessment in an artificial desert oasis of northwestern China,Macro-scale,,Yes,oasis' scale and pixel scale,
GV,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Macro-scale,,No,,
GV,"Assessment of the erosion control function of forest ecosystems based on GIS: a case study in Zhangjiajie National Forest Park, China",Macro-scale,,No,,
GV,Balancing yield with resilience and conservation objectives in harvested predator-prey communities,NA,simuation,No,,
GV,"Biofuels on the landscape: Is ""land sharing"" preferable to ""land sparing""?",NA,"unclear, simulation",No,,
GV,Butterfly-plant network in urban landscape: Implication for conservation and urban greening,Local,"3 sites in Kolkata, as replicates",No,,
GV,China's progress towards sustainable land degradation control: Insights from the northwest arid regions,Macro-scale,,No,,
GV,Cityscape quality and resource manipulation affect natural enemy biodiversity in and fidelity to urban agroecosystems,Macro-scale,,Yes,garden size - not included in later models due to weak effect in prelim analysis,
GV,Comparative Assessment of Mangrove Biomass and Fish Assemblages in an Urban and Rural Mangrove Wetlands in Ghana,Macro-scale,"one urban, one rural mangrove site",No,,
GV,Conservation tillage mitigates the negative effect of landscape simplification on biological control,Macro-scale,,Yes,multiple radii within which proportion of landscape was measured,
GV,Converting arable land into flowering fields changes functional and phylogenetic community structure in ground beetles,Macro-scale,"large area, fields as replicates but two groups, likely macro differences between fields",No,,
GV,Delivery of floral resources and pollination services on farmland under three different wildlife-friendly schemes,Macro-scale,,No,,
GV,"Determinants of establishment survival for residential trees in Sacramento County, CA",Local,"Sacramento county, no differences within the county considered",No,,
GV,"Diatoms to human uses: linking nitrogen deposition, aquatic eutrophication, and ecosystem services",NA,more qualitative assessment,No,,
GV,Do riparian reserves support dung beetle biodiversity and ecosystem services in oil palm- dominated tropical landscapes?,Macro-scale,,Yes,riparian reserve width,
GV,Does Tree Species Composition Affect Productivity in a Tropical Planted Forest?,Local,,No,,
GV,"Earthworm functional traits, landscape degradation and ecosystem services in the Brazilian Amazon deforestation arc",Macro-scale,,No,measured at different scales but no analysis at different levels,
GV,Ecosystem multifunctionality is highly related to the shelterbelt structure and plant species diversity in mixed shelterbelts of eastern China,Macro-scale,,No,,
GV,"Ecosystem services assessment of the urban forests of Addis Ababa, Ethiopia",Macro-scale,"single city, but differences in urban forest density were checed",No,"area used to calculate biomass, but not as a predictor",
GV,Ecosystem services of collectively managed urban gardens: Exploring factors affecting synergies and trade-offs at the site level,Macro-scale,,Yes,correlation between services and site size,
GV,Ecosystem services returned through seagrass restoration,Local,,Yes,area of restored seagrass,coastal
GV,Effects of habitat composition and landscape structure on worker foraging distances of five bumble bee species,Macro-scale,,Yes,edge:area ratio,
GV,Effects of land-use change on wetland ecosystem services: A case study in the Donana marshes (SW Spain),Macro-scale,,No,area as response,wetland
GV,Effects of Morella faya tree invasion on aboveground carbon storage in Hawaii,Macro-scale,,No,,
GV,Emergy-based evaluation of pen-urban ecosystem services,Macro-scale,"unclear, mostly a framework paper with an example i think",No,,
