EcoServ,Response,Key word,Notes,EF,ES,no selection,Proxy for ES
HabCreate,maximum anchor ice,Abiotic characteristics of the landscape,maybe...ice,1,0,0,0
HabCreate,channel bed distribution,"Abiotic characteristics of the landscape, Hydrology",,1,0,0,0
freshWQReg,base flow,Abiotic characteristics of the landscape: aquatic,,0,1,0,0
HabCreate,dimensionless flow velocity,Abiotic characteristics of the landscape: aquatic,,1,0,0,0
HabCreate,discharge,Abiotic characteristics of the landscape: aquatic,,1,0,0,0
Hazards,average rate of falling tide,Abiotic characteristics of the landscape: aquatic,,0,0,1,0
freshWQReg,evapotranspiration,Abiotic characteristics of the landscape:aquatic,,1,0,0,1
HabCreate,cooling by vegetation,Abiotic characteristics of the landscape:terrestrial,,0,1,0,0
HabCreate,energy flow,Abitic characteristics of the landscape,vague,0,0,0,1
coastWQReg,denitrification,Aquatic Biogeochemistry,,1,0,0,0
coastWQReg,N and P excretion rates,Aquatic biogeochemistry,,0,0,1,0
coastWQReg,nitrate spiraling rates,Aquatic biogeochemistry,,0,0,1,0
coastWQReg,nitrate conc.,Aquatic biogeochemistry,,0,0,0,1
coastWQReg,nitrate spiraling rates,Aquatic biogeochemistry,,0,0,0,1
coastWQReg,nitrate/nitrite/phosphorous/BOD5/O2 concentrations in water,Aquatic biogeochemistry,,0,1,0,0
coastWQReg,nitrite conc.,Aquatic biogeochemistry,,0,0,0,1
coastWQReg,Nitrogen,Aquatic biogeochemistry,,0,0,0,1
coastWQReg,nitrogen and phosphorus retention,Aquatic biogeochemistry,,0,0,0,1
coastWQReg,nitrogen concentration,Aquatic biogeochemistry,,0,0,0,1
coastWQReg,NO3-N concentrations,Aquatic biogeochemistry,,1,0,0,0
OceanReg,carbonate production,Aquatic Biogeochemistry,,0,2,0,0
SoilProtect,Decomposition of leaf litter in freshwater systems,Aquatic Biogeochemistry,maybe,0,1,0,0
CulturePsych,biodiversity appreciation,Biodiversity,new category,0,1,0,0
CulturePsych,biodiversity condition,Biodiversity,new category,0,1,0,0
Food,biodiversity,Biodiversity,new category,0,0,0,1
HabCreate,biodiversity,Biodiversity,new category,0,0,0,2
HabCreate,biodiversity loss,Biodiversity,new category,0,0,0,1
HabCreate,biodiversity protection,Biodiversity,new category,1,1,0,0
HabCreate,biodiversity value of grasslands,Biodiversity,new category,0,0,0,1
MaintainOpts,Biodiversity,Biodiversity,new category,0,1,0,0
MaintainOpts,Biodiversity of seedlings,Biodiversity,new category,0,0,0,1
PestPath,biodiversity,Biodiversity,new category,0,0,0,1
Pollination,biodiversity composite score,Biodiversity,new category,0,0,0,1
CulturePsych,decrease in spring litter,Biotic characteristics of the lanscape,,0,0,0,1
ClimReg,canopy carbon,Carbon,,0,0,0,1
ClimReg,Carbon Capture,Carbon,,0,1,0,0
ClimReg,Carbon cycling (measured by enzyme activity),Carbon,,1,0,0,0
ClimReg,carbon emissions,Carbon,,0,0,0,1
ClimReg,carbon fluxes,Carbon,,0,0,0,1
ClimReg,carbon gain,Carbon,,0,1,0,0
ClimReg,carbon in trees per area,Carbon,,0,1,0,0
ClimReg,carbon per area,Carbon,,0,1,0,0
ClimReg,Carbon per tree,Carbon,,0,1,0,0
ClimReg,carbon seq. CO2 equivalent,Carbon,,0,1,0,0
ClimReg,carbon sequestration,Carbon,,0,2,1,2
ClimReg,Carbon sequestration,Carbon,,1,0,1,0
ClimReg,carbon sequestration in soils and biomass,Carbon,,0,1,0,0
ClimReg,carbon stock,Carbon,,0,2,0,0
ClimReg,Carbon stock,Carbon,,1,0,0,1
ClimReg,Carbon stocks,Carbon,,0,1,0,0
ClimReg,carbon storage,Carbon,,0,9,0,1
ClimReg,Carbon storage,Carbon,,0,6,0,0
ClimReg,CO2 efflux,Carbon,,0,1,0,1
ClimReg,CO2 emissions,Carbon,,0,1,0,0
ClimReg,CO2 flux,Carbon,,0,1,0,0
ClimReg,coarse veg area x avg. sequestration rate,Carbon,,0,1,0,0
ClimReg,Dilution and sequestration,Carbon,maybe,0,1,0,0
ClimReg,ecosystem carbon exchange,Carbon,,0,1,0,1
ClimReg,fine veg area x avg. sequestration rate,Carbon,,0,1,0,0
ClimReg,forest floor carbon pool,Carbon,,0,1,0,1
ClimReg,greenhouse gas value,Carbon,maybe expand the carbon bin to include all greenhouse gases,0,1,0,0
ClimReg,Greenhouse Gas Value (GHGV),Carbon,,0,1,0,0
ClimReg,Mg C per ha,Carbon,,0,0,1,0
ClimReg,Net C balance,Carbon,,0,1,0,0
OceanReg,carbon sequestation,Carbon,,0,1,0,0
SoilProtect,carbon storage,Carbon,,0,1,0,0
CulturePsych,birding experience (satisfaction),Characteristics of human population,,0,0,1,0
CulturePsych,cars or bicycles parked in front yard),Characteristics of human population,,0,0,0,1
CulturePsych,Disturbance (artificial light,Characteristics of human population,maybe,0,0,0,1
CulturePsych,effect on estate value,Characteristics of human population,,0,1,0,0
CulturePsych,human attitudes and preferences (i.e. ecosystem services-based traits):water use,Characteristics of human population,,0,1,0,0
CulturePsych,landscape aesthetics,Characteristics of human population,,0,1,0,0
CulturePsych,lawn furniture,Characteristics of human population,,0,0,0,1
CulturePsych,life satisfaction,Characteristics of human population,,0,0,0,1
CulturePsych,Love of nature,Characteristics of human population,,0,1,0,0
CulturePsych,Nature appreciation,Characteristics of human population,,0,1,0,0
CulturePsych,human and agricultural water consumption(access),"Characteristics of human population, land cover",,0,0,0,1
MaintainOpts,fire regeneration after fire,Characteristics of the landscape,both abiotic and biotic,0,0,1,0
coastWQReg,BOD,Characteristics of the landscape: aquatic,"no idea, maybe biochemical oxygen demand",0,0,0,1
HabCreate,biotic integrity score (rangeland health assessment),Characteristics of the landscape: terrestrial,both abiotic and biotic?,0,0,1,0
HabCreate,dune height,Characteristics of the landscape: terrestrial,,0,0,0,1
HabCreate,coral cover,Characteristics of the plot,,0,1,0,0
SoilProtect,burrow opening diameter,Characteristics of the plot,maybe Biotic characteristics of the landscape: terrestrial,1,0,0,0
CulturePsych,Garden-design,"Characteristics of the plot, Exploitation/harvest",,0,0,0,1
ClimReg,net oxygen production,ClimReg nutrients,,0,0,1,0
ClimReg,nitrogen,ClimReg nutrients,,0,1,0,0
ClimReg,Nitrogen storage,ClimReg nutrients,,0,1,0,0
CulturePsych,deer hunting,Exploitation/harvest,,0,1,0,0
CulturePsych,grass for hay,Exploitation/harvest,,0,0,0,1
CulturePsych,moose hunting,Exploitation/harvest,,0,1,0,0
CulturePsych,natural materials,Exploitation/harvest,maybe,0,1,0,0
CulturePsych,number of national reserves,Exploitation/harvest,too vague,0,0,0,1
Energy,barrels of oil equivalent,Exploitation/harvest,,0,1,0,0
Energy,hydro-energy potential,Exploitation/harvest,,0,1,0,0
Energy,hydropower,Exploitation/harvest,,0,0,0,1
Energy,Indicators (12 different indices),Exploitation/harvest,,1,1,0,0
Food,agricultural production,Exploitation/harvest,,0,2,0,0
Food,Agricultural production,Exploitation/harvest,,0,2,0,0
Food,Agricultural revenue,Exploitation/harvest,money category?,0,1,0,1
Food,black duck hunting,Exploitation/harvest,,0,1,0,0
Food,brook trout angling,Exploitation/harvest,,0,1,0,0
Food,cattle,Exploitation/harvest,,0,1,0,0
Food,cloud berry picking,Exploitation/harvest,,0,1,0,0
Food,commercially harvested fungi richness,Exploitation/harvest,,0,1,0,1
Food,community garden,Exploitation/harvest,,0,1,0,0
Food,crop production,Exploitation/harvest,,0,1,0,1
Food,Crop production,Exploitation/harvest,,0,1,1,0
Food,Crop revenue,Exploitation/harvest,,0,1,0,0
Food,crop variation,Exploitation/harvest,,0,0,1,0
Food,crop yield,Exploitation/harvest,,0,4,0,0
Food,Crop yield,Exploitation/harvest,,0,0,1,0
Food,ear mass,Exploitation/harvest,,0,0,0,1
Food,Edible mushroom yield,Exploitation/harvest,,0,1,0,0
Food,fiber,Exploitation/harvest,maybe,0,1,0,0
Food,Field derived production,Exploitation/harvest,maybe Productivity,0,1,0,1
Food,fish aquaculture,Exploitation/harvest,,0,1,0,0
Food,fish harvesting,Exploitation/harvest,,0,1,0,0
Food,fish landings,Exploitation/harvest,,0,0,1,0
Food,fish yield,Exploitation/harvest,,0,1,0,1
Food,fisheries yield,Exploitation/harvest,,0,1,0,0
Food,Food,Exploitation/harvest,,1,1,0,0
Food,food cultivation area,Exploitation/harvest,,0,0,1,0
Food,food production,Exploitation/harvest,,0,1,0,0
Food,food supply,Exploitation/harvest,,0,1,0,0
Food,forage production,Exploitation/harvest,,0,1,0,0
