CSVrowID,Round2_reviewer1,Round2_reviewer2,Number,MeetsCriteria_matches,Round1_reviewer,Comments,FirstAuthor,Title,AuthorsFull,SourcePublication,Abstract,PublicationDate,PublicationYear,completedQualtrics,QualtricsNotes,EmailNoteToCaitlin,CompletedEmailNoteToCaitlin
165,Isabel,Claire,634,1,Laura,NA,Rhodes,"Diatoms to human uses: linking nitrogen deposition, aquatic eutrophication, and ecosystem services","Rhodes, Charles; Bingham, Andrew; Heard, Andrea M.; Hewitt, Julie; Lynch, Jason; Waite, Randall; Bell, Michael D.",ECOSPHERE,"Nitrogen (N) loading to aquatic ecosystems can lead to eutrophication, changing the ecosystem within a waterbody, including primary productivity, water clarity, and food web dynamics. Nutrient loading often first affects the primary productivity of aquatic systems through shifts in phytoplankton communities. However, ecologically important changes in phytoplankton are often not relatable to the general public-whose behavior would need to change to alter patterns of nutrient loading. Therefore, we use the STressor-Ecological Production function-final ecosystem Services Framework to develop 154 chains that link changes in biological indicators of aquatic eutrophication (a shift in phytoplankton community) to final ecosystem services that people use or appreciate. We identify 13 ecological production functions (EPF) within three different ecosystems (alpine lakes, lakes, and estuaries) that connect changes in phytoplankton and algae to ecological endpoints that the general public and policy makers can appreciate. Using the Final Ecosystem Goods and Services Classification System, we identify 18 classes of human beneficiaries that potentially will be impacted by a change in one of these endpoints. We further assign strength-of-science scores to each link within the EPFs for the 154 chains according to how well each link is supported by current peer-reviewed literature. By identifying many pathways through which excess N loading in U. S. surface waters can affect ecosystems and ultimately the beneficiaries of ecosystem services, this work intends to draw attention to gaps in empirical ecological literature that constrain understanding of the magnitude of effects that excess N loading can have on human well-being. Results highlight the importance of intersections between the natural and social sciences when managers and policy makers evaluate impacts from ecological stressors. A balance between knowledgeable specialists proved key to applying this approach and will continue to remain important.",JUL,2017,y,"listed all ecological endpoints/FEGS metrics in green across figures: water clarity, submerged aquatic vegetation coverage, presence of submerged aquatic vegetation-dependent fish and waterfowl,diversity of algal and bacterial communities, presence and abundance of fish, fish size, presence and abundance of submerged macrophytes, abundance of zooplankton, presence and abundance of terrestrial consumers, macroinvertebrate abundance and composition; addressed thresholds by discussing critical loads of atmospheric N deposition; whole paper was unclear about study locations and data sources to power their model; also jumped to focusing on ecological endpoints but didn’t really talk about specific ecosystem services for better classification for our survey Q12 but I inferred that most seemed to be lumped into freshwater quality; ",didn't have a Global Freshwater option but that would be the most suitable as its more of a conceptual modeling diatom science to ES paper,y
156,Isabel,Anna,211,0,Aislyn,NA,Jiang,China's progress towards sustainable land degradation control: Insights from the northwest arid regions,"Jiang, Chong; Liu, Junguo; Zhang, Haiyan; Zhang, Zhidong; Wang, Dewang",ECOLOGICAL ENGINEERING,"Soil erosion is a widespread environmental problem, which threatens the environmental sustainability. The northwest arid region (NAR) in China is known as one of the most severe soil loss in the world that suffering from wind erosion. Based on the Revised Wind Erosion Equation (RWEQ), the spatio-temporal change of wind erosion was identified, and the underlying drivers and influencing factors of soil erosion process were investigated. In addition, the implications of constraint effects in soil erosion control were discussed. The results showed that the wind erosion from 1990 to 2013 was substantially lessened, and the government-aided desertification prevention and control programs, as well as increasing precipitation and decreasing wind speed might have contributed to these trends. The constraint line analyses indicated that the vegetation cover had nonlinear and threshold effects on soil erosion through constraining the water condition (precipitation). Specifically, when the precipitation is below the threshold (approximately 50-100 mm yr(-1) in the NAR), the precipitation (water condition) is not sufficient to maintain a good vegetation cover (about 20-40%), therefore the vegetation cannot efficiently prevent wind erosion. However, once the precipitation exceeds this threshold, the vegetation's sand retention function will enhance and thereby reducing soil loss substantially. Vegetation cover has a lower and an upper threshold for controlling wind erosion. A plant cover lower than 10% does little to reduce wind velocity at the soil surface. The effect of vegetation on reducing wind erosion basically reaches the maximum when plant cover is 40% or above. The constraint effects of precipitation on vegetation cover in the arid region should be considered to improve the efficiency of afforestation and reforestation efforts aiming at mitigating and preventing soil loss.",FEB,2019,y,this paper didn't explicitly talk about ecosystem functions or ecosystem services in general nor in terms of their measured variables so that is why I left the q12 'paper reported response variables as...' blank; it did stay in since it didn't quite fall into the initial exclusion questions in this qualtrics survey,q6 should have been observational,y
160,Isabel,Claire,794,1,Julie,"Include if flood depth, flood duration, and riparian nutrients are proxies for EF/ES; Relevant driver is land management (type of restoration)",Nilsson,How Do Biota Respond to Additional Physical Restoration of Restored Streams?,"Nilsson, Christer; Sarneel, Judith M.; Palm, Daniel; Gardestrom, Johanna; Pilotto, Francesca; Polvi, Lina E.; Lind, Lovisa; Holmqvist, Daniel; Lundqvist, Hans",ECOSYSTEMS,"Restoration of channelized streams by returning coarse sediment from stream edges to the wetted channel has become a common practice in Sweden. Yet, restoration activities do not always result in the return of desired biota. This study evaluated a restoration project in the Vindel River in northern Sweden in which practitioners further increased channel complexity of previously restored stream reaches by placing very large boulders (> 1 m), trees (> 8 m), and salmonid spawning gravel from adjacent upland areas into the channels. One reach restored with basic methods and another with enhanced methods were selected in each of ten different tributaries to the main channel. Geomorphic and hydraulic complexity was enhanced but the chemical composition of riparian soils and the communities of riparian plants and fish did not exhibit any clear responses to the enhanced restoration measures during the first 5 years compared to reaches restored with basic restoration methods. The variation in the collected data was among streams instead of between types of restored reaches. We conclude that restoration is a disturbance in itself, that immigration potential varies across landscapes, and that biotic recovery processes in boreal river systems are slow. We suggest that enhanced restoration has to apply a catchment-scale approach accounting for connectivity and availability of source populations, and that low-intensity monitoring has to be performed over several decades to evaluate restoration outcomes.",JAN,2017,y,,should have selected proxy for EF,y
151,Isabel,Claire,1921,1,Nick,NA,DeWilde,"Human impacts on the fire regime of interior Alaska: Interactions among fuels, ignition sources, and fire suppression","DeWilde, La'ona; Chapin, F. Stuart, III",ECOSYSTEMS,"Wildfire is the major natural agent of disturbance in interior Alaska. We examined the magnitude of human impact on fire by comparing fire regime between individual 1-km(2) grid cells designated for fire suppression with lands where fires are allowed to burn naturally. Two-thirds of interior Alaska has an essentially natural fire regime, with few human ignitions, negligible suppression activity, and many large lightning-caused fires. In the 17% of land that is designated for fire suppression due to its proximity to communities and roads, there was a 50% reduction in the proportion of area burned from 1992-2001, relative to areas without suppression. The remaining 16% of land serves as a buffer, receives some suppression, and has an intermediate fire regime. Even though there were 50 times more fires and the fire season began two months earlier in lands designated for suppression, most of these fires were lit by people and remained small because fires tended to occur at times and places less favorable for fire spread and were more accessible to fire fighters compared to lands not designated for suppression. Even in the absence of fire suppression, human-caused fires were less likely to exceed 400 ha compared to lightning-caused fires. Fire suppression reduced area burned in all fuel types but was somewhat more effective in less flammable (non-forest) vegetation. Alaska's fire policy of focusing suppression efforts on a small proportion of the fire-prone region maximizes the ecological and social benefits associated with fire-dependent ecosystem services, while minimizing the social and ecological costs of suppression. Application of this policy to other areas would require well-informed managers and stakeholders to make difficult decisions about the relative costs and benefits of fire across ecologically and culturally variable landscapes.",DEC,2006,y,"answered yes to Q3 since this shouldnt be inclued but seems a bit convoluted to consider size of different forest types as just 'abundance'; paper focused on metrics like area burned and only mentioned that 'fire provides social benefits by reducing future fire risk and rejuvenating those ecosystem services that characterize early and mid-successional stands. These include mushrooms, berries, moose, and fur-bearers'",,NA
142,Isabel,Claire,1846,1,Nick,"At first glance this does not seem like an ecosystem service paper, but it talks about maintaining biodiversity as a way of minimizing disease to humans, and spread of pathogens which I think makes it pass",Allan,Ecological correlates of risk and incidence of West Nile virus in the United States,"Allan, Brian F.; Langerhans, R. Brian; Ryberg, Wade A.; Landesman, William J.; Griffin, Nicholas W.; Katz, Rachael S.; Oberle, Brad J.; Schutzenhofer, Michele R.; Smyth, Kristina N.; de St. Maurice, Annabelle; Clark, Larry; Crooks, Kevin R.; Hernandez, Daniel E.; McLean, Robert G.; Ostfeld, Richard S.; Chase, Jonathan M.",OECOLOGIA,"West Nile virus, which was recently introduced to North America, is a mosquito-borne pathogen that infects a wide range of vertebrate hosts, including humans. Several species of birds appear to be the primary reservoir hosts, whereas other bird species, as well as other vertebrate species, can be infected but are less competent reservoirs. One hypothesis regarding the transmission dynamics of West Nile virus suggests that high bird diversity reduces West Nile virus transmission because mosquito blood-meals are distributed across a wide range of bird species, many of which have low reservoir competence. One mechanism by which this hypothesis can operate is that high-diversity bird communities might have lower community-competence, defined as the sum of the product of each species' abundance and its reservoir competence index value. Additional hypotheses posit that West Nile virus transmission will be reduced when either: (1) abundance of mosquito vectors is low; or (2) human population density is low. We assessed these hypotheses at two spatial scales: a regional scale near Saint Louis, MO, and a national scale (continental USA). We found that prevalence of West Nile virus infection in mosquito vectors and in humans increased with decreasing bird diversity and with increasing reservoir competence of the bird community. Our results suggest that conservation of avian diversity might help ameliorate the current West Nile virus epidemic in the USA",JAN,2009,y,,,NA
143,Isabel,Anna,1604,1,Grant,NA,Becker,Increasing antagonistic interactions cause bacterial communities to collapse at high diversity,"Becker, Joachim; Eisenhauer, Nico; Scheu, Stefan; Jousset, Alexandre",ECOLOGY LETTERS,"Biodiversity is a major determinant of ecosystem functioning. Species-rich communities often use resources more efficiently thereby improving community performance. However, high competition within diverse communities may also reduce community functioning. We manipulated the genotypic diversity of Pseudomonas fluorescens communities, a plant mutualistic species inhibiting pathogens. We measured antagonistic interactions in vitro, and related these interactions to bacterial community productivity (root colonisation) and ecosystem service (host plant protection). Antagonistic interactions increased disproportionally with species richness. Mutual poisoning between competitors lead to a negative complementarity effect, causing a decrease in bacterial density by up to 98% in diverse communities and a complete loss of plant protection. The results emphasize that antagonistic interactions may determine community functioning and cause negative biodiversityecosystem functioning relationships. Interference competition may thus be an additional key for predicting the dynamics and performance of natural assemblages and needs to be implemented in future biodiversity models.",MAY,2012,y,only measured an EF - host plant protection - but called it a service - stopped qualtrics at Q3 but check that this is right,,NA
144,Isabel,Claire,1074,0,Travis,Good paper looking at how experimental deforestation impacts multiple ecosystem services ( mostly water based services ),Beier,Measuring ecosystem capacity to provide regulating services: forest removal and recovery at Hubbard Brook (USA),"Beier, Colin M.; Caputo, Jesse; Groffman, Peter M.",ECOLOGICAL APPLICATIONS,"In this study, by coupling long-term ecological data with empirical proxies of societal demand for benefits, we measured the capacity of forest watersheds to provide ecosystem services over variable time periods, to different beneficiaries, and in response to discrete perturbations and drivers of change. We revisited one of the earliest ecosystem experiments in North America: the 1963 de-vegetation of a forested catchment at Hubbard Brook Experimental Forest in New Hampshire, USA. Potential benefits of the regulation of water flow, water quality, greenhouse gases, and forest growth were compared between experimental (WS 2) and reference (WS 6) watersheds over a 30-year period. Both watersheds exhibited similarly high capacity for flow regulation, in part because functional loads remained low (i.e., few major storm events) during the de-vegetation period. Drought mitigation capacity, or the maintenance of flows sufficient to satisfy municipal water consumption, was higher in WS 2 due to reduced evapotranspiration associated with loss of plant cover. We also assessed watershed capacity to regulate flows to satisfy different beneficiaries, including hypothetical flood averse and drought averse types. Capacity to regulate water quality was severely degraded during de-vegetation, as nitrate concentrations exceeded drinking water standards on 40% of measurement days. Once forest regeneration began, WS 2 rapidly recovered the capacity to provide safe drinking water, and subsequently mitigated the eutrophication potential of rainwater at a marginally higher level than WS 6. We estimated this additional pollution removal benefit would have to accrue for approximately 65-70 years to offset the net eutrophication cost incurred during forest removal. Overall, our results affirmed the critical role of forest vegetation in water regulation, but also indicated trade-offs associated with forest removal and recovery that partially depend on larger-scale exogenous changes in climate forcing and pollution inputs. We also provide a starting point for integrating long-term ecological research and modeling data into ecosystem services science.",OCT,2015,y,,,NA
145,Isabel,Anna,291,1,Aislyn,NA,Blomberg,Habitat assessment of a restored oyster reef in South Texas,"Blomberg, Brittany N.; Palmer, Terence A.; Montagna, Paul A.; Pollack, Jennifer Beseres",ECOLOGICAL ENGINEERING,"Oyster reefs are important foundational habitats and provide many ecosystem services. A century of habitat degradation has resulted in substantial reductions in the extent and quality of oyster reefs in many estuaries, thus spurring restoration efforts. In this study, a 1.5 ha oyster reef complex was constructed in Copano Bay, Texas to restore habitat for oysters and associated fauna. Oysters and resident and transient fishes and crustaceans were monitored at the restored reef as well as at nearby natural oyster reef and unrestored bottom (i.e., dense mud with shell hash) habitats for two years following reef construction. The restored reef had substantial oyster recruitment and growth, with oyster abundance and size comparable to nearby habitats within the first year. Resident and transient fauna communities recruited to the restored reef within six months post-construction, and abundance and diversity were comparable to nearby habitats. Significant changes observed in oyster densities between the first and second year post-restoration demonstrate the importance of monitoring over multiple years to capture multiple recruitment cycles and growth to market size. Nekton densities did not change significantly after the first year, but changes in community assemblages were observed through the end of the study. The high densities of oysters and resident nekton relative to other studies indicate that this restoration project was successful in restoring suitable habitat. The design of the reef complex, consisting of relatively high-relief reef mounds and deeper corridors, likely contributed to the relatively high oyster and nekton densities observed in this study. Overall, the restored reef in this study showed tremendous near-term success in providing important ecological functions associated with habitat provision and oyster production.",43753,2018,y,,,NA
146,Isabel,Claire,601,1,Laura/Caitlin,"CTW re-evaluated for Q8 -- LD marked as does NOT measure EF or ES directly, but I think it does because it's looking at forest degradation(by size and % disturbance) based on distance to human activity and also looks at abundance of native taxa... here sacred forests are used for cultural/spritual ES's.. but there is no direct linkage from forest EF to ES, so I think this will definitely get dropped in round 2 of review, but passing on to third reviewer to let them be the tie-breaker",Cardelus,Shadow conservation and the persistence of sacred church forests in northern Ethiopia,"Cardelus, Catherine L.; Scull, Peter; Eshete, Alemayehu Wassie; Woods, Carrie L.; Klepeis, Peter; Kent, Eliza; Orlowska, Izabela",BIOTROPICA,"Land-use change threatens biodiversity and ecosystem function worldwide. These changes have impacts on weather patterns, carbon storage, biodiversity, and other ecosystem services from regional to local scales. Only 8 percent of tropical forests are formally recognized as conservation areas, however globally, there is a network of sites that are protected because they are sacred and as a result act as shadow' conservation for biodiversity. Unlike other types of protected sites (e.g., national parks), these sites are seats of religious ritual that anchor a community's cultural identity, while also conserving biological diversity and other ecosystem services. We studied the extent and status of sacred forests in northern Ethiopia, which are threatened because of their small size (similar to 5ha) and isolation, increasing their exposure to edge effects and human pressures. Using historical and modern imagery, we found that over the last 50yr, sacred forests have increased in area, but decreased in crown closure. We also found that forest ecological status, via ground-level investigation, had high mean human disturbance (e.g., trails, plantations, exotic planting; 37%); and that forests close to markets (e.g., cities) increased in area due to planting of Eucalyptus (exotic), indicating a potential threat to their persistence and value as shelters of the church.",SEP,2017,y,"may want to revisit, see qualtrics comments",,NA
147,Isabel,Claire,271,2,Aislyn,NA,Chen,"Differences in macrobenthic faunal communities in mangrove wetland habitats (Zhanjiang, China) invaded and non-invaded by exotic cordgrass Spartina alterniflora","Chen, Quan; Jian, Shuguang; Ma, Keming; Chen, Pimao",ECOLOGICAL RESEARCH,"Mangroves are essential for maintaining local biodiversity and human well-being, and mangrove structure and functioning depend on the macrobenthos. Although exotic cordgrass, Spartina alterniflora, is an increasing threat to the mangrove wetlands (including the associated unvegetated shoals) of China, its effects on the macrobenthic fauna in such wetlands is poorly understood. The macrobenthic faunal communities were compared in (1) an Avicennia marina monoculture vs. an S. alterniflora-invaded A. marina stand (a mixture of A. marina and S. alterniflora) and in (2) an unvegetated shoal vs. an S. alterniflora-invaded shoal that had rapidly become an S. alterniflora monoculture in Zhanjiang, China. S. alterniflora invasion significantly increased plant density regardless of invaded habitat but significantly increased the contents of total carbon, organic matter, and total sulfur in the sediment only in the unvegetated shoal. The presence of S. alterniflora had little influence on indices of the macrobenthic faunal community in the A. marina monoculture, but significantly decreased the density and biomass of macrobenthic faunal community in the unvegetated shoal. These results indicate that the effects of S. alterniflora on the macrobenthic faunal community depend on which type of mangrove habitat is invaded. The composition of the macrobenthic faunal community was more similar between the invaded and non-invaded A. marina stand than between the invaded and non-invaded unvegetated shoal. Overall, the differences in the macrobenthic faunal community between invaded and non-invaded habitats were associated with increases in the sediment organic matter content and plant density.",NOV,2018,y,yes to q3,,NA
