Exclude_yes/no_nbd,NBD_Notes,assess_date,exclude_LD,Reason_LD,newcase,doublerev,ResponseId,Init,Title,exclude,exclude_notes,flag_inconsistent,SurveyNotes,FirstAuthor,PublicationYear,SourcePublication,Abstract
,,4/22/20,TRUE,Q3 - Framework/method,FALSE,FALSE,R_2S9uj14seoj3ZfG,AIS,A framework to quantify the strength of ecological links between an environmental stressor and final ecosystem services,Maybe,uncertainy in survey notes,FALSE,"This was a challenging paper for me to read. Its main message is proposing a framework, but the authors also apply this framework to a case study, which I based my answers in this survey off of. Between use of terminology I don't know and vague description of the data, I struggled to do this paper justice, I fear.",Bell,2017,ECOSPHERE,"Anthropogenic stressors such as climate change, increased fire frequency, and pollution drive shifts in ecosystem function and resilience. Scientists generally rely on biological indicators of these stressors to signal that ecosystem conditions have been altered. However, these biological indicators are not always capable of being directly related to ecosystem components that provide benefits to humans and/or can be used to evaluate the cost-benefit of a change in health of the component (ecosystem services). Therefore, we developed the STEPS (Stressor-Ecological Production function-final ecosystem Services) Framework to link changes in a biological indicator of a stressor to final ecosystem services. The STEPS Framework produces ""chains"" of ecological components that explore the breadth of impacts resulting from the change in a stressor. Chains are comprised of the biological indicator, the ecological production function (EPF, which uses ecological components to link the biological indicator to a final ecosystem service), and the user group who directly uses, appreciates, or values the component. The framework uses a qualitative score (high, medium, low) to describe the strength of science (SOS) for the relationship between each component in the EPF. We tested the STEPS Framework within a workshop setting using the exceedance of critical loads of air pollution as a model stressor and the Final Ecosystem Goods and Services Classification System (FEGS-CS) to describe final ecosystem services. We identified chains for four modes of ecological response to deposition: aquatic acidification, aquatic eutrophication, terrestrial acidification, and terrestrial eutrophication. The workshop participants identified 183 unique EPFs linking a change in a biological indicator to a FEGS; when accounting for the multiple beneficiaries, we ended with 1104 chains. The SOS scores were effective in identifying chains with the highest confidence ranking as well as those where more research is needed. The STEPS Framework could be adapted to any system in which a stressor is modifying a biological component. The results of the analysis can be used by the social science community to apply valuation measures to multiple or selected chains, providing a comprehensive analysis of the effects of anthropogenic stressors on measures of human well-being."
,,4/22/20,TRUE,Q1,TRUE,FALSE,R_3nkJM8cj2M1w727,SDJ,Accounting for residential propagule pressure improves prediction of urban plant invasion,Maybe,uncertainy in survey notes,FALSE,"They are kind of getting at connectivity with their study question which is about how neighboring residences increase invasive species propagules, which influences their p/a in forests. But they did not measure that connection directly. The ""function"" was a human-mediated invasion pressure"". So kind of the opposite of a function",Davis,2016,ECOSPHERE,"Plant invasions substantially impact the ecosystem services provided by forests in urbanizing regions. Knowing where invasion risk is greatest helps target early detection and eradication efforts, but developing an accurate predictive model of invasive species presence and spread on the basis of habitat suitability remains a challenge due to spatial variation in propagule pressure (the number of individuals released) which is likely conflated with suitability. In addition to neighborhood propagule pressure that originates with propagules dispersing from naturalized populations within invaded habitats, we expect residential propagule pressure arising from the widespread use of exotic plants in the yards of single-family residences to be an important driver of invasions, and to notably improve the predictive accuracy of species distribution models (SDMs). To this end, we collected presence/absence data for a widespread forest invader, Ligustrum sinense (Chinese privet), from 400 stratified random plots located along an urban gradient across the Charlotte, North Carolina metropolitan area. We assessed the relative contribution of residential propagule pressure and neighborhood propagule pressure to improving the predictive performance of a probit SDM for Chinese privet that only contains environmental predictors. Our results indicate that, although the environment-only model predicted the highest geographic area to be at risk of invasion by privet, it also had the highest rate of failure to accurately predict observed privet occurrences as indicated by the omission (incorrectly predicted absence) and commission (incorrectly predicted presence) error rates. Accounting for residential propagule pressure substantially improved model performance by reducing the omission error by nearly 50%, thereby improving upon the ability of the model to predict privet invasion in suboptimal habitat. Given that this increase in detection was accompanied by a decrease in the geographic area predicted at risk, we conclude that SDMs for invasive exotic shrubs and potentially for other synanthropic generalist plants may be highly inefficient when residential propagule pressure is not accounted for. Accounting for residential propagule pressure in models of invasive plants results in a more focused and accurate prediction of the area at risk, thus enabling decision makers to feasibly prioritize regional scale monitoring and control efforts."
,,4/22/20,TRUE,Q3 - Methods,FALSE,TRUE,R_2dfNb7wNwTVi3Kg,AIS,An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins,Keep,,TRUE,,Johnston,2017,ECOLOGICAL MODELLING,"We demonstrate a novel, spatially explicit assessment of the current condition of aquatic ecosystem services, with limited sensitivity analysis for the atmospheric contaminant mercury. The Integrated Ecological Modeling System (IEMS) forecasts water quality and quantity, habitat suitability for aquatic biota, fish biomasses, population densities, productivities, and contamination by methylmercury across head-water watersheds. We applied this IEMS to the Coal River Basin (CRB), West Virginia (USA), an 8-digit hydrologic unit watershed, by simulating a network of 97 stream segments using the SWAT watershed model, a watershed mercury loading model, the WASP water quality model, the PiSCES fish community estimation model, a fish habitat suitability model, the BASS fish community and bioaccumulation model, and an ecoservices post-processer. Model application was facilitated by automated data retrieval and model setup and updated model wrappers and interfaces for data transfers between these models from a prior study. This companion study evaluates baseline predictions of ecoservices provided for 1990-2010 for the population of streams in the CRB and serves as a foundation for future model development. Published by Elsevier B.V."
,"The primary purpose of this study was to demonstrate a spatially explicit, watershed assessment of current condition of aquatic ecoservices, with a limited sensitivity analysis for the atmospheric contaminant mercury.",4/22/20,TRUE,Q3 - Methods,FALSE,TRUE,R_SMB94nDu1Rxnw89,AK,An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins,Maybe,uncertainy in survey notes,TRUE,"Honestly, this was a bit confusing. The paper mainly focused on the benefits of the model and the details of it. ",Johnston,2017,ECOLOGICAL MODELLING,"We demonstrate a novel, spatially explicit assessment of the current condition of aquatic ecosystem services, with limited sensitivity analysis for the atmospheric contaminant mercury. The Integrated Ecological Modeling System (IEMS) forecasts water quality and quantity, habitat suitability for aquatic biota, fish biomasses, population densities, productivities, and contamination by methylmercury across head-water watersheds. We applied this IEMS to the Coal River Basin (CRB), West Virginia (USA), an 8-digit hydrologic unit watershed, by simulating a network of 97 stream segments using the SWAT watershed model, a watershed mercury loading model, the WASP water quality model, the PiSCES fish community estimation model, a fish habitat suitability model, the BASS fish community and bioaccumulation model, and an ecoservices post-processer. Model application was facilitated by automated data retrieval and model setup and updated model wrappers and interfaces for data transfers between these models from a prior study. This companion study evaluates baseline predictions of ecoservices provided for 1990-2010 for the population of streams in the CRB and serves as a foundation for future model development. Published by Elsevier B.V."
,,4/22/20,TRUE,noprocess measured,TRUE,TRUE,R_2f3NU41UYa1zNoB,JL,"Analysing scale, quality and diversity of green infrastructure and the provision of Urban Ecosystem Services: A case from Mexico City",Maybe,uncertainy in survey notes,FALSE,"I include no relationships between services and drivers because I don't believe the paper tests them; the paper does look at the effect of scale on how we might value and interpret the supply and delivery of ES's, so I evaluated it, but I don't think it clearly tests any other ecological questions about ES's",Calderon-Contreras,2017,ECOSYSTEM SERVICES,"Fostering urban resilience requires a social-ecological systems approach that considers the ecological and social feedbacks of cities. In this paper we argue that Urban Ecosystem Services (UES) could increase urban resilience; and that resilient UES depends directly on the quantity, quality and diversity of the green infrastructure that produces them. The case of the western boundaries of Mexico City is used to map and assess these issues. We classified the different settings of green infrastructure as Service Providing Units (SPUs) and identified their provision of UES through remote sensing techniques; the Normalized Difference Vegetation Index (NDVI) combined with fieldwork verification in two scales of analysis, the local and regional. The results reveal that the vast majority of green infrastructure has low quality, hindering the provision of the UES required for building Mexico City ' s resilience. At the regional scale, the growing pressures of urban development and the consequent reduction of SPUs threatens the delivery of provisioning ecosystem services while at the local scale, the low quality of SPUs threatens the provision of regulating ecosystem services. We argue that addressing these challenges could improve the design and implementation of environmental decision-making and urban policy towards more resilient urban social-ecological systems."
,,4/22/20,TRUE,noprocess measured,TRUE,TRUE,R_zdGYxF9sVeRUgWl,TK,"Analysing scale, quality and diversity of green infrastructure and the provision of Urban Ecosystem Services: A case from Mexico City",Maybe,uncertainy in survey notes,FALSE,tough paper to review because defining what were their response variables was difficult,Calderon-Contreras,2017,ECOSYSTEM SERVICES,"Fostering urban resilience requires a social-ecological systems approach that considers the ecological and social feedbacks of cities. In this paper we argue that Urban Ecosystem Services (UES) could increase urban resilience; and that resilient UES depends directly on the quantity, quality and diversity of the green infrastructure that produces them. The case of the western boundaries of Mexico City is used to map and assess these issues. We classified the different settings of green infrastructure as Service Providing Units (SPUs) and identified their provision of UES through remote sensing techniques; the Normalized Difference Vegetation Index (NDVI) combined with fieldwork verification in two scales of analysis, the local and regional. The results reveal that the vast majority of green infrastructure has low quality, hindering the provision of the UES required for building Mexico City ' s resilience. At the regional scale, the growing pressures of urban development and the consequent reduction of SPUs threatens the delivery of provisioning ecosystem services while at the local scale, the low quality of SPUs threatens the provision of regulating ecosystem services. We argue that addressing these challenges could improve the design and implementation of environmental decision-making and urban policy towards more resilient urban social-ecological systems."
Exclude,Based on Nick et als methods review,4/22/20,TRUE,weed and crop pest species,FALSE,FALSE,R_3UXMx75t97OUqs1,AK,Arable weeds as indicators of agricultural intensity - A case study from Finland,Maybe,uncertainy in survey notes,FALSE,I wasn't sure if this paper should've been included. It almost seems like it stops at biodiversity but it mentions implications for ES. Also - the paper quantified diversity for animal groups based on weed index. ,Hyvonen,2008,BIOLOGICAL CONSERVATION,"The study aimed at developing an agro-biodiversity indicator based on trophic interactions between 25 common arable weeds and individual groups of farmland birds, pollinators (wild bees), phytophagous insects and insect pests. Each weed species was weighted based on the number of reported linkages with each animal group. Four biodiversity indices based on these weights were constructed and applied to exploring the ecological consequences of long-term changes in weed populations in Finland. Data were used from weed surveys of Finnish spring cereal fields conducted in the 1960s, 1980s and 1990s. The relative importance of weed species varied according to animal groups. Annual weed species able to produce numerous seeds were important for the farmland birds and some perennial weed species were important for the pollinators. The highest number of linkages was established between weed species and phytophagous insects. The number of harmful pest species associated with broad-leaved weeds was low for all species. The general pattern of changes in values of indices over recent decades was similar: there was a marked decline in the values between the 1960s and the 1980s, and a slight increase between the 1980s and the 1990s. These changes were regarded as being a consequence of changes in the intensity of agricultural practices. The slowest recovery of the values was for pollinators. The results suggest that the ecological consequences of changes in the intensity of agriculture can be explored with the aid of a biodiversity indicator based on species interactions. Owing to the differences in the importance of weed species for different animal groups, maintaining weed species richness is necessary to ensure ecosystem services are provided for the higher trophic levels in farmland. (c) 2008 Elsevier Ltd. All rights reserved."
,stopped at diversity,4/22/20,TRUE,Q1,FALSE,FALSE,R_12LTy7jbBE8ZpVJ,CW,"BIMBY's first steps: a pilot study on the contribution of residential front-yards in Phoenix and Maastricht to biodiversity, ecosystem services and urban sustainability",Maybe,uncertainy in survey notes,FALSE,"I'm not totally sure this paper should count towards our tallies for figure. X variables explaining ES provisioning are basically garden-design type and location (not an actual ESP or process). Table also report summary stats (e.g. % observed), not effect of type or location on the y-var. Study does quantify a variety of ES's though based on these two x variables and intro is clear in its intention about wanting to study factors that contribute to ES provisioning sensu Costanza and the MEA. It's also difficult to assess what ""Total Diversity"" encapsulates (is not ecological diversity) because it's a composite index from a Biodiversity in my backyard (BIMBY) framework, and methods doesn't state which metrics go into that index.",Beumer,2016,URBAN ECOSYSTEMS,"Large parts of urban space around the world exist of small-scale plots such as domestic gardens. These small-scale urban spaces carry potential for enhancing biodiversity, sustainability and ecosystem services in and beyond cities. However, domestic gardening and residential garden designs are often guided by aesthetics and ease more than by the aim to create habitat and biological diversity. Yard-management decisions impact socio-ecological systems in various ways, for example through irrigation patterns, fertilization or the use of pesticides or through the choice for exotic species that may become invasive over time. Yard-management decisions can also positively influence the presence of pollinators, improve soil quality or even foster small scale 'Wildlife Habitats' that can function as ecological stepping stones to the wider environment. In this paper a pilot assessment is presented of the contribution of residential front-yards in Phoenix (Arizona) and Maastricht (The Netherlands) to biodiversity, ecosystem services and sustainability by applying the BIMBY (Biodiversity in My (Back) Yard) framework."
,seems like it stops at BD based on abstrcr,4/22/20,TRUE,Q1,FALSE,TRUE,R_T8b3xew0rVQL489,AIS,"Changes in landuse alter ant diversity, assemblage composition and dominant functional groups in African savannas",Maybe,uncertainy in survey notes,TRUE,"almost marked ""yes"" on Q3",Mauda,2018,BIODIVERSITY AND CONSERVATION,"Africa's savannas are undergoing rapid conversion from rangelands into villages and croplands. Despite limited research, and evidence of deleterious effects to biodiversity, international organisations have earmarked this system for cropland. Invertebrates, and ants in particular, are sensitive indicators of habitat fragmentation, and contribute to ecosystem services at a range of scales. We investigated how rangelands, villages and croplands differ in ant species and functional diversity, and assemblage composition. We sampled ants using pitfall traps at 42 sites (14 replicates each in rangeland, cropland, and village) in northern South African savannas. We investigated the impact of landuse, season, and multiple soil and vegetation habitat variables on ant species diversity, assemblages and functional diversity. Rangelands had the greatest ant species richness, particularly in the wet season. Richness declined with increasing soil clay content. Ant assemblages were distinctly different between landuse types. Rangeland harboured the widest diversity of indicator species, and contained greatest functional diversity. Rangelands accommodated more scavengers, granivores, and plant-matter feeders than cropland, and representation of these groups varied with season. Ants play essential roles in soil nutrient cycling, plant and seedling recruitment, and impact other arthropods through predation and aphidoculous behaviour that in turn influences entire food webs. Thus, the reduced species richness, changes in assemblage composition and the loss of functional groups in ant assemblages found in cropland and villages is potentially problematic. Left unchallenged, these new forms of landuse threaten to characterise the entire African savanna system, impacting not only future ecological, but possibly also human wellbeing."
,,4/22/20,TRUE,Q1 ,FALSE,TRUE,R_3HTv5CGg1jUKNEG,AK,"Changes in landuse alter ant diversity, assemblage composition and dominant functional groups in African savannas",Keep,,TRUE,,Mauda,2018,BIODIVERSITY AND CONSERVATION,"Africa's savannas are undergoing rapid conversion from rangelands into villages and croplands. Despite limited research, and evidence of deleterious effects to biodiversity, international organisations have earmarked this system for cropland. Invertebrates, and ants in particular, are sensitive indicators of habitat fragmentation, and contribute to ecosystem services at a range of scales. We investigated how rangelands, villages and croplands differ in ant species and functional diversity, and assemblage composition. We sampled ants using pitfall traps at 42 sites (14 replicates each in rangeland, cropland, and village) in northern South African savannas. We investigated the impact of landuse, season, and multiple soil and vegetation habitat variables on ant species diversity, assemblages and functional diversity. Rangelands had the greatest ant species richness, particularly in the wet season. Richness declined with increasing soil clay content. Ant assemblages were distinctly different between landuse types. Rangeland harboured the widest diversity of indicator species, and contained greatest functional diversity. Rangelands accommodated more scavengers, granivores, and plant-matter feeders than cropland, and representation of these groups varied with season. Ants play essential roles in soil nutrient cycling, plant and seedling recruitment, and impact other arthropods through predation and aphidoculous behaviour that in turn influences entire food webs. Thus, the reduced species richness, changes in assemblage composition and the loss of functional groups in ant assemblages found in cropland and villages is potentially problematic. Left unchallenged, these new forms of landuse threaten to characterise the entire African savanna system, impacting not only future ecological, but possibly also human wellbeing."
