,assess_date,newcase,doublerev,ResponseId,Init,Title,GenInfo,MethodsNotes,Observational,Experimental,Model_Data_Simulation,Social_survey_Interview,Other,Ecosystem,MultiScale,TimeTrends,FirstAuthor,SourcePublication,PublicationYear,Abstract,,Changed
157,4/22/2020,FALSE,FALSE,R_3Hhq96iUGg1wN7R,NBD,The Relevance of Conditional Dispersal for Bacterial Colony Growth and Biodegradation,"This takes place entirely in the lab, not on any continent or ocean (the lab is in germany, so I chose europe)",,NA,1,1,NA,NA,Other,No,Yes,Banitz,MICROBIAL ECOLOGY,2012,"Bacterial degradation is an ecosystem service that offers a promising method for the remediation of contaminated soils. To assess the dynamics and efficiency of bacterial degradation, reliable microbial simulation models, along with the relevant processes, are required. We present an approach aimed at improving reliability by studying the relevance and implications of an important concept from theoretical ecology in the context of a bacterial system: conditional dispersal denoting that the dispersal strategy depends on environmental conditions. Different dispersal strategies, which either incorporate or neglect this concept, are implemented in a bacterial model and results are compared to data obtained from laboratory experiments with Pseudomonas putida colonies growing on glucose agar. Our results show that, with respect to the condition of resource uptake, the model's correspondence to experimental data is significantly higher for conditional than for unconditional bacterial dispersal. In particular, these results support the hypothesis that bacteria disperse less when resources are abundant. We also show that the dispersal strategy has a considerable impact on model predictions for bacterial degradation of resources: disregarding conditional bacterial dispersal can lead to overestimations when assessing the performance of this ecosystem service.",,NA
3,4/22/2020,TRUE,FALSE,R_bILLezWA2JMXuNj,JL,"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya",,,NA,NA,1,NA,NA,"Terrestrial,Freshwater,Other",Yes,Yes,Mwangi,JOURNAL OF SOIL AND WATER CONSERVATION,2015,"Degradation of agricultural watersheds often reduces their capacity to provide ecosystem services such as sediment retention, flow regulation, and water quality improvement. Soil and water conservation practices can be used to enhance the capacity of watersheds to produce these services. The objective of this study was to evaluate the impact of agricultural conservation practices on water and sediment yield using the Soil and Water Assessment Tool (SWAT) model. The study area was Sasumua Watershed (107 km(2) [43 mi(2)]), where land degradation has affected watershed's capacity to regulate flow and maintain water quality. The model was calibrated and validated for streamflow at the watershed outlet. Data on annual average erosion rates for the area was used to constrain soil erodibility factor (KUSLE) and practice erodibility factor (PUSLE) parameters during sediment calibration while measured three month sediment concentration data was used for validation. Model performance was assessed using the coefficient of determination (r(2)), Nash-Sutcliffe efficiency coefficient (ENS) and percent bias (PBIAS). Results gave monthly streamflow r(2) values of 0.80 and 0.85, ENS values of 0.74 and 0.81, and PBIAS values of +/- 5% and +/- 6% during the calibration and validation. The model also satisfactorily simulated daily sediment concentrations with an r(2) value of 0.54. However, ENS and PBIAS values were low, which was attributed to the short duration of measurement. The validated model was used to simulate sediment yield for the period 1970 to 2010. Mean annual watershed sediment yield was 40,934 t y(-1) (9 0,243,096 lb yr(-1)). The impacts of filter strips, contour farming, parallel terraces, grassed waterways, and their combinations on water and sediment yield were simulated by adjusting relevant model parameters. The effectiveness of filter strips increased nonlinearly with width being optimum at 30 m (98.4 ft). A combination of 30 m (98.4 ft) wide filter strips and grassed waterways reduced sediment yield by 80%; parallel terraces, 10 m (32.8 ft) filter strips, and grassed waterways reduced sediment yield by 75%; 10 m (32.8 ft) filter strips and grassed waterways reduced yield by 73%; contour farming and grassed waterways reduced yield by 66%; and grassed waterways reduced yield by only 54%. Parallel terraces reduced surface runoff by 20% and increased base flow by 12%, while contour farming reduced surface runoff by 12% and increased base flow by 6.5%. Implementation of conservation practices can reduce sediment yield and increase water yield marginally. The results give an insight into the implications of the present land use management practices and can be used to devise ecologically sound watershed management and development plans.",,1
5,4/22/2020,TRUE,FALSE,R_UYeQJqYgpQFhAgV,KCG,A welcome can of worms? Hypoxia mitigation by an invasive species,,,NA,NA,1,NA,NA,Marine/Off-shore,No,Yes,Norkko,GLOBAL CHANGE BIOLOGY,2012,"Invasive species and bottom-water hypoxia both constitute major global threats to the diversity and integrity of marine ecosystems. These stressors may interact with unexpected consequences, as invasive species that require an initial environmental disturbance to become established can subsequently become important drivers of ecological change. There is recent evidence that improved bottom-water oxygen conditions in coastal areas of the northern Baltic Sea coincide with increased abundances of the invasive polychaetes Marenzelleria spp. Using a reactive-transport model, we demonstrate that the long-term bioirrigation activities of dense Marenzelleria populations have a major impact on sedimentary phosphorus dynamics. This may facilitate the switch from a seasonally hypoxic system back to a normoxic system by reducing the potential for sediment-induced eutrophication in the upper water column. In contrast to short-term laboratory experiments, our simulations, which cover a 10-year period, show that Marenzelleria has the potential to enhance long-term phosphorus retention in muddy sediments. Over time bioirrigation leads to a substantial increase in the iron-bound phosphorus content of sediments while reducing the concentration of labile organic carbon. As surface sediments are maintained oxic, iron oxyhydroxides are able to persist and age into more refractory forms. The model illustrates mechanisms through which Marenzelleria can act as a driver of ecological change, although hypoxic disturbance or natural population declines in native species may be needed for them to initially become established. Invasive species are generally considered to have a negative impact; however, we show here that one of the main recent invaders in the Baltic Sea may provide important ecosystem services. This may be of particular importance in low-diversity systems, where disturbances may dramatically alter ecosystem services due to low functional redundancy. Thus, an environmental problem in one region may be either exacerbated or alleviated by a single species from another region, with potentially ecosystem-wide consequences.",,1
11,4/22/2020,FALSE,TRUE,R_bBnxY9Kv0gtT7vX,GV,"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia",Australia. Terrestrial catchment land use and effect on Great Barrier Reef. Produced hypothetical land use scenarios and looked at outcomes/tradeoffs for services.,,NA,NA,1,NA,NA,"Terrestrial,Coastal",No,No,Butler,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013,"The Great Barrier Reef (GBR), Australia, is threatened by declining water quality largely derived from agricultural run-off. Water quality planning aims to mitigate pollutant run-off through land management, including riparian and wetland restoration, but no tools exist to assess trade-offs in land use change across the catchment-to-reef continuum. We adapted the Millennium Ecosystem Assessment framework in the GBR's Tully-Murray catchment to identify trade-offs between linked ecosystem services and stakeholders. Applying four land use scenarios we assessed outcomes for the ecosystem service of water quality regulation, and trade-offs with six floodplain services and four GBR services. Based on statistical correlations between ecosystem services' status under the scenarios, we identified trade-offs and thresholds between services and associated stakeholders. The most direct trade-off in floodplain services (and primary stakeholders) was food and fibre production (farmers) versus water quality regulation (community, GBR tourists, tour operators and fishermen). There were synergies between water quality regulation (community, GBR tourists, tour operators and fishermen) and floodplain recreational and commercial fisheries (fishermen). Scale mis-matches between water quality management structures and ecosystem service flows were also evident. We discuss the strengths and weaknesses of this ecosystem services approach, and its potential application in the GBR and other catchment-to-reef social-ecological systems. (C) 2011 Elsevier B.V. All rights reserved.",,1
12,4/22/2020,TRUE,FALSE,R_1QKHR4HpJC1dcaR,JL,An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space,,,1,NA,1,NA,NA,Terrestrial,No,Yes,Tarszisz,CONSERVATION PHYSIOLOGY,2018,"Fauna-mediated ecosystem service provision (e.g. seed dispersal) can be difficult to quantify and predict because it is underpinned by the shifting niches of multiple interacting organisms. Such interactions are especially complex in tropical ecosystems, including endangered peat forests of Central Borneo, a biodiversity hot spot and home to the critically endangered orangutan (Pongo pygmaeus wurmbii). We combined studies of the digestive physiology of captive orangutans in Australia with detailed field studies of wild orangutans in the Natural Laboratory of Peat-Swamp Forest of Sabangau, Central Kalimantan, Indonesia. By measuring the gut transit time (TT) of indigestible seed mimics (beads) in captivity and applying this as a temporal constraint to movement data of wild orangutans, we developed a mechanistic, time-explicit spatial model to project the seed dispersal patterns by these large-bodied, arboreal frugivores. We followed seven orangutans and established home range kernels using Time Local Convex Hull (T-LoCoH) modelling. This allowed us to model individual orangutan movements and to adjust these models according to gut transit times to estimate seed dispersal kernels. Female movements were conservative (core ranges of 55 and 52 ha in the wet and dry seasons, respectively) and revisitation rates to the same location of n = 4 in each 24-h block. Male movements were more unpredictable, yielding fragmented core ranges and revisitation rates to the same location of only 1.2 times each 24 h; males also demonstrated large disjunctions where they moved rapidly over long distances and were frequently lost from view. Seed dispersal kernels were nested predictably within the core ranges of females, but not males. We used the T-LoCoH approach to analyse movement ecology, which offered a powerful tool to predict the primary deposition of seeds by orangutans, thereby providing a reliable method for making a priori predictions of seed dispersal dynamics by other frugivores in novel ecosystems.",,NA
14,4/22/2020,TRUE,TRUE,R_SMB94nDu1Rxnw89,AK,An integrated ecological modeling system for assessing impacts of multiple stressors on stream and riverine ecosystem services within river basins,,,1,NA,1,NA,NA,Freshwater,No,Yes,Johnston,ECOLOGICAL MODELLING,2017,"We demonstrate a novel, spatially explicit assessment of the current condition of aquatic ecosystem services, with limited sensitivity analysis for the atmospheric contaminant mercury. The Integrated Ecological Modeling System (IEMS) forecasts water quality and quantity, habitat suitability for aquatic biota, fish biomasses, population densities, productivities, and contamination by methylmercury across head-water watersheds. We applied this IEMS to the Coal River Basin (CRB), West Virginia (USA), an 8-digit hydrologic unit watershed, by simulating a network of 97 stream segments using the SWAT watershed model, a watershed mercury loading model, the WASP water quality model, the PiSCES fish community estimation model, a fish habitat suitability model, the BASS fish community and bioaccumulation model, and an ecoservices post-processer. Model application was facilitated by automated data retrieval and model setup and updated model wrappers and interfaces for data transfers between these models from a prior study. This companion study evaluates baseline predictions of ecoservices provided for 1990-2010 for the population of streams in the CRB and serves as a foundation for future model development. Published by Elsevier B.V.",,NA
18,4/22/2020,TRUE,FALSE,R_1MNgGEniHa3GsEq,JL,Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,,,NA,NA,1,NA,NA,Terrestrial,No,No,Hernandez,JOURNAL OF SOIL AND WATER CONSERVATION,2013,"Rangelands comprise a large portion of the western United States. They are important for providing ecosystem services such as sources of clean water and air, wildlife habitat, ecosystem biodiversity, recreation, and aesthetics. The National Resources Inventory (NRI) is a primary data source for ongoing assessment of nonfederal land in the United States, including rangelands, and the data collected during an NRI assessment is typical of rangeland monitoring conducted by managers. This study outlines a methodology for using that type of monitoring data to run a rangeland hydrology and erosion model in order to estimate the relative soil erosion rates across ecosystems located in the American Southwest. The model was run on 134 NRI rangeland field locations with data collected between 2003 and 2006 in Major Land Resource Area 41, the Southeastern Arizona Basin and Range, which is a diverse ecological area of 40,765 km(2) (15, 739 mi(2)) in the transition zone between the Sonoran and Chihuahuan deserts. Results of the study showed that the data collected was adequate to run the model and effectively assess the influence of foliar cover, ground cover, plant life forms, soils, and topography on current soil erosion rates. Results suggested that the model could be further improved with additional measured experimental data on infiltration, runoff, and soil erosion within key ecological sites in order to better quantify model parameters to reflect ecosystem changes and risk of crossing interdependent biotic and abiotic thresholds.",,1
20,4/22/2020,FALSE,TRUE,R_24wVbQfeDnsEskw,GV,Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change,"Distribution data from 1971-2000, simulated projections to 2025 and 2050",,NA,NA,1,NA,NA,"Terrestrial,Urban",No,Yes,Albert,CONSERVATION BIOLOGY,2017,"Designing connected landscapes is among the most widespread strategies for achieving biodiversity conservation targets. The challenge lies in simultaneously satisfying the connectivity needs of multiple species at multiple spatial scales under uncertain climate and land-use change. To evaluate the contribution of remnant habitat fragments to the connectivity of regional habitat networks, we developed a method to integrate uncertainty in climate and land-use change projections with the latest developments in network-connectivity research and spatial, multipurpose conservation prioritization. We used land-use change simulations to explore robustness of species' habitat networks to alternative development scenarios. We applied our method to 14 vertebrate focal species of periurban Montreal, Canada. Accounting for connectivity in spatial prioritization strongly modified conservation priorities and the modified priorities were robust to uncertain climate change. Setting conservation priorities based on habitat quality and connectivity maintained a large proportion of the region's connectivity, despite anticipated habitat loss due to climate and land-use change. The application of connectivity criteria alongside habitat-quality criteria for protected-area design was efficient with respect to the amount of area that needs protection and did not necessarily amplify trade-offs among conservation criteria. Our approach and results are being applied in and around Montreal and are well suited to the design of ecological networks and green infrastructure for the conservation of biodiversity and ecosystem services in other regions, in particular regions around large cities, where connectivity is critically low.",,1
22,4/22/2020,FALSE,TRUE,R_1hybCiXFKKWPel0,JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",InVEST model of services with remotely sensed data combined with model parameter values from the literature,,NA,NA,1,NA,NA,Terrestrial,No,No,Han,TROPICAL ECOLOGY,2017,"Spatial explicit information related to ecosystem services is key in decisionmaking for attainment of sustainable development. Ecosystems in the Karst mountainous region of the southwest China subtropical zone contribute a substantial number of products and services. Based on the Integrated Valuation of Ecosystem Services and Tradeoffs (InVEST) model, multiple ecosystem services including water supply, sediment retention, carbon storage and habitat quality in the Guizhou Province of southwest China were assessed and mapped at the watershed scale in this study. The correlation among multiple ecosystem services was investigated and effects of the ecological condition and human pressure on ecosystem services explored. Results indicated obvious spatial heterogeneity in multiple ecosystem services and ecosystem services bundling; 51.09% of the area was designated at a moderate-level for ""hotspot"" (high ecosystem services provision) area. Tradeoffs existed between water supply and sediment retention and also between carbon storage and sediment retention. The spatial pattern of water supply in Guizhou was heavily affected by precipitation, evaporation and root depth associated with each land use type, while the rainfall erosivity, topography, cover-management factor and support practice associated with land use types played important roles in spatial distribution of sediment retention. The area and proportion of forestland were considered to be dominant factors affecting carbon storage. Habitat suitability of natural land use and the weight and effect distance of human land use were key driving factors affecting the habitat quality score and its spatial pattern. A weak negative correlation was demonstrated between human pressure indicators including the urbanization rate, GDP per person and population density and ecosystem services.",,1
23,4/22/2020,TRUE,TRUE,R_3j225vqUy2ndtL0,TK,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",,,NA,NA,1,NA,NA,Terrestrial,No,No,Han,TROPICAL ECOLOGY,2017,"Spatial explicit information related to ecosystem services is key in decisionmaking for attainment of sustainable development. Ecosystems in the Karst mountainous region of the southwest China subtropical zone contribute a substantial number of products and services. Based on the Integrated Valuation of Ecosystem Services and Tradeoffs (InVEST) model, multiple ecosystem services including water supply, sediment retention, carbon storage and habitat quality in the Guizhou Province of southwest China were assessed and mapped at the watershed scale in this study. The correlation among multiple ecosystem services was investigated and effects of the ecological condition and human pressure on ecosystem services explored. Results indicated obvious spatial heterogeneity in multiple ecosystem services and ecosystem services bundling; 51.09% of the area was designated at a moderate-level for ""hotspot"" (high ecosystem services provision) area. Tradeoffs existed between water supply and sediment retention and also between carbon storage and sediment retention. The spatial pattern of water supply in Guizhou was heavily affected by precipitation, evaporation and root depth associated with each land use type, while the rainfall erosivity, topography, cover-management factor and support practice associated with land use types played important roles in spatial distribution of sediment retention. The area and proportion of forestland were considered to be dominant factors affecting carbon storage. Habitat suitability of natural land use and the weight and effect distance of human land use were key driving factors affecting the habitat quality score and its spatial pattern. A weak negative correlation was demonstrated between human pressure indicators including the urbanization rate, GDP per person and population density and ecosystem services.",,1
