"title","authors","pubyear","sourcepub","review_round","reviewer","doublerev","reviewer_notes","outsidereviewer","outsidereviewer_notes","exclusion_id","exclusion_reason","fullquestion"
"A general biodiversity-function relationship is mediated by trophic level","O'Connor, Mary I.; Gonzalez, Andrew; Byrnes, Jarrett E. K.; Cardinale, Bradley J.; Duffy, J. Emmett; Gamfeldt, Lars; Griffin, John N.; Hooper, David; Hungate, Bruce A.; Paquette, Alain; Thompson, Patrick L.; Dee, Laura E.; Dolan, Kristin L.",2017,"OIKOS",1,"R7",FALSE,"R7: Comprehensive meta analysis on relationship between  biodiversity and production",NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"A global synthesis of the effects of diversified farming systems on arthropod diversity within fields and across agricultural landscapes","Lichtenberg, Elinor M.; Kennedy, Christina M.; Kremen, Claire; Batary, Peter; Berendse, Frank; Bommarco, Riccardo; Bosque-Perez, Nilsa A.; Carvalheiro, Luisa G.; Snyder, William E.; Williams, Neal M.; Winfree, Rachael; Klatt, Bjoern K.; Astrom, Sandra; Benjamin, Faye; Brittain, Claire; Chaplin-Kramer, Rebecca; Clough, Yann; Danforth, Bryan; Diekoetter, Tim; Eigenbrode, Sanford D.; Ekroos, Johan; Elle, Elizabeth; Freitas, Breno M.; Fukuda, Yuki; Gaines-Day, Hannah R.; Grab, Heather; Gratton, Claudio; Holzschuh, Andrea; Isaacs, Rufus; Isaia, Marco; Jha, Shalene; Jonason, Dennis; Jones, Vincent P.; Klein, Alexandra-Maria; Krauss, Jochen; Letourneau, Deborah K.; Macfadyen, Sarina; Mallinger, Rachel E.; Martin, Emily A.; Martinez, Eliana; Memmott, Jane; Morandin, Lora; Neame, Lisa; Otieno, Mark; Park, Mia G.; Pfiffner, Lukas; Pocock, Michael J. O.; Ponce, Carlos; Potts, Simon G.; Poveda, Katja; Ramos, Mariangie; Rosenheim, Jay A.; Rundlof, Maj; Sardinas, Hillary; Saunders, Manu E.; Schon, Nicole L.; Sciligo, Amber R.; Sidhu, C. Sheena; Steffan-Dewenter, Ingolf; Tscharntke, Teja; Vesely, Milan; Weisser, Wolfgang W.; Wilson, Julianna K.; Crowder, David W.",2017,"GLOBAL CHANGE BIOLOGY",1,"R6",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"A historical meta-analysis of global terrestrial net primary productivity: are estimates converging?","Ito, Akihiko",2011,"GLOBAL CHANGE BIOLOGY",1,"R13",FALSE,"R13: Meta-Analysis",NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Are we seeing the whole picture in land-sea systems? Opportunities and challenges for operationalizing the ES concept","Alonso Roldan, Virginia; Galvan, David E.; Lopes, Priscila F. M.; Lopez, Jaime; Bellamy, Angelina Sanderson; Gallego, Federico; Cinti, Ana; Rius, Pia; Schroeter, Barbara; Aguado, Mateo; Munoz Barriga, Andrea; Pittman, Jeremy; Avila-Flores, Giovanni; Paola Lopez-Gomez, Connie; Eva Gongora, Maria",2019,"ECOSYSTEM SERVICES",1,"R3",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Assessing bias and knowledge gaps on seed ecology research: implications for conservation agenda and policy","Ribeiro, Guilherme V. T.; Teixido, Alberto L.; Barbosa, Newton P. U.; Silveira, Fernando A. O.",2016,"ECOLOGICAL APPLICATIONS",1,"R7",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Assessing the context and ecological effects of river restoration - A meta-analysis","Lu, Weiwei; Font, Raquel Arias; Cheng, Shuiping; Wang, Jieqiong; Kollmann, Johannes",2019,"ECOLOGICAL ENGINEERING",1,"R3",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Can marine reserves restore lost ecosystem functioning? A global synthesis","Cheng, Brian S.; Altieri, Andrew H.; Torchin, Mark E.; Ruiz, Gregory M.",2019,"ECOLOGY",1,"R2",FALSE,"R2: meta-analysis comparing rates o predation and herbivory",NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Carbon sequestration in riparian forests: A global synthesis and meta-analysis","Dybala, Kristen E.; Matzek, Virginia; Gardali, Thomas; Seavy, Nathaniel E.",2019,"GLOBAL CHANGE BIOLOGY",1,"R2",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Concepts and methods for landscape multifunctionality and a unifying framework based on ecosystem services","Mastrangelo, Matias E.; Weyland, Federico; Villarino, Sebastian H.; Barral, Maria P.; Nahuelhual, Laura; Laterra, Pedro",2014,"LANDSCAPE ECOLOGY",1,"R9",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Conventional land-use intensification reduces species richness and increases production: A global meta-analysis","Beckmann, Michael; Gerstner, Katharina; Akin-Fajiye, Morodoluwa; Ceausu, Silvia; Kambach, Stephan; Kinlock, Nicole L.; Phillips, Helen R. P.; Verhagen, Willem; Gurevitch, Jessica; Klotz, Stefan; Newbold, Tim; Verburg, Peter H.; Winter, Marten; Seppelt, Ralf",2019,"GLOBAL CHANGE BIOLOGY",1,"R3",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Coral reef habitats as surrogates of species, ecological functions, and ecosystem services","Mumby, Peter J.; Broad, Kenneth; Brumbaugh, Daniel R.; Dahlgren, Craig P.; Harborne, Alastair R.; Hastings, Alan; Holmes, Katherine E.; Kappel, Carrie V.; Micheli, Fiorenza; Sanchirico, James N.",2008,"CONSERVATION BIOLOGY",1,"R11",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Cultivar mixtures: a meta-analysis of the effect of intraspecific diversity on crop yield","Reiss, Emily R.; Drinkwater, Laurie E.",2018,"ECOLOGICAL APPLICATIONS",1,"R6",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Diverse guilds provide complementary dispersal services in a woodland expansion process after land abandonment","Escribano-Avila, Gema; Calvino-Cancela, Maria; Pias, Beatriz; Virgos, Emilio; Valladares, Fernando; Escudero, Adrian",2014,"JOURNAL OF APPLIED ECOLOGY",1,"R1",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Ecological intensification and arbuscular mycorrhizas: a meta-analysis of tillage and cover crop effects","Bowles, Timothy M.; Jackson, Louise E.; Loeher, Malina; Cavagnaro, Timothy R.",2017,"JOURNAL OF APPLIED ECOLOGY",1,"R6",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
"Effectiveness of agri-environmental management on pollinators is moderated more by ecological contrast than by landscape structure or land-use intensity","Marja, Riho; Kleijn, David; Tscharntke, Teja; Klein, Alexandra-Maria; Frank, Thomas; Batary, Peter",2019,"ECOLOGY LETTERS",1,"R3",FALSE,NA,NA,NA,1,"Meta-analysis only","Is this a meta-analysis?"
